House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lindsay (81618)											
		Candidate		"BRADBURY, David"		            	"KELLY, Jackie"		              	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Berkshire Park										
			1st Prefs	69	31.51		150	68.49		219	
		"PHILLIPS, John (CTA)"	4	3	75.00		1	25.00		4	
		"EDWARDS, Lesley (GRN)"	3	3	100.00		0	0.00		3	
		"COURTNEY, Anthony David (IND)"	1	1	100.00		0	0.00		1	
		"NIXON, Bill (HAN)"	17	6	35.29		11	64.71		17	
		"WATERS, Geraldine (DEM)"	6	3	50.00		3	50.00		6	
		"MITCHELL, Graham (IND)"	3	2	66.67		1	33.33		3	
		"WALKER, Stephen (NCP)"	1	0	0.00		1	100.00		1	
		"BROWN, Geoff (SAS)"	9	4	44.44		5	55.56		9	
		"EYKAMP, Jean M (NGST)"	8	4	50.00		4	50.00		8	
		"LINDSAY-HENDERSON, Steve (IND)"	3	1	33.33		2	66.67		3	
		Total	55	96	35.04		178	64.96		274	

	Blaxland (Lindsay)										
			1st Prefs	202	37.06		343	62.94		545	
		"PHILLIPS, John (CTA)"	30	5	16.67		25	83.33		30	
		"EDWARDS, Lesley (GRN)"	50	39	78.00		11	22.00		50	
		"COURTNEY, Anthony David (IND)"	8	4	50.00		4	50.00		8	
		"NIXON, Bill (HAN)"	26	11	42.31		15	57.69		26	
		"WATERS, Geraldine (DEM)"	37	31	83.78		6	16.22		37	
		"MITCHELL, Graham (IND)"	4	3	75.00		1	25.00		4	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	19	12	63.16		7	36.84		19	
		"EYKAMP, Jean M (NGST)"	5	3	60.00		2	40.00		5	
		"LINDSAY-HENDERSON, Steve (IND)"	3	2	66.67		1	33.33		3	
		Total	182	312	42.92		415	57.08		727	

	Braddock										
			1st Prefs	1155	50.02		1154	49.98		2309	
		"PHILLIPS, John (CTA)"	68	38	55.88		30	44.12		68	
		"EDWARDS, Lesley (GRN)"	52	39	75.00		13	25.00		52	
		"COURTNEY, Anthony David (IND)"	34	18	52.94		16	47.06		34	
		"NIXON, Bill (HAN)"	139	45	32.37		94	67.63		139	
		"WATERS, Geraldine (DEM)"	40	28	70.00		12	30.00		40	
		"MITCHELL, Graham (IND)"	7	6	85.71		1	14.29		7	
		"WALKER, Stephen (NCP)"	2	1	50.00		1	50.00		2	
		"BROWN, Geoff (SAS)"	165	96	58.18		69	41.82		165	
		"EYKAMP, Jean M (NGST)"	20	11	55.00		9	45.00		20	
		"LINDSAY-HENDERSON, Steve (IND)"	12	4	33.33		8	66.67		12	
		Total	539	1441	50.60		1407	49.40		2848	

	Cambridge Gardens										
			1st Prefs	799	46.32		926	53.68		1725	
		"PHILLIPS, John (CTA)"	60	22	36.67		38	63.33		60	
		"EDWARDS, Lesley (GRN)"	37	28	75.68		9	24.32		37	
		"COURTNEY, Anthony David (IND)"	18	13	72.22		5	27.78		18	
		"NIXON, Bill (HAN)"	95	40	42.11		55	57.89		95	
		"WATERS, Geraldine (DEM)"	28	15	53.57		13	46.43		28	
		"MITCHELL, Graham (IND)"	15	12	80.00		3	20.00		15	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	191	119	62.30		72	37.70		191	
