House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Reid (77031)											
		Candidate		"YUSUF, Irfan"		               	"FERGUSON, Laurie"		           	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Auburn										
			1st Prefs	177	22.13		623	77.88		800	
		"CHAMAS, Habib (UNI)"	34	17	50.00		17	50.00		34	
		"ARCHER, Adrian Peter (DEM)"	38	25	65.79		13	34.21		38	
		"MAXWELL, Steve (GRN)"	28	15	53.57		13	46.43		28	
		"LEDERMANN, Uwe (CTA)"	11	7	63.64		4	36.36		11	
		"MACDONALD, Lisa ()"	22	10	45.45		12	54.55		22	
		"O'CONNOR, Shane (HAN)"	17	10	58.82		7	41.18		17	
		Total	150	261	27.47		689	72.53		950	

	Auburn East										
			1st Prefs	143	28.83		353	71.17		496	
		"CHAMAS, Habib (UNI)"	20	6	30.00		14	70.00		20	
		"ARCHER, Adrian Peter (DEM)"	28	10	35.71		18	64.29		28	
		"MAXWELL, Steve (GRN)"	20	7	35.00		13	65.00		20	
		"LEDERMANN, Uwe (CTA)"	20	12	60.00		8	40.00		20	
		"MACDONALD, Lisa ()"	10	7	70.00		3	30.00		10	
		"O'CONNOR, Shane (HAN)"	36	21	58.33		15	41.67		36	
		Total	134	206	32.70		424	67.30		630	

	Auburn Hospital										
			1st Prefs	137	22.24		479	77.76		616	
		"CHAMAS, Habib (UNI)"	40	19	47.50		21	52.50		40	
		"ARCHER, Adrian Peter (DEM)"	23	11	47.83		12	52.17		23	
		"MAXWELL, Steve (GRN)"	28	7	25.00		21	75.00		28	
		"LEDERMANN, Uwe (CTA)"	12	9	75.00		3	25.00		12	
		"MACDONALD, Lisa ()"	8	3	37.50		5	62.50		8	
		"O'CONNOR, Shane (HAN)"	24	16	66.67		8	33.33		24	
		Total	135	202	26.90		549	73.10		751	

	Auburn North										
			1st Prefs	231	17.16		1115	82.84		1346	
		"CHAMAS, Habib (UNI)"	96	37	38.54		59	61.46		96	
		"ARCHER, Adrian Peter (DEM)"	45	14	31.11		31	68.89		45	
		"MAXWELL, Steve (GRN)"	43	9	20.93		34	79.07		43	
		"LEDERMANN, Uwe (CTA)"	11	4	36.36		7	63.64		11	
		"MACDONALD, Lisa ()"	16	4	25.00		12	75.00		16	
		"O'CONNOR, Shane (HAN)"	30	21	70.00		9	30.00		30	
		Total	241	320	20.16		1267	79.84		1587	

	Auburn West										
			1st Prefs	442	20.71		1692	79.29		2134	
		"CHAMAS, Habib (UNI)"	184	89	48.37		95	51.63		184	
		"ARCHER, Adrian Peter (DEM)"	66	25	37.88		41	62.12		66	
		"MAXWELL, Steve (GRN)"	91	25	27.47		66	72.53		91	
		"LEDERMANN, Uwe (CTA)"	35	19	54.29		16	45.71		35	
		"MACDONALD, Lisa ()"	46	14	30.43		32	69.57		46	
		"O'CONNOR, Shane (HAN)"	131	69	52.67		62	47.33		131	
		Total	553	683	25.42		2004	74.58		2687	

	Berala										
			1st Prefs	519	20.45		2019	79.55		2538	
		"CHAMAS, Habib (UNI)"	194	73	37.63		121	62.37		194	
		"ARCHER, Adrian Peter (DEM)"	101	42	41.58		59	58.42		101	
		"MAXWELL, Steve (GRN)"	88	34	38.64		54	61.36		88	
		"LEDERMANN, Uwe (CTA)"	59	40	67.80		19	32.20		59	
		"MACDONALD, Lisa ()"	53	20	37.74		33	62.26		53	
		"O'CONNOR, Shane (HAN)"	134	73	54.48		61	45.52		134	
		Total	629	801	25.29		2366	74.71		3167	

	Blaxcell										
			1st Prefs	716	20.87		2715	79.13		3431	
		"CHAMAS, Habib (UNI)"	204	147	72.06		57	27.94		204	
		"ARCHER, Adrian Peter (DEM)"	85	38	44.71		47	55.29		85	
		"MAXWELL, Steve (GRN)"	87	27	31.03		60	68.97		87	
		"LEDERMANN, Uwe (CTA)"	112	86	76.79		26	23.21		112	
		"MACDONALD, Lisa ()"	84	27	32.14		57	67.86		84	
		"O'CONNOR, Shane (HAN)"	243	167	68.72		76	31.28		243	
		Total	815	1208	28.45		3038	71.55		4246	

	Cardinal Gilroy Village										
			1st Prefs	134	41.10		192	58.90		326	
		"CHAMAS, Habib (UNI)"	15	9	60.00		6	40.00		15	
		"ARCHER, Adrian Peter (DEM)"	8	4	50.00		4	50.00		8	
		"MAXWELL, Steve (GRN)"	5	2	40.00		3	60.00		5	
		"LEDERMANN, Uwe (CTA)"	9	5	55.56		4	44.44		9	
		"MACDONALD, Lisa ()"	3	3	100.00		0	0.00		3	
		"O'CONNOR, Shane (HAN)"	25	21	84.00		4	16.00		25	
		Total	65	178	45.52		213	54.48		391	

	Fowler Road										
			1st Prefs	703	36.13		1243	63.87		1946	
		"CHAMAS, Habib (UNI)"	86	60	69.77		26	30.23		86	
		"ARCHER, Adrian Peter (DEM)"	80	27	33.75		53	66.25		80	
		"MAXWELL, Steve (GRN)"	60	20	33.33		40	66.67		60	
		"LEDERMANN, Uwe (CTA)"	59	44	74.58		15	25.42		59	
		"MACDONALD, Lisa ()"	32	9	28.13		23	71.88		32	
		"O'CONNOR, Shane (HAN)"	190	127	66.84		63	33.16		190	
		Total	507	990	40.36		1463	59.64		2453	

	Granville										
			1st Prefs	506	22.13		1780	77.87		2286	
		"CHAMAS, Habib (UNI)"	176	87	49.43		89	50.57		176	
		"ARCHER, Adrian Peter (DEM)"	78	26	33.33		52	66.67		78	
		"MAXWELL, Steve (GRN)"	91	29	31.87		62	68.13		91	
		"LEDERMANN, Uwe (CTA)"	87	51	58.62		36	41.38		87	
		"MACDONALD, Lisa ()"	48	20	41.67		28	58.33		48	
		"O'CONNOR, Shane (HAN)"	91	54	59.34		37	40.66		91	
		Total	571	773	27.06		2084	72.94		2857	

	Granville North (Reid)										
			1st Prefs	141	27.12		379	72.88		520	
		"CHAMAS, Habib (UNI)"	33	17	51.52		16	48.48		33	
		"ARCHER, Adrian Peter (DEM)"	19	8	42.11		11	57.89		19	
		"MAXWELL, Steve (GRN)"	17	12	70.59		5	29.41		17	
		"LEDERMANN, Uwe (CTA)"	14	9	64.29		5	35.71		14	
		"MACDONALD, Lisa ()"	6	3	50.00		3	50.00		6	
		"O'CONNOR, Shane (HAN)"	20	12	60.00		8	40.00		20	
		Total	109	202	32.11		427	67.89		629	

	Granville South										
			1st Prefs	372	28.48		934	71.52		1306	
		"CHAMAS, Habib (UNI)"	93	55	59.14		38	40.86		93	
		"ARCHER, Adrian Peter (DEM)"	49	21	42.86		28	57.14		49	
		"MAXWELL, Steve (GRN)"	39	14	35.90		25	64.10		39	
		"LEDERMANN, Uwe (CTA)"	30	15	50.00		15	50.00		30	
		"MACDONALD, Lisa ()"	20	10	50.00		10	50.00		20	
		"O'CONNOR, Shane (HAN)"	96	55	57.29		41	42.71		96	
		Total	327	542	33.19		1091	66.81		1633	

	Guildford										
			1st Prefs	444	29.66		1053	70.34		1497	
		"CHAMAS, Habib (UNI)"	90	53	58.89		37	41.11		90	
		"ARCHER, Adrian Peter (DEM)"	60	18	30.00		42	70.00		60	
		"MAXWELL, Steve (GRN)"	51	17	33.33		34	66.67		51	
		"LEDERMANN, Uwe (CTA)"	59	38	64.41		21	35.59		59	
		"MACDONALD, Lisa ()"	26	16	61.54		10	38.46		26	
		"O'CONNOR, Shane (HAN)"	103	65	63.11		38	36.89		103	
		Total	389	651	34.52		1235	65.48		1886	

	Guildford East										
			1st Prefs	439	31.49		955	68.51		1394	
		"CHAMAS, Habib (UNI)"	85	60	70.59		25	29.41		85	
		"ARCHER, Adrian Peter (DEM)"	58	22	37.93		36	62.07		58	
		"MAXWELL, Steve (GRN)"	45	20	44.44		25	55.56		45	
		"LEDERMANN, Uwe (CTA)"	62	47	75.81		15	24.19		62	
		"MACDONALD, Lisa ()"	23	12	52.17		11	47.83		23	
		"O'CONNOR, Shane (HAN)"	109	59	54.13		50	45.87		109	
		Total	382	659	37.11		1117	62.89		1776	

	Guildford West										
			1st Prefs	665	35.56		1205	64.44		1870	
		"CHAMAS, Habib (UNI)"	55	41	74.55		14	25.45		55	
		"ARCHER, Adrian Peter (DEM)"	82	33	40.24		49	59.76		82	
		"MAXWELL, Steve (GRN)"	61	19	31.15		42	68.85		61	
		"LEDERMANN, Uwe (CTA)"	47	30	63.83		17	36.17		47	
		"MACDONALD, Lisa ()"	38	18	47.37		20	52.63		38	
		"O'CONNOR, Shane (HAN)"	301	215	71.43		86	28.57		301	
		Total	584	1021	41.61		1433	58.39		2454	

	Hilltop Road										
			1st Prefs	983	36.64		1700	63.36		2683	
		"CHAMAS, Habib (UNI)"	147	105	71.43		42	28.57		147	
		"ARCHER, Adrian Peter (DEM)"	115	40	34.78		75	65.22		115	
		"MAXWELL, Steve (GRN)"	89	35	39.33		54	60.67		89	
		"LEDERMANN, Uwe (CTA)"	107	76	71.03		31	28.97		107	
		"MACDONALD, Lisa ()"	51	25	49.02		26	50.98		51	
