Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Sydney (86143)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alexandria		39	2.61		6	0.40		4	0.27		0	0.00		23	1.54		3	0.20		202	13.50		13	0.87		2	0.13		567	37.90		4	0.27		0	0.00		3	0.20		4	0.27		0	0.00		4	0.27		419	28.01		5	0.33		3	0.20		189	12.63		1	0.07		0	0.00		4	0.27		1	0.07		1496	96.39		56	3.61		1552	1.97
Annandale North (Sydney)		13	0.99		6	0.46		2	0.15		0	0.00		10	0.76		1	0.08		198	15.05		16	1.22		1	0.08		433	32.90		2	0.15		1	0.08		3	0.23		0	0.00		1	0.08		2	0.15		361	27.43		4	0.30		1	0.08		258	19.60		0	0.00		0	0.00		3	0.23		0	0.00		1316	98.14		25	1.86		1341	1.70
Bald Rock		14	3.54		4	1.01		2	0.51		0	0.00		5	1.26		1	0.25		49	12.37		5	1.26		1	0.25		134	33.84		1	0.25		0	0.00		2	0.51		0	0.00		0	0.00		1	0.25		102	25.76		0	0.00		1	0.25		72	18.18		0	0.00		0	0.00		1	0.25		1	0.25		396	97.30		11	2.70		407	0.52
Balmain		35	1.65		9	0.42		5	0.24		0	0.00		19	0.90		14	0.66		310	14.64		19	0.90		2	0.09		652	30.78		12	0.57		0	0.00		6	0.28		4	0.19		0	0.00		4	0.19		698	32.96		1	0.05		2	0.09		320	15.11		1	0.05		0	0.00		2	0.09		3	0.14		2118	97.47		55	2.53		2173	2.75
Balmain East		8	0.88		2	0.22		4	0.44		0	0.00		8	0.88		1	0.11		127	14.03		8	0.88		1	0.11		262	28.95		4	0.44		2	0.22		1	0.11		0	0.00		0	0.00		2	0.22		285	31.49		3	0.33		1	0.11		179	19.78		1	0.11		0	0.00		5	0.55		1	0.11		905	96.48		33	3.52		938	1.19
Balmain Hospital		2	0.58		0	0.00		0	0.00		0	0.00		1	0.29		1	0.29		45	12.97		2	0.58		2	0.58		111	31.99		2	0.58		0	0.00		1	0.29		0	0.00		3	0.86		0	0.00		127	36.60		0	0.00		0	0.00		50	14.41		0	0.00		0	0.00		0	0.00		0	0.00		347	100.00		0	0.00		347	0.44
Barcom		3	0.47		1	0.16		1	0.16		0	0.00		4	0.62		4	0.62		105	16.38		13	2.03		2	0.31		190	29.64		1	0.16		0	0.00		3	0.47		0	0.00		1	0.16		1	0.16		203	31.67		1	0.16		2	0.31		105	16.38		0	0.00		0	0.00		1	0.16		0	0.00		641	96.83		21	3.17		662	0.84
Beaconsfield		12	2.70		7	1.58		2	0.45		0	0.00		5	1.13		0	0.00		37	8.33		7	1.58		3	0.68		206	46.40		0	0.00		0	0.00		0	0.00		1	0.23		0	0.00		1	0.23		134	30.18		1	0.23		0	0.00		27	6.08		0	0.00		0	0.00		1	0.23		0	0.00		444	95.28		22	4.72		466	0.59
