Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Riverina (87399)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adjungbilly		6	11.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.89		1	1.89		12	22.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	56.60		2	3.77		0	0.00		1	1.89		0	0.00		0	0.00		0	0.00		0	0.00		53	98.15		1	1.85		54	0.06
Ardlethan		25	6.85		2	0.55		1	0.27		1	0.27		4	1.10		0	0.00		8	2.19		5	1.37		2	0.55		79	21.64		4	1.10		0	0.00		2	0.55		0	0.00		2	0.55		0	0.00		220	60.27		1	0.27		1	0.27		3	0.82		0	0.00		0	0.00		2	0.55		3	0.82		365	94.07		23	5.93		388	0.46
Ariah Park		26	7.01		38	10.24		0	0.00		1	0.27		8	2.16		1	0.27		12	3.23		0	0.00		1	0.27		38	10.24		6	1.62		0	0.00		2	0.54		0	0.00		1	0.27		0	0.00		221	59.57		9	2.43		1	0.27		2	0.54		0	0.00		2	0.54		0	0.00		2	0.54		371	97.63		9	2.37		380	0.45
Ashmont		128	6.36		37	1.84		0	0.00		2	0.10		78	3.87		1	0.05		75	3.73		40	1.99		3	0.15		713	35.42		36	1.79		2	0.10		33	1.64		1	0.05		1	0.05		3	0.15		785	39.00		31	1.54		1	0.05		31	1.54		0	0.00		0	0.00		12	0.60		0	0.00		2013	95.27		100	4.73		2113	2.52
Barellan		46	12.74		9	2.49		0	0.00		0	0.00		8	2.22		0	0.00		4	1.11		4	1.11		0	0.00		60	16.62		5	1.39		0	0.00		5	1.39		0	0.00		0	0.00		0	0.00		216	59.83		1	0.28		0	0.00		1	0.28		0	0.00		0	0.00		2	0.55		0	0.00		361	94.50		21	5.50		382	0.46
Beckom		5	7.25		2	2.90		0	0.00		0	0.00		0	0.00		1	1.45		1	1.45		0	0.00		0	0.00		3	4.35		1	1.45		0	0.00		1	1.45		0	0.00		0	0.00		0	0.00		54	78.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.45		69	97.18		2	2.82		71	0.08
Beelbangera		31	9.31		3	0.90		1	0.30		0	0.00		5	1.50		0	0.00		13	3.90		4	1.20		0	0.00		83	24.92		4	1.20		0	0.00		6	1.80		1	0.30		0	0.00		0	0.00		172	51.65		3	0.90		1	0.30		4	1.20		0	0.00		0	0.00		2	0.60		0	0.00		333	95.42		16	4.58		349	0.42
Bethungra		8	6.72		2	1.68		0	0.00		0	0.00		2	1.68		0	0.00		8	6.72		0	0.00		0	0.00		22	18.49		3	2.52		0	0.00		0	0.00		1	0.84		0	0.00		1	0.84		65	54.62		0	0.00		0	0.00		6	5.04		0	0.00		1	0.84		0	0.00		0	0.00		119	93.70		8	6.30		127	0.15
