House of Representatives - 2001 Election: New South Wales																				
Distribution of Preferences																				
By Polling Place																				
																				
Parkes																				
				KNAGGE			COBB			REDFERN			DUNLOP			WARD				
				Joe			John			Bob			Samantha			Geoff				
				CLR			NP			HAN			GRN			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Albert                                                         																				
	FIRST			13	13.40		74	76.29		8	8.25		1	1.03		1	1.03		97	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		13	13.40		74	76.29		8	8.25					2	2.06		97	
	THIRD			0	0.00		1	50.00		1	50.00						Excluded		2	
		TOTAL		13	13.40		75	77.32		9	9.28								97	
	FOURTH			2	22.22		7	77.78			Excluded								9	
		TOTAL		15	15.46		82	84.54											97	
							Elected													
																				
Alectown                                                       																				
	FIRST			39	22.41		112	64.37		19	10.92		3	1.72		1	0.57		174	
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		40	22.99		113	64.94		19	10.92					2	1.15		174	
	THIRD			2	100.00		0	0.00		0	0.00						Excluded		2	
		TOTAL		42	24.14		113	64.94		19	10.92								174	
	FOURTH			7	36.84		12	63.16			Excluded								19	
		TOTAL		49	28.16		125	71.84											174	
							Elected													
																				
Alma                                                           																				
	FIRST			1112	60.24		397	21.51		260	14.08		36	1.95		41	2.22		1846	
	SECOND			15	41.67		5	13.89		4	11.11			Excluded		12	33.33		36	
		TOTAL		1127	61.05		402	21.78		264	14.30					53	2.87		1846	
	THIRD			29	54.72		6	11.32		18	33.96						Excluded		53	
		TOTAL		1156	62.62		408	22.10		282	15.28								1846	
	FOURTH			193	68.44		89	31.56			Excluded								282	
		TOTAL		1349	73.08		497	26.92											1846	
							Elected													
																				
Ballimore                                                      																				
	FIRST			30	27.52		59	54.13		10	9.17		3	2.75		7	6.42		109	
	SECOND			2	66.67		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		32	29.36		59	54.13		10	9.17					8	7.34		109	
	THIRD			4	50.00		1	12.50		3	37.50						Excluded		8	
		TOTAL		36	33.03		60	55.05		13	11.93								109	
	FOURTH			2	15.38		11	84.62			Excluded								13	
		TOTAL		38	34.86		71	65.14											109	
							Elected													
																				
Barmedman                                                      																				
	FIRST			52	21.58		154	63.90		26	10.79		4	1.66		5	2.07		241	
	SECOND			0	0.00		1	25.00		0	0.00			Excluded		3	75.00		4	
		TOTAL		52	21.58		155	64.32		26	10.79					8	3.32		241	
	THIRD			1	12.50		1	12.50		6	75.00						Excluded		8	
		TOTAL		53	21.99		156	64.73		32	13.28								241	
	FOURTH			18	56.25		14	43.75			Excluded								32	
		TOTAL		71	29.46		170	70.54											241	
							Elected													
																				
Bedgerebong                                                    																				
	FIRST			13	9.77		104	78.20		13	9.77		0	0.00		3	2.26		133	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		13	9.77		104	78.20		13	9.77					3	2.26		133	
	THIRD			1	33.33		2	66.67		0	0.00						Excluded		3	
		TOTAL		14	10.53		106	79.70		13	9.77								133	
	FOURTH			3	23.08		10	76.92			Excluded								13	
		TOTAL		17	12.78		116	87.22											133	
							Elected													
																				
Bogan Gate                                                     																				
	FIRST			36	16.14		141	63.23		29	13.00		6	2.69		11	4.93		223	
	SECOND			1	16.67		2	33.33		0	0.00			Excluded		3	50.00		6	
		TOTAL		37	16.59		143	64.13		29	13.00					14	6.28		223	
	THIRD			4	28.57		4	28.57		6	42.86						Excluded		14	
		TOTAL		41	18.39		147	65.92		35	15.70								223	
	FOURTH			19	54.29		16	45.71			Excluded								35	
		TOTAL		60	26.91		163	73.09											223	
							Elected													
																				
Broken Hill                                                    																				
	FIRST			832	54.17		436	28.39		177	11.52		52	3.39		39	2.54		1536	
	SECOND			23	44.23		4	7.69		4	7.69			Excluded		21	40.38		52	
		TOTAL		855	55.66		440	28.65		181	11.78					60	3.91		1536	
	THIRD			42	70.00		10	16.67		8	13.33						Excluded		60	
		TOTAL		897	58.40		450	29.30		189	12.30								1536	
	FOURTH			121	64.02		68	35.98			Excluded								189	
		TOTAL		1018	66.28		518	33.72											1536	
							Elected													
																				
Broken Hill Hospital                                           																				
	FIRST			98	62.42		35	22.29		11	7.01		8	5.10		5	3.18		157	
	SECOND			5	62.50		0	0.00		2	25.00			Excluded		1	12.50		8	
		TOTAL		103	65.61		35	22.29		13	8.28					6	3.82		157	
	THIRD			4	66.67		1	16.67		1	16.67						Excluded		6	
		TOTAL		107	68.15		36	22.93		14	8.92								157	
	FOURTH			8	57.14		6	42.86			Excluded								14	
		TOTAL		115	73.25		42	26.75											157	
							Elected													
																				
Broken Hill North                                              																				
	FIRST			1161	56.28		573	27.78		257	12.46		30	1.45		42	2.04		2063	
	SECOND			10	33.33		7	23.33		1	3.33			Excluded		12	40.00		30	
		TOTAL		1171	56.76		580	28.11		258	12.51					54	2.62		2063	
	THIRD			25	46.30		21	38.89		8	14.81						Excluded		54	
		TOTAL		1196	57.97		601	29.13		266	12.89								2063	
	FOURTH			168	63.16		98	36.84			Excluded								266	
		TOTAL		1364	66.12		699	33.88											2063	
							Elected													
																				
Broken Hill West                                               																				
	FIRST			611	56.84		320	29.77		102	9.49		24	2.23		18	1.67		1075	
	SECOND			6	25.00		4	16.67		2	8.33			Excluded		12	50.00		24	
		TOTAL		617	57.40		324	30.14		104	9.67					30	2.79		1075	
	THIRD			11	36.67		10	33.33		9	30.00						Excluded		30	
		TOTAL		628	58.42		334	31.07		113	10.51								1075	
	FOURTH			62	54.87		51	45.13			Excluded								113	
		TOTAL		690	64.19		385	35.81											1075	
							Elected													
																				
Burcher                                                        																				
	FIRST			5	6.58		67	88.16		2	2.63		0	0.00		2	2.63		76	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	6.58		67	88.16		2	2.63					2	2.63		76	
	THIRD			0	0.00		1	50.00		1	50.00						Excluded		2	
		TOTAL		5	6.58		68	89.47		3	3.95								76	
	FOURTH			0	0.00		3	100.00			Excluded								3	
		TOTAL		5	6.58		71	93.42											76	
							Elected													
																				
Caragabal                                                      																				
	FIRST			20	12.50		116	72.50		18	11.25		2	1.25		4	2.50		160	
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		21	13.13		116	72.50		19	11.88					4	2.50		160	
	THIRD			1	25.00		1	25.00		2	50.00						Excluded		4	
		TOTAL		22	13.75		117	73.13		21	13.13								160	
	FOURTH			7	33.33		14	66.67			Excluded								21	
		TOTAL		29	18.13		131	81.88											160	
							Elected													
																				
Churchill Gardens                                              																				
	FIRST			515	31.42		887	54.12		154	9.40		42	2.56		41	2.50		1639	
	SECOND			12	28.57		7	16.67		8	19.05			Excluded		15	35.71		42	
		TOTAL		527	32.15		894	54.55		162	9.88					56	3.42		1639	
	THIRD			24	42.86		19	33.93		13	23.21						Excluded		56	
		TOTAL		551	33.62		913	55.70		175	10.68								1639	
	FOURTH			71	40.57		104	59.43			Excluded								175	
		TOTAL		622	37.95		1017	62.05											1639	
							Elected													
																				
Cobar                                                          																				
	FIRST			686	33.81		929	45.79		310	15.28		52	2.56		52	2.56		2029	
	SECOND			8	15.38		11	21.15		5	9.62			Excluded		28	53.85		52	
		TOTAL		694	34.20		940	46.33		315	15.52					80	3.94		2029	
	THIRD			42	52.50		19	23.75		19	23.75						Excluded		80	
		TOTAL		736	36.27		959	47.26		334	16.46								2029	
	FOURTH			182	54.49		152	45.51			Excluded								334	
		TOTAL		918	45.24		1111	54.76											2029	
							Elected													
																				
Condobolin                                                     																				
	FIRST			576	29.91		1136	58.98		165	8.57		21	1.09		28	1.45		1926	
	SECOND			3	14.29		5	23.81		3	14.29			Excluded		10	47.62		21	
		TOTAL		579	30.06		1141	59.24		168	8.72					38	1.97		1926	
	THIRD			19	50.00		8	21.05		11	28.95						Excluded		38	
		TOTAL		598	31.05		1149	59.66		179	9.29								1926	
	FOURTH			89	49.72		90	50.28			Excluded								179	
		TOTAL		687	35.67		1239	64.33											1926	
							Elected													
																				
Cookamidgera                                                   																				
	FIRST			17	25.00		41	60.29		9	13.24		0	0.00		1	1.47		68	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		17	25.00		41	60.29		9	13.24					1	1.47		68	
	THIRD			0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		17	25.00		41	60.29		10	14.71								68	
	FOURTH			4	40.00		6	60.00			Excluded								10	
		TOTAL		21	30.88		47	69.12											68	
							Elected													
																				
Coolabah                                                       																				
	FIRST			7	19.44		25	69.44		4	11.11		0	0.00		0	0.00		36	
