House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Macquarie (86364)											
		Candidate		"SEARLE, Adam"		               	"BARTLETT, Kerry"		            	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Bilpin										
			1st Prefs	88	29.93		206	70.07		294	
		"WILLIAMS, Leigh (GRN)"	46	30	65.22		16	34.78		46	
		"GRIGG, Brian (CTA)"	16	1	6.25		15	93.75		16	
		"MAJOROS, Les (DEM)"	22	19	86.36		3	13.64		22	
		"BUCKLEY, Wayne (HAN)"	47	28	59.57		19	40.43		47	
		"WARREN, Robert (SAS)"	9	7	77.78		2	22.22		9	
		Total	140	173	39.86		261	60.14		434	

	Blackheath										
			1st Prefs	746	45.32		900	54.68		1646	
		"WILLIAMS, Leigh (GRN)"	296	263	88.85		33	11.15		296	
		"GRIGG, Brian (CTA)"	31	11	35.48		20	64.52		31	
		"MAJOROS, Les (DEM)"	165	125	75.76		40	24.24		165	
		"BUCKLEY, Wayne (HAN)"	120	68	56.67		52	43.33		120	
		"WARREN, Robert (SAS)"	14	12	85.71		2	14.29		14	
		Total	626	1225	53.92		1047	46.08		2272	

	Blaxland (Macquarie)										
			1st Prefs	312	45.81		369	54.19		681	
		"WILLIAMS, Leigh (GRN)"	83	65	78.31		18	21.69		83	
		"GRIGG, Brian (CTA)"	20	5	25.00		15	75.00		20	
		"MAJOROS, Les (DEM)"	36	28	77.78		8	22.22		36	
		"BUCKLEY, Wayne (HAN)"	33	17	51.52		16	48.48		33	
		"WARREN, Robert (SAS)"	8	5	62.50		3	37.50		8	
		Total	180	432	50.17		429	49.83		861	

	Blaxland East										
			1st Prefs	848	36.29		1489	63.71		2337	
		"WILLIAMS, Leigh (GRN)"	240	195	81.25		45	18.75		240	
		"GRIGG, Brian (CTA)"	124	24	19.35		100	80.65		124	
		"MAJOROS, Les (DEM)"	183	132	72.13		51	27.87		183	
		"BUCKLEY, Wayne (HAN)"	98	55	56.12		43	43.88		98	
		"WARREN, Robert (SAS)"	53	34	64.15		19	35.85		53	
		Total	698	1288	42.44		1747	57.56		3035	

	Bligh Park										
			1st Prefs	609	27.09		1639	72.91		2248	
		"WILLIAMS, Leigh (GRN)"	95	61	64.21		34	35.79		95	
		"GRIGG, Brian (CTA)"	34	10	29.41		24	70.59		34	
		"MAJOROS, Les (DEM)"	98	62	63.27		36	36.73		98	
		"BUCKLEY, Wayne (HAN)"	150	93	62.00		57	38.00		150	
		"WARREN, Robert (SAS)"	81	43	53.09		38	46.91		81	
		Total	458	878	32.45		1828	67.55		2706	

	Bligh Park East										
			1st Prefs	264	27.67		690	72.33		954	
		"WILLIAMS, Leigh (GRN)"	41	27	65.85		14	34.15		41	
		"GRIGG, Brian (CTA)"	9	2	22.22		7	77.78		9	
		"MAJOROS, Les (DEM)"	29	17	58.62		12	41.38		29	
		"BUCKLEY, Wayne (HAN)"	48	30	62.50		18	37.50		48	
		"WARREN, Robert (SAS)"	11	7	63.64		4	36.36		11	
		Total	138	347	31.78		745	68.22		1092	

	Bullaburra										
			1st Prefs	177	43.17		233	56.83		410	
		"WILLIAMS, Leigh (GRN)"	73	66	90.41		7	9.59		73	
		"GRIGG, Brian (CTA)"	15	4	26.67		11	73.33		15	
		"MAJOROS, Les (DEM)"	31	23	74.19		8	25.81		31	
