House of Representatives - 2001 Election: New South Wales														
Two Candidate Preferred Preference Flow Result														
By Polling Place														
														
Cook (82150)														
														
		Candidate		                  	"BAIRD, Bruce"		               	"YOUNG, Peri"		                	Exhausted		Total	
				                           	LP		                         	ALP		                        				
				                           	Votes	%	                     	Votes	%	                     	Votes			
	Bundeena													
			1st Prefs		447	55.88		353	44.13		                      		800	
		"FREW, Andy (HAN)"	66		32	48.48		34	51.52		0		66	
		"POULOS, Patricia ()"	3		1	33.33		2	66.67		0		3	
		"STRANG, Graeme (IND)"	4		0	0.00		4	100.00		0		4	
		"PETERS-POWER, Cathy (GRN)"	137		18	13.14		119	86.86		0		137	
		"BAILEY, Alison (DEM)"	73		18	24.66		55	75.34		0		73	
		"SMITH, Malcolm (CTA)"	11		8	72.73		3	27.27		0		11	
		"JAMES, Peter (AFI)"	9		6	66.67		3	33.33		0		9	
		Total	303		530	48.05		573	51.95		0		1103	

	Burraneer Bay													
			1st Prefs		2300	78.63		625	21.37		                      		2925	
		"FREW, Andy (HAN)"	152		76	50.00		76	50.00		0		152	
		"POULOS, Patricia ()"	14		11	78.57		3	21.43		0		14	
		"STRANG, Graeme (IND)"	14		9	64.29		5	35.71		0		14	
		"PETERS-POWER, Cathy (GRN)"	84		25	29.76		59	70.24		0		84	
		"BAILEY, Alison (DEM)"	99		33	33.33		66	66.67		0		99	
		"SMITH, Malcolm (CTA)"	30		22	73.33		8	26.67		0		30	
		"JAMES, Peter (AFI)"	29		14	48.28		15	51.72		0		29	
		Total	422		2490	74.39		857	25.61		0		3347	

	Caringbah													
			1st Prefs		1945	69.61		849	30.39		                      		2794	
		"FREW, Andy (HAN)"	191		83	43.46		108	56.54		0		191	
		"POULOS, Patricia ()"	20		8	40.00		12	60.00		0		20	
		"STRANG, Graeme (IND)"	18		11	61.11		7	38.89		0		18	
		"PETERS-POWER, Cathy (GRN)"	81		18	22.22		63	77.78		0		81	
		"BAILEY, Alison (DEM)"	148		48	32.43		100	67.57		0		148	
		"SMITH, Malcolm (CTA)"	49		39	79.59		10	20.41		0		49	
		"JAMES, Peter (AFI)"	29		16	55.17		13	44.83		0		29	
		Total	536		2168	65.11		1162	34.89		0		3330	

	Caringbah Central													
			1st Prefs		566	64.39		313	35.61		                      		879	
		"FREW, Andy (HAN)"	70		27	38.57		43	61.43		0		70	
		"POULOS, Patricia ()"	7		2	28.57		5	71.43		0		7	
		"STRANG, Graeme (IND)"	10		5	50.00		5	50.00		0		10	
		"PETERS-POWER, Cathy (GRN)"	25		3	12.00		22	88.00		0		25	
		"BAILEY, Alison (DEM)"	37		13	35.14		24	64.86		0		37	
		"SMITH, Malcolm (CTA)"	36		28	77.78		8	22.22		0		36	
		"JAMES, Peter (AFI)"	9		4	44.44		5	55.56		0		9	
		Total	194		648	60.39		425	39.61		0		1073	

	Caringbah North													
			1st Prefs		1346	62.11		821	37.89		                      		2167	
		"FREW, Andy (HAN)"	192		80	41.67		112	58.33		0		192	
		"POULOS, Patricia ()"	14		9	64.29		5	35.71		0		14	
		"STRANG, Graeme (IND)"	15		11	73.33		4	26.67		0		15	
		"PETERS-POWER, Cathy (GRN)"	100		25	25.00		75	75.00		0		100	
		"BAILEY, Alison (DEM)"	101		38	37.62		63	62.38		0		101	
