House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Cunningham																												
				CURTIS			PINK			FIELDS			BERRY			MOTT			MARTIN			NEWMAN			SKINNER			
				John			J Edwin			Jeremy			Carol			Trevor			Stephen			Michael			Paul			
				HAN			NGST			LP			GRN			IND			ALP			DEM			CTA			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Austinmer                                                      																												
	FIRST			30	3.02		2	0.20		249	25.03		180	18.09		58	5.83		369	37.09		93	9.35		14	1.41		995
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		30	3.02					249	25.03		181	18.19		59	5.93		369	37.09		93	9.35		14	1.41		995
	THIRD			1	7.14					5	35.71		1	7.14		2	14.29		4	28.57		1	7.14			Excluded		14
		TOTAL		31	3.12					254	25.53		182	18.29		61	6.13		373	37.49		94	9.45					995
	FOURTH				Excluded					13	41.94		8	25.81		4	12.90		4	12.90		2	6.45					31
		TOTAL								267	26.83		190	19.10		65	6.53		377	37.89		96	9.65					995
	FIFTH									7	10.77		38	58.46			Excluded		11	16.92		9	13.85					65
		TOTAL								274	27.54		228	22.91					388	38.99		105	10.55					995
	SIXTH									16	15.24		52	49.52					37	35.24			Excluded					105
		TOTAL								290	29.15		280	28.14					425	42.71								995
	SEVENTH									43	15.36			Excluded					237	84.64								280
		TOTAL								333	33.47								662	66.53								995
																			Elected									
																												
Balgownie                                                      																												
	FIRST			40	3.19		3	0.24		445	35.51		68	5.43		73	5.83		488	38.95		107	8.54		29	2.31		1253
	SECOND			2	66.67			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		42	3.35					445	35.51		68	5.43		74	5.91		488	38.95		107	8.54		29	2.31		1253
	THIRD			4	13.79					15	51.72		1	3.45		3	10.34		3	10.34		3	10.34			Excluded		29
		TOTAL		46	3.67					460	36.71		69	5.51		77	6.15		491	39.19		110	8.78					1253
	FOURTH				Excluded					12	26.09		13	28.26		9	19.57		11	23.91		1	2.17					46
		TOTAL								472	37.67		82	6.54		86	6.86		502	40.06		111	8.86					1253
	FIFTH									25	29.07		40	46.51			Excluded		10	11.63		11	12.79					86
		TOTAL								497	39.66		122	9.74					512	40.86		122	9.74					1253
	SIXTH									19	15.57		64	52.46					39	31.97			Excluded					122
		TOTAL								516	41.18		186	14.84					551	43.97								1253
	SEVENTH									61	32.80			Excluded					125	67.20								186
		TOTAL								577	46.05								676	53.95								1253
																			Elected									
																												
Balgownie Central                                              																												
	FIRST			89	3.66		18	0.74		789	32.47		103	4.24		111	4.57		1136	46.75		141	5.80		43	1.77		2430
	SECOND			3	16.67			Excluded		5	27.78		4	22.22		1	5.56		3	16.67		1	5.56		1	5.56		18
		TOTAL		92	3.79					794	32.67		107	4.40		112	4.61		1139	46.87		142	5.84		44	1.81		2430
	THIRD			6	13.64					16	36.36		4	9.09		4	9.09		4	9.09		10	22.73			Excluded		44
		TOTAL		98	4.03					810	33.33		111	4.57		116	4.77		1143	47.04		152	6.26					2430
	FOURTH				Excluded					37	37.76		19	19.39		16	16.33		19	19.39		7	7.14					98
		TOTAL								847	34.86		130	5.35		132	5.43		1162	47.82		159	6.54					2430
	FIFTH									37	28.03		52	39.39			Excluded		21	15.91		22	16.67					132
		TOTAL								884	36.38		182	7.49					1183	48.68		181	7.45					2430
	SIXTH									21	11.60		99	54.70					61	33.70			Excluded					181
		TOTAL								905	37.24		281	11.56					1244	51.19								2430
	SEVENTH									96	34.16			Excluded					185	65.84								281
		TOTAL								1001	41.19								1429	58.81								2430
																			Elected									
																												
Bellambi                                                       																												
	FIRST			82	6.23		31	2.36		196	14.89		48	3.65		80	6.08		801	60.87		48	3.65		30	2.28		1316
	SECOND			3	9.68			Excluded		4	12.90		8	25.81		9	29.03		6	19.35		1	3.23		0	0.00		31
		TOTAL		85	6.46					200	15.20		56	4.26		89	6.76		807	61.32		49	3.72		30	2.28		1316
	THIRD			11	36.67					8	26.67		2	6.67		0	0.00		4	13.33		5	16.67			Excluded		30
		TOTAL		96	7.29					208	15.81		58	4.41		89	6.76		811	61.63		54	4.10					1316
	FOURTH				Excluded					32	33.33		9	9.38		17	17.71		30	31.25		8	8.33					96
		TOTAL								240	18.24		67	5.09		106	8.05		841	63.91		62	4.71					1316
	FIFTH									11	10.38		60	56.60			Excluded		21	19.81		14	13.21					106
		TOTAL								251	19.07		127	9.65					862	65.50		76	5.78					1316
	SIXTH									15	19.74		27	35.53					34	44.74			Excluded					76
		TOTAL								266	20.21		154	11.70					896	68.09								1316
	SEVENTH									50	32.47			Excluded					104	67.53								154
		TOTAL								316	24.01								1000	75.99								1316
																			Elected									
																												
Bulli                                                          																												
	FIRST			55	7.02		8	1.02		160	20.43		44	5.62		91	11.62		360	45.98		59	7.54		6	0.77		783
	SECOND			1	12.50			Excluded		0	0.00		1	12.50		4	50.00		1	12.50		0	0.00		1	12.50		8
		TOTAL		56	7.15					160	20.43		45	5.75		95	12.13		361	46.10		59	7.54		7	0.89		783
	THIRD			1	14.29					1	14.29		3	42.86		0	0.00		1	14.29		1	14.29			Excluded		7
		TOTAL		57	7.28					161	20.56		48	6.13		95	12.13		362	46.23		60	7.66					783
	FOURTH				Excluded					19	33.33		7	12.28		15	26.32		10	17.54		6	10.53					57
		TOTAL								180	22.99		55	7.02		110	14.05		372	47.51		66	8.43					783
	FIFTH									21	19.09		50	45.45			Excluded		22	20.00		17	15.45					110
		TOTAL								201	25.67		105	13.41					394	50.32		83	10.60					783
	SIXTH									11	13.25		54	65.06					18	21.69			Excluded					83
		TOTAL								212	27.08		159	20.31					412	52.62								783
	SEVENTH									49	30.82			Excluded					110	69.18								159
		TOTAL								261	33.33								522	66.67								783
																			Elected									
																												
Bulli Central                                                  																												
	FIRST			133	5.44		26	1.06		525	21.47		114	4.66		405	16.56		1035	42.33		171	6.99		36	1.47		2445
	SECOND			2	7.69			Excluded		7	26.92		3	11.54		6	23.08		5	19.23		2	7.69		1	3.85		26
		TOTAL		135	5.52					532	21.76		117	4.79		411	16.81		1040	42.54		173	7.08		37	1.51		2445
	THIRD			6	16.22					9	24.32		3	8.11		11	29.73		3	8.11		5	13.51			Excluded		37
		TOTAL		141	5.77					541	22.13		120	4.91		422	17.26		1043	42.66		178	7.28					2445
	FOURTH				Excluded					46	32.62		46	32.62		22	15.60		25	17.73		2	1.42					141
		TOTAL								587	24.01		166	6.79		444	18.16		1068	43.68		180	7.36					2445
	FIFTH									56	12.61		216	48.65			Excluded		110	24.77		62	13.96					444
		TOTAL								643	26.30		382	15.62					1178	48.18		242	9.90					2445
	SIXTH									36	14.88		123	50.83					83	34.30			Excluded					242
		TOTAL								679	27.77		505	20.65					1261	51.57								2445
	SEVENTH									151	29.90			Excluded					354	70.10								505
		TOTAL								830	33.95								1615	66.05								2445
																			Elected									
																												
Bulli Hospital                                                 																												
	FIRST			6	4.17		1	0.69		40	27.78		11	7.64		13	9.03		61	42.36		10	6.94		2	1.39		144
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		6	4.17					40	27.78		11	7.64		13	9.03		62	43.06		10	6.94		2	1.39		144
	THIRD			0	0.00					1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		2
		TOTAL		6	4.17					41	28.47		11	7.64		14	9.72		62	43.06		10	6.94					144
	FOURTH				Excluded					1	16.67		0	0.00		1	16.67		3	50.00		1	16.67					6
		TOTAL								42	29.17		11	7.64		15	10.42		65	45.14		11	7.64					144
	FIFTH									2	13.33		5	33.33			Excluded		3	20.00		5	33.33					15
		TOTAL								44	30.56		16	11.11					68	47.22		16	11.11					144
	SIXTH									0	0.00		8	50.00					8	50.00			Excluded					16
		TOTAL								44	30.56		24	16.67					76	52.78								144
	SEVENTH									9	37.50			Excluded					15	62.50								24
		TOTAL								53	36.81								91	63.19								144
																			Elected									
																												
Coalcliff                                                      																												
	FIRST			11	10.48		0	0.00		25	23.81		4	3.81		8	7.62		47	44.76		9	8.57		1	0.95		105
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		11	10.48					25	23.81		4	3.81		8	7.62		47	44.76		9	8.57		1	0.95		105
	THIRD			0	0.00					1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		11	10.48					26	24.76		4	3.81		8	7.62		47	44.76		9	8.57					105
	FOURTH				Excluded					8	72.73		1	9.09		2	18.18		0	0.00		0	0.00					11
		TOTAL								34	32.38		5	4.76		10	9.52		47	44.76		9	8.57					105
	FIFTH									2	20.00		4	40.00			Excluded		2	20.00		2	20.00					10
		TOTAL								36	34.29		9	8.57					49	46.67		11	10.48					105
	SIXTH									2	18.18		7	63.64					2	18.18			Excluded					11
		TOTAL								38	36.19		16	15.24					51	48.57								105
	SEVENTH									5	31.25			Excluded					11	68.75								16
		TOTAL								43	40.95								62	59.05								105
																			Elected									
																												
Coledale                                                       																												
	FIRST			40	5.08		5	0.64		162	20.58		162	20.58		46	5.84		313	39.77		47	5.97		12	1.52		787
	SECOND			0	0.00			Excluded		1	20.00		0	0.00		3	60.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		40	5.08					163	20.71		162	20.58		49	6.23		314	39.90		47	5.97		12	1.52		787
	THIRD			3	25.00					1	8.33		2	16.67		0	0.00		3	25.00		3	25.00			Excluded		12
		TOTAL		43	5.46					164	20.84		164	20.84		49	6.23		317	40.28		50	6.35					787
	FOURTH				Excluded					14	32.56		8	18.60		12	27.91		6	13.95		3	6.98					43
		TOTAL								178	22.62		172	21.86		61	7.75		323	41.04		53	6.73					787
	FIFTH									13	21.31		28	45.90			Excluded		13	21.31		7	11.48					61
		TOTAL								191	24.27		200	25.41					336	42.69		60	7.62					787
	SIXTH									10	16.67		29	48.33					21	35.00			Excluded					60
		TOTAL								201	25.54		229	29.10					357	45.36								787
	SEVENTH									39	17.03			Excluded					190	82.97								229
		TOTAL								240	30.50								547	69.50								787
																			Elected									
																												
Coniston                                                       																												
	FIRST			94	5.51		32	1.88		346	20.29		90	5.28		57	3.34		934	54.78		125	7.33		27	1.58		1705
	SECOND			6	18.75			Excluded		10	31.25		5	15.63		4	12.50		6	18.75		1	3.13		0	0.00		32
