Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Barton (84752)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Allawah		50	3.46		38	2.63		82	5.67		0	0.00		22	1.52		3	0.21		67	4.63		4	0.28		1	0.07		694	47.99		4	0.28		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		438	30.29		6	0.41		3	0.21		28	1.94		0	0.00		2	0.14		2	0.14		0	0.00		1446	94.88		78	5.12		1524	1.89
Allawah South		41	4.12		6	0.60		16	1.61		1	0.10		21	2.11		0	0.00		52	5.23		4	0.40		0	0.00		452	45.47		7	0.70		2	0.20		8	0.80		0	0.00		1	0.10		1	0.10		344	34.61		5	0.50		2	0.20		28	2.82		1	0.10		0	0.00		1	0.10		1	0.10		994	92.90		76	7.10		1070	1.33
Arncliffe		62	4.61		8	0.60		27	2.01		0	0.00		49	3.65		0	0.00		46	3.42		7	0.52		6	0.45		756	56.25		1	0.07		1	0.07		5	0.37		2	0.15		1	0.07		2	0.15		324	24.11		4	0.30		1	0.07		37	2.75		1	0.07		0	0.00		4	0.30		0	0.00		1344	93.20		98	6.80		1442	1.79
Athelstane		90	3.55		26	1.03		13	0.51		0	0.00		63	2.49		4	0.16		117	4.62		15	0.59		14	0.55		1430	56.48		7	0.28		4	0.16		10	0.39		0	0.00		0	0.00		4	0.16		602	23.78		15	0.59		4	0.16		99	3.91		0	0.00		1	0.04		14	0.55		0	0.00		2532	92.17		215	7.83		2747	3.41
Bald Face		61	3.88		39	2.48		16	1.02		0	0.00		2	0.13		2	0.13		78	4.96		4	0.25		2	0.13		273	17.37		1	0.06		0	0.00		6	0.38		0	0.00		1	0.06		3	0.19		1043	66.35		5	0.32		2	0.13		28	1.78		1	0.06		0	0.00		5	0.32		0	0.00		1572	96.50		57	3.50		1629	2.02
Banksia		85	4.93		18	1.04		5	0.29		3	0.17		58	3.36		2	0.12		60	3.48		11	0.64		5	0.29		1056	61.25		6	0.35		4	0.23		7	0.41		1	0.06		0	0.00		2	0.12		352	20.42		11	0.64		2	0.12		29	1.68		1	0.06		1	0.06		5	0.29		0	0.00		1724	91.75		155	8.25		1879	2.33
Bell Park		38	5.31		15	2.10		15	2.10		0	0.00		9	1.26		1	0.14		34	4.76		10	1.40		3	0.42		248	34.69		3	0.42		0	0.00		3	0.42		0	0.00		1	0.14		1	0.14		287	40.14		8	1.12		0	0.00		38	5.31		0	0.00		0	0.00		1	0.14		0	0.00		715	95.72		32	4.28		747	0.93
Bexley		110	4.69		33	1.41		33	1.41		1	0.04		42	1.79		1	0.04		154	6.57		9	0.38		8	0.34		1119	47.74		5	0.21		3	0.13		10	0.43		1	0.04		0	0.00		4	0.17		722	30.80		16	0.68		2	0.09		64	2.73		0	0.00		1	0.04		5	0.21		1	0.04		2344	92.76		183	7.24		2527	3.14
