Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Robertson (84366)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Avoca Beach		53	2.53		48	2.29		0	0.00		0	0.00		20	0.95		11	0.52		148	7.06		21	1.00		5	0.24		582	27.75		10	0.48		1	0.05		7	0.33		0	0.00		0	0.00		0	0.00		1020	48.64		4	0.19		3	0.14		153	7.30		0	0.00		0	0.00		11	0.52		0	0.00		2097	98.40		34	1.60		2131	2.64
Booker Bay		34	5.50		2	0.32		1	0.16		0	0.00		8	1.29		3	0.49		22	3.56		4	0.65		3	0.49		221	35.76		2	0.32		0	0.00		1	0.16		0	0.00		1	0.16		0	0.00		304	49.19		1	0.16		0	0.00		10	1.62		0	0.00		0	0.00		1	0.16		0	0.00		618	95.08		32	4.92		650	0.81
Copacabana		35	2.55		20	1.45		1	0.07		0	0.00		14	1.02		8	0.58		100	7.27		22	1.60		4	0.29		394	28.65		9	0.65		3	0.22		14	1.02		0	0.00		3	0.22		1	0.07		647	47.05		4	0.29		0	0.00		89	6.47		0	0.00		0	0.00		7	0.51		0	0.00		1375	98.43		22	1.57		1397	1.73
Davistown		69	4.97		16	1.15		2	0.14		2	0.14		18	1.30		1	0.07		87	6.26		16	1.15		4	0.29		453	32.61		9	0.65		0	0.00		14	1.01		0	0.00		2	0.14		2	0.14		649	46.72		4	0.29		1	0.07		31	2.23		0	0.00		0	0.00		9	0.65		0	0.00		1389	94.75		77	5.25		1466	1.82
Empire Bay		127	4.98		50	1.96		1	0.04		0	0.00		21	0.82		3	0.12		142	5.57		20	0.78		1	0.04		700	27.44		9	0.35		2	0.08		20	0.78		2	0.08		6	0.24		3	0.12		1327	52.02		18	0.71		4	0.16		81	3.18		0	0.00		1	0.04		13	0.51		0	0.00		2551	97.74		59	2.26		2610	3.23
Erina		125	3.14		81	2.03		5	0.13		0	0.00		54	1.36		13	0.33		217	5.45		19	0.48		7	0.18		1153	28.94		17	0.43		8	0.20		28	0.70		0	0.00		3	0.08		3	0.08		2117	53.14		13	0.33		2	0.05		103	2.59		0	0.00		1	0.03		15	0.38		0	0.00		3984	96.44		147	3.56		4131	5.12
Erina Heights (Robertson)		29	4.10		22	3.11		0	0.00		1	0.14		3	0.42		4	0.57		49	6.93		9	1.27		1	0.14		127	17.96		0	0.00		0	0.00		9	1.27		0	0.00		0	0.00		1	0.14		420	59.41		5	0.71		0	0.00		24	3.39		0	0.00		1	0.14		1	0.14		1	0.14		707	97.38		19	2.62		726	0.90
Erina South		27	3.62		15	2.01		0	0.00		0	0.00		11	1.47		1	0.13		54	7.24		1	0.13		0	0.00		240	32.17		2	0.27		0	0.00		1	0.13		0	0.00		3	0.40		1	0.13		375	50.27		2	0.27		0	0.00		12	1.61		0	0.00		0	0.00		1	0.13		0	0.00		746	96.63		26	3.37		772	0.96
