House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Hughes																							
				HEEMSTRA			VALE			RYAN			OZ			VAN DE WEG			HAWKINS				
				Simon			Danna			William			Susan			Bruce			Christine				
				GRN			LP			CTA			HAN			DEM			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alfords Point                                                  																							
	FIRST			64	3.56		1091	60.64		28	1.56		46	2.56		48	2.67		522	29.02		1799	
	SECOND			1	3.57		15	53.57			Excluded		1	3.57		0	0.00		11	39.29		28	
		TOTAL		65	3.61		1106	61.48					47	2.61		48	2.67		533	29.63		1799	
	THIRD			17	35.42		14	29.17					0	0.00			Excluded		17	35.42		48	
		TOTAL		82	4.56		1120	62.26					47	2.61					550	30.57		1799	
	FOURTH			17	36.17		22	46.81						Excluded					8	17.02		47	
		TOTAL		99	5.50		1142	63.48											558	31.02		1799	
	FIFTH				Excluded		22	22.22											77	77.78		99	
		TOTAL					1164	64.70											635	35.30		1799	
							Elected																
																							
Bangor                                                         																							
	FIRST			181	4.12		2669	60.76		140	3.19		160	3.64		154	3.51		1089	24.79		4393	
	SECOND			7	5.00		100	71.43			Excluded		10	7.14		7	5.00		16	11.43		140	
		TOTAL		188	4.28		2769	63.03					170	3.87		161	3.66		1105	25.15		4393	
	THIRD			87	54.04		35	21.74					3	1.86			Excluded		36	22.36		161	
		TOTAL		275	6.26		2804	63.83					173	3.94					1141	25.97		4393	
	FOURTH			47	27.17		79	45.66						Excluded					47	27.17		173	
		TOTAL		322	7.33		2883	65.63											1188	27.04		4393	
	FIFTH				Excluded		116	36.02											206	63.98		322	
		TOTAL					2999	68.27											1394	31.73		4393	
							Elected																
																							
Barden Ridge                                                   																							
	FIRST			56	3.69		852	56.20		52	3.43		65	4.29		47	3.10		444	29.29		1516	
	SECOND			3	5.77		42	80.77			Excluded		2	3.85		1	1.92		4	7.69		52	
		TOTAL		59	3.89		894	58.97					67	4.42		48	3.17		448	29.55		1516	
	THIRD			16	33.33		12	25.00					5	10.42			Excluded		15	31.25		48	
		TOTAL		75	4.95		906	59.76					72	4.75					463	30.54		1516	
	FOURTH			40	55.56		22	30.56						Excluded					10	13.89		72	
		TOTAL		115	7.59		928	61.21											473	31.20		1516	
	FIFTH				Excluded		40	34.78											75	65.22		115	
		TOTAL					968	63.85											548	36.15		1516	
							Elected																
																							
Bonnet Bay                                                     																							
	FIRST			86	5.92		878	60.47		22	1.52		50	3.44		54	3.72		362	24.93		1452	
	SECOND			2	9.09		13	59.09			Excluded		0	0.00		2	9.09		5	22.73		22	
		TOTAL		88	6.06		891	61.36					50	3.44		56	3.86		367	25.28		1452	
	THIRD			30	53.57		13	23.21					2	3.57			Excluded		11	19.64		56	
		TOTAL		118	8.13		904	62.26					52	3.58					378	26.03		1452	
	FOURTH			22	42.31		24	46.15						Excluded					6	11.54		52	
		TOTAL		140	9.64		928	63.91											384	26.45		1452	
	FIFTH				Excluded		34	24.29											106	75.71		140	
		TOTAL					962	66.25											490	33.75		1452	
							Elected																
																							
Caravan Head                                                   																							
	FIRST			30	4.37		398	57.93		10	1.46		34	4.95		16	2.33		199	28.97		687	
	SECOND			2	20.00		7	70.00			Excluded		0	0.00		0	0.00		1	10.00		10	
		TOTAL		32	4.66		405	58.95					34	4.95		16	2.33		200	29.11		687	
	THIRD			5	31.25		5	31.25					1	6.25			Excluded		5	31.25		16	
		TOTAL		37	5.39		410	59.68					35	5.09					205	29.84		687	
	FOURTH			14	40.00		11	31.43						Excluded					10	28.57		35	
		TOTAL		51	7.42		421	61.28											215	31.30		687	
	FIFTH				Excluded		18	35.29											33	64.71		51	
		TOTAL					439	63.90											248	36.10		687	
							Elected																
																							
Chipping Norton                                                																							
	FIRST			97	3.77		1318	51.28		41	1.60		129	5.02		87	3.39		898	34.94		2570	
	SECOND			7	17.07		23	56.10			Excluded		5	12.20		4	9.76		2	4.88		41	
		TOTAL		104	4.05		1341	52.18					134	5.21		91	3.54		900	35.02		2570	
	THIRD			42	46.15		14	15.38					4	4.40			Excluded		31	34.07		91	
		TOTAL		146	5.68		1355	52.72					138	5.37					931	36.23		2570	
	FOURTH			51	36.96		50	36.23						Excluded					37	26.81		138	
		TOTAL		197	7.67		1405	54.67											968	37.67		2570	
	FIFTH				Excluded		69	35.03											128	64.97		197	
		TOTAL					1474	57.35											1096	42.65		2570	
							Elected																
																							
Como                                                           																							
	FIRST			64	7.80		383	46.71		6	0.73		20	2.44		34	4.15		313	38.17		820	
	SECOND			0	0.00		2	33.33			Excluded		0	0.00		3	50.00		1	16.67		6	
		TOTAL		64	7.80		385	46.95					20	2.44		37	4.51		314	38.29		820	
	THIRD			17	45.95		5	13.51					4	10.81			Excluded		11	29.73		37	
		TOTAL		81	9.88		390	47.56					24	2.93					325	39.63		820	
	FOURTH			8	33.33		12	50.00						Excluded					4	16.67		24	
		TOTAL		89	10.85		402	49.02											329	40.12		820	
	FIFTH				Excluded		23	25.84											66	74.16		89	
		TOTAL					425	51.83											395	48.17		820	
							Elected																
																							
Como West                                                      																							
	FIRST			114	5.95		972	50.76		43	2.25		83	4.33		64	3.34		639	33.37		1915	
	SECOND			3	6.98		28	65.12			Excluded		3	6.98		3	6.98		6	13.95		43	
		TOTAL		117	6.11		1000	52.22					86	4.49		67	3.50		645	33.68		1915	
	THIRD			35	52.24		17	25.37					2	2.99			Excluded		13	19.40		67	
		TOTAL		152	7.94		1017	53.11					88	4.60					658	34.36		1915	
	FOURTH			32	36.36		37	42.05						Excluded					19	21.59		88	
		TOTAL		184	9.61		1054	55.04											677	35.35		1915	
	FIFTH				Excluded		40	21.74											144	78.26		184	
		TOTAL					1094	57.13											821	42.87		1915	
							Elected																
																							
Engadine                                                       																							
	FIRST			140	4.28		1690	51.63		71	2.17		185	5.65		150	4.58		1037	31.68		3273	
	SECOND			6	8.45		46	64.79			Excluded		7	9.86		4	5.63		8	11.27		71	
		TOTAL		146	4.46		1736	53.04					192	5.87		154	4.71		1045	31.93		3273	
	THIRD			78	50.65		24	15.58					8	5.19			Excluded		44	28.57		154	
		TOTAL		224	6.84		1760	53.77					200	6.11					1089	33.27		3273	
	FOURTH			67	33.50		73	36.50						Excluded					60	30.00		200	
		TOTAL		291	8.89		1833	56.00											1149	35.11		3273	
	FIFTH				Excluded		87	29.90											204	70.10		291	
		TOTAL					1920	58.66											1353	41.34		3273	
							Elected																
																							
Engadine East                                                  																							
	FIRST			29	4.50		349	54.11		12	1.86		22	3.41		18	2.79		215	33.33		645	
	SECOND			2	16.67		8	66.67			Excluded		2	16.67		0	0.00		0	0.00		12	
		TOTAL		31	4.81		357	55.35					24	3.72		18	2.79		215	33.33		645	
	THIRD			10	55.56		1	5.56					1	5.56			Excluded		6	33.33		18	
		TOTAL		41	6.36		358	55.50					25	3.88					221	34.26		645	
	FOURTH			5	20.00		10	40.00						Excluded					10	40.00		25	
		TOTAL		46	7.13		368	57.05											231	35.81		645	
	FIFTH				Excluded		13	28.26											33	71.74		46	
		TOTAL					381	59.07											264	40.93		645	
							Elected																
																							
Engadine South                                                 																							
	FIRST			61	4.12		764	51.66		40	2.70		70	4.73		56	3.79		488	33.00		1479	
	SECOND			0	0.00		31	77.50			Excluded		1	2.50		2	5.00		6	15.00		40	
		TOTAL		61	4.12		795	53.75					71	4.80		58	3.92		494	33.40		1479	
	THIRD			17	29.31		13	22.41					4	6.90			Excluded		24	41.38		58	
		TOTAL		78	5.27		808	54.63					75	5.07					518	35.02		1479	
	FOURTH			15	20.00		32	42.67						Excluded					28	37.33		75	
		TOTAL		93	6.29		840	56.80											546	36.92		1479	
	FIFTH				Excluded		28	30.11											65	69.89		93	
		TOTAL					868	58.69											611	41.31		1479	
							Elected																
																							
Engadine West                                                  																							
	FIRST			152	5.13		1596	53.90		64	2.16		178	6.01		102	3.44		869	29.35		2961	
	SECOND			2	3.13		50	78.13			Excluded		5	7.81		3	4.69		4	6.25		64	
		TOTAL		154	5.20		1646	55.59					183	6.18		105	3.55		873	29.48		2961	
	THIRD			50	47.62		16	15.24					6	5.71			Excluded		33	31.43		105	
		TOTAL		204	6.89		1662	56.13					189	6.38					906	30.60		2961	
	FOURTH			79	41.80		79	41.80						Excluded					31	16.40		189	
		TOTAL		283	9.56		1741	58.80											937	31.64		2961	
	FIFTH				Excluded		78	27.56											205	72.44		283	
		TOTAL					1819	61.43											1142	38.57		2961	
							Elected																
																							
Hammondville                                                   																							
	FIRST			60	3.64		850	51.61		19	1.15		106	6.44		42	2.55		570	34.61		1647	
	SECOND			1	5.26		12	63.16			Excluded		4	21.05		0	0.00		2	10.53		19	
		TOTAL		61	3.70		862	52.34					110	6.68		42	2.55		572	34.73		1647	
	THIRD			12	28.57		9	21.43					4	9.52			Excluded		17	40.48		42	
		TOTAL		73	4.43		871	52.88					114	6.92					589	35.76		1647	
	FOURTH			53	46.49		35	30.70						Excluded					26	22.81		114	
		TOTAL		126	7.65		906	55.01											615	37.34		1647	
	FIFTH				Excluded		35	27.78											91	72.22		126	
		TOTAL					941	57.13											706	42.87		1647	
							Elected																
																							
Heathcote                                                      																							
	FIRST			95	4.68		1050	51.67		54	2.66		122	6.00		86	4.23		625	30.76		2032	
	SECOND			2	3.70		46	85.19			Excluded		2	3.70		3	5.56		1	1.85		54	
		TOTAL		97	4.77		1096	53.94					124	6.10		89	4.38		626	30.81		2032	
	THIRD			48	53.93		13	14.61					4	4.49			Excluded		24	26.97		89	
		TOTAL		145	7.14		1109	54.58					128	6.30					650	31.99		2032	
	FOURTH			54	42.19		42	32.81						Excluded					32	25.00		128	
		TOTAL		199	9.79		1151	56.64											682	33.56		2032	
	FIFTH				Excluded		49	24.62											150	75.38		199	
		TOTAL					1200	59.06											832	40.94		2032	
							Elected																
																							
Heathcote East                                                 																							
	FIRST			63	4.95		646	50.71		45	3.53		90	7.06		45	3.53		385	30.22		1274	
	SECOND			4	8.89		27	60.00			Excluded		3	6.67		6	13.33		5	11.11		45	
		TOTAL		67	5.26		673	52.83					93	7.30		51	4.00		390	30.61		1274	
	THIRD			16	31.37		7	13.73					1	1.96			Excluded		27	52.94		51	
		TOTAL		83	6.51		680	53.38					94	7.38					417	32.73		1274	
	FOURTH			19	20.21		44	46.81						Excluded					31	32.98		94	
		TOTAL		102	8.01		724	56.83											448	35.16		1274	
	FIFTH				Excluded		30	29.41											72	70.59		102	
		TOTAL					754	59.18											520	40.82		1274	
							Elected																
																							
Holsworthy                                                     																							
	FIRST			73	4.84		783	51.89		16	1.06		93	6.16		47	3.11		497	32.94		1509	
	SECOND			2	12.50		12	75.00			Excluded		1	6.25		0	0.00		1	6.25		16	
		TOTAL		75	4.97		795	52.68					94	6.23		47	3.11		498	33.00		1509	
	THIRD			15	31.91		11	23.40					4	8.51			Excluded		17	36.17		47	
		TOTAL		90	5.96		806	53.41					98	6.49					515	34.13		1509	
	FOURTH			29	29.59		46	46.94						Excluded					23	23.47		98	
		TOTAL		119	7.89		852	56.46											538	35.65		1509	
	FIFTH				Excluded		49	41.18											70	58.82		119	
		TOTAL					901	59.71											608	40.29		1509	
							Elected																
																							
Illawong                                                       																							
