House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Mackellar																										
				PAPE			BISHOP			CUTHBERTSON			DIMOND			MOODY			CARPENTIER			MAY				
				Andrea			Bronwyn			Peter			Vicki			Tom			Ben			George				
				GRN			LP			HAN			DEM			AFI			ALP			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Avalon                                                         																										
	FIRST			491	13.26		1924	51.94		71	1.92		402	10.85		48	1.30		720	19.44		48	1.30		3704	
	SECOND			8	16.67		18	37.50		9	18.75		5	10.42			Excluded		6	12.50		2	4.17		48	
		TOTAL		499	13.47		1942	52.43		80	2.16		407	10.99					726	19.60		50	1.35		3704	
	THIRD			11	22.00		15	30.00		3	6.00		10	20.00					11	22.00			Excluded		50	
		TOTAL		510	13.77		1957	52.83		83	2.24		417	11.26					737	19.90					3704	
	FOURTH			20	24.10		34	40.96			Excluded		16	19.28					13	15.66					83	
		TOTAL		530	14.31		1991	53.75					433	11.69					750	20.25					3704	
	FIFTH				Excluded		101	19.06					349	65.85					80	15.09					530	
		TOTAL					2092	56.48					782	21.11					830	22.41					3704	
	SIXTH						166	21.23						Excluded					616	78.77					782	
		TOTAL					2258	60.96											1446	39.04					3704	
							Elected																			
																										
Barrenjoey                                                     																										
	FIRST			289	14.20		1033	50.76		50	2.46		222	10.91		29	1.43		390	19.16		22	1.08		2035	
	SECOND			6	20.69		3	10.34		13	44.83		1	3.45			Excluded		3	10.34		3	10.34		29	
		TOTAL		295	14.50		1036	50.91		63	3.10		223	10.96					393	19.31		25	1.23		2035	
	THIRD			8	32.00		9	36.00		3	12.00		3	12.00					2	8.00			Excluded		25	
		TOTAL		303	14.89		1045	51.35		66	3.24		226	11.11					395	19.41					2035	
	FOURTH			16	24.24		30	45.45			Excluded		11	16.67					9	13.64					66	
		TOTAL		319	15.68		1075	52.83					237	11.65					404	19.85					2035	
	FIFTH				Excluded		53	16.61					209	65.52					57	17.87					319	
		TOTAL					1128	55.43					446	21.92					461	22.65					2035	
	SIXTH						106	23.77						Excluded					340	76.23					446	
		TOTAL					1234	60.64											801	39.36					2035	
							Elected																			
																										
Bayview                                                        																										
	FIRST			151	10.38		935	64.26		38	2.61		147	10.10		13	0.89		159	10.93		12	0.82		1455	
	SECOND			3	23.08		4	30.77		3	23.08		1	7.69			Excluded		0	0.00		2	15.38		13	
		TOTAL		154	10.58		939	64.54		41	2.82		148	10.17					159	10.93		14	0.96		1455	
	THIRD			3	21.43		7	50.00		0	0.00		3	21.43					1	7.14			Excluded		14	
		TOTAL		157	10.79		946	65.02		41	2.82		151	10.38					160	11.00					1455	
	FOURTH			6	14.63		19	46.34			Excluded		13	31.71					3	7.32					41	
		TOTAL		163	11.20		965	66.32					164	11.27					163	11.20					1455	
	FIFTH				Excluded		28	17.18					108	66.26					27	16.56					163	
		TOTAL					993	68.25					272	18.69					190	13.06					1455	
	SIXTH						78	28.68						Excluded					194	71.32					272	
		TOTAL					1071	73.61											384	26.39					1455	
							Elected																			
																										
Beacon Hill (Mackellar)                                        																										
	FIRST			105	5.28		1150	57.79		67	3.37		175	8.79		35	1.76		412	20.70		46	2.31		1990	
	SECOND			4	11.43		4	11.43		9	25.71		2	5.71			Excluded		10	28.57		6	17.14		35	
		TOTAL		109	5.48		1154	57.99		76	3.82		177	8.89					422	21.21		52	2.61		1990	
	THIRD			12	23.08		12	23.08		6	11.54		14	26.92					8	15.38			Excluded		52	
		TOTAL		121	6.08		1166	58.59		82	4.12		191	9.60					430	21.61					1990	
	FOURTH			20	24.39		39	47.56			Excluded		8	9.76					15	18.29					82	
		TOTAL		141	7.09		1205	60.55					199	10.00					445	22.36					1990	
	FIFTH				Excluded		41	29.08					75	53.19					25	17.73					141	
		TOTAL					1246	62.61					274	13.77					470	23.62					1990	
	SIXTH						87	31.75						Excluded					187	68.25					274	
		TOTAL					1333	66.98											657	33.02					1990	
							Elected																			
																										
Belrose                                                        																										
	FIRST			145	5.04		1826	63.49		70	2.43		193	6.71		30	1.04		565	19.65		47	1.63		2876	
	SECOND			5	16.67		8	26.67		6	20.00		0	0.00			Excluded		4	13.33		7	23.33		30	
		TOTAL		150	5.22		1834	63.77		76	2.64		193	6.71					569	19.78		54	1.88		2876	
	THIRD			10	18.52		14	25.93		7	12.96		9	16.67					14	25.93			Excluded		54	
		TOTAL		160	5.56		1848	64.26		83	2.89		202	7.02					583	20.27					2876	
	FOURTH			8	9.64		41	49.40			Excluded		14	16.87					20	24.10					83	
		TOTAL		168	5.84		1889	65.68					216	7.51					603	20.97					2876	
	FIFTH				Excluded		40	23.81					86	51.19					42	25.00					168	
		TOTAL					1929	67.07					302	10.50					645	22.43					2876	
	SIXTH						107	35.43						Excluded					195	64.57					302	
		TOTAL					2036	70.79											840	29.21					2876	
							Elected																			
																										
Belrose North                                                  																										
	FIRST			113	5.14		1426	64.91		50	2.28		158	7.19		18	0.82		397	18.07		35	1.59		2197	
	SECOND			4	22.22		8	44.44		4	22.22		0	0.00			Excluded		1	5.56		1	5.56		18	
		TOTAL		117	5.33		1434	65.27		54	2.46		158	7.19					398	18.12		36	1.64		2197	
	THIRD			8	22.22		7	19.44		6	16.67		6	16.67					9	25.00			Excluded		36	
		TOTAL		125	5.69		1441	65.59		60	2.73		164	7.46					407	18.53					2197	
	FOURTH			10	16.67		32	53.33			Excluded		13	21.67					5	8.33					60	
		TOTAL		135	6.14		1473	67.05					177	8.06					412	18.75					2197	
	FIFTH				Excluded		38	28.15					70	51.85					27	20.00					135	
		TOTAL					1511	68.78					247	11.24					439	19.98					2197	
	SIXTH						91	36.84						Excluded					156	63.16					247	
		TOTAL					1602	72.92											595	27.08					2197	
							Elected																			
																										
Bilgola Plateau                                                																										
	FIRST			177	9.16		1135	58.72		39	2.02		218	11.28		24	1.24		317	16.40		23	1.19		1933	
	SECOND			5	20.83		5	20.83		5	20.83		1	4.17			Excluded		2	8.33		6	25.00		24	
		TOTAL		182	9.42		1140	58.98		44	2.28		219	11.33					319	16.50		29	1.50		1933	
	THIRD			7	24.14		3	10.34		1	3.45		7	24.14					11	37.93			Excluded		29	
