House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Chart											
By Polling Place											
											
Chifley (83474)											
		Candidate		"ASARLOGLOU, Costa"		          	"PRICE, Roger"		               	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Bennett Road										
			1st Prefs	1124	39.44		1726	60.56		2850	
		"BUTLER, Lindsey (AFI)"	73	39	53.42		34	46.58		73	
		"HYLAND, Wayne (IND)"	22	7	31.82		15	68.18		22	
		"DAMJANOVIC, Joe (HAN)"	248	165	66.53		83	33.47		248	
		"BATES, Barbie (SAS)"	131	66	50.38		65	49.62		131	
		"CLACK, S J (DEM)"	64	19	29.69		45	70.31		64	
		"CUNNINGHAM, David (GRN)"	47	17	36.17		30	63.83		47	
		"WYNESS, Joseph (CTA)"	77	38	49.35		39	50.65		77	
		Total	662	1475	42.00		2037	58.00		3512	

	Bidwill										
			1st Prefs	349	21.19		1298	78.81		1647	
		"BUTLER, Lindsey (AFI)"	42	20	47.62		22	52.38		42	
		"HYLAND, Wayne (IND)"	11	8	72.73		3	27.27		11	
		"DAMJANOVIC, Joe (HAN)"	100	67	67.00		33	33.00		100	
		"BATES, Barbie (SAS)"	78	25	32.05		53	67.95		78	
		"CLACK, S J (DEM)"	15	5	33.33		10	66.67		15	
		"CUNNINGHAM, David (GRN)"	24	9	37.50		15	62.50		24	
		"WYNESS, Joseph (CTA)"	35	19	54.29		16	45.71		35	
		Total	305	502	25.72		1450	74.28		1952	

	Blackett										
			1st Prefs	312	22.32		1086	77.68		1398	
		"BUTLER, Lindsey (AFI)"	24	13	54.17		11	45.83		24	
		"HYLAND, Wayne (IND)"	11	4	36.36		7	63.64		11	
		"DAMJANOVIC, Joe (HAN)"	137	91	66.42		46	33.58		137	
		"BATES, Barbie (SAS)"	63	20	31.75		43	68.25		63	
		"CLACK, S J (DEM)"	27	6	22.22		21	77.78		27	
		"CUNNINGHAM, David (GRN)"	26	8	30.77		18	69.23		26	
		"WYNESS, Joseph (CTA)"	27	12	44.44		15	55.56		27	
		Total	315	466	27.20		1247	72.80		1713	

	Blacktown West (Chifley)										
			1st Prefs	657	37.85		1079	62.15		1736	
		"BUTLER, Lindsey (AFI)"	34	20	58.82		14	41.18		34	
		"HYLAND, Wayne (IND)"	37	21	56.76		16	43.24		37	
		"DAMJANOVIC, Joe (HAN)"	165	106	64.24		59	35.76		165	
		"BATES, Barbie (SAS)"	27	11	40.74		16	59.26		27	
		"CLACK, S J (DEM)"	47	16	34.04		31	65.96		47	
		"CUNNINGHAM, David (GRN)"	42	14	33.33		28	66.67		42	
		"WYNESS, Joseph (CTA)"	71	48	67.61		23	32.39		71	
		Total	423	893	41.36		1266	58.64		2159	

	Dharruk										
			1st Prefs	267	22.34		928	77.66		1195	
		"BUTLER, Lindsey (AFI)"	23	10	43.48		13	56.52		23	
		"HYLAND, Wayne (IND)"	15	8	53.33		7	46.67		15	
		"DAMJANOVIC, Joe (HAN)"	98	61	62.24		37	37.76		98	
		"BATES, Barbie (SAS)"	82	36	43.90		46	56.10		82	
		"CLACK, S J (DEM)"	23	4	17.39		19	82.61		23	
		"CUNNINGHAM, David (GRN)"	23	6	26.09		17	73.91		23	
		"WYNESS, Joseph (CTA)"	22	18	81.82		4	18.18		22	
		Total	286	410	27.68		1071	72.32		1481	

	Doonside										
			1st Prefs	475	30.37		1089	69.63		1564	
		"BUTLER, Lindsey (AFI)"	30	12	40.00		18	60.00		30	
		"HYLAND, Wayne (IND)"	14	6	42.86		8	57.14		14	
		"DAMJANOVIC, Joe (HAN)"	112	74	66.07		38	33.93		112	
		"BATES, Barbie (SAS)"	52	21	40.38		31	59.62		52	
		"CLACK, S J (DEM)"	26	9	34.62		17	65.38		26	
		"CUNNINGHAM, David (GRN)"	33	4	12.12		29	87.88		33	
		"WYNESS, Joseph (CTA)"	57	34	59.65		23	40.35		57	
		Total	324	635	33.63		1253	66.37		1888	

	Doonside North										
			1st Prefs	1006	32.50		2089	67.50		3095	
		"BUTLER, Lindsey (AFI)"	45	22	48.89		23	51.11		45	
		"HYLAND, Wayne (IND)"	23	10	43.48		13	56.52		23	
		"DAMJANOVIC, Joe (HAN)"	185	112	60.54		73	39.46		185	
		"BATES, Barbie (SAS)"	54	22	40.74		32	59.26		54	
		"CLACK, S J (DEM)"	79	36	45.57		43	54.43		79	
		"CUNNINGHAM, David (GRN)"	56	11	19.64		45	80.36		56	
		"WYNESS, Joseph (CTA)"	131	72	54.96		59	45.04		131	
		Total	573	1291	35.20		2377	64.80		3668	

	Eastern Creek										
			1st Prefs	170	33.60		336	66.40		506	
		"BUTLER, Lindsey (AFI)"	12	11	91.67		1	8.33		12	
		"HYLAND, Wayne (IND)"	3	2	66.67		1	33.33		3	
		"DAMJANOVIC, Joe (HAN)"	50	33	66.00		17	34.00		50	
		"BATES, Barbie (SAS)"	3	1	33.33		2	66.67		3	
		"CLACK, S J (DEM)"	11	5	45.45		6	54.55		11	
		"CUNNINGHAM, David (GRN)"	7	3	42.86		4	57.14		7	
		"WYNESS, Joseph (CTA)"	15	4	26.67		11	73.33		15	
		Total	101	229	37.73		378	62.27		607	

	Emerton										
			1st Prefs	200	25.45		586	74.55		786	
		"BUTLER, Lindsey (AFI)"	13	9	69.23		4	30.77		13	
		"HYLAND, Wayne (IND)"	7	5	71.43		2	28.57		7	
		"DAMJANOVIC, Joe (HAN)"	69	43	62.32		26	37.68		69	
		"BATES, Barbie (SAS)"	22	9	40.91		13	59.09		22	
		"CLACK, S J (DEM)"	15	6	40.00		9	60.00		15	
		"CUNNINGHAM, David (GRN)"	17	9	52.94		8	47.06		17	
		"WYNESS, Joseph (CTA)"	23	18	78.26		5	21.74		23	
		Total	166	299	31.41		653	68.59		952	

	Glendenning										
			1st Prefs	512	28.67		1274	71.33		1786	
		"BUTLER, Lindsey (AFI)"	33	19	57.58		14	42.42		33	
		"HYLAND, Wayne (IND)"	11	5	45.45		6	54.55		11	
		"DAMJANOVIC, Joe (HAN)"	91	59	64.84		32	35.16		91	
		"BATES, Barbie (SAS)"	43	17	39.53		26	60.47		43	
		"CLACK, S J (DEM)"	60	16	26.67		44	73.33		60	
		"CUNNINGHAM, David (GRN)"	25	10	40.00		15	60.00		25	
		"WYNESS, Joseph (CTA)"	54	30	55.56		24	44.44		54	
		Total	317	668	31.76		1435	68.24		2103	

	Hassall Grove										
			1st Prefs	658	27.09		1771	72.91		2429	
		"BUTLER, Lindsey (AFI)"	34	19	55.88		15	44.12		34	
		"HYLAND, Wayne (IND)"	19	10	52.63		9	47.37		19	
		"DAMJANOVIC, Joe (HAN)"	126	81	64.29		45	35.71		126	
		"BATES, Barbie (SAS)"	61	24	39.34		37	60.66		61	
		"CLACK, S J (DEM)"	61	21	34.43		40	65.57		61	
		"CUNNINGHAM, David (GRN)"	37	12	32.43		25	67.57		37	
		"WYNESS, Joseph (CTA)"	57	21	36.84		36	63.16		57	
		Total	395	846	29.96		1978	70.04		2824	

	Hebersham										
			1st Prefs	414	26.90		1125	73.10		1539	
		"BUTLER, Lindsey (AFI)"	25	16	64.00		9	36.00		25	
		"HYLAND, Wayne (IND)"	14	6	42.86		8	57.14		14	
		"DAMJANOVIC, Joe (HAN)"	116	75	64.66		41	35.34		116	
		"BATES, Barbie (SAS)"	91	31	34.07		60	65.93		91	
		"CLACK, S J (DEM)"	26	9	34.62		17	65.38		26	
		"CUNNINGHAM, David (GRN)"	29	5	17.24		24	82.76		29	
		"WYNESS, Joseph (CTA)"	31	17	54.84		14	45.16		31	
		Total	332	573	30.63		1298	69.37		1871	

	Lethbridge Park										
			1st Prefs	398	24.54		1224	75.46		1622	
		"BUTLER, Lindsey (AFI)"	31	12	38.71		19	61.29		31	
		"HYLAND, Wayne (IND)"	8	7	87.50		1	12.50		8	
		"DAMJANOVIC, Joe (HAN)"	164	103	62.80		61	37.20		164	
		"BATES, Barbie (SAS)"	88	33	37.50		55	62.50		88	
		"CLACK, S J (DEM)"	31	9	29.03		22	70.97		31	
		"CUNNINGHAM, David (GRN)"	26	5	19.23		21	80.77		26	
		"WYNESS, Joseph (CTA)"	27	11	40.74		16	59.26		27	
		Total	375	578	28.94		1419	71.06		1997	

	Madang										
			1st Prefs	121	22.04		428	77.96		549	
		"BUTLER, Lindsey (AFI)"	12	5	41.67		7	58.33		12	
		"HYLAND, Wayne (IND)"	6	4	66.67		2	33.33		6	
		"DAMJANOVIC, Joe (HAN)"	47	29	61.70		18	38.30		47	
		"BATES, Barbie (SAS)"	25	10	40.00		15	60.00		25	
		"CLACK, S J (DEM)"	9	0	0.00		9	100.00		9	
		"CUNNINGHAM, David (GRN)"	7	2	28.57		5	71.43		7	
		"WYNESS, Joseph (CTA)"	28	21	75.00		7	25.00		28	
		Total	134	192	28.11		491	71.89		683	

	Marayong (Chifley)										
			1st Prefs	122	36.31		214	63.69		336	
