House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Macarthur (80127)											
		Candidate		"OATES, Meg"		                 	"FARMER, Pat"		                	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Airds										
			1st Prefs	565	68.24		263	31.76		828	
		"WATKINS, Len (HAN)"	51	38	74.51		13	25.49		51	
		"SANDERS, Eric (NCP)"	7	3	42.86		4	57.14		7	
		"LANTRY, Jasmine (DEM)"	15	9	60.00		6	40.00		15	
		"KNOWLES, Gregory John (IND)"	8	3	37.50		5	62.50		8	
		"SHEPPARD, Elwyn (CTA)"	14	6	42.86		8	57.14		14	
		"HUNT, Geraldine (GRN)"	27	22	81.48		5	18.52		27	
		Total	122	646	68.00		304	32.00		950	

	Airds North										
			1st Prefs	460	78.77		124	21.23		584	
		"WATKINS, Len (HAN)"	19	13	68.42		6	31.58		19	
		"SANDERS, Eric (NCP)"	2	1	50.00		1	50.00		2	
		"LANTRY, Jasmine (DEM)"	9	5	55.56		4	44.44		9	
		"KNOWLES, Gregory John (IND)"	9	4	44.44		5	55.56		9	
		"SHEPPARD, Elwyn (CTA)"	8	3	37.50		5	62.50		8	
		"HUNT, Geraldine (GRN)"	18	14	77.78		4	22.22		18	
		Total	65	500	77.04		149	22.96		649	

	Ambarvale										
			1st Prefs	1382	44.42		1729	55.58		3111	
		"WATKINS, Len (HAN)"	200	68	34.00		132	66.00		200	
		"SANDERS, Eric (NCP)"	9	6	66.67		3	33.33		9	
		"LANTRY, Jasmine (DEM)"	83	45	54.22		38	45.78		83	
		"KNOWLES, Gregory John (IND)"	25	10	40.00		15	60.00		25	
		"SHEPPARD, Elwyn (CTA)"	57	22	38.60		35	61.40		57	
		"HUNT, Geraldine (GRN)"	103	75	72.82		28	27.18		103	
		Total	477	1608	44.82		1980	55.18		3588	

	Ambarvale West										
			1st Prefs	866	48.98		902	51.02		1768	
		"WATKINS, Len (HAN)"	99	56	56.57		43	43.43		99	
		"SANDERS, Eric (NCP)"	10	3	30.00		7	70.00		10	
		"LANTRY, Jasmine (DEM)"	31	18	58.06		13	41.94		31	
		"KNOWLES, Gregory John (IND)"	21	8	38.10		13	61.90		21	
		"SHEPPARD, Elwyn (CTA)"	25	11	44.00		14	56.00		25	
		"HUNT, Geraldine (GRN)"	73	60	82.19		13	17.81		73	
		Total	259	1022	50.42		1005	49.58		2027	

	Austral (Macarthur)										
			1st Prefs	52	35.86		93	64.14		145	
		"WATKINS, Len (HAN)"	11	6	54.55		5	45.45		11	
		"SANDERS, Eric (NCP)"	2	2	100.00		0	0.00		2	
		"LANTRY, Jasmine (DEM)"	2	2	100.00		0	0.00		2	
		"KNOWLES, Gregory John (IND)"	3	0	0.00		3	100.00		3	
		"SHEPPARD, Elwyn (CTA)"	9	1	11.11		8	88.89		9	
		"HUNT, Geraldine (GRN)"	3	2	66.67		1	33.33		3	
		Total	30	65	37.14		110	62.86		175	

	Badgerys Creek										
			1st Prefs	78	45.35		94	54.65		172	
		"WATKINS, Len (HAN)"	20	10	50.00		10	50.00		20	
		"SANDERS, Eric (NCP)"	1	1	100.00		0	0.00		1	
		"LANTRY, Jasmine (DEM)"	4	3	75.00		1	25.00		4	
		"KNOWLES, Gregory John (IND)"	8	6	75.00		2	25.00		8	
		"SHEPPARD, Elwyn (CTA)"	7	1	14.29		6	85.71		7	
