Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Chifley (83474)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bennett Road		283	7.74		64	1.75		4	0.11		0	0.00		87	2.38		1	0.03		120	3.28		23	0.63		9	0.25		1625	44.42		23	0.63		4	0.11		28	0.77		0	0.00		4	0.11		4	0.11		1242	33.95		41	1.12		4	0.11		53	1.45		0	0.00		1	0.03		38	1.04		0	0.00		3658	93.96		235	6.04		3893	4.91
Bidwill		138	6.79		29	1.43		0	0.00		2	0.10		86	4.23		3	0.15		39	1.92		20	0.98		10	0.49		1203	59.20		12	0.59		2	0.10		27	1.33		0	0.00		3	0.15		4	0.20		381	18.75		27	1.33		1	0.05		25	1.23		1	0.05		1	0.05		17	0.84		1	0.05		2032	94.73		113	5.27		2145	2.71
Blackett		180	10.16		19	1.07		1	0.06		2	0.11		29	1.64		2	0.11		49	2.77		16	0.90		1	0.06		1044	58.95		4	0.23		1	0.06		20	1.13		0	0.00		7	0.40		2	0.11		338	19.09		22	1.24		1	0.06		25	1.41		0	0.00		0	0.00		8	0.45		0	0.00		1771	94.05		112	5.95		1883	2.38
Blacktown West (Chifley)		166	7.33		70	3.09		6	0.27		1	0.04		63	2.78		1	0.04		82	3.62		20	0.88		12	0.53		1056	46.64		8	0.35		1	0.04		16	0.71		1	0.04		4	0.18		2	0.09		677	29.90		22	0.97		1	0.04		35	1.55		1	0.04		0	0.00		14	0.62		5	0.22		2264	94.33		136	5.67		2400	3.03
Dharruk		112	7.18		27	1.73		5	0.32		2	0.13		41	2.63		2	0.13		51	3.27		12	0.77		7	0.45		844	54.10		13	0.83		4	0.26		18	1.15		0	0.00		0	0.00		0	0.00		348	22.31		20	1.28		0	0.00		33	2.12		1	0.06		1	0.06		19	1.22		0	0.00		1560	96.12		63	3.88		1623	2.05
Doonside		132	6.75		55	2.81		9	0.46		1	0.05		54	2.76		1	0.05		65	3.32		15	0.77		3	0.15		1014	51.84		10	0.51		0	0.00		11	0.56		0	0.00		5	0.26		4	0.20		514	26.28		18	0.92		4	0.20		29	1.48		0	0.00		0	0.00		9	0.46		3	0.15		1956	94.17		121	5.83		2077	2.62
Doonside North		198	5.18		105	2.74		16	0.42		2	0.05		120	3.14		2	0.05		115	3.01		26	0.68		8	0.21		1953	51.05		15	0.39		4	0.10		33	0.86		1	0.03		6	0.16		3	0.08		1101	28.78		40	1.05		3	0.08		51	1.33		2	0.05		0	0.00		21	0.55		1	0.03		3826	95.29		189	4.71		4015	5.07
Eastern Creek		47	7.42		16	2.53		1	0.16		0	0.00		12	1.90		0	0.00		15	2.37		6	0.95		2	0.32		290	45.81		3	0.47		0	0.00		11	1.74		0	0.00		0	0.00		0	0.00		199	31.44		16	2.53		2	0.32		6	0.95		0	0.00		0	0.00		7	1.11		0	0.00		633	95.62		29	4.38		662	0.84
