House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Page (82272)											
		Candidate		"FLANAGAN, Terry"		            	"CAUSLEY, Ian"		               	Total	
				CLR		                        	NP		                         		
				Votes	%	                     	Votes	%	                     		
	Ballina										
			1st Prefs	1414	45.50		1694	54.50		3108	
		"POLLARD-O'HARA, Kathryn (IND)"	92	64	69.57		28	30.43		92	
		"COOPER, Tom (IND)"	192	114	59.38		78	40.63		192	
		"LAMPIS, Edda ()"	7	5	71.43		2	28.57		7	
		"BEHN, Doug (IND)"	21	14	66.67		7	33.33		21	
		"JEFFREYS, Allan (DEM)"	128	88	68.75		40	31.25		128	
		"CANALES, Judy (HMP)"	55	33	60.00		22	40.00		55	
		"FELSCH, Arthur James (CTA)"	102	22	21.57		80	78.43		102	
		"CORKILL, John (GRN)"	217	163	75.12		54	24.88		217	
		"GRIFFITHS, Angela (CEC)"	5	3	60.00		2	40.00		5	
		"MATHEW, Marie (HAN)"	183	88	48.09		95	51.91		183	
		Total	1002	2008	48.86		2102	51.14		4110	

	Ballina East										
			1st Prefs	691	39.19		1072	60.81		1763	
		"POLLARD-O'HARA, Kathryn (IND)"	28	23	82.14		5	17.86		28	
		"COOPER, Tom (IND)"	95	52	54.74		43	45.26		95	
		"LAMPIS, Edda ()"	3	1	33.33		2	66.67		3	
		"BEHN, Doug (IND)"	10	7	70.00		3	30.00		10	
		"JEFFREYS, Allan (DEM)"	87	60	68.97		27	31.03		87	
		"CANALES, Judy (HMP)"	28	24	85.71		4	14.29		28	
		"FELSCH, Arthur James (CTA)"	47	6	12.77		41	87.23		47	
		"CORKILL, John (GRN)"	162	117	72.22		45	27.78		162	
		"GRIFFITHS, Angela (CEC)"	3	1	33.33		2	66.67		3	
		"MATHEW, Marie (HAN)"	50	28	56.00		22	44.00		50	
		Total	513	1010	44.38		1266	55.62		2276	

	Ballina Hospital										
			1st Prefs	550	44.68		681	55.32		1231	
		"POLLARD-O'HARA, Kathryn (IND)"	30	23	76.67		7	23.33		30	
		"COOPER, Tom (IND)"	60	38	63.33		22	36.67		60	
		"LAMPIS, Edda ()"	3	3	100.00		0	0.00		3	
		"BEHN, Doug (IND)"	6	3	50.00		3	50.00		6	
		"JEFFREYS, Allan (DEM)"	40	26	65.00		14	35.00		40	
		"CANALES, Judy (HMP)"	17	11	64.71		6	35.29		17	
		"FELSCH, Arthur James (CTA)"	35	6	17.14		29	82.86		35	
		"CORKILL, John (GRN)"	86	58	67.44		28	32.56		86	
		"GRIFFITHS, Angela (CEC)"	2	0	0.00		2	100.00		2	
		"MATHEW, Marie (HAN)"	61	31	50.82		30	49.18		61	
		Total	340	749	47.68		822	52.32		1571	

	Ballina West										
			1st Prefs	290	37.52		483	62.48		773	
		"POLLARD-O'HARA, Kathryn (IND)"	13	10	76.92		3	23.08		13	
		"COOPER, Tom (IND)"	72	39	54.17		33	45.83		72	
		"LAMPIS, Edda ()"	3	2	66.67		1	33.33		3	
		"BEHN, Doug (IND)"	2	1	50.00		1	50.00		2	
		"JEFFREYS, Allan (DEM)"	13	10	76.92		3	23.08		13	
		"CANALES, Judy (HMP)"	8	8	100.00		0	0.00		8	
		"FELSCH, Arthur James (CTA)"	30	3	10.00		27	90.00		30	
		"CORKILL, John (GRN)"	23	16	69.57		7	30.43		23	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	27	11	40.74		16	59.26		27	
		Total	192	390	40.41		575	59.59		965	

	Baryulgil										
			1st Prefs	10	29.41		24	70.59		34	
		"POLLARD-O'HARA, Kathryn (IND)"	0	0	0.00		0	0.00		0	
		"COOPER, Tom (IND)"	2	0	0.00		2	100.00		2	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	1	1	100.00		0	0.00		1	
		"CANALES, Judy (HMP)"	0	0	0.00		0	0.00		0	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	1	1	100.00		0	0.00		1	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	5	0	0.00		5	100.00		5	
		Total	9	12	27.91		31	72.09		43	

	Bentley										
			1st Prefs	47	28.66		117	71.34		164	
		"POLLARD-O'HARA, Kathryn (IND)"	2	2	100.00		0	0.00		2	
		"COOPER, Tom (IND)"	48	19	39.58		29	60.42		48	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	2	0	0.00		2	100.00		2	
		"JEFFREYS, Allan (DEM)"	7	4	57.14		3	42.86		7	
		"CANALES, Judy (HMP)"	3	2	66.67		1	33.33		3	
		"FELSCH, Arthur James (CTA)"	4	0	0.00		4	100.00		4	
		"CORKILL, John (GRN)"	17	14	82.35		3	17.65		17	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	8	4	50.00		4	50.00		8	
		Total	93	94	36.58		163	63.42		257	

	Bexhill										
			1st Prefs	85	25.53		248	74.47		333	
		"POLLARD-O'HARA, Kathryn (IND)"	11	4	36.36		7	63.64		11	
		"COOPER, Tom (IND)"	47	28	59.57		19	40.43		47	
		"LAMPIS, Edda ()"	3	3	100.00		0	0.00		3	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	13	8	61.54		5	38.46		13	
		"CANALES, Judy (HMP)"	8	7	87.50		1	12.50		8	
		"FELSCH, Arthur James (CTA)"	11	1	9.09		10	90.91		11	
		"CORKILL, John (GRN)"	55	47	85.45		8	14.55		55	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	14	6	42.86		8	57.14		14	
		Total	162	189	38.18		306	61.82		495	

	Bonalbo										
			1st Prefs	46	24.86		139	75.14		185	
		"POLLARD-O'HARA, Kathryn (IND)"	3	1	33.33		2	66.67		3	
		"COOPER, Tom (IND)"	146	83	56.85		63	43.15		146	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	3	3	100.00		0	0.00		3	
		"CANALES, Judy (HMP)"	2	2	100.00		0	0.00		2	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	13	6	46.15		7	53.85		13	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	5	0	0.00		5	100.00		5	
		Total	173	142	39.66		216	60.34		358	

	Broadwater										
			1st Prefs	139	52.06		128	47.94		267	
		"POLLARD-O'HARA, Kathryn (IND)"	9	8	88.89		1	11.11		9	
		"COOPER, Tom (IND)"	24	13	54.17		11	45.83		24	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	18	8	44.44		10	55.56		18	
		"JEFFREYS, Allan (DEM)"	8	7	87.50		1	12.50		8	
		"CANALES, Judy (HMP)"	7	7	100.00		0	0.00		7	
