House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences																																		
By Polling Place																																		
																																		
Cowper																																		
				MAGUIRE			BONFIELD			WILLEY			NEUSS			HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			
				John			Jenny			John			Phillip			Luke			Paul			Jillian			Michael			Bruce			Allan			
				LEF			CLR			IND			LP			NP			IND			GRN			DEM			CTA			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Argents Hill                                                   																																		
	FIRST			0	0.00		26	28.26		7	7.61		3	3.26		19	20.65		0	0.00		23	25.00		5	5.43		1	1.09		8	8.70		92
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		26	28.26		7	7.61		3	3.26		19	20.65					23	25.00		5	5.43		1	1.09		8	8.70		92
	THIRD			1	14.29		3	42.86			Excluded		0	0.00		2	28.57					1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		1	1.09		29	31.52					3	3.26		21	22.83					24	26.09		5	5.43		1	1.09		8	8.70		92
	FOURTH			0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		1	1.09		29	31.52					4	4.35		21	22.83					24	26.09		5	5.43					8	8.70		92
	FIFTH			0	0.00		1	20.00					0	0.00		1	20.00					3	60.00			Excluded					0	0.00		5
		TOTAL		1	1.09		30	32.61					4	4.35		22	23.91					27	29.35								8	8.70		92
	SIXTH				Excluded		0	0.00					0	0.00		0	0.00					0	0.00								1	100.00		1
		TOTAL					30	32.61					4	4.35		22	23.91					27	29.35								9	9.78		92
	SEVENTH						20	74.07					3	11.11		2	7.41						Excluded								2	7.41		27
		TOTAL					50	54.35					7	7.61		24	26.09														11	11.96		92
	EIGHTH						1	9.09					4	36.36		6	54.55															Excluded		11
		TOTAL					51	55.43					11	11.96		30	32.61																	92
	NINTH						5	45.45						Excluded		6	54.55																	11
		TOTAL					56	60.87								36	39.13																	92
																Elected																		
																																		
Bayldon                                                        																																		
	FIRST			95	4.44		740	34.56		14	0.65		342	15.97		636	29.71		14	0.65		70	3.27		42	1.96		63	2.94		125	5.84		2141
	SECOND			0	0.00		1	7.14		9	64.29		0	0.00		1	7.14			Excluded		1	7.14		1	7.14		0	0.00		1	7.14		14
		TOTAL		95	4.44		741	34.61		23	1.07		342	15.97		637	29.75					71	3.32		43	2.01		63	2.94		126	5.89		2141
	THIRD			7	30.43		6	26.09			Excluded		3	13.04		1	4.35					0	0.00		3	13.04		0	0.00		3	13.04		23
		TOTAL		102	4.76		747	34.89					345	16.11		638	29.80					71	3.32		46	2.15		63	2.94		129	6.03		2141
	FOURTH			1	1.59		6	9.52					6	9.52		43	68.25					2	3.17		1	1.59			Excluded		4	6.35		63
		TOTAL		103	4.81		753	35.17					351	16.39		681	31.81					73	3.41		47	2.20					133	6.21		2141
	FIFTH			2	4.26		12	25.53					1	2.13		3	6.38					22	46.81			Excluded					7	14.89		47
		TOTAL		105	4.90		765	35.73					352	16.44		684	31.95					95	4.44								140	6.54		2141
	SIXTH				Excluded		24	22.86					21	20.00		20	19.05					15	14.29								25	23.81		105
		TOTAL					789	36.85					373	17.42		704	32.88					110	5.14								165	7.71		2141
	SEVENTH						57	51.82					12	10.91		24	21.82						Excluded								17	15.45		110
		TOTAL					846	39.51					385	17.98		728	34.00														182	8.50		2141
	EIGHTH						55	30.22					76	41.76		51	28.02															Excluded		182
		TOTAL					901	42.08					461	21.53		779	36.38																	2141
	NINTH						45	9.76						Excluded		416	90.24																	461
		TOTAL					946	44.18								1195	55.82																	2141
																Elected																		
																																		
Bellbrook                                                      																																		
	FIRST			1	0.86		47	40.52		1	0.86		10	8.62		37	31.90		0	0.00		4	3.45		3	2.59		2	1.72		11	9.48		116
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.86		47	40.52		1	0.86		10	8.62		37	31.90					4	3.45		3	2.59		2	1.72		11	9.48		116
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.86		48	41.38					10	8.62		37	31.90					4	3.45		3	2.59		2	1.72		11	9.48		116
	FOURTH			1	50.00		1	50.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		2	1.72		49	42.24					10	8.62		37	31.90					4	3.45		3	2.59					11	9.48		116
	FIFTH			0	0.00		3	100.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		3
		TOTAL		2	1.72		52	44.83					10	8.62		37	31.90					4	3.45								11	9.48		116
	SIXTH				Excluded		1	50.00					1	50.00		0	0.00					0	0.00								0	0.00		2
		TOTAL					53	45.69					11	9.48		37	31.90					4	3.45								11	9.48		116
	SEVENTH						3	75.00					1	25.00		0	0.00						Excluded								0	0.00		4
		TOTAL					56	48.28					12	10.34		37	31.90														11	9.48		116
	EIGHTH						2	18.18					8	72.73		1	9.09															Excluded		11
		TOTAL					58	50.00					20	17.24		38	32.76																	116
	NINTH						6	30.00						Excluded		14	70.00																	20
		TOTAL					64	55.17								52	44.83																	116
																Elected																		
																																		
Bellimbopinni                                                  																																		
	FIRST			2	1.12		57	32.02		3	1.69		25	14.04		60	33.71		0	0.00		8	4.49		3	1.69		0	0.00		20	11.24		178
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.12		57	32.02		3	1.69		25	14.04		60	33.71					8	4.49		3	1.69		0	0.00		20	11.24		178
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		2	66.67					0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL		2	1.12		57	32.02					25	14.04		62	34.83					8	4.49		3	1.69		0	0.00		21	11.80		178
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		2	1.12		57	32.02					25	14.04		62	34.83					8	4.49		3	1.69					21	11.80		178
	FIFTH			0	0.00		1	33.33					0	0.00		1	33.33					1	33.33			Excluded					0	0.00		3
		TOTAL		2	1.12		58	32.58					25	14.04		63	35.39					9	5.06								21	11.80		178
	SIXTH				Excluded		2	100.00					0	0.00		0	0.00					0	0.00								0	0.00		2
		TOTAL					60	33.71					25	14.04		63	35.39					9	5.06								21	11.80		178
	SEVENTH						7	77.78					0	0.00		2	22.22						Excluded								0	0.00		9
		TOTAL					67	37.64					25	14.04		65	36.52														21	11.80		178
	EIGHTH						10	47.62					4	19.05		7	33.33															Excluded		21
		TOTAL					77	43.26					29	16.29		72	40.45																	178
	NINTH						5	17.24						Excluded		24	82.76																	29
		TOTAL					82	46.07								96	53.93																	178
																Elected																		
																																		
Bellingen                                                      																																		
