House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Blaxland																															
				MCDERMOTT			VINNICOMBE			ANNY			HATTON			SAYEGH			PETERSON			HAWAT			MCKAY			OSMOND			
				Colin			Bob			Munther			Michael			Peter			Janne			Dario			Sonya			Les			
				DEM			HAN			IND			ALP			IND			CTA			UNI			GRN			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bankstown                                                      																															
	FIRST			146	5.47		73	2.73		16	0.60		1833	68.65		50	1.87		41	1.54		104	3.90		52	1.95		355	13.30		2670
	SECOND			2	12.50		2	12.50			Excluded		4	25.00		5	31.25		0	0.00		1	6.25		0	0.00		2	12.50		16
		TOTAL		148	5.54		75	2.81					1837	68.80		55	2.06		41	1.54		105	3.93		52	1.95		357	13.37		2670
	THIRD			14	25.45		4	7.27					14	25.45			Excluded		5	9.09		4	7.27		4	7.27		10	18.18		55
		TOTAL		162	6.07		79	2.96					1851	69.33					46	1.72		109	4.08		56	2.10		367	13.75		2670
	FOURTH			24	22.02		1	0.92					52	47.71					8	7.34			Excluded		11	10.09		13	11.93		109
		TOTAL		186	6.97		80	3.00					1903	71.27					54	2.02					67	2.51		380	14.23		2670
	FIFTH			8	14.81		12	22.22					15	27.78						Excluded					6	11.11		13	24.07		54
		TOTAL		194	7.27		92	3.45					1918	71.84											73	2.73		393	14.72		2670
	SIXTH			31	42.47		2	2.74					25	34.25												Excluded		15	20.55		73
		TOTAL		225	8.43		94	3.52					1943	72.77														408	15.28		2670
	SEVENTH			29	30.85			Excluded					24	25.53														41	43.62		94
		TOTAL		254	9.51								1967	73.67														449	16.82		2670
	EIGHTH				Excluded								201	79.13														53	20.87		254
		TOTAL											2168	81.20														502	18.80		2670
													Elected																		
																															
Bankstown Central                                              																															
	FIRST			75	3.74		44	2.19		8	0.40		1347	67.08		35	1.74		9	0.45		101	5.03		35	1.74		354	17.63		2008
	SECOND			2	25.00		1	12.50			Excluded		2	25.00		1	12.50		0	0.00		0	0.00		0	0.00		2	25.00		8
		TOTAL		77	3.83		45	2.24					1349	67.18		36	1.79		9	0.45		101	5.03		35	1.74		356	17.73		2008
	THIRD			4	11.11		2	5.56					3	8.33			Excluded		4	11.11		0	0.00		1	2.78		22	61.11		36
		TOTAL		81	4.03		47	2.34					1352	67.33					13	0.65		101	5.03		36	1.79		378	18.82		2008
	FOURTH			28	27.72		2	1.98					40	39.60					3	2.97			Excluded		20	19.80		8	7.92		101
		TOTAL		109	5.43		49	2.44					1392	69.32					16	0.80					56	2.79		386	19.22		2008
	FIFTH			1	6.25		0	0.00					7	43.75						Excluded					4	25.00		4	25.00		16
		TOTAL		110	5.48		49	2.44					1399	69.67											60	2.99		390	19.42		2008
	SIXTH			19	31.67		3	5.00					18	30.00												Excluded		20	33.33		60
		TOTAL		129	6.42		52	2.59					1417	70.57														410	20.42		2008
	SEVENTH			16	30.77			Excluded					11	21.15														25	48.08		52
		TOTAL		145	7.22								1428	71.12														435	21.66		2008
	EIGHTH				Excluded								98	67.59														47	32.41		145
		TOTAL											1526	76.00														482	24.00		2008
													Elected																		
																															
Bankstown North                                                																															
	FIRST			75	6.12		88	7.18		6	0.49		708	57.75		6	0.49		10	0.82		34	2.77		32	2.61		267	21.78		1226
	SECOND			2	33.33		1	16.67			Excluded		0	0.00		2	33.33		0	0.00		1	16.67		0	0.00		0	0.00		6
		TOTAL		77	6.28		89	7.26					708	57.75		8	0.65		10	0.82		35	2.85		32	2.61		267	21.78		1226
	THIRD			4	50.00		1	12.50					1	12.50			Excluded		0	0.00		0	0.00		0	0.00		2	25.00		8
		TOTAL		81	6.61		90	7.34					709	57.83					10	0.82		35	2.85		32	2.61		269	21.94		1226
	FOURTH			9	25.71		0	0.00					18	51.43					0	0.00			Excluded		7	20.00		1	2.86		35
		TOTAL		90	7.34		90	7.34					727	59.30					10	0.82					39	3.18		270	22.02		1226
	FIFTH			2	20.00		1	10.00					4	40.00						Excluded					2	20.00		1	10.00		10
		TOTAL		92	7.50		91	7.42					731	59.62											41	3.34		271	22.10		1226
	SIXTH			18	43.90		4	9.76					10	24.39												Excluded		9	21.95		41
		TOTAL		110	8.97		95	7.75					741	60.44														280	22.84		1226
	SEVENTH			26	27.37			Excluded					26	27.37														43	45.26		95
		TOTAL		136	11.09								767	62.56														323	26.35		1226
	EIGHTH				Excluded								100	73.53														36	26.47		136
		TOTAL											867	70.72														359	29.28		1226
													Elected																		
																															
Bankstown South                                                																															
	FIRST			82	5.06		92	5.68		11	0.68		926	57.20		17	1.05		20	1.24		27	1.67		46	2.84		398	24.58		1619
