House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barton																									
				BRENNAN			LAU			RYDSTRAND			HARRIS			BARKER			MCCLELLAND			ADAIR			
				Jan			John			David			Chris			David			Robert			Michele			
				LP			UNI			HAN			GRN			CTA			ALP			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Allawah                                                        																									
	FIRST			428	30.01		87	6.10		45	3.16		34	2.38		33	2.31		734	51.47		65	4.56		1426
	SECOND			19	57.58		4	12.12		5	15.15		1	3.03			Excluded		2	6.06		2	6.06		33
		TOTAL		447	31.35		91	6.38		50	3.51		35	2.45					736	51.61		67	4.70		1426
	THIRD			35	38.46			Excluded		2	2.20		4	4.40					37	40.66		13	14.29		91
		TOTAL		482	33.80					52	3.65		39	2.73					773	54.21		80	5.61		1426
	FOURTH			5	12.82					3	7.69			Excluded					13	33.33		18	46.15		39
		TOTAL		487	34.15					55	3.86								786	55.12		98	6.87		1426
	FIFTH			35	63.64						Excluded								14	25.45		6	10.91		55
		TOTAL		522	36.61														800	56.10		104	7.29		1426
	SIXTH			24	23.08														80	76.92			Excluded		104
		TOTAL		546	38.29														880	61.71					1426
																			Elected						
																									
Allawah South                                                  																									
	FIRST			350	35.57		38	3.86		27	2.74		30	3.05		7	0.71		496	50.41		36	3.66		984
	SECOND			1	14.29		0	0.00		2	28.57		3	42.86			Excluded		1	14.29		0	0.00		7
		TOTAL		351	35.67		38	3.86		29	2.95		33	3.35					497	50.51		36	3.66		984
	THIRD			11	28.95			Excluded		1	2.63		3	7.89					21	55.26		2	5.26		38
		TOTAL		362	36.79					30	3.05		36	3.66					518	52.64		38	3.86		984
	FOURTH			8	22.22					1	2.78			Excluded					10	27.78		17	47.22		36
		TOTAL		370	37.60					31	3.15								528	53.66		55	5.59		984
	FIFTH			19	61.29						Excluded								9	29.03		3	9.68		31
		TOTAL		389	39.53														537	54.57		58	5.89		984
	SIXTH			23	39.66														35	60.34			Excluded		58
		TOTAL		412	41.87														572	58.13					984
																			Elected						
																									
Arncliffe                                                      																									
	FIRST			320	24.37		43	3.27		39	2.97		46	3.50		8	0.61		811	61.77		46	3.50		1313
	SECOND			3	37.50		0	0.00		1	12.50		1	12.50			Excluded		2	25.00		1	12.50		8
		TOTAL		323	24.60		43	3.27		40	3.05		47	3.58					813	61.92		47	3.58		1313
	THIRD			9	20.93			Excluded		1	2.33		9	20.93					17	39.53		7	16.28		43
		TOTAL		332	25.29					41	3.12		56	4.27					830	63.21		54	4.11		1313
	FOURTH			6	10.71					6	10.71			Excluded					28	50.00		16	28.57		56
		TOTAL		338	25.74					47	3.58								858	65.35		70	5.33		1313
	FIFTH			28	59.57						Excluded								12	25.53		7	14.89		47
		TOTAL		366	27.88														870	66.26		77	5.86		1313
	SIXTH			23	29.87														54	70.13			Excluded		77
		TOTAL		389	29.63														924	70.37					1313
																			Elected						
																									
