House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Parramatta (87286)											
		Candidate		"BORGER, David"		              	"CAMERON, Ross"		              	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Ballandella Road										
			1st Prefs	471	47.38		523	52.62		994	
		"TONGSUMRITH, Somchai (UNI)"	8	5	62.50		3	37.50		8	
		"JONSSON, Dee (CTA)"	28	4	14.29		24	85.71		28	
		"CLARK, Anthony (DEM)"	41	25	60.98		16	39.02		41	
		"WATSON, Will (NCP)"	3	1	33.33		2	66.67		3	
		"GEORGE, Felicity (GRN)"	20	14	70.00		6	30.00		20	
		"SATCHWELL, John M (HAN)"	48	28	58.33		20	41.67		48	
		Total	148	548	47.99		594	52.01		1142	

	Carlingford (Parramatta)										
			1st Prefs	250	42.81		334	57.19		584	
		"TONGSUMRITH, Somchai (UNI)"	34	31	91.18		3	8.82		34	
		"JONSSON, Dee (CTA)"	7	1	14.29		6	85.71		7	
		"CLARK, Anthony (DEM)"	23	14	60.87		9	39.13		23	
		"WATSON, Will (NCP)"	1	0	0.00		1	100.00		1	
		"GEORGE, Felicity (GRN)"	18	14	77.78		4	22.22		18	
		"SATCHWELL, John M (HAN)"	10	2	20.00		8	80.00		10	
		Total	93	312	46.09		365	53.91		677	

	Carlingford North										
			1st Prefs	554	32.80		1135	67.20		1689	
		"TONGSUMRITH, Somchai (UNI)"	68	57	83.82		11	16.18		68	
		"JONSSON, Dee (CTA)"	39	12	30.77		27	69.23		39	
		"CLARK, Anthony (DEM)"	57	39	68.42		18	31.58		57	
		"WATSON, Will (NCP)"	1	0	0.00		1	100.00		1	
		"GEORGE, Felicity (GRN)"	50	38	76.00		12	24.00		50	
		"SATCHWELL, John M (HAN)"	36	17	47.22		19	52.78		36	
		Total	251	717	36.96		1223	63.04		1940	

	Cumberland High										
			1st Prefs	907	38.25		1464	61.75		2371	
		"TONGSUMRITH, Somchai (UNI)"	72	61	84.72		11	15.28		72	
		"JONSSON, Dee (CTA)"	31	8	25.81		23	74.19		31	
		"CLARK, Anthony (DEM)"	98	73	74.49		25	25.51		98	
		"WATSON, Will (NCP)"	5	0	0.00		5	100.00		5	
		"GEORGE, Felicity (GRN)"	74	61	82.43		13	17.57		74	
		"SATCHWELL, John M (HAN)"	68	23	33.82		45	66.18		68	
		Total	348	1133	41.67		1586	58.33		2719	

	Darcy Road										
			1st Prefs	786	53.29		689	46.71		1475	
		"TONGSUMRITH, Somchai (UNI)"	27	21	77.78		6	22.22		27	
		"JONSSON, Dee (CTA)"	24	10	41.67		14	58.33		24	
		"CLARK, Anthony (DEM)"	52	43	82.69		9	17.31		52	
		"WATSON, Will (NCP)"	3	2	66.67		1	33.33		3	
		"GEORGE, Felicity (GRN)"	45	36	80.00		9	20.00		45	
		"SATCHWELL, John M (HAN)"	52	22	42.31		30	57.69		52	
		Total	203	920	54.83		758	45.17		1678	

	Dundas										
			1st Prefs	1013	46.66		1158	53.34		2171	
		"TONGSUMRITH, Somchai (UNI)"	69	58	84.06		11	15.94		69	
		"JONSSON, Dee (CTA)"	61	17	27.87		44	72.13		61	
		"CLARK, Anthony (DEM)"	142	97	68.31		45	31.69		142	
		"WATSON, Will (NCP)"	4	2	50.00		2	50.00		4	
		"GEORGE, Felicity (GRN)"	74	57	77.03		17	22.97		74	
