House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hughes (85741)											
		Candidate		"VALE, Danna"		                	"HAWKINS, Christine"		         	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Alfords Point										
			1st Prefs	1091	67.64		522	32.36		1613	
		"HEEMSTRA, Simon (GRN)"	64	15	23.44		49	76.56		64	
		"RYAN, William (CTA)"	28	15	53.57		13	46.43		28	
		"OZ, Susan (HAN)"	46	24	52.17		22	47.83		46	
		"VAN DE WEG, Bruce (DEM)"	48	19	39.58		29	60.42		48	
		Total	186	1164	64.70		635	35.30		1799	

	Bangor										
			1st Prefs	2669	71.02		1089	28.98		3758	
		"HEEMSTRA, Simon (GRN)"	181	62	34.25		119	65.75		181	
		"RYAN, William (CTA)"	140	115	82.14		25	17.86		140	
		"OZ, Susan (HAN)"	160	90	56.25		70	43.75		160	
		"VAN DE WEG, Bruce (DEM)"	154	63	40.91		91	59.09		154	
		Total	635	2999	68.27		1394	31.73		4393	

	Barden Ridge										
			1st Prefs	852	65.74		444	34.26		1296	
		"HEEMSTRA, Simon (GRN)"	56	18	32.14		38	67.86		56	
		"RYAN, William (CTA)"	52	44	84.62		8	15.38		52	
		"OZ, Susan (HAN)"	65	32	49.23		33	50.77		65	
		"VAN DE WEG, Bruce (DEM)"	47	22	46.81		25	53.19		47	
		Total	220	968	63.85		548	36.15		1516	

	Bonnet Bay										
			1st Prefs	878	70.81		362	29.19		1240	
		"HEEMSTRA, Simon (GRN)"	86	20	23.26		66	76.74		86	
		"RYAN, William (CTA)"	22	15	68.18		7	31.82		22	
		"OZ, Susan (HAN)"	50	28	56.00		22	44.00		50	
		"VAN DE WEG, Bruce (DEM)"	54	21	38.89		33	61.11		54	
		Total	212	962	66.25		490	33.75		1452	

	Caravan Head										
			1st Prefs	398	66.67		199	33.33		597	
		"HEEMSTRA, Simon (GRN)"	30	10	33.33		20	66.67		30	
		"RYAN, William (CTA)"	10	9	90.00		1	10.00		10	
		"OZ, Susan (HAN)"	34	15	44.12		19	55.88		34	
		"VAN DE WEG, Bruce (DEM)"	16	7	43.75		9	56.25		16	
		Total	90	439	63.90		248	36.10		687	

	Chipping Norton										
			1st Prefs	1318	59.48		898	40.52		2216	
		"HEEMSTRA, Simon (GRN)"	97	40	41.24		57	58.76		97	
		"RYAN, William (CTA)"	41	27	65.85		14	34.15		41	
		"OZ, Susan (HAN)"	129	61	47.29		68	52.71		129	
		"VAN DE WEG, Bruce (DEM)"	87	28	32.18		59	67.82		87	
		Total	354	1474	57.35		1096	42.65		2570	

	Como										
			1st Prefs	383	55.03		313	44.97		696	
		"HEEMSTRA, Simon (GRN)"	64	14	21.88		50	78.13		64	
		"RYAN, William (CTA)"	6	3	50.00		3	50.00		6	
		"OZ, Susan (HAN)"	20	14	70.00		6	30.00		20	
		"VAN DE WEG, Bruce (DEM)"	34	11	32.35		23	67.65		34	
		Total	124	425	51.83		395	48.17		820	

	Como West										
			1st Prefs	972	60.34		639	39.66		1611	
		"HEEMSTRA, Simon (GRN)"	114	22	19.30		92	80.70		114	
		"RYAN, William (CTA)"	43	34	79.07		9	20.93		43	
		"OZ, Susan (HAN)"	83	42	50.60		41	49.40		83	
		"VAN DE WEG, Bruce (DEM)"	64	24	37.50		40	62.50		64	
		Total	304	1094	57.13		821	42.87		1915	

	Engadine										
			1st Prefs	1690	61.97		1037	38.03		2727	
		"HEEMSTRA, Simon (GRN)"	140	41	29.29		99	70.71		140	
		"RYAN, William (CTA)"	71	59	83.10		12	16.90		71	
		"OZ, Susan (HAN)"	185	83	44.86		102	55.14		185	
		"VAN DE WEG, Bruce (DEM)"	150	47	31.33		103	68.67		150	
		Total	546	1920	58.66		1353	41.34		3273	

	Engadine East										
			1st Prefs	349	61.88		215	38.12		564	
		"HEEMSTRA, Simon (GRN)"	29	9	31.03		20	68.97		29	
		"RYAN, William (CTA)"	12	11	91.67		1	8.33		12	
		"OZ, Susan (HAN)"	22	9	40.91		13	59.09		22	
		"VAN DE WEG, Bruce (DEM)"	18	3	16.67		15	83.33		18	
		Total	81	381	59.07		264	40.93		645	

	Engadine South										
			1st Prefs	764	61.02		488	38.98		1252	
		"HEEMSTRA, Simon (GRN)"	61	15	24.59		46	75.41		61	
		"RYAN, William (CTA)"	40	33	82.50		7	17.50		40	
		"OZ, Susan (HAN)"	70	34	48.57		36	51.43		70	
		"VAN DE WEG, Bruce (DEM)"	56	22	39.29		34	60.71		56	
		Total	227	868	58.69		611	41.31		1479	

	Engadine West										
			1st Prefs	1596	64.75		869	35.25		2465	
		"HEEMSTRA, Simon (GRN)"	152	43	28.29		109	71.71		152	
		"RYAN, William (CTA)"	64	57	89.06		7	10.94		64	
		"OZ, Susan (HAN)"	178	87	48.88		91	51.12		178	
		"VAN DE WEG, Bruce (DEM)"	102	36	35.29		66	64.71		102	
		Total	496	1819	61.43		1142	38.57		2961	

	Hammondville										
			1st Prefs	850	59.86		570	40.14		1420	
		"HEEMSTRA, Simon (GRN)"	60	19	31.67		41	68.33		60	
		"RYAN, William (CTA)"	19	16	84.21		3	15.79		19	
		"OZ, Susan (HAN)"	106	41	38.68		65	61.32		106	
		"VAN DE WEG, Bruce (DEM)"	42	15	35.71		27	64.29		42	
		Total	227	941	57.13		706	42.87		1647	

	Heathcote										
			1st Prefs	1050	62.69		625	37.31		1675	
		"HEEMSTRA, Simon (GRN)"	95	27	28.42		68	71.58		95	
		"RYAN, William (CTA)"	54	52	96.30		2	3.70		54	
		"OZ, Susan (HAN)"	122	46	37.70		76	62.30		122	
		"VAN DE WEG, Bruce (DEM)"	86	25	29.07		61	70.93		86	
		Total	357	1200	59.06		832	40.94		2032	

	Heathcote East										
			1st Prefs	646	62.66		385	37.34		1031	
		"HEEMSTRA, Simon (GRN)"	63	13	20.63		50	79.37		63	
		"RYAN, William (CTA)"	45	35	77.78		10	22.22		45	
		"OZ, Susan (HAN)"	90	49	54.44		41	45.56		90	
		"VAN DE WEG, Bruce (DEM)"	45	11	24.44		34	75.56		45	
		Total	243	754	59.18		520	40.82		1274	

	Holsworthy										
			1st Prefs	783	61.17		497	38.83		1280	
		"HEEMSTRA, Simon (GRN)"	73	28	38.36		45	61.64		73	
		"RYAN, William (CTA)"	16	15	93.75		1	6.25		16	
		"OZ, Susan (HAN)"	93	55	59.14		38	40.86		93	
		"VAN DE WEG, Bruce (DEM)"	47	20	42.55		27	57.45		47	
		Total	229	901	59.71		608	40.29		1509	

	Illawong										
			1st Prefs	1878	71.71		741	28.29		2619	
		"HEEMSTRA, Simon (GRN)"	131	41	31.30		90	68.70		131	
		"RYAN, William (CTA)"	50	39	78.00		11	22.00		50	
		"OZ, Susan (HAN)"	118	60	50.85		58	49.15		118	
		"VAN DE WEG, Bruce (DEM)"	99	46	46.46		53	53.54		99	
		Total	398	2064	68.41		953	31.59		3017	

	Jannali East										
			1st Prefs	739	55.73		587	44.27		1326	
		"HEEMSTRA, Simon (GRN)"	71	24	33.80		47	66.20		71	
		"RYAN, William (CTA)"	28	21	75.00		7	25.00		28	
		"OZ, Susan (HAN)"	106	49	46.23		57	53.77		106	
		"VAN DE WEG, Bruce (DEM)"	51	22	43.14		29	56.86		51	
		Total	256	855	54.05		727	45.95		1582	

	Jannali West										
			1st Prefs	516	57.91		375	42.09		891	
		"HEEMSTRA, Simon (GRN)"	59	19	32.20		40	67.80		59	
		"RYAN, William (CTA)"	30	22	73.33		8	26.67		30	
		"OZ, Susan (HAN)"	50	23	46.00		27	54.00		50	
		"VAN DE WEG, Bruce (DEM)"	39	13	33.33		26	66.67		39	
		Total	178	593	55.47		476	44.53		1069	

	Loftus										
			1st Prefs	1168	61.47		732	38.53		1900	
		"HEEMSTRA, Simon (GRN)"	104	20	19.23		84	80.77		104	
		"RYAN, William (CTA)"	79	62	78.48		17	21.52		79	
		"OZ, Susan (HAN)"	138	68	49.28		70	50.72		138	
		"VAN DE WEG, Bruce (DEM)"	88	22	25.00		66	75.00		88	
		Total	409	1340	58.03		969	41.97		2309	

	Marton										
			1st Prefs	1113	67.09		546	32.91		1659	
		"HEEMSTRA, Simon (GRN)"	81	31	38.27		50	61.73		81	
		"RYAN, William (CTA)"	33	24	72.73		9	27.27		33	
		"OZ, Susan (HAN)"	121	63	52.07		58	47.93		121	
		"VAN DE WEG, Bruce (DEM)"	52	16	30.77		36	69.23		52	
		Total	287	1247	64.08		699	35.92		1946	

	Menai										
			1st Prefs	1082	60.21		715	39.79		1797	
		"HEEMSTRA, Simon (GRN)"	106	29	27.36		77	72.64		106	
		"RYAN, William (CTA)"	58	42	72.41		16	27.59		58	
		"OZ, Susan (HAN)"	90	42	46.67		48	53.33		90	
		"VAN DE WEG, Bruce (DEM)"	84	32	38.10		52	61.90		84	
		Total	338	1227	57.47		908	42.53		2135	

	Menai Central										
