House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Kingsford Smith (86647)											
		Candidate		"NOTLEY-SMITH, Bruce"		        	"BRERETON, Laurie"		           	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Ansett										
			1st Prefs	5	41.67		7	58.33		12	
		"BROWN, Jill (HAN)"	1	1	100.00		0	0.00		1	
		"HURWITZ, Arthur (GRN)"	2	0	0.00		2	100.00		2	
		"CARMAN, Marina ()"	0	0	0.00		0	0.00		0	
		"ZAKRZEWSKI, Peter (DEM)"	2	1	50.00		1	50.00		2	
		Total	5	7	41.18		10	58.82		17	

	Banksmeadow										
			1st Prefs	339	31.16		749	68.84		1088	
		"BROWN, Jill (HAN)"	91	61	67.03		30	32.97		91	
		"HURWITZ, Arthur (GRN)"	53	13	24.53		40	75.47		53	
		"CARMAN, Marina ()"	5	3	60.00		2	40.00		5	
		"ZAKRZEWSKI, Peter (DEM)"	33	9	27.27		24	72.73		33	
		Total	182	425	33.46		845	66.54		1270	

	Botany										
			1st Prefs	553	33.21		1112	66.79		1665	
		"BROWN, Jill (HAN)"	143	102	71.33		41	28.67		143	
		"HURWITZ, Arthur (GRN)"	99	21	21.21		78	78.79		99	
		"CARMAN, Marina ()"	16	7	43.75		9	56.25		16	
		"ZAKRZEWSKI, Peter (DEM)"	66	25	37.88		41	62.12		66	
		Total	324	708	35.60		1281	64.40		1989	

	Botany East										
			1st Prefs	669	46.27		777	53.73		1446	
		"BROWN, Jill (HAN)"	94	64	68.09		30	31.91		94	
		"HURWITZ, Arthur (GRN)"	94	25	26.60		69	73.40		94	
		"CARMAN, Marina ()"	6	4	66.67		2	33.33		6	
		"ZAKRZEWSKI, Peter (DEM)"	58	20	34.48		38	65.52		58	
		Total	252	782	46.05		916	53.95		1698	

	Bunnerong										
			1st Prefs	817	37.81		1344	62.19		2161	
		"BROWN, Jill (HAN)"	145	105	72.41		40	27.59		145	
		"HURWITZ, Arthur (GRN)"	129	21	16.28		108	83.72		129	
		"CARMAN, Marina ()"	17	10	58.82		7	41.18		17	
		"ZAKRZEWSKI, Peter (DEM)"	112	27	24.11		85	75.89		112	
		Total	403	980	38.22		1584	61.78		2564	

	Chifley										
			1st Prefs	579	38.17		938	61.83		1517	
		"BROWN, Jill (HAN)"	154	126	81.82		28	18.18		154	
		"HURWITZ, Arthur (GRN)"	95	24	25.26		71	74.74		95	
		"CARMAN, Marina ()"	5	4	80.00		1	20.00		5	
		"ZAKRZEWSKI, Peter (DEM)"	70	16	22.86		54	77.14		70	
		Total	324	749	40.68		1092	59.32		1841	

	Clovelly Beach (Kingsford Smith)										
			1st Prefs	211	48.62		223	51.38		434	
		"BROWN, Jill (HAN)"	17	11	64.71		6	35.29		17	
		"HURWITZ, Arthur (GRN)"	105	15	14.29		90	85.71		105	
		"CARMAN, Marina ()"	8	3	37.50		5	62.50		8	
		"ZAKRZEWSKI, Peter (DEM)"	47	15	31.91		32	68.09		47	
		Total	177	255	41.73		356	58.27		611	

	Clovelly North (Kingsford Smith)										
			1st Prefs	181	56.74		138	43.26		319	
		"BROWN, Jill (HAN)"	12	8	66.67		4	33.33		12	
		"HURWITZ, Arthur (GRN)"	51	12	23.53		39	76.47		51	
		"CARMAN, Marina ()"	7	2	28.57		5	71.43		7	
		"ZAKRZEWSKI, Peter (DEM)"	42	11	26.19		31	73.81		42	
		Total	112	214	49.65		217	50.35		431	

	Coogee										
			1st Prefs	691	51.88		641	48.12		1332	
		"BROWN, Jill (HAN)"	49	39	79.59		10	20.41		49	
		"HURWITZ, Arthur (GRN)"	216	33	15.28		183	84.72		216	
		"CARMAN, Marina ()"	19	5	26.32		14	73.68		19	
		"ZAKRZEWSKI, Peter (DEM)"	159	35	22.01		124	77.99		159	
		Total	443	803	45.24		972	54.76		1775	

	Coogee Beach										
			1st Prefs	842	49.59		856	50.41		1698	
		"BROWN, Jill (HAN)"	59	45	76.27		14	23.73		59	
		"HURWITZ, Arthur (GRN)"	313	45	14.38		268	85.62		313	
		"CARMAN, Marina ()"	9	3	33.33		6	66.67		9	
		"ZAKRZEWSKI, Peter (DEM)"	157	41	26.11		116	73.89		157	
		Total	538	976	43.65		1260	56.35		2236	

	Coogee Central										
			1st Prefs	731	48.83		766	51.17		1497	
		"BROWN, Jill (HAN)"	66	45	68.18		21	31.82		66	
		"HURWITZ, Arthur (GRN)"	244	34	13.93		210	86.07		244	
		"CARMAN, Marina ()"	22	5	22.73		17	77.27		22	
		"ZAKRZEWSKI, Peter (DEM)"	173	49	28.32		124	71.68		173	
		Total	505	864	43.16		1138	56.84		2002	

	Coogee South										
			1st Prefs	1030	55.98		810	44.02		1840	
		"BROWN, Jill (HAN)"	96	72	75.00		24	25.00		96	
		"HURWITZ, Arthur (GRN)"	137	27	19.71		110	80.29		137	
		"CARMAN, Marina ()"	13	7	53.85		6	46.15		13	
		"ZAKRZEWSKI, Peter (DEM)"	119	31	26.05		88	73.95		119	
		Total	365	1167	52.93		1038	47.07		2205	

	Daceyville										
			1st Prefs	215	32.09		455	67.91		670	
		"BROWN, Jill (HAN)"	61	47	77.05		14	22.95		61	
		"HURWITZ, Arthur (GRN)"	49	7	14.29		42	85.71		49	
		"CARMAN, Marina ()"	5	3	60.00		2	40.00		5	
		"ZAKRZEWSKI, Peter (DEM)"	22	10	45.45		12	54.55		22	
		Total	137	282	34.94		525	65.06		807	

	Daceyville South										
			1st Prefs	250	37.09		424	62.91		674	
		"BROWN, Jill (HAN)"	46	36	78.26		10	21.74		46	
		"HURWITZ, Arthur (GRN)"	38	6	15.79		32	84.21		38	
		"CARMAN, Marina ()"	1	1	100.00		0	0.00		1	
		"ZAKRZEWSKI, Peter (DEM)"	41	8	19.51		33	80.49		41	
		Total	126	301	37.63		499	62.38		800	

	Eastlakes										
			1st Prefs	242	26.62		667	73.38		909	
		"BROWN, Jill (HAN)"	52	40	76.92		12	23.08		52	
		"HURWITZ, Arthur (GRN)"	38	9	23.68		29	76.32		38	
		"CARMAN, Marina ()"	7	4	57.14		3	42.86		7	
		"ZAKRZEWSKI, Peter (DEM)"	22	3	13.64		19	86.36		22	
		Total	119	298	28.99		730	71.01		1028	

	Eastlakes East										
			1st Prefs	416	21.68		1503	78.32		1919	
		"BROWN, Jill (HAN)"	102	80	78.43		22	21.57		102	
		"HURWITZ, Arthur (GRN)"	96	19	19.79		77	80.21		96	
		"CARMAN, Marina ()"	12	4	33.33		8	66.67		12	
		"ZAKRZEWSKI, Peter (DEM)"	66	13	19.70		53	80.30		66	
		Total	276	532	24.24		1663	75.76		2195	

	Express										
			1st Prefs	0			0				
		"BROWN, Jill (HAN)"	0	0	0.00		0	0.00		0	
		"HURWITZ, Arthur (GRN)"	0	0	0.00		0	0.00		0	
		"CARMAN, Marina ()"	0	0	0.00		0	0.00		0	
		"ZAKRZEWSKI, Peter (DEM)"	0	0	0.00		0	0.00		0	
		Total	0	0	0.00		0	0.00		0	

	Hillsdale										
			1st Prefs	663	27.61		1738	72.39		2401	
		"BROWN, Jill (HAN)"	142	109	76.76		33	23.24		142	
		"HURWITZ, Arthur (GRN)"	128	22	17.19		106	82.81		128	
		"CARMAN, Marina ()"	25	13	52.00		12	48.00		25	
		"ZAKRZEWSKI, Peter (DEM)"	75	16	21.33		59	78.67		75	
		Total	370	823	29.70		1948	70.30		2771	

	International										
			1st Prefs	20	31.75		43	68.25		63	
		"BROWN, Jill (HAN)"	4	3	75.00		1	25.00		4	
		"HURWITZ, Arthur (GRN)"	8	2	25.00		6	75.00		8	
		"CARMAN, Marina ()"	1	0	0.00		1	100.00		1	
		"ZAKRZEWSKI, Peter (DEM)"	5	0	0.00		5	100.00		5	
		Total	18	25	30.86		56	69.14		81	

	Kensington										
			1st Prefs	596	42.82		796	57.18		1392	
		"BROWN, Jill (HAN)"	55	40	72.73		15	27.27		55	
		"HURWITZ, Arthur (GRN)"	142	17	11.97		125	88.03		142	
		"CARMAN, Marina ()"	11	7	63.64		4	36.36		11	
		"ZAKRZEWSKI, Peter (DEM)"	119	40	33.61		79	66.39		119	
		Total	327	700	40.72		1019	59.28		1719	

	Kensington Park										
			1st Prefs	670	47.82		731	52.18		1401	
		"BROWN, Jill (HAN)"	65	51	78.46		14	21.54		65	
		"HURWITZ, Arthur (GRN)"	108	24	22.22		84	77.78		108	
		"CARMAN, Marina ()"	4	2	50.00		2	50.00		4	
		"ZAKRZEWSKI, Peter (DEM)"	82	23	28.05		59	71.95		82	
		Total	259	770	46.39		890	53.61		1660	

	Kensington West										
			1st Prefs	927	51.96		857	48.04		1784	
		"BROWN, Jill (HAN)"	44	34	77.27		10	22.73		44	
		"HURWITZ, Arthur (GRN)"	144	32	22.22		112	77.78		144	
		"CARMAN, Marina ()"	11	8	72.73		3	27.27		11	
		"ZAKRZEWSKI, Peter (DEM)"	106	42	39.62		64	60.38		106	
