Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hughes (85741)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alfords Point		55	3.02		49	2.69		4	0.22		0	0.00		20	1.10		3	0.16		94	5.17		7	0.38		3	0.16		478	26.28		7	0.38		0	0.00		8	0.44		0	0.00		1	0.05		5	0.27		1018	55.96		15	0.82		2	0.11		45	2.47		0	0.00		0	0.00		5	0.27		0	0.00		1819	96.45		67	3.55		1886	2.28
Bangor		150	3.37		201	4.51		8	0.18		0	0.00		28	0.63		0	0.00		237	5.32		31	0.70		3	0.07		974	21.87		24	0.54		1	0.02		25	0.56		0	0.00		3	0.07		6	0.13		2580	57.94		17	0.38		1	0.02		142	3.19		0	0.00		0	0.00		22	0.49		0	0.00		4453	97.33		122	2.67		4575	5.53
Barden Ridge		73	4.72		89	5.75		3	0.19		0	0.00		10	0.65		1	0.06		93	6.01		11	0.71		2	0.13		399	25.79		10	0.65		0	0.00		6	0.39		0	0.00		1	0.06		7	0.45		802	51.84		0	0.00		1	0.06		33	2.13		1	0.06		0	0.00		5	0.32		0	0.00		1547	98.28		27	1.72		1574	1.90
Bonnet Bay		53	3.63		44	3.01		1	0.07		0	0.00		6	0.41		0	0.00		97	6.64		12	0.82		1	0.07		307	21.03		4	0.27		0	0.00		9	0.62		0	0.00		1	0.07		3	0.21		813	55.68		4	0.27		7	0.48		92	6.30		0	0.00		0	0.00		5	0.34		1	0.07		1460	97.99		30	2.01		1490	1.80
Caravan Head		32	4.56		19	2.71		1	0.14		0	0.00		3	0.43		0	0.00		46	6.55		4	0.57		2	0.28		168	23.93		2	0.28		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		381	54.27		0	0.00		2	0.28		38	5.41		0	0.00		0	0.00		3	0.43		0	0.00		702	97.77		16	2.23		718	0.87
Chipping Norton		129	5.00		41	1.59		23	0.89		1	0.04		40	1.55		1	0.04		120	4.65		14	0.54		4	0.15		811	31.42		8	0.31		2	0.08		11	0.43		0	0.00		1	0.04		3	0.12		1281	49.63		23	0.89		1	0.04		50	1.94		0	0.00		0	0.00		17	0.66		0	0.00		2581	96.45		95	3.55		2676	3.23
Como		23	2.82		18	2.21		0	0.00		1	0.12		7	0.86		1	0.12		64	7.84		6	0.74		3	0.37		253	31.00		7	0.86		1	0.12		3	0.37		0	0.00		3	0.37		3	0.37		352	43.14		4	0.49		2	0.25		63	7.72		0	0.00		0	0.00		1	0.12		1	0.12		816	96.91		26	3.09		842	1.02
Como West		99	5.13		74	3.84		2	0.10		0	0.00		9	0.47		2	0.10		128	6.64		10	0.52		1	0.05		536	27.80		8	0.41		1	0.05		13	0.67		2	0.10		2	0.10		1	0.05		904	46.89		4	0.21		1	0.05		122	6.33		0	0.00		1	0.05		8	0.41		0	0.00		1928	97.28		54	2.72		1982	2.39
