House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Wentworth (86457)											
		Candidate		"KING, Peter"		                	"NEILSON, Carolyn"		           	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Bellevue Hill										
			1st Prefs	2206	74.91		739	25.09		2945	
		"GOLDEN, Aub (HAN)"	25	21	84.00		4	16.00		25	
		"LYSSA, Alison (GRN)"	277	74	26.71		203	73.29		277	
		"COLLINGS, Margaret (DEM)"	211	80	37.91		131	62.09		211	
		"JACOBS, Alan (UNI)"	69	24	34.78		45	65.22		69	
		Total	582	2405	68.19		1122	31.81		3527	

	Bondi										
			1st Prefs	1305	54.26		1100	45.74		2405	
		"GOLDEN, Aub (HAN)"	81	53	65.43		28	34.57		81	
		"LYSSA, Alison (GRN)"	333	55	16.52		278	83.48		333	
		"COLLINGS, Margaret (DEM)"	170	64	37.65		106	62.35		170	
		"JACOBS, Alan (UNI)"	20	8	40.00		12	60.00		20	
		Total	604	1485	49.35		1524	50.65		3009	

	Bondi Beach										
			1st Prefs	1490	48.03		1612	51.97		3102	
		"GOLDEN, Aub (HAN)"	86	55	63.95		31	36.05		86	
		"LYSSA, Alison (GRN)"	671	98	14.61		573	85.39		671	
		"COLLINGS, Margaret (DEM)"	324	120	37.04		204	62.96		324	
		"JACOBS, Alan (UNI)"	37	9	24.32		28	75.68		37	
		Total	1118	1772	41.99		2448	58.01		4220	

	Bondi Junction										
			1st Prefs	1341	58.82		939	41.18		2280	
		"GOLDEN, Aub (HAN)"	63	46	73.02		17	26.98		63	
		"LYSSA, Alison (GRN)"	272	46	16.91		226	83.09		272	
		"COLLINGS, Margaret (DEM)"	209	75	35.89		134	64.11		209	
		"JACOBS, Alan (UNI)"	23	6	26.09		17	73.91		23	
		Total	567	1514	53.18		1333	46.82		2847	

	Bondi North										
			1st Prefs	899	59.26		618	40.74		1517	
		"GOLDEN, Aub (HAN)"	35	10	28.57		25	71.43		35	
		"LYSSA, Alison (GRN)"	156	32	20.51		124	79.49		156	
		"COLLINGS, Margaret (DEM)"	89	33	37.08		56	62.92		89	
		"JACOBS, Alan (UNI)"	13	13	100.00		0	0.00		13	
		Total	293	987	54.53		823	45.47		1810	

	Bondi Surf										
			1st Prefs	490	56.78		373	43.22		863	
		"GOLDEN, Aub (HAN)"	10	9	90.00		1	10.00		10	
		"LYSSA, Alison (GRN)"	189	31	16.40		158	83.60		189	
		"COLLINGS, Margaret (DEM)"	79	29	36.71		50	63.29		79	
		"JACOBS, Alan (UNI)"	7	3	42.86		4	57.14		7	
		Total	285	562	48.95		586	51.05		1148	

	Bronte										
			1st Prefs	817	54.80		674	45.20		1491	
		"GOLDEN, Aub (HAN)"	39	28	71.79		11	28.21		39	
		"LYSSA, Alison (GRN)"	302	45	14.90		257	85.10		302	
		"COLLINGS, Margaret (DEM)"	147	16	10.88		131	89.12		147	
		"JACOBS, Alan (UNI)"	8	3	37.50		5	62.50		8	
		Total	496	909	45.75		1078	54.25		1987	

	Castlefield										
			1st Prefs	305	51.17		291	48.83		596	
		"GOLDEN, Aub (HAN)"	15	9	60.00		6	40.00		15	
		"LYSSA, Alison (GRN)"	103	15	14.56		88	85.44		103	
		"COLLINGS, Margaret (DEM)"	37	11	29.73		26	70.27		37	
		"JACOBS, Alan (UNI)"	3	0	0.00		3	100.00		3	
		Total	158	340	45.09		414	54.91		754	

	Charing Cross										
			1st Prefs	255	51.10		244	48.90		499	
		"GOLDEN, Aub (HAN)"	11	7	63.64		4	36.36		11	
		"LYSSA, Alison (GRN)"	48	12	25.00		36	75.00		48	
		"COLLINGS, Margaret (DEM)"	28	5	17.86		23	82.14		28	
		"JACOBS, Alan (UNI)"	2	0	0.00		2	100.00		2	
		Total	89	279	47.45		309	52.55		588	

	Clovelly										
			1st Prefs	672	51.34		637	48.66		1309	
		"GOLDEN, Aub (HAN)"	43	30	69.77		13	30.23		43	
		"LYSSA, Alison (GRN)"	203	23	11.33		180	88.67		203	
		"COLLINGS, Margaret (DEM)"	94	34	36.17		60	63.83		94	
		"JACOBS, Alan (UNI)"	0	0	0.00		0	0.00		0	
		Total	340	759	46.03		890	53.97		1649	

	Clovelly Beach (Wentworth)										
			1st Prefs	254	46.78		289	53.22		543	
		"GOLDEN, Aub (HAN)"	14	12	85.71		2	14.29		14	
		"LYSSA, Alison (GRN)"	87	17	19.54		70	80.46		87	
		"COLLINGS, Margaret (DEM)"	53	14	26.42		39	73.58		53	
		"JACOBS, Alan (UNI)"	4	0	0.00		4	100.00		4	
		Total	158	297	42.37		404	57.63		701	

	Clovelly North (Wentworth)										
			1st Prefs	636	51.37		602	48.63		1238	
		"GOLDEN, Aub (HAN)"	31	13	41.94		18	58.06		31	
		"LYSSA, Alison (GRN)"	151	31	20.53		120	79.47		151	
		"COLLINGS, Margaret (DEM)"	106	50	47.17		56	52.83		106	
		"JACOBS, Alan (UNI)"	8	4	50.00		4	50.00		8	
		Total	296	734	47.85		800	52.15		1534	

	Cooper Park										
			1st Prefs	532	75.04		177	24.96		709	
		"GOLDEN, Aub (HAN)"	4	4	100.00		0	0.00		4	
		"LYSSA, Alison (GRN)"	45	15	33.33		30	66.67		45	
		"COLLINGS, Margaret (DEM)"	41	22	53.66		19	46.34		41	
		"JACOBS, Alan (UNI)"	19	4	21.05		15	78.95		19	
		Total	109	577	70.54		241	29.46		818	

	Darling Point										
			1st Prefs	1398	80.07		348	19.93		1746	
		"GOLDEN, Aub (HAN)"	15	14	93.33		1	6.67		15	
		"LYSSA, Alison (GRN)"	93	30	32.26		63	67.74		93	
		"COLLINGS, Margaret (DEM)"	100	42	42.00		58	58.00		100	
		"JACOBS, Alan (UNI)"	16	10	62.50		6	37.50		16	
		Total	224	1494	75.84		476	24.16		1970	

	Diamond Bay										
			1st Prefs	1535	74.30		531	25.70		2066	
		"GOLDEN, Aub (HAN)"	24	15	62.50		9	37.50		24	
		"LYSSA, Alison (GRN)"	184	44	23.91		140	76.09		184	
		"COLLINGS, Margaret (DEM)"	108	50	46.30		58	53.70		108	
		"JACOBS, Alan (UNI)"	26	18	69.23		8	30.77		26	
		Total	342	1662	69.02		746	30.98		2408	

	Double Bay										
			1st Prefs	2255	77.97		637	22.03		2892	
		"GOLDEN, Aub (HAN)"	34	23	67.65		11	32.35		34	
		"LYSSA, Alison (GRN)"	203	44	21.67		159	78.33		203	
		"COLLINGS, Margaret (DEM)"	169	71	42.01		98	57.99		169	
		"JACOBS, Alan (UNI)"	19	10	52.63		9	47.37		19	
		Total	425	2403	72.44		914	27.56		3317	

	Dover Heights										
			1st Prefs	1667	80.41		406	19.59		2073	
		"GOLDEN, Aub (HAN)"	29	19	65.52		10	34.48		29	
		"LYSSA, Alison (GRN)"	118	32	27.12		86	72.88		118	
		"COLLINGS, Margaret (DEM)"	92	50	54.35		42	45.65		92	
		"JACOBS, Alan (UNI)"	32	9	28.13		23	71.88		32	
		Total	271	1777	75.81		567	24.19		2344	

	Edgecliff										
			1st Prefs	531	73.75		189	26.25		720	
		"GOLDEN, Aub (HAN)"	8	6	75.00		2	25.00		8	
		"LYSSA, Alison (GRN)"	46	15	32.61		31	67.39		46	
		"COLLINGS, Margaret (DEM)"	43	20	46.51		23	53.49		43	
		"JACOBS, Alan (UNI)"	3	0	0.00		3	100.00		3	
		Total	100	572	69.76		248	30.24		820	

	Glenmore										
			1st Prefs	1046	55.02		855	44.98		1901	
		"GOLDEN, Aub (HAN)"	35	22	62.86		13	37.14		35	
		"LYSSA, Alison (GRN)"	295	49	16.61		246	83.39		295	
		"COLLINGS, Margaret (DEM)"	158	56	35.44		102	64.56		158	
		"JACOBS, Alan (UNI)"	11	4	36.36		7	63.64		11	
		Total	499	1177	49.04		1223	50.96		2400	

	Holdsworth										
			1st Prefs	469	64.33		260	35.67		729	
		"GOLDEN, Aub (HAN)"	8	7	87.50		1	12.50		8	
		"LYSSA, Alison (GRN)"	90	19	21.11		71	78.89		90	
		"COLLINGS, Margaret (DEM)"	52	20	38.46		32	61.54		52	
		"JACOBS, Alan (UNI)"	4	0	0.00		4	100.00		4	
		Total	154	515	58.32		368	41.68		883	

	Paddington										
			1st Prefs	508	57.27		379	42.73		887	
		"GOLDEN, Aub (HAN)"	10	8	80.00		2	20.00		10	
		"LYSSA, Alison (GRN)"	107	15	14.02		92	85.98		107	
		"COLLINGS, Margaret (DEM)"	80	23	28.75		57	71.25		80	
		"JACOBS, Alan (UNI)"	5	0	0.00		5	100.00		5	
		Total	202	554	50.87		535	49.13		1089	

	Paddington South (Wentworth)										
			1st Prefs	322	52.70		289	47.30		611	
		"GOLDEN, Aub (HAN)"	12	9	75.00		3	25.00		12	
		"LYSSA, Alison (GRN)"	119	24	20.17		95	79.83		119	
		"COLLINGS, Margaret (DEM)"	89	33	37.08		56	62.92		89	
		"JACOBS, Alan (UNI)"	5	1	20.00		4	80.00		5	
