House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Cook																															
				FREW			POULOS			STRANG			PETERS-POWER			BAIRD			BAILEY			YOUNG			SMITH			JAMES			
				Andy			Patricia			Graeme			Cathy			Bruce			Alison			Peri			Malcolm			Peter			
				HAN						IND			GRN			LP			DEM			ALP			CTA			AFI			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bundeena                                                       																															
	FIRST			66	5.98		3	0.27		4	0.36		137	12.42		447	40.53		73	6.62		353	32.00		11	1.00		9	0.82		1103
	SECOND			0	0.00		0	0.00			Excluded		2	50.00		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		66	5.98		3	0.27					139	12.60		447	40.53		74	6.71		354	32.09		11	1.00		9	0.82		1103
	THIRD			0	0.00			Excluded					2	66.67		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		66	5.98								141	12.78		447	40.53		75	6.80		354	32.09		11	1.00		9	0.82		1103
	FOURTH			3	33.33								2	22.22		2	22.22		0	0.00		2	22.22		0	0.00			Excluded		9
		TOTAL		69	6.26								143	12.96		449	40.71		75	6.80		356	32.28		11	1.00					1103
	FIFTH			0	0.00								2	18.18		5	45.45		1	9.09		3	27.27			Excluded					11
		TOTAL		69	6.26								145	13.15		454	41.16		76	6.89		359	32.55								1103
	SIXTH			2	2.63								48	63.16		12	15.79			Excluded		14	18.42								76
		TOTAL		71	6.44								193	17.50		466	42.25					373	33.82								1103
	SEVENTH			11	5.70									Excluded		28	14.51					154	79.79								193
		TOTAL		82	7.43											494	44.79					527	47.78								1103
	EIGHTH				Excluded											36	43.90					46	56.10								82
		TOTAL														530	48.05					573	51.95								1103
																Elected															
																															
Burraneer Bay                                                  																															
	FIRST			152	4.54		14	0.42		14	0.42		84	2.51		2300	68.72		99	2.96		625	18.67		30	0.90		29	0.87		3347
	SECOND			2	14.29		1	7.14			Excluded		3	21.43		2	14.29		2	14.29		3	21.43		0	0.00		1	7.14		14
		TOTAL		154	4.60		15	0.45					87	2.60		2302	68.78		101	3.02		628	18.76		30	0.90		30	0.90		3347
	THIRD			6	40.00			Excluded					3	20.00		3	20.00		1	6.67		2	13.33		0	0.00		0	0.00		15
		TOTAL		160	4.78								90	2.69		2305	68.87		102	3.05		630	18.82		30	0.90		30	0.90		3347
	FOURTH			14	46.67								4	13.33		5	16.67		0	0.00		4	13.33		3	10.00			Excluded		30
		TOTAL		174	5.20								94	2.81		2310	69.02		102	3.05		634	18.94		33	0.99					3347
	FIFTH			0	0.00								1	3.03		21	63.64		2	6.06		9	27.27			Excluded					33
		TOTAL		174	5.20								95	2.84		2331	69.64		104	3.11		643	19.21								3347
	SIXTH			1	0.96								52	50.00		14	13.46			Excluded		37	35.58								104
		TOTAL		175	5.23								147	4.39		2345	70.06					680	20.32								3347
	SEVENTH			16	10.88									Excluded		42	28.57					89	60.54								147
		TOTAL		191	5.71											2387	71.32					769	22.98								3347
	EIGHTH				Excluded											103	53.93					88	46.07								191
		TOTAL														2490	74.39					857	25.61								3347
																Elected															
																															
Caringbah                                                      																															
	FIRST			191	5.74		20	0.60		18	0.54		81	2.43		1945	58.41		148	4.44		849	25.50		49	1.47		29	0.87		3330
	SECOND			2	11.11		2	11.11			Excluded		6	33.33		2	11.11		4	22.22		1	5.56		0	0.00		1	5.56		18
		TOTAL		193	5.80		22	0.66					87	2.61		1947	58.47		152	4.56		850	25.53		49	1.47		30	0.90		3330
	THIRD			5	22.73			Excluded					4	18.18		3	13.64		3	13.64		4	18.18		1	4.55		2	9.09		22
		TOTAL		198	5.95								91	2.73		1950	58.56		155	4.65		854	25.65		50	1.50		32	0.96		3330
	FOURTH			10	31.25								1	3.13		10	31.25		1	3.13		8	25.00		2	6.25			Excluded		32
		TOTAL		208	6.25								92	2.76		1960	58.86		156	4.68		862	25.89		52	1.56					3330
	FIFTH			3	5.77								3	5.77		33	63.46		7	13.46		6	11.54			Excluded					52
		TOTAL		211	6.34								95	2.85		1993	59.85		163	4.89		868	26.07								3330
	SIXTH			9	5.52								69	42.33		35	21.47			Excluded		50	30.67								163
		TOTAL		220	6.61								164	4.92		2028	60.90					918	27.57								3330
	SEVENTH			19	11.59									Excluded		36	21.95					109	66.46								164
		TOTAL		239	7.18											2064	61.98					1027	30.84								3330
	EIGHTH				Excluded											104	43.51					135	56.49								239
		TOTAL														2168	65.11					1162	34.89								3330
																Elected															
																															
Caringbah Central                                              																															
	FIRST			70	6.52		7	0.65		10	0.93		25	2.33		566	52.75		37	3.45		313	29.17		36	3.36		9	0.84		1073
	SECOND			3	30.00		2	20.00			Excluded		3	30.00		0	0.00		0	0.00		2	20.00		0	0.00		0	0.00		10
		TOTAL		73	6.80		9	0.84					28	2.61		566	52.75		37	3.45		315	29.36		36	3.36		9	0.84		1073
	THIRD			2	22.22			Excluded					2	22.22		1	11.11		0	0.00		3	33.33		1	11.11		0	0.00		9
		TOTAL		75	6.99								30	2.80		567	52.84		37	3.45		318	29.64		37	3.45		9	0.84		1073
	FOURTH			6	66.67								1	11.11		0	0.00		0	0.00		1	11.11		1	11.11			Excluded		9
		TOTAL		81	7.55								31	2.89		567	52.84		37	3.45		319	29.73		38	3.54					1073
	FIFTH			4	10.53								3	7.89		21	55.26		4	10.53		6	15.79			Excluded					38
		TOTAL		85	7.92								34	3.17		588	54.80		41	3.82		325	30.29								1073
	SIXTH			0	0.00								14	34.15		12	29.27			Excluded		15	36.59								41
		TOTAL		85	7.92								48	4.47		600	55.92					340	31.69								1073
	SEVENTH			5	10.42									Excluded		9	18.75					34	70.83								48
		TOTAL		90	8.39											609	56.76					374	34.86								1073
	EIGHTH				Excluded											39	43.33					51	56.67								90
		TOTAL														648	60.39					425	39.61								1073
																Elected															
																															
Caringbah North                                                																															
	FIRST			192	7.20		14	0.52		15	0.56		100	3.75		1346	50.47		101	3.79		821	30.78		40	1.50		38	1.42		2667
	SECOND			0	0.00		0	0.00			Excluded		8	53.33		3	20.00		2	13.33		1	6.67		0	0.00		1	6.67		15
		TOTAL		192	7.20		14	0.52					108	4.05		1349	50.58		103	3.86		822	30.82		40	1.50		39	1.46		2667
	THIRD			5	35.71			Excluded					2	14.29		3	21.43		0	0.00		1	7.14		1	7.14		2	14.29		14
		TOTAL		197	7.39								110	4.12		1352	50.69		103	3.86		823	30.86		41	1.54		41	1.54		2667
	FOURTH			8	19.51								7	17.07		14	34.15		1	2.44		7	17.07		4	9.76			Excluded		41
		TOTAL		205	7.69								117	4.39		1366	51.22		104	3.90		830	31.12		45	1.69					2667
	FIFTH			8	17.78								4	8.89		23	51.11		3	6.67		7	15.56			Excluded					45
		TOTAL		213	7.99								121	4.54		1389	52.08		107	4.01		837	31.38								2667
	SIXTH			5	4.67								39	36.45		25	23.36			Excluded		38	35.51								107
		TOTAL		218	8.17								160	6.00		1414	53.02					875	32.81								2667
	SEVENTH			21	13.13									Excluded		38	23.75					101	63.13								160
		TOTAL		239	8.96											1452	54.44					976	36.60								2667
	EIGHTH				Excluded											108	45.19					131	54.81								239
		TOTAL														1560	58.49					1107	41.51								2667
																Elected															
																															
Caringbah West                                                 																															
	FIRST			110	5.76		8	0.42		8	0.42		76	3.98		1063	55.63		56	2.93		545	28.52		34	1.78		11	0.58		1911
	SECOND			1	12.50		0	0.00			Excluded		4	50.00		1	12.50		0	0.00		2	25.00		0	0.00		0	0.00		8
		TOTAL		111	5.81		8	0.42					80	4.19		1064	55.68		56	2.93		547	28.62		34	1.78		11	0.58		1911
	THIRD			2	25.00			Excluded					1	12.50		2	25.00		0	0.00		1	12.50		1	12.50		1	12.50		8
		TOTAL		113	5.91								81	4.24		1066	55.78		56	2.93		548	28.68		35	1.83		12	0.63		1911
	FOURTH			7	58.33								1	8.33		2	16.67		1	8.33		1	8.33		0	0.00			Excluded		12
		TOTAL		120	6.28								82	4.29		1068	55.89		57	2.98		549	28.73		35	1.83					1911
	FIFTH			3	8.57								3	8.57		20	57.14		5	14.29		4	11.43			Excluded					35
		TOTAL		123	6.44								85	4.45		1088	56.93		62	3.24		553	28.94								1911
	SIXTH			34	54.84								0	0.00		10	16.13			Excluded		18	29.03								62
		TOTAL		157	8.22								85	4.45		1098	57.46					571	29.88								1911
	SEVENTH			12	14.12									Excluded		16	18.82					57	67.06								85
		TOTAL		169	8.84											1114	58.29					628	32.86								1911
	EIGHTH				Excluded											72	42.60					97	57.40								169
		TOTAL														1186	62.06					725	37.94								1911
																Elected															
																															
Cronulla                                                       																															
	FIRST			122	5.31		13	0.57		14	0.61		87	3.79		1426	62.11		104	4.53		476	20.73		29	1.26		25	1.09		2296
	SECOND			2	14.29		0	0.00			Excluded		4	28.57		3	21.43		4	28.57		1	7.14		0	0.00		0	0.00		14
		TOTAL		124	5.40		13	0.57					91	3.96		1429	62.24		108	4.70		477	20.78		29	1.26		25	1.09		2296
	THIRD			5	38.46			Excluded					1	7.69		3	23.08		2	15.38		2	15.38		0	0.00		0	0.00		13
		TOTAL		129	5.62								92	4.01		1432	62.37		110	4.79		479	20.86		29	1.26		25	1.09		2296
	FOURTH			5	20.00								7	28.00		4	16.00		3	12.00		4	16.00		2	8.00			Excluded		25
		TOTAL		134	5.84								99	4.31		1436	62.54		113	4.92		483	21.04		31	1.35					2296
	FIFTH			0	0.00								5	16.13		17	54.84		2	6.45		7	22.58			Excluded					31
		TOTAL		134	5.84								104	4.53		1453	63.28		115	5.01		490	21.34								2296
	SIXTH			8	6.96								57	49.57		22	19.13			Excluded		28	24.35								115
		TOTAL		142	6.18								161	7.01		1475	64.24					518	22.56								2296
	SEVENTH			20	12.42									Excluded		47	29.19					94	58.39								161
		TOTAL		162	7.06											1522	66.29					612	26.66								2296
	EIGHTH				Excluded											81	50.00					81	50.00								162
		TOTAL														1603	69.82					693	30.18								2296
																Elected															
																															
Cronulla Central                                               																															
	FIRST			117	6.21		9	0.48		9	0.48		95	5.04		1021	54.19		75	3.98		500	26.54		33	1.75		25	1.33		1884
