House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Werriwa (83153)											
		Candidate		"MASINA, Paul"		               	"LATHAM, Mark"		               	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Austral (Werriwa)										
			1st Prefs	630	56.65		482	43.35		1112	
		"URI, John (UNI)"	43	34	79.07		9	20.93		43	
		"WOODGER, Janey (AFI)"	15	10	66.67		5	33.33		15	
		"TAN, Greg (CTA)"	26	14	53.85		12	46.15		26	
		"BLANCH, Glenda (DEM)"	24	8	33.33		16	66.67		24	
		"BARSONY, Roger (GRN)"	23	6	26.09		17	73.91		23	
		"KOTARSKI, P (HAN)"	83	64	77.11		19	22.89		83	
		Total	214	766	57.77		560	42.23		1326	

	Campbellfield										
			1st Prefs	319	31.24		702	68.76		1021	
		"URI, John (UNI)"	22	15	68.18		7	31.82		22	
		"WOODGER, Janey (AFI)"	23	6	26.09		17	73.91		23	
		"TAN, Greg (CTA)"	18	11	61.11		7	38.89		18	
		"BLANCH, Glenda (DEM)"	33	12	36.36		21	63.64		33	
		"BARSONY, Roger (GRN)"	35	8	22.86		27	77.14		35	
		"KOTARSKI, P (HAN)"	54	19	35.19		35	64.81		54	
		Total	185	390	32.34		816	67.66		1206	

	Cartwright (Werriwa)										
			1st Prefs	97	21.90		346	78.10		443	
		"URI, John (UNI)"	29	21	72.41		8	27.59		29	
		"WOODGER, Janey (AFI)"	12	9	75.00		3	25.00		12	
		"TAN, Greg (CTA)"	9	3	33.33		6	66.67		9	
		"BLANCH, Glenda (DEM)"	11	0	0.00		11	100.00		11	
		"BARSONY, Roger (GRN)"	16	3	18.75		13	81.25		16	
		"KOTARSKI, P (HAN)"	35	17	48.57		18	51.43		35	
		Total	112	150	27.03		405	72.97		555	

	Casula										
			1st Prefs	1089	38.18		1763	61.82		2852	
		"URI, John (UNI)"	65	53	81.54		12	18.46		65	
		"WOODGER, Janey (AFI)"	54	29	53.70		25	46.30		54	
		"TAN, Greg (CTA)"	91	70	76.92		21	23.08		91	
		"BLANCH, Glenda (DEM)"	93	35	37.63		58	62.37		93	
		"BARSONY, Roger (GRN)"	69	13	18.84		56	81.16		69	
		"KOTARSKI, P (HAN)"	161	85	52.80		76	47.20		161	
		Total	533	1374	40.59		2011	59.41		3385	

	Casula South										
			1st Prefs	618	46.78		703	53.22		1321	
		"URI, John (UNI)"	24	16	66.67		8	33.33		24	
		"WOODGER, Janey (AFI)"	29	18	62.07		11	37.93		29	
		"TAN, Greg (CTA)"	27	22	81.48		5	18.52		27	
		"BLANCH, Glenda (DEM)"	38	11	28.95		27	71.05		38	
		"BARSONY, Roger (GRN)"	34	15	44.12		19	55.88		34	
		"KOTARSKI, P (HAN)"	61	34	55.74		27	44.26		61	
		Total	213	734	47.85		800	52.15		1534	

	Cecil Hills										
			1st Prefs	968	41.12		1386	58.88		2354	
		"URI, John (UNI)"	59	43	72.88		16	27.12		59	
		"WOODGER, Janey (AFI)"	29	18	62.07		11	37.93		29	
		"TAN, Greg (CTA)"	56	39	69.64		17	30.36		56	
		"BLANCH, Glenda (DEM)"	72	32	44.44		40	55.56		72	
		"BARSONY, Roger (GRN)"	92	30	32.61		62	67.39		92	
		"KOTARSKI, P (HAN)"	75	31	41.33		44	58.67		75	
		Total	383	1161	42.42		1576	57.58		2737	

	Curran										
			1st Prefs	269	26.45		748	73.55		1017	
		"URI, John (UNI)"	52	35	67.31		17	32.69		52	
		"WOODGER, Janey (AFI)"	27	11	40.74		16	59.26		27	
		"TAN, Greg (CTA)"	21	11	52.38		10	47.62		21	
		"BLANCH, Glenda (DEM)"	31	6	19.35		25	80.65		31	
		"BARSONY, Roger (GRN)"	26	8	30.77		18	69.23		26	
		"KOTARSKI, P (HAN)"	69	32	46.38		37	53.62		69	
		Total	226	372	29.93		871	70.07		1243	

	Glenfield										
			1st Prefs	728	40.58		1066	59.42		1794	
		"URI, John (UNI)"	30	18	60.00		12	40.00		30	
		"WOODGER, Janey (AFI)"	39	22	56.41		17	43.59		39	
		"TAN, Greg (CTA)"	56	38	67.86		18	32.14		56	
		"BLANCH, Glenda (DEM)"	63	22	34.92		41	65.08		63	
		"BARSONY, Roger (GRN)"	77	15	19.48		62	80.52		77	
		"KOTARSKI, P (HAN)"	111	54	48.65		57	51.35		111	
		Total	376	897	41.34		1273	58.66		2170	

	Glenfield East										
			1st Prefs	485	41.81		675	58.19		1160	
		"URI, John (UNI)"	26	25	96.15		1	3.85		26	
		"WOODGER, Janey (AFI)"	24	7	29.17		17	70.83		24	
		"TAN, Greg (CTA)"	29	17	58.62		12	41.38		29	
		"BLANCH, Glenda (DEM)"	40	17	42.50		23	57.50		40	
		"BARSONY, Roger (GRN)"	32	10	31.25		22	68.75		32	
		"KOTARSKI, P (HAN)"	63	37	58.73		26	41.27		63	
		Total	214	598	43.52		776	56.48		1374	

	Green Valley										
			1st Prefs	966	33.84		1889	66.16		2855	
		"URI, John (UNI)"	96	72	75.00		24	25.00		96	
		"WOODGER, Janey (AFI)"	34	22	64.71		12	35.29		34	
		"TAN, Greg (CTA)"	91	57	62.64		34	37.36		91	
		"BLANCH, Glenda (DEM)"	59	22	37.29		37	62.71		59	
		"BARSONY, Roger (GRN)"	97	34	35.05		63	64.95		97	
		"KOTARSKI, P (HAN)"	90	47	52.22		43	47.78		90	
		Total	467	1220	36.72		2102	63.28		3322	

	Greenway Park										
			1st Prefs	539	43.19		709	56.81		1248	
		"URI, John (UNI)"	26	19	73.08		7	26.92		26	
		"WOODGER, Janey (AFI)"	19	14	73.68		5	26.32		19	
		"TAN, Greg (CTA)"	29	16	55.17		13	44.83		29	
		"BLANCH, Glenda (DEM)"	40	15	37.50		25	62.50		40	
		"BARSONY, Roger (GRN)"	29	7	24.14		22	75.86		29	
		"KOTARSKI, P (HAN)"	34	19	55.88		15	44.12		34	
		Total	177	629	44.14		796	55.86		1425	

	Guise										
			1st Prefs	188	19.96		754	80.04		942	
		"URI, John (UNI)"	27	19	70.37		8	29.63		27	
		"WOODGER, Janey (AFI)"	22	11	50.00		11	50.00		22	
		"TAN, Greg (CTA)"	21	12	57.14		9	42.86		21	
		"BLANCH, Glenda (DEM)"	15	5	33.33		10	66.67		15	
		"BARSONY, Roger (GRN)"	20	4	20.00		16	80.00		20	
		"KOTARSKI, P (HAN)"	58	25	43.10		33	56.90		58	
		Total	163	264	23.89		841	76.11		1105	

	Hinchinbrook										
			1st Prefs	981	34.10		1896	65.90		2877	
		"URI, John (UNI)"	72	58	80.56		14	19.44		72	
		"WOODGER, Janey (AFI)"	36	19	52.78		17	47.22		36	
		"TAN, Greg (CTA)"	69	43	62.32		26	37.68		69	
		"BLANCH, Glenda (DEM)"	66	26	39.39		40	60.61		66	
		"BARSONY, Roger (GRN)"	87	19	21.84		68	78.16		87	
		"KOTARSKI, P (HAN)"	121	70	57.85		51	42.15		121	
		Total	451	1216	36.54		2112	63.46		3328	

	Hoxton Park										
			1st Prefs	598	32.06		1267	67.94		1865	
		"URI, John (UNI)"	67	39	58.21		28	41.79		67	
		"WOODGER, Janey (AFI)"	24	12	50.00		12	50.00		24	
		"TAN, Greg (CTA)"	83	57	68.67		26	31.33		83	
		"BLANCH, Glenda (DEM)"	57	12	21.05		45	78.95		57	
		"BARSONY, Roger (GRN)"	44	9	20.45		35	79.55		44	
		"KOTARSKI, P (HAN)"	75	44	58.67		31	41.33		75	
		Total	350	771	34.81		1444	65.19		2215	

	Ingleburn										
			1st Prefs	1319	45.33		1591	54.67		2910	
		"URI, John (UNI)"	56	36	64.29		20	35.71		56	
		"WOODGER, Janey (AFI)"	70	37	52.86		33	47.14		70	
		"TAN, Greg (CTA)"	124	94	75.81		30	24.19		124	
		"BLANCH, Glenda (DEM)"	77	32	41.56		45	58.44		77	
		"BARSONY, Roger (GRN)"	141	22	15.60		119	84.40		141	
		"KOTARSKI, P (HAN)"	180	101	56.11		79	43.89		180	
		Total	648	1641	46.12		1917	53.88		3558	

	Ingleburn High										
			1st Prefs	461	46.85		523	53.15		984	
		"URI, John (UNI)"	17	8	47.06		9	52.94		17	
		"WOODGER, Janey (AFI)"	10	4	40.00		6	60.00		10	
		"TAN, Greg (CTA)"	23	12	52.17		11	47.83		23	
		"BLANCH, Glenda (DEM)"	35	9	25.71		26	74.29		35	
		"BARSONY, Roger (GRN)"	46	9	19.57		37	80.43		46	
		"KOTARSKI, P (HAN)"	42	26	61.90		16	38.10		42	
		Total	173	529	45.72		628	54.28		1157	

	Ingleburn North										
			1st Prefs	390	69.15		174	30.85		564	
		"URI, John (UNI)"	5	4	80.00		1	20.00		5	
		"WOODGER, Janey (AFI)"	8	6	75.00		2	25.00		8	
		"TAN, Greg (CTA)"	3	3	100.00		0	0.00		3	
		"BLANCH, Glenda (DEM)"	18	9	50.00		9	50.00		18	
		"BARSONY, Roger (GRN)"	16	6	37.50		10	62.50		16	
