House of Representatives - 2001 Election: New South Wales 																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Reid (77031)																																										
	CHAMAS			ARCHER			MAXWELL			LEDERMANN			MACDONALD			YUSUF			O'CONNOR			# FERGUSON			FORMAL			INFORMAL			TOTAL											
	Habib			Adrian Peter			Steve			Uwe			Lisa			Irfan			Shane			Laurie												Two Candidate Preferred								
	UNI			DEM			GRN			CTA						LP			HAN			ALP												 YUSUF LP			# FERGUSON ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Auburn	34	3.58		38	4.00		28	2.95		11	1.16		22	2.32		177	18.63		17	1.79		623	65.58		950	88.62		122	11.38		1072	1.49		261	27.47		689	72.53				
Auburn East	20	3.17		28	4.44		20	3.17		20	3.17		10	1.59		143	22.70		36	5.71		353	56.03		630	83.89		121	16.11		751	1.05		206	32.70		424	67.30				
Auburn Hospital	40	5.33		23	3.06		28	3.73		12	1.60		8	1.07		137	18.24		24	3.20		479	63.78		751	84.19		141	15.81		892	1.24		202	26.90		549	73.10				
Auburn North	96	6.05		45	2.84		43	2.71		11	0.69		16	1.01		231	14.56		30	1.89		1115	70.26		1587	86.02		258	13.98		1845	2.57		320	20.16		1267	79.84				
Auburn West	184	6.85		66	2.46		91	3.39		35	1.30		46	1.71		442	16.45		131	4.88		1692	62.97		2687	82.80		558	17.20		3245	4.52		683	25.42		2004	74.58				
Berala	194	6.13		101	3.19		88	2.78		59	1.86		53	1.67		519	16.39		134	4.23		2019	63.75		3167	86.72		485	13.28		3652	5.08		801	25.29		2366	74.71				
Blaxcell	204	4.80		85	2.00		87	2.05		112	2.64		84	1.98		716	16.86		243	5.72		2715	63.94		4246	90.24		459	9.76		4705	6.55		1208	28.45		3038	71.55				
Cardinal Gilroy Village	15	3.84		8	2.05		5	1.28		9	2.30		3	0.77		134	34.27		25	6.39		192	49.10		391	93.99		25	6.01		416	0.58		178	45.52		213	54.48
Fowler Road	86	3.51		80	3.26		60	2.45		59	2.41		32	1.30		703	28.66		190	7.75		1243	50.67		2453	88.81		309	11.19		2762	3.84		990	40.36		1463	59.64
Granville	176	6.16		78	2.73		91	3.19		87	3.05		48	1.68		506	17.71		91	3.19		1780	62.30		2857	87.53		407	12.47		3264	4.54		773	27.06		2084	72.94
Granville North (Reid)	33	5.25		19	3.02		17	2.70		14	2.23		6	0.95		141	22.42		20	3.18		379	60.25		629	91.03		62	8.97		691	0.96		202	32.11		427	67.89
Granville South	93	5.70		49	3.00		39	2.39		30	1.84		20	1.22		372	22.78		96	5.88		934	57.20		1633	89.19		198	10.81		1831	2.55		542	33.19		1091	66.81
Guildford	90	4.77		60	3.18		51	2.70		59	3.13		26	1.38		444	23.54		103	5.46		1053	55.83		1886	91.07		185	8.93		2071	2.88		651	34.52		1235	65.48
Guildford East	85	4.79		58	3.27		45	2.53		62	3.49		23	1.30		439	24.72		109	6.14		955	53.77		1776	88.40		233	11.60		2009	2.80		659	37.11		1117	62.89
Guildford West	55	2.24		82	3.34		61	2.49		47	1.92		38	1.55		665	27.10		301	12.27		1205	49.10		2454	89.37		292	10.63		2746	3.82		1021	41.61		1433	58.39
