House of Representatives - 2001 Election: New South Wales																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Page (82272)																																																					
	POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			# CAUSLEY			GRIFFITHS			MATHEW			FORMAL			INFORMAL			TOTAL		Two Candidate Preferred								
	Kathryn			Tom			Edda			Doug			Allan			Judy			Arthur James			Terry			John			Ian			Angela			Marie												 FLANAGAN ALP			# CAUSLEY				
	IND			IND						IND			DEM			HMP			CTA			CLR			GRN			NP			CEC			HAN												CLR			NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Ballina	92	2.24		192	4.67		7	0.17		21	0.51		128	3.11		55	1.34		102	2.48		1414	34.40		217	5.28		1694	41.22		5	0.12		183	4.45		4110	93.52		285	6.48		4395	5.58		2008	48.86		2102	51.14			
Ballina East	28	1.23		95	4.17		3	0.13		10	0.44		87	3.82		28	1.23		47	2.07		691	30.36		162	7.12		1072	47.10		3	0.13		50	2.20		2276	94.68		128	5.32		2404	3.05		1010	44.38		1266	55.62			
Ballina Hospital	30	1.91		60	3.82		3	0.19		6	0.38		40	2.55		17	1.08		35	2.23		550	35.01		86	5.47		681	43.35		2	0.13		61	3.88		1571	91.71		142	8.29		1713	2.18		749	47.68		822	52.32			
Ballina West	13	1.35		72	7.46		3	0.31		2	0.21		13	1.35		8	0.83		30	3.11		290	30.05		23	2.38		483	50.05		1	0.10		27	2.80		965	94.79		53	5.21		1018	1.29		390	40.41		575	59.59			
Baryulgil	0	0.00		2	4.65		0	0.00		0	0.00		1	2.33		0	0.00		0	0.00		10	23.26		1	2.33		24	55.81		0	0.00		5	11.63		43	93.48		3	6.52		46	0.06		12	27.91		31	72.09			
Bentley	2	0.78		48	18.68		1	0.39		2	0.78		7	2.72		3	1.17		4	1.56		47	18.29		17	6.61		117	45.53		1	0.39		8	3.11		257	98.85		3	1.15		260	0.33		94	36.58		163	63.42			
Bexhill	11	2.22		47	9.49		3	0.61		0	0.00		13	2.63		8	1.62		11	2.22		85	17.17		55	11.11		248	50.10		0	0.00		14	2.83		495	98.21		9	1.79		504	0.64		189	38.18		306	61.82			
Bonalbo	3	0.84		146	40.78		0	0.00		1	0.28		3	0.84		2	0.56		0	0.00		46	12.85		13	3.63		139	38.83		0	0.00		5	1.40		358	93.23		26	6.77		384	0.49		142	39.66		216	60.34
Broadwater	9	2.30		24	6.14		0	0.00		18	4.60		8	2.05		7	1.79		9	2.30		139	35.55		35	8.95		128	32.74		1	0.26		13	3.32		391	93.10		29	6.90		420	0.53		216	55.24		175	44.76
Caniaba	7	2.53		30	10.83		1	0.36		4	1.44		5	1.81		7	2.53		4	1.44		55	19.86		8	2.89		145	52.35		0	0.00		11	3.97		277	95.85		12	4.15		289	0.37		88	31.77		189	68.23
