House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
				Kathryn			Tom			Edda			Doug			Allan			Judy			Arthur James			Terry			John			Ian			Angela			Marie				
				IND			IND						IND			DEM			HMP			CTA			CLR			GRN			NP			CEC			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ballina                                                        																																									
	FIRST			92	2.24		192	4.67		7	0.17		21	0.51		128	3.11		55	1.34		102	2.48		1414	34.40		217	5.28		1694	41.22		5	0.12		183	4.45		4110	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	40.00		2	40.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		92	2.24		192	4.67		7	0.17		21	0.51		128	3.11		55	1.34		102	2.48		1416	34.45		219	5.33		1695	41.24					183	4.45		4110	
	THIRD			0	0.00		3	42.86			Excluded		1	14.29		1	14.29		0	0.00		1	14.29		0	0.00		1	14.29		0	0.00					0	0.00		7	
		TOTAL		92	2.24		195	4.74					22	0.54		129	3.14		55	1.34		103	2.51		1416	34.45		220	5.35		1695	41.24					183	4.45		4110	
	FOURTH			3	13.64		9	40.91						Excluded		2	9.09		2	9.09		2	9.09		1	4.55		2	9.09		1	4.55					0	0.00		22	
		TOTAL		95	2.31		204	4.96								131	3.19		57	1.39		105	2.55		1417	34.48		222	5.40		1696	41.27					183	4.45		4110	
	FIFTH				Excluded		60	63.16								6	6.32		1	1.05		4	4.21		8	8.42		9	9.47		3	3.16					4	4.21		95	
		TOTAL					264	6.42								137	3.33		58	1.41		109	2.65		1425	34.67		231	5.62		1699	41.34					187	4.55		4110	
	SIXTH						6	10.34								4	6.90			Excluded		1	1.72		12	20.69		27	46.55		5	8.62					3	5.17		58	
		TOTAL					270	6.57								141	3.43					110	2.68		1437	34.96		258	6.28		1704	41.46					190	4.62		4110	
	SEVENTH						8	7.27								6	5.45						Excluded		11	10.00		5	4.55		75	68.18					5	4.55		110	
		TOTAL					278	6.76								147	3.58								1448	35.23		263	6.40		1779	43.28					195	4.74		4110	
	EIGHTH						68	46.26									Excluded								32	21.77		29	19.73		16	10.88					2	1.36		147	
		TOTAL					346	8.42																	1480	36.01		292	7.10		1795	43.67					197	4.79		4110	
	NINTH						70	35.53																	34	17.26		30	15.23		63	31.98						Excluded		197	
		TOTAL					416	10.12																	1514	36.84		322	7.83		1858	45.21								4110	
	TENTH						147	45.65																	113	35.09			Excluded		62	19.25								322	
		TOTAL					563	13.70																	1627	39.59					1920	46.72								4110	
	ELEVENTH							Excluded																	381	67.67					182	32.33								563	
		TOTAL																							2008	48.86					2102	51.14								4110	
																															Elected										
																																									
Ballina East                                                   																																									
	FIRST			28	1.23		95	4.17		3	0.13		10	0.44		87	3.82		28	1.23		47	2.07		691	30.36		162	7.12		1072	47.10		3	0.13		50	2.20		2276	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		28	1.23		96	4.22		3	0.13		10	0.44		87	3.82		28	1.23		47	2.07		691	30.36		162	7.12		1073	47.14					51	2.24		2276	
	THIRD			0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33					1	33.33		3	
		TOTAL		28	1.23		97	4.26					10	0.44		87	3.82		28	1.23		47	2.07		691	30.36		162	7.12		1074	47.19					52	2.28		2276	
	FOURTH			0	0.00		5	50.00						Excluded		1	10.00		0	0.00		1	10.00		2	20.00		0	0.00		1	10.00					0	0.00		10	
		TOTAL		28	1.23		102	4.48								88	3.87		28	1.23		48	2.11		693	30.45		162	7.12		1075	47.23					52	2.28		2276	
	FIFTH				Excluded		17	60.71								1	3.57		3	10.71		0	0.00		4	14.29		0	0.00		2	7.14					1	3.57		28	
		TOTAL					119	5.23								89	3.91		31	1.36		48	2.11		697	30.62		162	7.12		1077	47.32					53	2.33		2276	
	SIXTH						5	16.13								7	22.58			Excluded		2	6.45		7	22.58		7	22.58		2	6.45					1	3.23		31	
		TOTAL					124	5.45								96	4.22					50	2.20		704	30.93		169	7.43		1079	47.41					54	2.37		2276	
	SEVENTH						6	12.00								2	4.00						Excluded		2	4.00		3	6.00		37	74.00					0	0.00		50	
		TOTAL					130	5.71								98	4.31								706	31.02		172	7.56		1116	49.03					54	2.37		2276	
	EIGHTH						21	21.43									Excluded								31	31.63		34	34.69		11	11.22					1	1.02		98	
		TOTAL					151	6.63																	737	32.38		206	9.05		1127	49.52					55	2.42		2276	
	NINTH						13	23.64																	15	27.27		9	16.36		18	32.73						Excluded		55	
		TOTAL					164	7.21																	752	33.04		215	9.45		1145	50.31								2276	
	TENTH						79	36.74																	95	44.19			Excluded		41	19.07								215	
		TOTAL					243	10.68																	847	37.21					1186	52.11								2276	
	ELEVENTH							Excluded																	163	67.08					80	32.92								243	
		TOTAL																							1010	44.38					1266	55.62								2276	
																															Elected										
																																									
Ballina Hospital                                               																																									
	FIRST			30	1.91		60	3.82		3	0.19		6	0.38		40	2.55		17	1.08		35	2.23		550	35.01		86	5.47		681	43.35		2	0.13		61	3.88		1571	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2	
		TOTAL		30	1.91		60	3.82		3	0.19		6	0.38		40	2.55		17	1.08		35	2.23		550	35.01		86	5.47		683	43.48					61	3.88		1571	
	THIRD			0	0.00		1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL		30	1.91		61	3.88					6	0.38		40	2.55		18	1.15		35	2.23		551	35.07		86	5.47		683	43.48					61	3.88		1571	
	FOURTH			1	16.67		2	33.33						Excluded		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00					0	0.00		6	
		TOTAL		31	1.97		63	4.01								41	2.61		18	1.15		35	2.23		552	35.14		87	5.54		683	43.48					61	3.88		1571	
	FIFTH				Excluded		23	74.19								1	3.23		1	3.23		0	0.00		1	3.23		3	9.68		0	0.00					2	6.45		31	
		TOTAL					86	5.47								42	2.67		19	1.21		35	2.23		553	35.20		90	5.73		683	43.48					63	4.01		1571	
	SIXTH						2	10.53								4	21.05			Excluded		2	10.53		5	26.32		5	26.32		0	0.00					1	5.26		19	
		TOTAL					88	5.60								46	2.93					37	2.36		558	35.52		95	6.05		683	43.48					64	4.07		1571	
	SEVENTH						4	10.81								1	2.70						Excluded		2	5.41		3	8.11		25	67.57					2	5.41		37	
		TOTAL					92	5.86								47	2.99								560	35.65		98	6.24		708	45.07					66	4.20		1571	
	EIGHTH						12	25.53									Excluded								9	19.15		18	38.30		4	8.51					4	8.51		47	
		TOTAL					104	6.62																	569	36.22		116	7.38		712	45.32					70	4.46		1571	
	NINTH						21	30.00																	16	22.86		9	12.86		24	34.29						Excluded		70	
		TOTAL					125	7.96																	585	37.24		125	7.96		736	46.85								1571	
	TENTH						55	44.00																	44	35.20			Excluded		26	20.80								125	
		TOTAL					180	11.46																	629	40.04					762	48.50								1571	
	ELEVENTH							Excluded																	120	66.67					60	33.33								180	
		TOTAL																							749	47.68					822	52.32								1571	
																															Elected										
																																									
Ballina West                                                   																																									
	FIRST			13	1.35		72	7.46		3	0.31		2	0.21		13	1.35		8	0.83		30	3.11		290	30.05		23	2.38		483	50.05		1	0.10		27	2.80		965	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		13	1.35		72	7.46		3	0.31		2	0.21		13	1.35		8	0.83		30	3.11		290	30.05		23	2.38		483	50.05					28	2.90		965	
	THIRD			0	0.00		2	66.67			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL		13	1.35		74	7.67					2	0.21		13	1.35		9	0.93		30	3.11		290	30.05		23	2.38		483	50.05					28	2.90		965	
	FOURTH			0	0.00		1	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		13	1.35		75	7.77								13	1.35		9	0.93		30	3.11		290	30.05		24	2.49		483	50.05					28	2.90		965	
	FIFTH				Excluded		9	69.23								0	0.00		0	0.00		0	0.00		0	0.00		1	7.69		1	7.69					2	15.38		13	
		TOTAL					84	8.70								13	1.35		9	0.93		30	3.11		290	30.05		25	2.59		484	50.16					30	3.11		965	
