House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Charlton																									
				HOARE			BLYTH			KENDALL			PATERSON			BELL			JOHNSON			THORPE			
				Kelly			David			Jim			Lindsay			Joshua			Bob			John			
				ALP			GRN			CTA			LP			DEM			HAN			UNI			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Ambleside                                                      																									
	FIRST			783	41.41		75	3.97		51	2.70		755	39.93		105	5.55		117	6.19		5	0.26		1891
	SECOND			2	40.00		0	0.00		0	0.00		1	20.00		0	0.00		2	40.00			Excluded		5
		TOTAL		785	41.51		75	3.97		51	2.70		756	39.98		105	5.55		119	6.29					1891
	THIRD			8	15.69		6	11.76			Excluded		27	52.94		3	5.88		7	13.73					51
		TOTAL		793	41.94		81	4.28					783	41.41		108	5.71		126	6.66					1891
	FOURTH			31	38.27			Excluded					13	16.05		35	43.21		2	2.47					81
		TOTAL		824	43.57								796	42.09		143	7.56		128	6.77					1891
	FIFTH			74	51.75								50	34.97			Excluded		19	13.29					143
		TOTAL		898	47.49								846	44.74					147	7.77					1891
	SIXTH			58	39.46								89	60.54						Excluded					147
		TOTAL		956	50.56								935	49.44											1891
				Elected																					
																									
Arcadia Vale                                                   																									
	FIRST			384	49.93		23	2.99		13	1.69		185	24.06		43	5.59		116	15.08		5	0.65		769
	SECOND			0	0.00		2	40.00		0	0.00		0	0.00		1	20.00		2	40.00			Excluded		5
		TOTAL		384	49.93		25	3.25		13	1.69		185	24.06		44	5.72		118	15.34					769
	THIRD			3	23.08		0	0.00			Excluded		8	61.54		2	15.38		0	0.00					13
		TOTAL		387	50.33		25	3.25					193	25.10		46	5.98		118	15.34					769
	FOURTH			7	28.00			Excluded					6	24.00		9	36.00		3	12.00					25
		TOTAL		394	51.24								199	25.88		55	7.15		121	15.73					769
	FIFTH			33	60.00								18	32.73			Excluded		4	7.27					55
		TOTAL		427	55.53								217	28.22					125	16.25					769
	SIXTH			36	28.80								89	71.20						Excluded					125
