House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Grayndler																													
				BAIRD			O'CONNOR			JOHNSON			ALBANESE			KENWORTHY			HALE			WAN			HERDEN				
				Matthew			Kane			Sue			Anthony			Brett			Sylvia			Guang Hua			Chris				
				DEM			HAN						ALP			LP			GRN			UNI			CTA				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Annandale                                                      																													
	FIRST			269	14.13		27	1.42		21	1.10		747	39.23		481	25.26		321	16.86		21	1.10		17	0.89		1904	
	SECOND			1	5.88		1	5.88		1	5.88		4	23.53		7	41.18		3	17.65		0	0.00			Excluded		17	
		TOTAL		270	14.18		28	1.47		22	1.16		751	39.44		488	25.63		324	17.02		21	1.10					1904	
	THIRD			1	4.55		2	9.09			Excluded		4	18.18		0	0.00		15	68.18		0	0.00					22	
		TOTAL		271	14.23		30	1.58					755	39.65		488	25.63		339	17.80		21	1.10					1904	
	FOURTH			4	19.05		0	0.00					5	23.81		4	19.05		8	38.10			Excluded					21	
		TOTAL		275	14.44		30	1.58					760	39.92		492	25.84		347	18.22								1904	
	FIFTH			12	40.00			Excluded					7	23.33		9	30.00		2	6.67								30	
		TOTAL		287	15.07								767	40.28		501	26.31		349	18.33								1904	
	SIXTH				Excluded								87	30.31		38	13.24		162	56.45								287	
		TOTAL											854	44.85		539	28.31		511	26.84								1904	
	SEVENTH												442	86.50		69	13.50			Excluded								511	
		TOTAL											1296	68.07		608	31.93											1904	
													Elected																
																													
Annandale North (Grayndler)                                    																													
	FIRST			171	12.50		24	1.75		8	0.58		518	37.87		375	27.41		248	18.13		14	1.02		10	0.73		1368	
	SECOND			0	0.00		0	0.00		2	20.00		2	20.00		5	50.00		1	10.00		0	0.00			Excluded		10	
		TOTAL		171	12.50		24	1.75		10	0.73		520	38.01		380	27.78		249	18.20		14	1.02					1368	
	THIRD			2	20.00		4	40.00			Excluded		2	20.00		0	0.00		2	20.00		0	0.00					10	
		TOTAL		173	12.65		28	2.05					522	38.16		380	27.78		251	18.35		14	1.02					1368	
	FOURTH			1	7.14		0	0.00					5	35.71		2	14.29		6	42.86			Excluded					14	
		TOTAL		174	12.72		28	2.05					527	38.52		382	27.92		257	18.79								1368	
	FIFTH			6	21.43			Excluded					8	28.57		8	28.57		6	21.43								28	
		TOTAL		180	13.16								535	39.11		390	28.51		263	19.23								1368	
	SIXTH				Excluded								49	27.22		26	14.44		105	58.33								180	
		TOTAL											584	42.69		416	30.41		368	26.90								1368	
	SEVENTH												325	88.32		43	11.68			Excluded								368	
		TOTAL											909	66.45		459	33.55											1368	
													Elected																
																													
Ashbury                                                        																													
	FIRST			109	5.10		50	2.34		21	0.98		1050	49.09		720	33.66		134	6.26		23	1.08		32	1.50		2139	
	SECOND			3	9.38		0	0.00		1	3.13		5	15.63		17	53.13		3	9.38		3	9.38			Excluded		32	
		TOTAL		112	5.24		50	2.34		22	1.03		1055	49.32		737	34.46		137	6.40		26	1.22					2139	
	THIRD			5	22.73		1	4.55			Excluded		3	13.64		4	18.18		9	40.91		0	0.00					22	
		TOTAL		117	5.47		51	2.38					1058	49.46		741	34.64		146	6.83		26	1.22					2139	
	FOURTH			6	23.08		1	3.85					9	34.62		3	11.54		7	26.92			Excluded					26	
		TOTAL		123	5.75		52	2.43					1067	49.88		744	34.78		153	7.15								2139	
	FIFTH			5	9.62			Excluded					17	32.69		22	42.31		8	15.38								52	
		TOTAL		128	5.98								1084	50.68		766	35.81		161	7.53								2139	
	SIXTH				Excluded								55	42.97		19	14.84		54	42.19								128	
		TOTAL											1139	53.25		785	36.70		215	10.05								2139	
	SEVENTH												171	79.53		44	20.47			Excluded								215	
		TOTAL											1310	61.24		829	38.76											2139	
													Elected																
																													
Ashfield                                                       																													
	FIRST			106	5.34		44	2.22		19	0.96		1092	55.01		503	25.34		108	5.44		89	4.48		24	1.21		1985	
	SECOND			3	12.50		2	8.33		2	8.33		6	25.00		7	29.17		1	4.17		3	12.50			Excluded		24	
		TOTAL		109	5.49		46	2.32		21	1.06		1098	55.31		510	25.69		109	5.49		92	4.63					1985	
	THIRD			3	14.29		3	14.29			Excluded		2	9.52		0	0.00		11	52.38		2	9.52					21	
		TOTAL		112	5.64		49	2.47					1100	55.42		510	25.69		120	6.05		94	4.74					1985	
	FOURTH			33	35.11		0	0.00					42	44.68		3	3.19		16	17.02			Excluded					94	
		TOTAL		145	7.30		49	2.47					1142	57.53		513	25.84		136	6.85								1985	
	FIFTH			17	34.69			Excluded					8	16.33		18	36.73		6	12.24								49	
		TOTAL		162	8.16								1150	57.93		531	26.75		142	7.15								1985	
	SIXTH				Excluded								59	36.42		14	8.64		89	54.94								162	
		TOTAL											1209	60.91		545	27.46		231	11.64								1985	
	SEVENTH												173	74.89		58	25.11			Excluded								231	
		TOTAL											1382	69.62		603	30.38											1985	
													Elected																
																													
Ashfield East                                                  																													
	FIRST			75	6.38		22	1.87		18	1.53		600	51.02		327	27.81		82	6.97		33	2.81		19	1.62		1176	
	SECOND			1	5.26		3	15.79		0	0.00		4	21.05		6	31.58		3	15.79		2	10.53			Excluded		19	
		TOTAL		76	6.46		25	2.13		18	1.53		604	51.36		333	28.32		85	7.23		35	2.98					1176	
	THIRD			2	11.11		0	0.00			Excluded		4	22.22		0	0.00		11	61.11		1	5.56					18	
		TOTAL		78	6.63		25	2.13					608	51.70		333	28.32		96	8.16		36	3.06					1176	
	FOURTH			8	22.22		0	0.00					18	50.00		6	16.67		4	11.11			Excluded					36	
		TOTAL		86	7.31		25	2.13					626	53.23		339	28.83		100	8.50								1176	
	FIFTH			6	24.00			Excluded					7	28.00		9	36.00		3	12.00								25	
		TOTAL		92	7.82								633	53.83		348	29.59		103	8.76								1176	
