House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
New England (84941)											
		Candidate		"WINDSOR, Tony"		              	"ST. CLAIR, Stuart"		          	Total	
				IND		                        	NP		                         		
				Votes	%	                     	Votes	%	                     		
	Arding										
			1st Prefs	95	48.47		101	51.53		196	
		"REINER, Michelle (GRN)"	15	15	100.00		0	0.00		15	
		"MCCARTHY, Annette (CLR)"	44	40	90.91		4	9.09		44	
		"BOUNDS, Kayleen (HAN)"	5	3	60.00		2	40.00		5	
		"REARDON, Chris (DEM)"	4	3	75.00		1	25.00		4	
		Total	68	156	59.09		108	40.91		264	

	Armidale										
			1st Prefs	968	51.30		919	48.70		1887	
		"REINER, Michelle (GRN)"	175	159	90.86		16	9.14		175	
		"MCCARTHY, Annette (CLR)"	417	365	87.53		52	12.47		417	
		"BOUNDS, Kayleen (HAN)"	46	36	78.26		10	21.74		46	
		"REARDON, Chris (DEM)"	71	61	85.92		10	14.08		71	
		Total	709	1589	61.21		1007	38.79		2596	

	Armidale East										
			1st Prefs	432	49.77		436	50.23		868	
		"REINER, Michelle (GRN)"	51	42	82.35		9	17.65		51	
		"MCCARTHY, Annette (CLR)"	279	237	84.95		42	15.05		279	
		"BOUNDS, Kayleen (HAN)"	20	12	60.00		8	40.00		20	
		"REARDON, Chris (DEM)"	21	17	80.95		4	19.05		21	
		Total	371	740	59.73		499	40.27		1239	

	Armidale Hospital										
			1st Prefs	352	57.33		262	42.67		614	
		"REINER, Michelle (GRN)"	53	51	96.23		2	3.77		53	
		"MCCARTHY, Annette (CLR)"	157	140	89.17		17	10.83		157	
		"BOUNDS, Kayleen (HAN)"	9	6	66.67		3	33.33		9	
		"REARDON, Chris (DEM)"	16	12	75.00		4	25.00		16	
		Total	235	561	66.08		288	33.92		849	

	Armidale South										
			1st Prefs	406	49.88		408	50.12		814	
		"REINER, Michelle (GRN)"	55	50	90.91		5	9.09		55	
		"MCCARTHY, Annette (CLR)"	159	142	89.31		17	10.69		159	
		"BOUNDS, Kayleen (HAN)"	13	8	61.54		5	38.46		13	
		"REARDON, Chris (DEM)"	37	31	83.78		6	16.22		37	
		Total	264	637	59.09		441	40.91		1078	

	Armidale University										
			1st Prefs	158	51.63		148	48.37		306	
		"REINER, Michelle (GRN)"	24	21	87.50		3	12.50		24	
		"MCCARTHY, Annette (CLR)"	67	55	82.09		12	17.91		67	
		"BOUNDS, Kayleen (HAN)"	8	4	50.00		4	50.00		8	
		"REARDON, Chris (DEM)"	48	39	81.25		9	18.75		48	
		Total	147	277	61.15		176	38.85		453	

	Armidale West										
			1st Prefs	898	52.18		823	47.82		1721	
		"REINER, Michelle (GRN)"	97	88	90.72		9	9.28		97	
		"MCCARTHY, Annette (CLR)"	366	327	89.34		39	10.66		366	
		"BOUNDS, Kayleen (HAN)"	43	25	58.14		18	41.86		43	
		"REARDON, Chris (DEM)"	53	43	81.13		10	18.87		53	
		Total	559	1381	60.57		899	39.43		2280	

	Ashford										
			1st Prefs	219	58.71		154	41.29		373	
		"REINER, Michelle (GRN)"	9	7	77.78		2	22.22		9	
		"MCCARTHY, Annette (CLR)"	47	38	80.85		9	19.15		47	
		"BOUNDS, Kayleen (HAN)"	32	22	68.75		10	31.25		32	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	89	287	62.12		175	37.88		462	

	Attunga										
			1st Prefs	233	58.69		164	41.31		397	
		"REINER, Michelle (GRN)"	7	6	85.71		1	14.29		7	
		"MCCARTHY, Annette (CLR)"	36	34	94.44		2	5.56		36	
		"BOUNDS, Kayleen (HAN)"	18	17	94.44		1	5.56		18	
		"REARDON, Chris (DEM)"	2	1	50.00		1	50.00		2	
		Total	63	291	63.26		169	36.74		460	

	Barraba										
			1st Prefs	526	53.73		453	46.27		979	
		"REINER, Michelle (GRN)"	16	13	81.25		3	18.75		16	
		"MCCARTHY, Annette (CLR)"	165	147	89.09		18	10.91		165	
		"BOUNDS, Kayleen (HAN)"	28	20	71.43		8	28.57		28	
		"REARDON, Chris (DEM)"	4	4	100.00		0	0.00		4	
		Total	213	710	59.56		482	40.44		1192	

	Bendemeer										
			1st Prefs	159	58.46		113	41.54		272	
		"REINER, Michelle (GRN)"	6	6	100.00		0	0.00		6	
		"MCCARTHY, Annette (CLR)"	21	18	85.71		3	14.29		21	
		"BOUNDS, Kayleen (HAN)"	13	9	69.23		4	30.77		13	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	40	192	61.54		120	38.46		312	

	Ben Lomond										
			1st Prefs	27	25.23		80	74.77		107	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	4	3	75.00		1	25.00		4	
		"BOUNDS, Kayleen (HAN)"	2	2	100.00		0	0.00		2	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	7	33	28.95		81	71.05		114	

	Ben Venue										
			1st Prefs	986	50.59		963	49.41		1949	
		"REINER, Michelle (GRN)"	110	99	90.00		11	10.00		110	
		"MCCARTHY, Annette (CLR)"	320	282	88.13		38	11.88		320	
		"BOUNDS, Kayleen (HAN)"	44	33	75.00		11	25.00		44	
		"REARDON, Chris (DEM)"	66	52	78.79		14	21.21		66	
		Total	540	1452	58.34		1037	41.66		2489	

	Bingara										
			1st Prefs	447	48.53		474	51.47		921	
		"REINER, Michelle (GRN)"	14	11	78.57		3	21.43		14	
		"MCCARTHY, Annette (CLR)"	148	132	89.19		16	10.81		148	
		"BOUNDS, Kayleen (HAN)"	52	40	76.92		12	23.08		52	
		"REARDON, Chris (DEM)"	5	3	60.00		2	40.00		5	
		Total	219	633	55.53		507	44.47		1140	

	Black Mountain										
			1st Prefs	60	49.18		62	50.82		122	
		"REINER, Michelle (GRN)"	2	2	100.00		0	0.00		2	
		"MCCARTHY, Annette (CLR)"	9	7	77.78		2	22.22		9	
		"BOUNDS, Kayleen (HAN)"	8	8	100.00		0	0.00		8	
		"REARDON, Chris (DEM)"	3	2	66.67		1	33.33		3	
		Total	22	79	54.86		65	45.14		144	

	Bonshaw										
			1st Prefs	13	19.12		55	80.88		68	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	9	8	88.89		1	11.11		9	
		"BOUNDS, Kayleen (HAN)"	7	7	100.00		0	0.00		7	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	16	28	33.33		56	66.67		84	

	Bundarra										
			1st Prefs	143	42.69		192	57.31		335	
		"REINER, Michelle (GRN)"	7	7	100.00		0	0.00		7	
		"MCCARTHY, Annette (CLR)"	33	30	90.91		3	9.09		33	
		"BOUNDS, Kayleen (HAN)"	12	9	75.00		3	25.00		12	
		"REARDON, Chris (DEM)"	3	3	100.00		0	0.00		3	
		Total	55	192	49.23		198	50.77		390	

	Calala										
			1st Prefs	593	55.52		475	44.48		1068	
		"REINER, Michelle (GRN)"	6	5	83.33		1	16.67		6	
		"MCCARTHY, Annette (CLR)"	41	35	85.37		6	14.63		41	
		"BOUNDS, Kayleen (HAN)"	16	9	56.25		7	43.75		16	
		"REARDON, Chris (DEM)"	5	5	100.00		0	0.00		5	
		Total	68	647	56.95		489	43.05		1136	

	Currabubula										
			1st Prefs	123	69.49		54	30.51		177	
		"REINER, Michelle (GRN)"	1	1	100.00		0	0.00		1	
		"MCCARTHY, Annette (CLR)"	8	8	100.00		0	0.00		8	
		"BOUNDS, Kayleen (HAN)"	13	9	69.23		4	30.77		13	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	23	142	71.00		58	29.00		200	

	Dangarsleigh										
			1st Prefs	71	42.77		95	57.23		166	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	6	5	83.33		1	16.67		6	
		"BOUNDS, Kayleen (HAN)"	6	5	83.33		1	16.67		6	
		"REARDON, Chris (DEM)"	2	2	100.00		0	0.00		2	
		Total	14	83	46.11		97	53.89		180	

	Deepwater										
