House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences 																						
By Polling Place																						
																						
Bradfield																						
				BELL			BLUNT			WEBECK			NELSON			WISZNIEWSKI			BYRNE			
				David			Kathie			John			Brendan			Witold			Peter			
				GRN			ALP			HAN			LP			CTA			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Castle Cove                                                    																						
	FIRST			96	6.38		278	18.48		17	1.13		988	65.69		14	0.93		111	7.38		1504
	SECOND			2	14.29		0	0.00		1	7.14		8	57.14			Excluded		3	21.43		14
		TOTAL		98	6.52		278	18.48		18	1.20		996	66.22					114	7.58		1504
	THIRD			3	16.67		2	11.11			Excluded		12	66.67					1	5.56		18
		TOTAL		101	6.72		280	18.62					1008	67.02					115	7.65		1504
	FOURTH			71	61.74		13	11.30					31	26.96						Excluded		115
		TOTAL		172	11.44		293	19.48					1039	69.08								1504
	FIFTH				Excluded		119	69.19					53	30.81								172
		TOTAL					412	27.39					1092	72.61								1504
													Elected									
																						
Chatswood (Bradfield)                                          																						
	FIRST			140	6.87		664	32.58		32	1.57		959	47.06		38	1.86		205	10.06		2038
	SECOND			2	5.26		6	15.79		0	0.00		25	65.79			Excluded		5	13.16		38
		TOTAL		142	6.97		670	32.88		32	1.57		984	48.28					210	10.30		2038
	THIRD			4	12.50		8	25.00			Excluded		14	43.75					6	18.75		32
		TOTAL		146	7.16		678	33.27					998	48.97					216	10.60		2038
	FOURTH			112	51.85		50	23.15					54	25.00						Excluded		216
		TOTAL		258	12.66		728	35.72					1052	51.62								2038
	FIFTH				Excluded		209	81.01					49	18.99								258
		TOTAL					937	45.98					1101	54.02								2038
													Elected									
																						
Chatswood East (Bradfield)                                     																						
	FIRST			70	7.45		288	30.64		24	2.55		491	52.23		5	0.53		62	6.60		940
	SECOND			0	0.00		0	0.00		0	0.00		4	80.00			Excluded		1	20.00		5
		TOTAL		70	7.45		288	30.64		24	2.55		495	52.66					63	6.70		940
	THIRD			0	0.00		7	29.17			Excluded		13	54.17					4	16.67		24
		TOTAL		70	7.45		295	31.38					508	54.04					67	7.13		940
	FOURTH			31	46.27		17	25.37					19	28.36						Excluded		67
		TOTAL		101	10.74		312	33.19					527	56.06								940
	FIFTH				Excluded		84	83.17					17	16.83								101
		TOTAL					396	42.13					544	57.87								940
													Elected									
																						
Chatswood North                                                																						
	FIRST			78	6.47		357	29.60		14	1.16		643	53.32		21	1.74		93	7.71		1206
	SECOND			2	9.52		1	4.76		0	0.00		13	61.90			Excluded		5	23.81		21
		TOTAL		80	6.63		358	29.68		14	1.16		656	54.39					98	8.13		1206
	THIRD			2	14.29		2	14.29			Excluded		8	57.14					2	14.29		14
		TOTAL		82	6.80		360	29.85					664	55.06					100	8.29		1206
	FOURTH			58	58.00		23	23.00					19	19.00						Excluded		100
		TOTAL		140	11.61		383	31.76					683	56.63								1206
	FIFTH				Excluded		107	76.43					33	23.57								140
		TOTAL					490	40.63					716	59.37								1206
													Elected									
																						
Chatswood South (Bradfield)                                    																						
	FIRST			31	7.21		101	23.49		4	0.93		250	58.14		4	0.93		40	9.30		430
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00			Excluded		2	50.00		4
		TOTAL		31	7.21		102	23.72		4	0.93		251	58.37					42	9.77		430
	THIRD			1	25.00		0	0.00			Excluded		3	75.00					0	0.00		4
		TOTAL		32	7.44		102	23.72					254	59.07					42	9.77		430
	FOURTH			16	38.10		10	23.81					16	38.10						Excluded		42
		TOTAL		48	11.16		112	26.05					270	62.79								430
	FIFTH				Excluded		38	79.17					10	20.83								48
		TOTAL					150	34.88					280	65.12								430
													Elected									
																						
Chatswood West                                                 																						
	FIRST			205	9.88		656	31.63		32	1.54		1000	48.22		22	1.06		159	7.67		2074
	SECOND			2	9.09		3	13.64		2	9.09		8	36.36			Excluded		7	31.82		22
		TOTAL		207	9.98		659	31.77		34	1.64		1008	48.60					166	8.00		2074
	THIRD			12	35.29		7	20.59			Excluded		14	41.18					1	2.94		34
		TOTAL		219	10.56		666	32.11					1022	49.28					167	8.05		2074
