House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Robertson																																									
				KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN				
				Kaijin			Harry Ovens			Christine			Trish			Alasdair			Jim			Stephen			Kevin			James			Errol			Barry			Ken				
				IND			DEM			CTA			ALP			IND			LP			GRN			IND			IND			HAN			PLP			CEC				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Avoca Beach                                                    																																									
	FIRST			10	0.49		79	3.91		33	1.63		614	30.38		3	0.15		1035	51.21		124	6.14		68	3.36		20	0.99		27	1.34		7	0.35		1	0.05		2021	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		10	0.49		79	3.91		33	1.63		614	30.38		3	0.15		1036	51.26		124	6.14		68	3.36		20	0.99		27	1.34		7	0.35					2021	
	THIRD			0	0.00		1	33.33		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					3	
		TOTAL		10	0.49		80	3.96		33	1.63		616	30.48					1036	51.26		124	6.14		68	3.36		20	0.99		27	1.34		7	0.35					2021	
	FOURTH			0	0.00		1	14.29		0	0.00		2	28.57					2	28.57		2	28.57		0	0.00		0	0.00		0	0.00			Excluded					7	
		TOTAL		10	0.49		81	4.01		33	1.63		618	30.58					1038	51.36		126	6.23		68	3.36		20	0.99		27	1.34								2021	
	FIFTH			4	20.00		3	15.00		1	5.00		1	5.00					5	25.00		0	0.00		5	25.00			Excluded		1	5.00								20	
		TOTAL		14	0.69		84	4.16		34	1.68		619	30.63					1043	51.61		126	6.23		73	3.61					28	1.39								2021	
	SIXTH				Excluded		5	35.71		1	7.14		2	14.29					1	7.14		1	7.14		4	28.57					0	0.00								14	
		TOTAL					89	4.40		35	1.73		621	30.73					1044	51.66		127	6.28		77	3.81					28	1.39								2021	
	SEVENTH						4	5.19		1	1.30		11	14.29					13	16.88		14	18.18			Excluded					34	44.16								77	
		TOTAL					93	4.60		36	1.78		632	31.27					1057	52.30		141	6.98								62	3.07								2021	
	EIGHTH						5	13.89			Excluded		2	5.56					26	72.22		2	5.56								1	2.78								36	
		TOTAL					98	4.85					634	31.37					1083	53.59		143	7.08								63	3.12								2021	
	NINTH						25	39.68					6	9.52					17	26.98		15	23.81									Excluded								63	
		TOTAL					123	6.09					640	31.67					1100	54.43		158	7.82																	2021	
	TENTH						87	55.06					44	27.85					27	17.09			Excluded																	158	
		TOTAL					210	10.39					684	33.84					1127	55.76																				2021	
	ELEVENTH							Excluded					145	69.05					65	30.95																				210	
		TOTAL											829	41.02					1192	58.98																				2021	
																			Elected																						
																																									
Booker Bay                                                     																																									
	FIRST			3	0.50		8	1.34		3	0.50		226	37.98		2	0.34		315	52.94		13	2.18		3	0.50		2	0.34		18	3.03		2	0.34		0	0.00		595	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	0.50		8	1.34		3	0.50		226	37.98		2	0.34		315	52.94		13	2.18		3	0.50		2	0.34		18	3.03		2	0.34					595	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		4	0.67		8	1.34		3	0.50		226	37.98					316	53.11		13	2.18		3	0.50		2	0.34		18	3.03		2	0.34					595	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded					2	
		TOTAL		4	0.67		8	1.34		3	0.50		226	37.98					316	53.11		14	2.35		3	0.50		2	0.34		19	3.19								595	
	FIFTH			0	0.00		0	0.00		0	0.00		1	50.00					1	50.00		0	0.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		4	0.67		8	1.34		3	0.50		227	38.15					317	53.28		14	2.35		3	0.50					19	3.19								595	
	SIXTH				Excluded		2	50.00		1	25.00		0	0.00					0	0.00		0	0.00		1	25.00					0	0.00								4	
		TOTAL					10	1.68		4	0.67		227	38.15					317	53.28		14	2.35		4	0.67					19	3.19								595	
	SEVENTH						0	0.00		0	0.00		0	0.00					2	50.00		2	50.00			Excluded					0	0.00								4	
		TOTAL					10	1.68		4	0.67		227	38.15					319	53.61		16	2.69								19	3.19								595	
	EIGHTH						1	25.00			Excluded		0	0.00					0	0.00		2	50.00								1	25.00								4	
		TOTAL					11	1.85					227	38.15					319	53.61		18	3.03								20	3.36								595	
	NINTH						1	5.00					6	30.00					10	50.00		3	15.00									Excluded								20	
		TOTAL					12	2.02					233	39.16					329	55.29		21	3.53																	595	
	TENTH						10	47.62					8	38.10					3	14.29			Excluded																	21	
		TOTAL					22	3.70					241	40.50					332	55.80																				595	
	ELEVENTH							Excluded					19	86.36					3	13.64																				22	
		TOTAL											260	43.70					335	56.30																				595	
																			Elected																						
																																									
Copacabana                                                     																																									
	FIRST			13	0.98		53	3.98		21	1.58		445	33.43		2	0.15		641	48.16		93	6.99		28	2.10		8	0.60		23	1.73		3	0.23		1	0.08		1331	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		13	0.98		53	3.98		21	1.58		445	33.43		2	0.15		641	48.16		94	7.06		28	2.10		8	0.60		23	1.73		3	0.23					1331	
	THIRD			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		13	0.98		54	4.06		21	1.58		446	33.51					641	48.16		94	7.06		28	2.10		8	0.60		23	1.73		3	0.23					1331	
	FOURTH			0	0.00		0	0.00		0	0.00		1	33.33					1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded					3	
		TOTAL		13	0.98		54	4.06		21	1.58		447	33.58					642	48.23		94	7.06		28	2.10		8	0.60		24	1.80								1331	
