House of Representatives - 2001 Election: New South Wales																																						
Distribution of Preferences																																						
By Polling Place																																						
																																						
Richmond																																						
				NATHAN			ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON				
				Julie			Larry			John			Jenny			Nicolas de Bray			Jan			Alexander			Casey			Dean			Dell			Rob				
				IND			NP			IND			CLR			IND			GRN			NCP			DEM			HMP			HAN			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alstonville                                                    																																						
	FIRST			43	1.45		1670	56.30		40	1.35		784	26.43		4	0.13		198	6.68		1	0.03		83	2.80		36	1.21		90	3.03		17	0.57		2966	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		43	1.45		1670	56.30		41	1.38		784	26.43		4	0.13		198	6.68					83	2.80		36	1.21		90	3.03		17	0.57		2966	
	THIRD			1	25.00		1	25.00		0	0.00		2	50.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		44	1.48		1671	56.34		41	1.38		786	26.50					198	6.68					83	2.80		36	1.21		90	3.03		17	0.57		2966	
	FOURTH			4	23.53		1	5.88		6	35.29		1	5.88					0	0.00					0	0.00		1	5.88		4	23.53			Excluded		17	
		TOTAL		48	1.62		1672	56.37		47	1.58		787	26.53					198	6.68					83	2.80		37	1.25		94	3.17					2966	
	FIFTH			14	29.79		15	31.91			Excluded		4	8.51					2	4.26					1	2.13		2	4.26		9	19.15					47	
		TOTAL		62	2.09		1687	56.88					791	26.67					200	6.74					84	2.83		39	1.31		103	3.47					2966	
	SIXTH			3	7.69		2	5.13					6	15.38					21	53.85					1	2.56			Excluded		6	15.38					39	
		TOTAL		65	2.19		1689	56.95					797	26.87					221	7.45					85	2.87					109	3.67					2966	
	SEVENTH				Excluded		27	41.54					6	9.23					19	29.23					4	6.15					9	13.85					65	
