House of Representatives - 2001 Election: New South Wales																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Werriwa (83153)																																									
	URI			MASINA			WOODGER			TAN			BLANCH			BARSONY			# LATHAM			KOTARSKI			FORMAL			INFORMAL			TOTAL										
	John			Paul			Janey			Greg			Glenda			Roger			Mark			P												Two Candidate Preferred							
	UNI			LP			AFI			CTA			DEM			GRN			ALP			HAN												 MASINA LP			# LATHAM ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Austral (Werriwa)	43	3.24		630	47.51		15	1.13		26	1.96		24	1.81		23	1.73		482	36.35		83	6.26		1326	87.76		185	12.24		1511	1.93		766	57.77		560	42.23			
Campbellfield	22	1.82		319	26.45		23	1.91		18	1.49		33	2.74		35	2.90		702	58.21		54	4.48		1206	91.57		111	8.43		1317	1.69		390	32.34		816	67.66			
Cartwright (Werriwa)	29	5.23		97	17.48		12	2.16		9	1.62		11	1.98		16	2.88		346	62.34		35	6.31		555	87.13		82	12.87		637	0.82		150	27.03		405	72.97			
Casula	65	1.92		1089	32.17		54	1.60		91	2.69		93	2.75		69	2.04		1763	52.08		161	4.76		3385	89.24		408	10.76		3793	4.85		1374	40.59		2011	59.41			
Casula South	24	1.56		618	40.29		29	1.89		27	1.76		38	2.48		34	2.22		703	45.83		61	3.98		1534	92.41		126	7.59		1660	2.12		734	47.85		800	52.15			
Cecil Hills	59	2.16		968	35.37		29	1.06		56	2.05		72	2.63		92	3.36		1386	50.64		75	2.74		2737	89.62		317	10.38		3054	3.91		1161	42.42		1576	57.58			
Curran	52	4.18		269	21.64		27	2.17		21	1.69		31	2.49		26	2.09		748	60.18		69	5.55		1243	94.10		78	5.90		1321	1.69		372	29.93		871	70.07			
Glenfield	30	1.38		728	33.55		39	1.80		56	2.58		63	2.90		77	3.55		1066	49.12		111	5.12		2170	92.66		172	7.34		2342	3.00		897	41.34		1273	58.66
Glenfield East	26	1.89		485	35.30		24	1.75		29	2.11		40	2.91		32	2.33		675	49.13		63	4.59		1374	91.97		120	8.03		1494	1.91		598	43.52		776	56.48
Green Valley	96	2.89		966	29.08		34	1.02		91	2.74		59	1.78		97	2.92		1889	56.86		90	2.71		3322	88.80		419	11.20		3741	4.79		1220	36.72		2102	63.28
Greenway Park	26	1.82		539	37.82		19	1.33		29	2.04		40	2.81		29	2.04		709	49.75		34	2.39		1425	93.38		101	6.62		1526	1.95		629	44.14		796	55.86
Guise	27	2.44		188	17.01		22	1.99		21	1.90		15	1.36		20	1.81		754	68.24		58	5.25		1105	89.76		126	10.24		1231	1.58		264	23.89		841	76.11
Hinchinbrook	72	2.16		981	29.48		36	1.08		69	2.07		66	1.98		87	2.61		1896	56.97		121	3.64		3328	90.41		353	9.59		3681	4.71		1216	36.54		2112	63.46
Hoxton Park	67	3.02		598	27.00		24	1.08		83	3.75		57	2.57		44	1.99		1267	57.20		75	3.39		2215	90.59		230	9.41		2445	3.13		771	34.81		1444	65.19
Ingleburn	56	1.57		1319	37.07		70	1.97		124	3.49		77	2.16		141	3.96		1591	44.72		180	5.06		3558	92.39		293	7.61		3851	4.93		1641	46.12		1917	53.88
Ingleburn High	17	1.47		461	39.84		10	0.86		23	1.99		35	3.03		46	3.98		523	45.20		42	3.63		1157	93.84		76	6.16		1233	1.58		529	45.72		628	54.28
Ingleburn North	5	0.78		390	60.94		8	1.25		3	0.47		18	2.81		16	2.50		174	27.19		26	4.06		640	93.16		47	6.84		687	0.88		434	67.81		206	32.19
James Busby (Werriwa)	65	4.54		288	20.10		17	1.19		24	1.67		30	2.09		25	1.74		946	66.02		38	2.65		1433	90.01		159	9.99		1592	2.04		398	27.77		1035	72.23
Kemps Creek (Werriwa)	19	2.82		380	56.38		12	1.78		5	0.74		10	1.48		10	1.48		192	28.49		46	6.82		674	85.75		112	14.25		786	1.01		445	66.02		229	33.98
Leumeah (Werriwa)	3	1.52		79	39.90		11	5.56		12	6.06		5	2.53		8	4.04		64	32.32		16	8.08		198	91.67		18	8.33		216	0.28		109	55.05		89	44.95
Leumeah North (Werriwa)	6	0.52		537	46.25		20	1.72		36	3.10		43	3.70		23	1.98		447	38.50		49	4.22		1161	91.85		103	8.15		1264	1.62		619	53.32		542	46.68
