Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Farrer (84423)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelong		67	8.58		19	2.43		2	0.26		2	0.26		25	3.20		1	0.13		23	2.94		2	0.26		4	0.51		220	28.17		12	1.54		2	0.26		6	0.77		0	0.00		2	0.26		1	0.13		371	47.50		7	0.90		1	0.13		11	1.41		0	0.00		0	0.00		2	0.26		1	0.13		781	96.06		32	3.94		813	1.01
Albury		107	4.91		47	2.15		2	0.09		1	0.05		37	1.70		3	0.14		220	10.09		37	1.70		0	0.00		451	20.68		19	0.87		1	0.05		12	0.55		1	0.05		0	0.00		6	0.28		1037	47.55		14	0.64		3	0.14		163	7.47		2	0.09		1	0.05		11	0.50		6	0.28		2181	96.33		83	3.67		2264	2.81
Albury East		79	7.20		24	2.19		1	0.09		0	0.00		24	2.19		0	0.00		61	5.56		8	0.73		1	0.09		252	22.97		7	0.64		3	0.27		14	1.28		0	0.00		1	0.09		1	0.09		568	51.78		5	0.46		0	0.00		40	3.65		0	0.00		1	0.09		5	0.46		2	0.18		1097	96.48		40	3.52		1137	1.41
Albury High School		84	3.72		40	1.77		0	0.00		2	0.09		23	1.02		2	0.09		231	10.23		23	1.02		3	0.13		395	17.49		19	0.84		5	0.22		11	0.49		0	0.00		2	0.09		4	0.18		1216	53.85		15	0.66		2	0.09		168	7.44		1	0.04		1	0.04		8	0.35		3	0.13		2258	96.70		77	3.30		2335	2.90
Albury Mercy Hospital		5	5.62		0	0.00		0	0.00		0	0.00		0	0.00		1	1.12		3	3.37		0	0.00		0	0.00		20	22.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.12		52	58.43		1	1.12		0	0.00		4	4.49		0	0.00		0	0.00		2	2.25		0	0.00		89	94.68		5	5.32		94	0.12
Albury North		133	7.67		41	2.36		0	0.00		1	0.06		32	1.84		4	0.23		115	6.63		38	2.19		4	0.23		401	23.11		17	0.98		4	0.23		17	0.98		0	0.00		5	0.29		3	0.17		809	46.63		25	1.44		3	0.17		66	3.80		0	0.00		2	0.12		14	0.81		1	0.06		1735	95.49		82	4.51		1817	2.26
Albury North Central		126	9.23		22	1.61		1	0.07		1	0.07		43	3.15		1	0.07		69	5.05		12	0.88		6	0.44		386	28.28		9	0.66		3	0.22		16	1.17		0	0.00		1	0.07		3	0.22		603	44.18		19	1.39		4	0.29		26	1.90		0	0.00		1	0.07		10	0.73		3	0.22		1365	95.06		71	4.94		1436	1.78
Albury South		104	7.29		27	1.89		0	0.00		4	0.28		25	1.75		1	0.07		104	7.29		16	1.12		0	0.00		331	23.21		20	1.40		0	0.00		16	1.12		0	0.00		0	0.00		3	0.21		692	48.53		10	0.70		1	0.07		66	4.63		0	0.00		1	0.07		4	0.28		1	0.07		1426	96.61		50	3.39		1476	1.83
