House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Prospect (86641)											
		Candidate		"PERKINS, Gareth"		            	"CROSIO, Janice"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Abbotsbury										
			1st Prefs	607	47.98		658	52.02		1265	
		"FILIPCZYK, Rebecca (GRN)"	55	22	40.00		33	60.00		55	
		"HUTCHINSON, John Robert (HAN)"	35	22	62.86		13	37.14		35	
		"OATES, Garry A (AFI)"	20	14	70.00		6	30.00		20	
		"HAROON, Lewis (CTA)"	19	11	57.89		8	42.11		19	
		"PEACOCK, Thomas (DEM)"	40	25	62.50		15	37.50		40	
		"TAI, Kek (UNI)"	11	5	45.45		6	54.55		11	
		Total	180	706	48.86		739	51.14		1445	

	Banks Drive										
			1st Prefs	1256	40.94		1812	59.06		3068	
		"FILIPCZYK, Rebecca (GRN)"	180	88	48.89		92	51.11		180	
		"HUTCHINSON, John Robert (HAN)"	254	183	72.05		71	27.95		254	
		"OATES, Garry A (AFI)"	89	60	67.42		29	32.58		89	
		"HAROON, Lewis (CTA)"	72	48	66.67		24	33.33		72	
		"PEACOCK, Thomas (DEM)"	102	44	43.14		58	56.86		102	
		"TAI, Kek (UNI)"	9	1	11.11		8	88.89		9	
		Total	706	1680	44.52		2094	55.48		3774	

	Blackwell										
			1st Prefs	837	42.40		1137	57.60		1974	
		"FILIPCZYK, Rebecca (GRN)"	80	47	58.75		33	41.25		80	
		"HUTCHINSON, John Robert (HAN)"	185	118	63.78		67	36.22		185	
		"OATES, Garry A (AFI)"	70	45	64.29		25	35.71		70	
		"HAROON, Lewis (CTA)"	43	31	72.09		12	27.91		43	
		"PEACOCK, Thomas (DEM)"	71	25	35.21		46	64.79		71	
		"TAI, Kek (UNI)"	9	4	44.44		5	55.56		9	
		Total	458	1107	45.52		1325	54.48		2432	

	Bossley Park										
			1st Prefs	757	29.77		1786	70.23		2543	
		"FILIPCZYK, Rebecca (GRN)"	115	67	58.26		48	41.74		115	
		"HUTCHINSON, John Robert (HAN)"	91	56	61.54		35	38.46		91	
		"OATES, Garry A (AFI)"	31	17	54.84		14	45.16		31	
		"HAROON, Lewis (CTA)"	137	94	68.61		43	31.39		137	
		"PEACOCK, Thomas (DEM)"	62	24	38.71		38	61.29		62	
		"TAI, Kek (UNI)"	38	7	18.42		31	81.58		38	
		Total	474	1022	33.87		1995	66.13		3017	

	Bossley Park High										
			1st Prefs	490	32.78		1005	67.22		1495	
		"FILIPCZYK, Rebecca (GRN)"	87	55	63.22		32	36.78		87	
		"HUTCHINSON, John Robert (HAN)"	51	39	76.47		12	23.53		51	
		"OATES, Garry A (AFI)"	33	24	72.73		9	27.27		33	
		"HAROON, Lewis (CTA)"	55	33	60.00		22	40.00		55	
		"PEACOCK, Thomas (DEM)"	42	18	42.86		24	57.14		42	
		"TAI, Kek (UNI)"	22	3	13.64		19	86.36		22	
		Total	290	662	37.09		1123	62.91		1785	

	Clairgate										
			1st Prefs	812	45.11		988	54.89		1800	
		"FILIPCZYK, Rebecca (GRN)"	68	45	66.18		23	33.82		68	
		"HUTCHINSON, John Robert (HAN)"	123	80	65.04		43	34.96		123	
		"OATES, Garry A (AFI)"	54	34	62.96		20	37.04		54	
		"HAROON, Lewis (CTA)"	63	41	65.08		22	34.92		63	
		"PEACOCK, Thomas (DEM)"	72	28	38.89		44	61.11		72	
		"TAI, Kek (UNI)"	8	5	62.50		3	37.50		8	
		Total	388	1045	47.76		1143	52.24		2188	

	Erskine Park										
			1st Prefs	1151	43.47		1497	56.53		2648	
		"FILIPCZYK, Rebecca (GRN)"	128	82	64.06		46	35.94		128	
		"HUTCHINSON, John Robert (HAN)"	248	196	79.03		52	20.97		248	
		"OATES, Garry A (AFI)"	68	33	48.53		35	51.47		68	
		"HAROON, Lewis (CTA)"	73	48	65.75		25	34.25		73	
		"PEACOCK, Thomas (DEM)"	80	33	41.25		47	58.75		80	
		"TAI, Kek (UNI)"	13	6	46.15		7	53.85		13	
		Total	610	1549	47.54		1709	52.46		3258	

	Fairfield										
			1st Prefs	153	12.78		1044	87.22		1197	
		"FILIPCZYK, Rebecca (GRN)"	84	59	70.24		25	29.76		84	
		"HUTCHINSON, John Robert (HAN)"	28	12	42.86		16	57.14		28	
		"OATES, Garry A (AFI)"	23	13	56.52		10	43.48		23	
		"HAROON, Lewis (CTA)"	127	96	75.59		31	24.41		127	
		"PEACOCK, Thomas (DEM)"	20	6	30.00		14	70.00		20	
		"TAI, Kek (UNI)"	13	2	15.38		11	84.62		13	
		Total	295	341	22.86		1151	77.14		1492	

	Fairfield Central										
			1st Prefs	136	14.27		817	85.73		953	
		"FILIPCZYK, Rebecca (GRN)"	45	28	62.22		17	37.78		45	
		"HUTCHINSON, John Robert (HAN)"	17	12	70.59		5	29.41		17	
		"OATES, Garry A (AFI)"	5	3	60.00		2	40.00		5	
		"HAROON, Lewis (CTA)"	39	21	53.85		18	46.15		39	
		"PEACOCK, Thomas (DEM)"	12	4	33.33		8	66.67		12	
		"TAI, Kek (UNI)"	13	2	15.38		11	84.62		13	
		Total	131	206	19.00		878	81.00		1084	

	Fairfield East (Prospect)										
			1st Prefs	139	21.35		512	78.65		651	
		"FILIPCZYK, Rebecca (GRN)"	32	12	37.50		20	62.50		32	
		"HUTCHINSON, John Robert (HAN)"	17	14	82.35		3	17.65		17	
		"OATES, Garry A (AFI)"	15	8	53.33		7	46.67		15	
		"HAROON, Lewis (CTA)"	15	9	60.00		6	40.00		15	
		"PEACOCK, Thomas (DEM)"	13	4	30.77		9	69.23		13	
		"TAI, Kek (UNI)"	21	1	4.76		20	95.24		21	
		Total	113	187	24.48		577	75.52		764	

	Fairfield Heights										
			1st Prefs	751	25.74		2167	74.26		2918	
		"FILIPCZYK, Rebecca (GRN)"	152	85	55.92		67	44.08		152	
		"HUTCHINSON, John Robert (HAN)"	114	79	69.30		35	30.70		114	
		"OATES, Garry A (AFI)"	44	26	59.09		18	40.91		44	
		"HAROON, Lewis (CTA)"	75	53	70.67		22	29.33		75	
		"PEACOCK, Thomas (DEM)"	58	19	32.76		39	67.24		58	
		"TAI, Kek (UNI)"	80	14	17.50		66	82.50		80	
		Total	523	1027	29.85		2414	70.15		3441	

	Fairfield North										
			1st Prefs	228	17.10		1105	82.90		1333	
		"FILIPCZYK, Rebecca (GRN)"	75	46	61.33		29	38.67		75	
		"HUTCHINSON, John Robert (HAN)"	25	15	60.00		10	40.00		25	
		"OATES, Garry A (AFI)"	10	4	40.00		6	60.00		10	
		"HAROON, Lewis (CTA)"	37	22	59.46		15	40.54		37	
		"PEACOCK, Thomas (DEM)"	25	7	28.00		18	72.00		25	
		"TAI, Kek (UNI)"	56	7	12.50		49	87.50		56	
		Total	228	329	21.08		1232	78.92		1561	

	Fairfield South										
			1st Prefs	402	22.67		1371	77.33		1773	
		"FILIPCZYK, Rebecca (GRN)"	89	49	55.06		40	44.94		89	
		"HUTCHINSON, John Robert (HAN)"	68	37	54.41		31	45.59		68	
		"OATES, Garry A (AFI)"	24	17	70.83		7	29.17		24	
		"HAROON, Lewis (CTA)"	28	17	60.71		11	39.29		28	
		"PEACOCK, Thomas (DEM)"	43	13	30.23		30	69.77		43	
		"TAI, Kek (UNI)"	96	12	12.50		84	87.50		96	
		Total	348	547	25.79		1574	74.21		2121	

	Fairfield West										
			1st Prefs	523	20.64		2011	79.36		2534	
		"FILIPCZYK, Rebecca (GRN)"	168	98	58.33		70	41.67		168	
		"HUTCHINSON, John Robert (HAN)"	109	75	68.81		34	31.19		109	
		"OATES, Garry A (AFI)"	40	24	60.00		16	40.00		40	
		"HAROON, Lewis (CTA)"	111	71	63.96		40	36.04		111	
		"PEACOCK, Thomas (DEM)"	54	17	31.48		37	68.52		54	
		"TAI, Kek (UNI)"	57	9	15.79		48	84.21		57	
		Total	539	817	26.59		2256	73.41		3073	

	Fairvale High										
			1st Prefs	286	22.45		988	77.55		1274	
		"FILIPCZYK, Rebecca (GRN)"	86	51	59.30		35	40.70		86	
		"HUTCHINSON, John Robert (HAN)"	69	43	62.32		26	37.68		69	
		"OATES, Garry A (AFI)"	14	6	42.86		8	57.14		14	
		"HAROON, Lewis (CTA)"	38	26	68.42		12	31.58		38	
		"PEACOCK, Thomas (DEM)"	20	8	40.00		12	60.00		20	
		"TAI, Kek (UNI)"	42	6	14.29		36	85.71		42	
		Total	269	426	27.61		1117	72.39		1543	

	Governor Philip King										
			1st Prefs	370	24.17		1161	75.83		1531	
		"FILIPCZYK, Rebecca (GRN)"	93	62	66.67		31	33.33		93	
		"HUTCHINSON, John Robert (HAN)"	57	39	68.42		18	31.58		57	
		"OATES, Garry A (AFI)"	22	12	54.55		10	45.45		22	
		"HAROON, Lewis (CTA)"	46	25	54.35		21	45.65		46	
		"PEACOCK, Thomas (DEM)"	38	16	42.11		22	57.89		38	
