Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Reid (77031)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Auburn		19	1.88		8	0.79		26	2.57		2	0.20		26	2.57		1	0.10		40	3.95		1	0.10		7	0.69		629	62.15		2	0.20		1	0.10		5	0.49		2	0.20		0	0.00		1	0.10		183	18.08		20	1.98		1	0.10		36	3.56		0	0.00		0	0.00		2	0.20		0	0.00		1012	94.40		60	5.60		1072	1.49
Auburn East		37	5.47		15	2.22		15	2.22		0	0.00		20	2.95		1	0.15		31	4.58		2	0.30		1	0.15		331	48.89		5	0.74		0	0.00		2	0.30		0	0.00		0	0.00		0	0.00		194	28.66		10	1.48		0	0.00		11	1.62		0	0.00		0	0.00		1	0.15		1	0.15		677	90.63		70	9.37		747	1.04
Auburn Hospital		26	3.17		13	1.59		18	2.20		1	0.12		43	5.24		0	0.00		32	3.90		4	0.49		2	0.24		456	55.61		0	0.00		2	0.24		6	0.73		1	0.12		0	0.00		1	0.12		180	21.95		8	0.98		0	0.00		22	2.68		0	0.00		1	0.12		3	0.37		1	0.12		820	92.13		70	7.87		890	1.23
Auburn North		29	1.65		7	0.40		56	3.19		0	0.00		70	3.99		0	0.00		59	3.36		6	0.34		3	0.17		1188	67.65		4	0.23		2	0.11		5	0.28		0	0.00		2	0.11		4	0.23		260	14.81		17	0.97		1	0.06		38	2.16		0	0.00		1	0.06		3	0.17		1	0.06		1756	95.23		88	4.77		1844	2.56
Auburn West		133	4.55		20	0.68		83	2.84		1	0.03		148	5.07		0	0.00		85	2.91		6	0.21		5	0.17		1685	57.67		6	0.21		3	0.10		20	0.68		0	0.00		1	0.03		1	0.03		592	20.26		32	1.10		4	0.14		64	2.19		14	0.48		4	0.14		15	0.51		0	0.00		2922	89.99		325	10.01		3247	4.50
Berala		145	4.32		37	1.10		118	3.51		3	0.09		140	4.17		1	0.03		120	3.57		15	0.45		13	0.39		1910	56.85		14	0.42		5	0.15		12	0.36		1	0.03		3	0.09		5	0.15		692	20.60		21	0.63		1	0.03		71	2.11		7	0.21		2	0.06		22	0.65		2	0.06		3360	91.95		294	8.05		3654	5.07
Blaxcell		264	6.01		83	1.89		45	1.02		4	0.09		141	3.21		3	0.07		108	2.46		25	0.57		15	0.34		2453	55.85		13	0.30		12	0.27		19	0.43		2	0.05		2	0.05		5	0.11		1033	23.52		48	1.09		6	0.14		67	1.53		23	0.52		0	0.00		20	0.46		1	0.02		4392	93.31		315	6.69		4707	6.53
Cardinal Gilroy Village		22	5.66		9	2.31		2	0.51		0	0.00		12	3.08		0	0.00		13	3.34		0	0.00		3	0.77		159	40.87		1	0.26		3	0.77		0	0.00		0	0.00		1	0.26		1	0.26		156	40.10		3	0.77		0	0.00		1	0.26		0	0.00		1	0.26		2	0.51		0	0.00		389	93.51		27	6.49		416	0.58
