Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Page (82272)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ballina		277	6.49		97	2.27		3	0.07		2	0.05		67	1.57		12	0.28		246	5.76		77	1.80		3	0.07		1414	33.13		25	0.59		2	0.05		30	0.70		0	0.00		9	0.21		7	0.16		1725	40.42		34	0.80		3	0.07		218	5.11		1	0.02		0	0.00		15	0.35		1	0.02		4268	96.93		135	3.07		4403	5.58
Ballina East		92	3.91		56	2.38		0	0.00		5	0.21		15	0.64		3	0.13		176	7.47		26	1.10		4	0.17		689	29.26		16	0.68		1	0.04		17	0.72		1	0.04		3	0.13		1	0.04		1100	46.71		10	0.42		4	0.17		128	5.44		0	0.00		2	0.08		5	0.21		1	0.04		2355	97.92		50	2.08		2405	3.05
Ballina Hospital		108	6.53		35	2.11		1	0.06		0	0.00		33	1.99		5	0.30		78	4.71		14	0.85		6	0.36		557	33.66		9	0.54		1	0.06		20	1.21		0	0.00		2	0.12		2	0.12		688	41.57		14	0.85		0	0.00		73	4.41		0	0.00		1	0.06		7	0.42		1	0.06		1655	96.50		60	3.50		1715	2.17
Ballina West		64	6.41		23	2.30		0	0.00		0	0.00		9	0.90		0	0.00		52	5.21		6	0.60		4	0.40		286	28.66		6	0.60		1	0.10		6	0.60		0	0.00		1	0.10		0	0.00		498	49.90		9	0.90		1	0.10		28	2.81		0	0.00		0	0.00		3	0.30		1	0.10		998	97.84		22	2.16		1020	1.29
Baryulgil		7	15.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.55		0	0.00		15	34.09		1	2.27		0	0.00		0	0.00		0	0.00		1	2.27		0	0.00		18	40.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	95.65		2	4.35		46	0.06
Bentley		13	5.06		5	1.95		0	0.00		0	0.00		1	0.39		1	0.39		17	6.61		4	1.56		0	0.00		53	20.62		1	0.39		0	0.00		3	1.17		0	0.00		2	0.78		0	0.00		136	52.92		0	0.00		2	0.78		15	5.84		1	0.39		1	0.39		1	0.39		1	0.39		257	98.85		3	1.15		260	0.33
Bexhill		35	6.99		13	2.59		0	0.00		0	0.00		9	1.80		5	1.00		41	8.18		5	1.00		0	0.00		92	18.36		2	0.40		0	0.00		6	1.20		0	0.00		0	0.00		0	0.00		243	48.50		8	1.60		1	0.20		38	7.58		0	0.00		0	0.00		0	0.00		3	0.60		501	99.40		3	0.60		504	0.64
Bonalbo		42	11.20		3	0.80		0	0.00		2	0.53		3	0.80		1	0.27		22	5.87		7	1.87		0	0.00		78	20.80		3	0.80		0	0.00		4	1.07		0	0.00		0	0.00		1	0.27		184	49.07		5	1.33		0	0.00		19	5.07		0	0.00		0	0.00		1	0.27		0	0.00		375	97.66		9	2.34		384	0.49
