House of Representatives - 2001 Election: New South Wales																																
Distribution of Preferences																																
By Polling Place																																
																																
Newcastle																																
				WILLIAMS			WILLIAMS			CRITICOS			GRIERSON			SUTTON			KILLION-DELCASTILLO			BATTERSBY			KAVANAGH			LAWN				
				Harry			David M			Harry			Sharon			John			Erin			Elaine			Mary			Barrie				
				PLP			LP			IND			ALP			GRN						CTA			DEM			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adamstown                                                      																																
	FIRST			97	4.71		638	31.00		44	2.14		845	41.06		153	7.43		19	0.92		32	1.55		127	6.17		103	5.00		2058	
	SECOND			9	47.37		1	5.26		1	5.26		3	15.79		2	10.53			Excluded		1	5.26		1	5.26		1	5.26		19	
		TOTAL		106	5.15		639	31.05		45	2.19		848	41.21		155	7.53					33	1.60		128	6.22		104	5.05		2058	
	THIRD			2	6.06		16	48.48		1	3.03		4	12.12		1	3.03						Excluded		9	27.27		0	0.00		33	
		TOTAL		108	5.25		655	31.83		46	2.24		852	41.40		156	7.58								137	6.66		104	5.05		2058	
	FOURTH			6	13.04		13	28.26			Excluded		7	15.22		13	28.26								4	8.70		3	6.52		46	
		TOTAL		114	5.54		668	32.46					859	41.74		169	8.21								141	6.85		107	5.20		2058	
	FIFTH				Excluded		55	48.25					30	26.32		20	17.54								6	5.26		3	2.63		114	
		TOTAL					723	35.13					889	43.20		189	9.18								147	7.14		110	5.34		2058	
	SIXTH						30	20.41					36	24.49		71	48.30									Excluded		10	6.80		147	
		TOTAL					753	36.59					925	44.95		260	12.63											120	5.83		2058	
	SEVENTH						37	30.83					27	22.50		56	46.67												Excluded		120	
		TOTAL					790	38.39					952	46.26		316	15.35														2058	
	EIGHTH						138	43.67					178	56.33			Excluded														316	
		TOTAL					928	45.09					1130	54.91																	2058	
													Elected																			
																																
Adamstown Heights                                              																																
	FIRST			74	2.98		1075	43.28		70	2.82		794	31.96		133	5.35		9	0.36		56	2.25		158	6.36		115	4.63		2484	
	SECOND			2	22.22		3	33.33		0	0.00		0	0.00		2	22.22			Excluded		1	11.11		1	11.11		0	0.00		9	
		TOTAL		76	3.06		1078	43.40		70	2.82		794	31.96		135	5.43					57	2.29		159	6.40		115	4.63		2484	
	THIRD			2	3.51		35	61.40		1	1.75		5	8.77		6	10.53						Excluded		6	10.53		2	3.51		57	
		TOTAL		78	3.14		1113	44.81		71	2.86		799	32.17		141	5.68								165	6.64		117	4.71		2484	
	FOURTH			8	11.27		26	36.62			Excluded		11	15.49		10	14.08								11	15.49		5	7.04		71	
		TOTAL		86	3.46		1139	45.85					810	32.61		151	6.08								176	7.09		122	4.91		2484	
	FIFTH				Excluded		36	41.86					30	34.88		8	9.30								6	6.98		6	6.98		86	
		TOTAL					1175	47.30					840	33.82		159	6.40								182	7.33		128	5.15		2484	
	SIXTH						33	18.13					52	28.57		86	47.25									Excluded		11	6.04		182	
		TOTAL					1208	48.63					892	35.91		245	9.86											139	5.60		2484	
	SEVENTH						43	30.94					25	17.99		71	51.08												Excluded		139	
		TOTAL					1251	50.36					917	36.92		316	12.72														2484	
	EIGHTH						147	46.52					169	53.48			Excluded														316	
		TOTAL					1398	56.28					1086	43.72																	2484	
													Elected																			
																																
Adamstown North                                                																																
	FIRST			62	5.61		269	24.32		21	1.90		524	47.38		92	8.32		5	0.45		13	1.18		52	4.70		68	6.15		1106	
	SECOND			2	40.00		0	0.00		0	0.00		0	0.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00		5	
		TOTAL		64	5.79		269	24.32		21	1.90		524	47.38		94	8.50					13	1.18		53	4.79		68	6.15		1106	
	THIRD			2	15.38		6	46.15		2	15.38		0	0.00		1	7.69						Excluded		1	7.69		1	7.69		13	
		TOTAL		66	5.97		275	24.86		23	2.08		524	47.38		95	8.59								54	4.88		69	6.24		1106	
	FOURTH			1	4.35		6	26.09			Excluded		5	21.74		5	21.74								3	13.04		3	13.04		23	
		TOTAL		67	6.06		281	25.41					529	47.83		100	9.04								57	5.15		72	6.51		1106	
	FIFTH				Excluded		28	41.79					29	43.28		5	7.46								2	2.99		3	4.48		67	
		TOTAL					309	27.94					558	50.45		105	9.49								59	5.33		75	6.78		1106	
	SIXTH						5	8.47					18	30.51		29	49.15									Excluded		7	11.86		59	
		TOTAL					314	28.39					576	52.08		134	12.12											82	7.41		1106	
	SEVENTH						21	25.61					18	21.95		43	52.44												Excluded		82	
		TOTAL					335	30.29					594	53.71		177	16.00														1106	
	EIGHTH						69	38.98					108	61.02			Excluded														177	
		TOTAL					404	36.53					702	63.47																	1106	
													Elected																			
																																
Adamstown West                                                 																																
	FIRST			8	2.89		93	33.57		1	0.36		110	39.71		26	9.39		0	0.00		4	1.44		22	7.94		13	4.69		277	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	2.89		93	33.57		1	0.36		110	39.71		26	9.39					4	1.44		22	7.94		13	4.69		277	
	THIRD			0	0.00		3	75.00		0	0.00		0	0.00		0	0.00						Excluded		1	25.00		0	0.00		4	
		TOTAL		8	2.89		96	34.66		1	0.36		110	39.71		26	9.39								23	8.30		13	4.69		277	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								1	100.00		0	0.00		1	
		TOTAL		8	2.89		96	34.66					110	39.71		26	9.39								24	8.66		13	4.69		277	
	FIFTH				Excluded		0	0.00					5	62.50		2	25.00								0	0.00		1	12.50		8	
		TOTAL					96	34.66					115	41.52		28	10.11								24	8.66		14	5.05		277	
	SIXTH						3	12.50					5	20.83		13	54.17									Excluded		3	12.50		24	
		TOTAL					99	35.74					120	43.32		41	14.80											17	6.14		277	
	SEVENTH						5	29.41					3	17.65		9	52.94												Excluded		17	
		TOTAL					104	37.55					123	44.40		50	18.05														277	
	EIGHTH						23	46.00					27	54.00			Excluded														50	
		TOTAL					127	45.85					150	54.15																	277	
													Elected																			
																																
Beaumont Park                                                  																																
	FIRST			59	7.57		161	20.67		18	2.31		439	56.35		38	4.88		2	0.26		8	1.03		22	2.82		32	4.11		779	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		60	7.70		161	20.67		18	2.31		439	56.35		39	5.01					8	1.03		22	2.82		32	4.11		779	
	THIRD			2	25.00		2	25.00		0	0.00		0	0.00		4	50.00						Excluded		0	0.00		0	0.00		8	
		TOTAL		62	7.96		163	20.92		18	2.31		439	56.35		43	5.52								22	2.82		32	4.11		779	
	FOURTH			2	11.11		7	38.89			Excluded		2	11.11		4	22.22								1	5.56		2	11.11		18	
		TOTAL		64	8.22		170	21.82					441	56.61		47	6.03								23	2.95		34	4.36		779	
	FIFTH				Excluded		26	40.63					22	34.38		11	17.19								4	6.25		1	1.56		64	
		TOTAL					196	25.16					463	59.44		58	7.45								27	3.47		35	4.49		779	
	SIXTH						2	7.41					13	48.15		7	25.93									Excluded		5	18.52		27	
		TOTAL					198	25.42					476	61.10		65	8.34											40	5.13		779	
	SEVENTH						9	22.50					9	22.50		22	55.00												Excluded		40	
		TOTAL					207	26.57					485	62.26		87	11.17														779	
	EIGHTH						33	37.93					54	62.07			Excluded														87	
		TOTAL					240	30.81					539	69.19																	779	
													Elected																			
																																
Birmingham Gardens                                             																																
	FIRST			41	4.86		253	30.01		21	2.49		356	42.23		44	5.22		1	0.12		20	2.37		36	4.27		71	8.42		843	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		41	4.86		253	30.01		21	2.49		356	42.23		44	5.22					20	2.37		37	4.39		71	8.42		843	
	THIRD			1	5.00		13	65.00		0	0.00		0	0.00		1	5.00						Excluded		4	20.00		1	5.00		20	
		TOTAL		42	4.98		266	31.55		21	2.49		356	42.23		45	5.34								41	4.86		72	8.54		843	
