House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Robertson (84366)											
		Candidate		"MORAN, Trish"		               	"LLOYD, Jim"		                 	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Avoca Beach										
			1st Prefs	614	37.23		1035	62.77		1649	
		"KENISCIEHAD, Kaijin (IND)"	10	6	60.00		4	40.00		10	
		"BOYLE, Harry Ovens (DEM)"	79	49	62.03		30	37.97		79	
		"HENNIG, Christine (CTA)"	33	4	12.12		29	87.88		33	
		"MUNN, Alasdair (IND)"	3	2	66.67		1	33.33		3	
		"LACEY, Stephen (GRN)"	124	92	74.19		32	25.81		124	
		"WILLS, Kevin (IND)"	68	39	57.35		29	42.65		68	
		"LAING-PEACH, James (IND)"	20	8	40.00		12	60.00		20	
		"BAKER, Errol (HAN)"	27	11	40.74		16	59.26		27	
		"PHILLIPS, Barry (PLP)"	7	4	57.14		3	42.86		7	
		"MARTIN, Ken (CEC)"	1	0	0.00		1	100.00		1	
		Total	372	829	41.02		1192	58.98		2021	

	Booker Bay										
			1st Prefs	226	41.77		315	58.23		541	
		"KENISCIEHAD, Kaijin (IND)"	3	3	100.00		0	0.00		3	
		"BOYLE, Harry Ovens (DEM)"	8	6	75.00		2	25.00		8	
		"HENNIG, Christine (CTA)"	3	2	66.67		1	33.33		3	
		"MUNN, Alasdair (IND)"	2	0	0.00		2	100.00		2	
		"LACEY, Stephen (GRN)"	13	11	84.62		2	15.38		13	
		"WILLS, Kevin (IND)"	3	2	66.67		1	33.33		3	
		"LAING-PEACH, James (IND)"	2	1	50.00		1	50.00		2	
		"BAKER, Errol (HAN)"	18	7	38.89		11	61.11		18	
		"PHILLIPS, Barry (PLP)"	2	2	100.00		0	0.00		2	
		"MARTIN, Ken (CEC)"	0	0	0.00		0	0.00		0	
		Total	54	260	43.70		335	56.30		595	

	Copacabana										
			1st Prefs	445	40.98		641	59.02		1086	
		"KENISCIEHAD, Kaijin (IND)"	13	10	76.92		3	23.08		13	
		"BOYLE, Harry Ovens (DEM)"	53	36	67.92		17	32.08		53	
		"HENNIG, Christine (CTA)"	21	8	38.10		13	61.90		21	
		"MUNN, Alasdair (IND)"	2	2	100.00		0	0.00		2	
		"LACEY, Stephen (GRN)"	93	65	69.89		28	30.11		93	
		"WILLS, Kevin (IND)"	28	16	57.14		12	42.86		28	
		"LAING-PEACH, James (IND)"	8	4	50.00		4	50.00		8	
		"BAKER, Errol (HAN)"	23	12	52.17		11	47.83		23	
		"PHILLIPS, Barry (PLP)"	3	2	66.67		1	33.33		3	
		"MARTIN, Ken (CEC)"	1	1	100.00		0	0.00		1	
		Total	245	601	45.15		730	54.85		1331	

	Davistown										
			1st Prefs	476	41.21		679	58.79		1155	
		"KENISCIEHAD, Kaijin (IND)"	13	10	76.92		3	23.08		13	
		"BOYLE, Harry Ovens (DEM)"	63	44	69.84		19	30.16		63	
		"HENNIG, Christine (CTA)"	9	4	44.44		5	55.56		9	
		"MUNN, Alasdair (IND)"	4	3	75.00		1	25.00		4	
		"LACEY, Stephen (GRN)"	23	20	86.96		3	13.04		23	
		"WILLS, Kevin (IND)"	9	1	11.11		8	88.89		9	
		"LAING-PEACH, James (IND)"	3	1	33.33		2	66.67		3	
		"BAKER, Errol (HAN)"	49	27	55.10		22	44.90		49	
