House of Representatives - 2001 Election: New South Wales																	
Distribution of Preferences																	
By Polling Place																	
																	
Sydney																	
				PLIBERSEK			HICKMAN			PETTETT			PARKER				
				Tanya			Sydney			Jeff			Jamie				
				ALP			DEM			LP			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alexandria                                                     																	
	FIRST			704	47.28		158	10.61		426	28.61		201	13.50		1489	
	SECOND			46	29.11			Excluded		24	15.19		88	55.70		158	
		TOTAL		750	50.37					450	30.22		289	19.41		1489	
	THIRD			256	88.58					33	11.42			Excluded		289	
		TOTAL		1006	67.56					483	32.44					1489	
				Elected													
																	
Annandale North (Sydney)                                       																	
	FIRST			511	39.28		175	13.45		358	27.52		257	19.75		1301	
	SECOND			47	26.86			Excluded		22	12.57		106	60.57		175	
		TOTAL		558	42.89					380	29.21		363	27.90		1301	
	THIRD			302	83.20					61	16.80			Excluded		363	
		TOTAL		860	66.10					441	33.90					1301	
				Elected													
																	
Bald Rock                                                      																	
	FIRST			160	40.61		38	9.64		117	29.70		79	20.05		394	
	SECOND			12	31.58			Excluded		7	18.42		19	50.00		38	
		TOTAL		172	43.65					124	31.47		98	24.87		394	
	THIRD			88	89.80					10	10.20			Excluded		98	
		TOTAL		260	65.99					134	34.01					394	
				Elected													
																	
Balmain                                                        																	
	FIRST			797	38.21		237	11.36		702	33.65		350	16.78		2086	
	SECOND			76	32.07			Excluded		32	13.50		129	54.43		237	
		TOTAL		873	41.85					734	35.19		479	22.96		2086	
	THIRD			405	84.55					74	15.45			Excluded		479	
		TOTAL		1278	61.27					808	38.73					2086	
				Elected													
																	
Balmain East                                                   																	
	FIRST			334	36.58		91	9.97		300	32.86		188	20.59		913	
	SECOND			29	31.87			Excluded		12	13.19		50	54.95		91	
		TOTAL		363	39.76					312	34.17		238	26.07		913	
	THIRD			195	81.93					43	18.07			Excluded		238	
		TOTAL		558	61.12					355	38.88					913	
				Elected													
																	
Balmain Hospital                                               																	
	FIRST			140	40.70		30	8.72		130	37.79		44	12.79		344	
	SECOND			9	30.00			Excluded		5	16.67		16	53.33		30	
		TOTAL		149	43.31					135	39.24		60	17.44		344	
	THIRD			51	85.00					9	15.00			Excluded		60	
		TOTAL		200	58.14					144	41.86					344	
				Elected													
																	
Barcom                                                         																	
	FIRST			270	42.93		69	10.97		200	31.80		90	14.31		629	
	SECOND			25	36.23			Excluded		9	13.04		35	50.72		69	
		TOTAL		295	46.90					209	33.23		125	19.87		629	
	THIRD			105	84.00					20	16.00			Excluded		125	
		TOTAL		400	63.59					229	36.41					629	
				Elected													
																	
Beaconsfield                                                   																	
	FIRST			240	55.43		35	8.08		124	28.64		34	7.85		433	
	SECOND			10	28.57			Excluded		5	14.29		20	57.14		35	
		TOTAL		250	57.74					129	29.79		54	12.47		433	
	THIRD			42	77.78					12	22.22			Excluded		54	
		TOTAL		292	67.44					141	32.56					433	
				Elected													
																	
Birchgrove                                                     																	
	FIRST			765	38.64		216	10.91		684	34.55		315	15.91		1980	
	SECOND			76	35.19			Excluded		23	10.65		117	54.17		216	
		TOTAL		841	42.47					707	35.71		432	21.82		1980	
	THIRD			365	84.49					67	15.51			Excluded		432	
		TOTAL		1206	60.91					774	39.09					1980	
				Elected													
																	
Blackfriars                                                    																	
	FIRST			261	44.16		85	14.38		144	24.37		101	17.09		591	
	SECOND			25	29.41			Excluded		17	20.00		43	50.59		85	
		TOTAL		286	48.39					161	27.24		144	24.37		591	
	THIRD			122	84.72					22	15.28			Excluded		144	
		TOTAL		408	69.04					183	30.96					591	
				Elected													
																	
Chippendale                                                    																	
	FIRST			439	47.05		129	13.83		153	16.40		212	22.72		933	
	SECOND			25	19.38			Excluded		20	15.50		84	65.12		129	
		TOTAL		464	49.73					173	18.54		296	31.73		933	
	THIRD			263	88.85					33	11.15			Excluded		296	
		TOTAL		727	77.92					206	22.08					933	
				Elected													
																	
Darlinghurst                                                   																	
	FIRST			106	40.00		27	10.19		99	37.36		33	12.45		265	
	SECOND			6	22.22			Excluded		4	14.81		17	62.96		27	
		TOTAL		112	42.26					103	38.87		50	18.87		265	
	THIRD			42	84.00					8	16.00			Excluded		50	
		TOTAL		154	58.11					111	41.89					265	
				Elected													
																	
Darlington                                                     																	
	FIRST			434	42.80		140	13.81		225	22.19		215	21.20		1014	
	SECOND			34	24.29			Excluded		23	16.43		83	59.29		140	
		TOTAL		468	46.15					248	24.46		298	29.39		1014	
	THIRD			261	87.58					37	12.42			Excluded		298	
		TOTAL		729	71.89					285	28.11					1014	
				Elected													
																	
East Sydney                                                    																	
	FIRST			869	50.00		189	10.87		461	26.52		219	12.60		1738	
	SECOND			60	31.75			Excluded		24	12.70		105	55.56		189	
		TOTAL		929	53.45					485	27.91		324	18.64		1738	
	THIRD			282	87.04					42	12.96			Excluded		324	
		TOTAL		1211	69.68					527	30.32					1738	
				Elected													
																	
Erskineville                                                   																	
	FIRST			1185	45.32		372	14.23		580	22.18		478	18.28		2615	
	SECOND			105	28.23			Excluded		26	6.99		241	64.78		372	
		TOTAL		1290	49.33					606	23.17		719	27.50		2615	
	THIRD			624	86.79					95	13.21			Excluded		719	
		TOTAL		1914	73.19					701	26.81					2615	
				Elected													
																	
Flinders                                                       																	
	FIRST			407	48.11		87	10.28		240	28.37		112	13.24		846	
	SECOND			29	33.33			Excluded		14	16.09		44	50.57		87	
		TOTAL		436	51.54					254	30.02		156	18.44		846	
	THIRD			133	85.26					23	14.74			Excluded		156	
		TOTAL		569	67.26					277	32.74					846	
				Elected													
																	
Forest Lodge                                                   																	
	FIRST			549	43.54		152	12.05		304	24.11		256	20.30		1261	
	SECOND			52	34.21			Excluded		14	9.21		86	56.58		152	
		TOTAL		601	47.66					318	25.22		342	27.12		1261	
	THIRD			308	90.06					34	9.94			Excluded		342	
		TOTAL		909	72.09					352	27.91					1261	
				Elected													
																	
Gardeners Road                                                 																	
	FIRST			277	61.83		16	3.57		127	28.35		28	6.25		448	
	SECOND			7	43.75			Excluded		1	6.25		8	50.00		16	
		TOTAL		284	63.39					128	28.57		36	8.04		448	
	THIRD			26	72.22					10	27.78			Excluded		36	
		TOTAL		310	69.20					138	30.80					448	
				Elected													
																	
Gladstone Park                                                 																	
	FIRST			631	41.51		172	11.32		436	28.68		281	18.49		1520	
	SECOND			56	32.56			Excluded		18	10.47		98	56.98		172	
		TOTAL		687	45.20					454	29.87		379	24.93		1520	
	THIRD			327	86.28					52	13.72			Excluded		379	
		TOTAL		1014	66.71					506	33.29					1520	
				Elected													
																	
Glebe                                                          																	
	FIRST			661	48.21		143	10.43		314	22.90		253	18.45		1371	
	SECOND			32	22.38			Excluded		17	11.89		94	65.73		143	
		TOTAL		693	50.55					331	24.14		347	25.31		1371	
	THIRD			295	85.01					52	14.99			Excluded		347	
		TOTAL		988	72.06					383	27.94					1371	
				Elected													
																	
Glebe East                                                     																	
	FIRST			813	55.19		142	9.64		264	17.92		254	17.24		1473	
	SECOND			41	28.87			Excluded		21	14.79		80	56.34		142	
