Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

North Sydney (88755)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Artarmon		15	1.07		17	1.22		5	0.36		0	0.00		14	1.00		0	0.00		181	12.96		12	0.86		1	0.07		364	26.06		3	0.21		1	0.07		10	0.72		0	0.00		0	0.00		0	0.00		642	45.96		7	0.50		3	0.21		121	8.66		0	0.00		0	0.00		1	0.07		0	0.00		1397	96.88		45	3.12		1442	1.74
Artarmon Central		35	1.63		32	1.49		33	1.54		1	0.05		27	1.26		3	0.14		234	10.91		14	0.65		3	0.14		588	27.41		5	0.23		0	0.00		7	0.33		1	0.05		3	0.14		3	0.14		1006	46.90		8	0.37		10	0.47		125	5.83		2	0.09		0	0.00		5	0.23		0	0.00		2145	97.19		62	2.81		2207	2.66
Boronia Park (North Sydney)		28	1.96		8	0.56		9	0.63		0	0.00		14	0.98		1	0.07		182	12.72		6	0.42		2	0.14		332	23.20		0	0.00		0	0.00		5	0.35		0	0.00		0	0.00		2	0.14		703	49.13		6	0.42		4	0.28		124	8.67		1	0.07		0	0.00		3	0.21		1	0.07		1431	96.30		55	3.70		1486	1.79
Cammeray		41	1.37		17	0.57		17	0.57		0	0.00		21	0.70		5	0.17		363	12.10		24	0.80		3	0.10		577	19.24		15	0.50		0	0.00		6	0.20		1	0.03		4	0.13		4	0.13		1621	54.05		13	0.43		3	0.10		253	8.44		1	0.03		1	0.03		8	0.27		1	0.03		2999	97.56		75	2.44		3074	3.71
Castlecrag		20	1.70		7	0.60		8	0.68		0	0.00		6	0.51		2	0.17		138	11.73		7	0.60		0	0.00		200	17.01		5	0.43		0	0.00		8	0.68		0	0.00		2	0.17		0	0.00		640	54.42		3	0.26		6	0.51		121	10.29		1	0.09		0	0.00		2	0.17		0	0.00		1176	96.55		42	3.45		1218	1.47
Chatswood (North Sydney)		4	1.90		5	2.38		5	2.38		0	0.00		2	0.95		0	0.00		26	12.38		3	1.43		1	0.48		48	22.86		1	0.48		0	0.00		2	0.95		0	0.00		0	0.00		0	0.00		94	44.76		6	2.86		1	0.48		12	5.71		0	0.00		0	0.00		0	0.00		0	0.00		210	95.02		11	4.98		221	0.27
Chatswood East (North Sydney)		17	4.03		2	0.47		2	0.47		1	0.24		4	0.95		1	0.24		45	10.66		1	0.24		0	0.00		114	27.01		4	0.95		0	0.00		5	1.18		0	0.00		0	0.00		0	0.00		205	48.58		2	0.47		0	0.00		17	4.03		0	0.00		0	0.00		2	0.47		0	0.00		422	94.62		24	5.38		446	0.54
Chatswood South (North Sydney)		10	1.26		11	1.39		8	1.01		2	0.25		2	0.25		4	0.51		98	12.37		6	0.76		2	0.25		195	24.62		4	0.51		0	0.00		6	0.76		1	0.13		2	0.25		1	0.13		384	48.48		10	1.26		5	0.63		37	4.67		0	0.00		1	0.13		3	0.38		0	0.00		792	95.88		34	4.12		826	1.00
