House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Parramatta																													
				BORGER			TONGSUMRITH			CAMERON			JONSSON			CLARK			WATSON			GEORGE			SATCHWELL				
				David			Somchai			Ross			Dee			Anthony			Will			Felicity			John M				
				ALP			UNI			LP			CTA			DEM			NCP			GRN			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ballandella Road                                               																													
	FIRST			471	41.24		8	0.70		523	45.80		28	2.45		41	3.59		3	0.26		20	1.75		48	4.20		1142	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		0	0.00		3	
		TOTAL		471	41.24		8	0.70		523	45.80		29	2.54		42	3.68					21	1.84		48	4.20		1142	
	THIRD			2	25.00			Excluded		1	12.50		2	25.00		2	25.00					0	0.00		1	12.50		8	
		TOTAL		473	41.42					524	45.88		31	2.71		44	3.85					21	1.84		49	4.29		1142	
	FOURTH			2	6.45					19	61.29			Excluded		4	12.90					3	9.68		3	9.68		31	
		TOTAL		475	41.59					543	47.55					48	4.20					24	2.10		52	4.55		1142	
	FIFTH			24	46.15					14	26.92					3	5.77					11	21.15			Excluded		52	
		TOTAL		499	43.70					557	48.77					51	4.47					35	3.06					1142	
	SIXTH			15	29.41					13	25.49						Excluded					23	45.10					51	
		TOTAL		514	45.01					570	49.91											58	5.08					1142	
	SEVENTH			34	58.62					24	41.38												Excluded					58	
		TOTAL		548	47.99					594	52.01																	1142	
										Elected																			
																													
Carlingford (Parramatta)                                       																													
	FIRST			250	36.93		34	5.02		334	49.34		7	1.03		23	3.40		1	0.15		18	2.66		10	1.48		677	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		250	36.93		34	5.02		335	49.48		7	1.03		23	3.40					18	2.66		10	1.48		677	
	THIRD			14	41.18			Excluded		1	2.94		1	2.94		17	50.00					1	2.94		0	0.00		34	
		TOTAL		264	39.00					336	49.63		8	1.18		40	5.91					19	2.81		10	1.48		677	
	FOURTH			0	0.00					5	62.50			Excluded		0	0.00					1	12.50		2	25.00		8	
