Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Shortland (86261)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Belmont		77	5.64		15	1.10		1	0.07		1	0.07		19	1.39		0	0.00		37	2.71		14	1.02		6	0.44		639	46.78		9	0.66		1	0.07		14	1.02		0	0.00		0	0.00		2	0.15		488	35.72		6	0.44		2	0.15		29	2.12		0	0.00		0	0.00		6	0.44		0	0.00		1366	94.99		72	5.01		1438	1.74
Belmont Central		92	5.70		22	1.36		4	0.25		1	0.06		34	2.11		3	0.19		66	4.09		18	1.12		9	0.56		751	46.53		10	0.62		0	0.00		18	1.12		0	0.00		1	0.06		0	0.00		510	31.60		3	0.19		2	0.12		64	3.97		0	0.00		0	0.00		6	0.37		0	0.00		1614	97.17		47	2.83		1661	2.01
Belmont North		119	6.55		62	3.41		0	0.00		2	0.11		39	2.15		1	0.06		63	3.47		25	1.38		12	0.66		914	50.30		19	1.05		1	0.06		19	1.05		0	0.00		1	0.06		3	0.17		467	25.70		8	0.44		2	0.11		49	2.70		0	0.00		1	0.06		10	0.55		0	0.00		1817	96.19		72	3.81		1889	2.29
Belmont West		85	7.06		28	2.33		0	0.00		0	0.00		15	1.25		1	0.08		45	3.74		16	1.33		4	0.33		482	40.03		11	0.91		0	0.00		16	1.33		0	0.00		3	0.25		2	0.17		441	36.63		7	0.58		1	0.08		41	3.41		1	0.08		0	0.00		5	0.42		0	0.00		1204	96.01		50	3.99		1254	1.52
Blacksmiths		80	7.85		4	0.39		0	0.00		2	0.20		30	2.94		1	0.10		41	4.02		9	0.88		6	0.59		565	55.45		7	0.69		1	0.10		11	1.08		0	0.00		0	0.00		0	0.00		224	21.98		4	0.39		2	0.20		23	2.26		0	0.00		3	0.29		6	0.59		0	0.00		1019	97.51		26	2.49		1045	1.26
Budgewoi		126	6.65		25	1.32		0	0.00		3	0.16		40	2.11		1	0.05		56	2.96		16	0.84		4	0.21		911	48.10		13	0.69		2	0.11		14	0.74		0	0.00		2	0.11		2	0.11		594	31.36		10	0.53		0	0.00		60	3.17		0	0.00		0	0.00		15	0.79		0	0.00		1894	97.03		58	2.97		1952	2.36
Budgewoi Central		102	7.09		12	0.83		1	0.07		1	0.07		22	1.53		5	0.35		42	2.92		15	1.04		9	0.63		646	44.89		8	0.56		2	0.14		9	0.63		0	0.00		1	0.07		2	0.14		507	35.23		10	0.69		0	0.00		34	2.36		0	0.00		0	0.00		10	0.69		1	0.07		1439	95.87		62	4.13		1501	1.82
Buff Point		94	5.80		16	0.99		1	0.06		0	0.00		26	1.60		1	0.06		50	3.08		16	0.99		10	0.62		715	44.08		12	0.74		1	0.06		10	0.62		0	0.00		0	0.00		3	0.18		589	36.31		12	0.74		0	0.00		44	2.71		0	0.00		3	0.18		19	1.17		0	0.00		1622	96.32		62	3.68		1684	2.04
