House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Charlton (83459)											
		Candidate		"HOARE, Kelly"		               	"PATERSON, Lindsay"		          	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Ambleside										
			1st Prefs	783	50.91		755	49.09		1538	
		"BLYTH, David (GRN)"	75	52	69.33		23	30.67		75	
		"KENDALL, Jim (CTA)"	51	13	25.49		38	74.51		51	
		"BELL, Joshua (DEM)"	105	60	57.14		45	42.86		105	
		"JOHNSON, Bob (HAN)"	117	45	38.46		72	61.54		117	
		"THORPE, John (UNI)"	5	3	60.00		2	40.00		5	
		Total	353	956	50.56		935	49.44		1891	

	Arcadia Vale										
			1st Prefs	384	67.49		185	32.51		569	
		"BLYTH, David (GRN)"	23	13	56.52		10	43.48		23	
		"KENDALL, Jim (CTA)"	13	4	30.77		9	69.23		13	
		"BELL, Joshua (DEM)"	43	29	67.44		14	32.56		43	
		"JOHNSON, Bob (HAN)"	116	30	25.86		86	74.14		116	
		"THORPE, John (UNI)"	5	3	60.00		2	40.00		5	
		Total	200	463	60.21		306	39.79		769	

	Argenton										
			1st Prefs	547	81.40		125	18.60		672	
		"BLYTH, David (GRN)"	27	19	70.37		8	29.63		27	
		"KENDALL, Jim (CTA)"	17	8	47.06		9	52.94		17	
		"BELL, Joshua (DEM)"	24	15	62.50		9	37.50		24	
		"JOHNSON, Bob (HAN)"	60	35	58.33		25	41.67		60	
		"THORPE, John (UNI)"	3	0	0.00		3	100.00		3	
		Total	131	624	77.71		179	22.29		803	

	Awaba										
			1st Prefs	119	77.27		35	22.73		154	
		"BLYTH, David (GRN)"	19	14	73.68		5	26.32		19	
		"KENDALL, Jim (CTA)"	2	0	0.00		2	100.00		2	
		"BELL, Joshua (DEM)"	10	6	60.00		4	40.00		10	
		"JOHNSON, Bob (HAN)"	30	11	36.67		19	63.33		30	
		"THORPE, John (UNI)"	0	0	0.00		0	0.00		0	
		Total	61	150	69.77		65	30.23		215	

	Barnsley										
			1st Prefs	595	72.38		227	27.62		822	
		"BLYTH, David (GRN)"	36	26	72.22		10	27.78		36	
		"KENDALL, Jim (CTA)"	27	6	22.22		21	77.78		27	
		"BELL, Joshua (DEM)"	51	34	66.67		17	33.33		51	
		"JOHNSON, Bob (HAN)"	143	50	34.97		93	65.03		143	
		"THORPE, John (UNI)"	8	2	25.00		6	75.00		8	
		Total	265	713	65.59		374	34.41		1087	

	Biraban										
			1st Prefs	697	76.09		219	23.91		916	
		"BLYTH, David (GRN)"	22	17	77.27		5	22.73		22	
		"KENDALL, Jim (CTA)"	25	12	48.00		13	52.00		25	
		"BELL, Joshua (DEM)"	37	23	62.16		14	37.84		37	
		"JOHNSON, Bob (HAN)"	88	42	47.73		46	52.27		88	
		"THORPE, John (UNI)"	6	3	50.00		3	50.00		6	
		Total	178	794	72.58		300	27.42		1094	

	Blackalls										
			1st Prefs	807	72.57		305	27.43		1112	
		"BLYTH, David (GRN)"	84	59	70.24		25	29.76		84	
		"KENDALL, Jim (CTA)"	47	21	44.68		26	55.32		47	
		"BELL, Joshua (DEM)"	65	47	72.31		18	27.69		65	
		"JOHNSON, Bob (HAN)"	123	63	51.22		60	48.78		123	
		"THORPE, John (UNI)"	7	3	42.86		4	57.14		7	
		Total	326	1000	69.54		438	30.46		1438	

	Bolton Point										
