Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

New England (84941)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Arding		14	5.43		18	6.98		0	0.00		1	0.39		4	1.55		0	0.00		24	9.30		1	0.39		1	0.39		66	25.58		3	1.16		0	0.00		3	1.16		0	0.00		1	0.39		0	0.00		102	39.53		0	0.00		0	0.00		18	6.98		0	0.00		0	0.00		1	0.39		1	0.39		258	96.99		8	3.01		266	0.33
Armidale		107	4.15		95	3.68		4	0.16		1	0.04		41	1.59		6	0.23		293	11.36		26	1.01		5	0.19		656	25.43		26	1.01		1	0.04		20	0.78		0	0.00		3	0.12		1	0.04		989	38.33		27	1.05		8	0.31		247	9.57		1	0.04		0	0.00		17	0.66		6	0.23		2580	97.54		65	2.46		2645	3.24
Armidale East		82	6.67		28	2.28		1	0.08		0	0.00		32	2.60		0	0.00		86	7.00		12	0.98		0	0.00		434	35.31		12	0.98		1	0.08		10	0.81		0	0.00		4	0.33		2	0.16		441	35.88		9	0.73		3	0.24		69	5.61		0	0.00		1	0.08		2	0.16		0	0.00		1229	97.08		37	2.92		1266	1.55
Armidale Hospital		38	4.48		16	1.89		1	0.12		1	0.12		25	2.95		3	0.35		81	9.55		14	1.65		3	0.35		266	31.37		2	0.24		0	0.00		5	0.59		0	0.00		2	0.24		0	0.00		316	37.26		2	0.24		0	0.00		69	8.14		0	0.00		0	0.00		4	0.47		0	0.00		848	96.91		27	3.09		875	1.07
Armidale South		39	3.66		38	3.56		0	0.00		1	0.09		8	0.75		2	0.19		134	12.56		9	0.84		0	0.00		291	27.27		4	0.37		0	0.00		7	0.66		0	0.00		1	0.09		1	0.09		416	38.99		9	0.84		2	0.19		102	9.56		0	0.00		0	0.00		3	0.28		0	0.00		1067	97.53		27	2.47		1094	1.34
Armidale University		11	2.42		9	1.98		0	0.00		0	0.00		6	1.32		0	0.00		82	18.02		10	2.20		1	0.22		107	23.52		11	2.42		0	0.00		4	0.88		0	0.00		1	0.22		0	0.00		170	37.36		8	1.76		2	0.44		31	6.81		0	0.00		0	0.00		2	0.44		0	0.00		455	99.56		2	0.44		457	0.56
Armidale West		160	7.09		50	2.21		2	0.09		1	0.04		46	2.04		4	0.18		195	8.64		26	1.15		3	0.13		677	29.98		32	1.42		1	0.04		34	1.51		2	0.09		2	0.09		4	0.18		846	37.47		24	1.06		6	0.27		123	5.45		0	0.00		1	0.04		14	0.62		5	0.22		2258	96.09		92	3.91		2350	2.88
Ashford		103	22.29		13	2.81		0	0.00		1	0.22		5	1.08		0	0.00		17	3.68		13	2.81		1	0.22		129	27.92		2	0.43		0	0.00		3	0.65		1	0.22		0	0.00		1	0.22		163	35.28		7	1.52		0	0.00		3	0.65		0	0.00		0	0.00		0	0.00		0	0.00		462	97.47		12	2.53		474	0.58
