House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Calare (85310)											
		Candidate		"ANDREN, Peter"		              	"SHEARING, Dave"		             	Total	
				IND		                        	NP		                         		
				Votes	%	                     	Votes	%	                     		
	Barry										
			1st Prefs	56	64.37		31	35.63		87	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	2	1	50.00		1	50.00		2	
		"KNOWLES, Kath (CLR)"	15	13	86.67		2	13.33		15	
		Total	20	73	68.22		34	31.78		107	

	Bathurst										
			1st Prefs	1267	75.78		405	24.22		1672	
		"MARSHALL, Don (DEM)"	42	36	85.71		6	14.29		42	
		"WATTS, Ian (GRN)"	52	43	82.69		9	17.31		52	
		"SIMPSON, David (CEC)"	8	4	50.00		4	50.00		8	
		"NIXON, Terry (HAN)"	60	35	58.33		25	41.67		60	
		"KNOWLES, Kath (CLR)"	639	579	90.61		60	9.39		639	
		Total	801	1964	79.42		509	20.58		2473	

	Bathurst Central										
			1st Prefs	594	76.94		178	23.06		772	
		"MARSHALL, Don (DEM)"	25	20	80.00		5	20.00		25	
		"WATTS, Ian (GRN)"	27	24	88.89		3	11.11		27	
		"SIMPSON, David (CEC)"	5	3	60.00		2	40.00		5	
		"NIXON, Terry (HAN)"	28	14	50.00		14	50.00		28	
		"KNOWLES, Kath (CLR)"	304	274	90.13		30	9.87		304	
		Total	389	929	80.02		232	19.98		1161	

	Bathurst City										
			1st Prefs	697	73.76		248	26.24		945	
		"MARSHALL, Don (DEM)"	20	19	95.00		1	5.00		20	
		"WATTS, Ian (GRN)"	37	34	91.89		3	8.11		37	
		"SIMPSON, David (CEC)"	6	5	83.33		1	16.67		6	
		"NIXON, Terry (HAN)"	31	21	67.74		10	32.26		31	
		"KNOWLES, Kath (CLR)"	318	280	88.05		38	11.95		318	
		Total	412	1056	77.82		301	22.18		1357	

	Bathurst High										
			1st Prefs	584	76.74		177	23.26		761	
		"MARSHALL, Don (DEM)"	14	13	92.86		1	7.14		14	
		"WATTS, Ian (GRN)"	15	15	100.00		0	0.00		15	
		"SIMPSON, David (CEC)"	4	3	75.00		1	25.00		4	
		"NIXON, Terry (HAN)"	23	14	60.87		9	39.13		23	
		"KNOWLES, Kath (CLR)"	254	232	91.34		22	8.66		254	
		Total	310	861	80.39		210	19.61		1071	

	Bathurst Hospital										
			1st Prefs	387	77.25		114	22.75		501	
		"MARSHALL, Don (DEM)"	9	7	77.78		2	22.22		9	
		"WATTS, Ian (GRN)"	9	7	77.78		2	22.22		9	
		"SIMPSON, David (CEC)"	2	1	50.00		1	50.00		2	
		"NIXON, Terry (HAN)"	15	10	66.67		5	33.33		15	
		"KNOWLES, Kath (CLR)"	184	162	88.04		22	11.96		184	
		Total	219	574	79.72		146	20.28		720	

	Bathurst St Vincents										
			1st Prefs	120	71.86		47	28.14		167	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, David (CEC)"	2	2	100.00		0	0.00		2	
		"NIXON, Terry (HAN)"	10	7	70.00		3	30.00		10	
		"KNOWLES, Kath (CLR)"	93	83	89.25		10	10.75		93	
		Total	110	217	78.34		60	21.66		277	

	Bathurst South										
			1st Prefs	682	82.27		147	17.73		829	
		"MARSHALL, Don (DEM)"	12	11	91.67		1	8.33		12	
		"WATTS, Ian (GRN)"	18	16	88.89		2	11.11		18	
		"SIMPSON, David (CEC)"	4	1	25.00		3	75.00		4	
		"NIXON, Terry (HAN)"	33	25	75.76		8	24.24		33	
		"KNOWLES, Kath (CLR)"	325	295	90.77		30	9.23		325	
		Total	392	1030	84.36		191	15.64		1221	

	Bathurst West										
			1st Prefs	1275	73.91		450	26.09		1725	
		"MARSHALL, Don (DEM)"	27	20	74.07		7	25.93		27	
		"WATTS, Ian (GRN)"	30	25	83.33		5	16.67		30	
		"SIMPSON, David (CEC)"	8	3	37.50		5	62.50		8	
		"NIXON, Terry (HAN)"	70	45	64.29		25	35.71		70	
		"KNOWLES, Kath (CLR)"	546	497	91.03		49	8.97		546	
		Total	681	1865	77.51		541	22.49		2406	

	Billimari										
			1st Prefs	89	74.17		31	25.83		120	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	5	3	60.00		2	40.00		5	
		"KNOWLES, Kath (CLR)"	14	13	92.86		1	7.14		14	
		Total	22	108	76.06		34	23.94		142	

	Black Springs										
			1st Prefs	114	71.70		45	28.30		159	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	2	2	100.00		0	0.00		2	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	16	8	50.00		8	50.00		16	
		"KNOWLES, Kath (CLR)"	38	35	92.11		3	7.89		38	
		Total	57	160	74.07		56	25.93		216	

	Blayney										
			1st Prefs	949	72.00		369	28.00		1318	
		"MARSHALL, Don (DEM)"	18	15	83.33		3	16.67		18	
		"WATTS, Ian (GRN)"	15	12	80.00		3	20.00		15	
		"SIMPSON, David (CEC)"	3	1	33.33		2	66.67		3	
		"NIXON, Terry (HAN)"	96	64	66.67		32	33.33		96	
		"KNOWLES, Kath (CLR)"	359	313	87.19		46	12.81		359	
		Total	491	1354	74.85		455	25.15		1809	

	Bletchington										
			1st Prefs	1467	67.82		696	32.18		2163	
		"MARSHALL, Don (DEM)"	35	24	68.57		11	31.43		35	
		"WATTS, Ian (GRN)"	47	39	82.98		8	17.02		47	
		"SIMPSON, David (CEC)"	8	5	62.50		3	37.50		8	
		"NIXON, Terry (HAN)"	89	60	67.42		29	32.58		89	
		"KNOWLES, Kath (CLR)"	460	401	87.17		59	12.83		460	
		Total	639	1996	71.23		806	28.77		2802	

	Bloomfield Hospital										
			1st Prefs	86	72.27		33	27.73		119	
		"MARSHALL, Don (DEM)"	4	2	50.00		2	50.00		4	
		"WATTS, Ian (GRN)"	3	3	100.00		0	0.00		3	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	6	1	16.67		5	83.33		6	
		"KNOWLES, Kath (CLR)"	26	23	88.46		3	11.54		26	
		Total	39	115	72.78		43	27.22		158	

	Borenore										
			1st Prefs	142	62.56		85	37.44		227	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	3	2	66.67		1	33.33		3	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	9	4	44.44		5	55.56		9	
		"KNOWLES, Kath (CLR)"	19	17	89.47		2	10.53		19	
		Total	32	166	64.09		93	35.91		259	

	Bowen										
			1st Prefs	1225	72.14		473	27.86		1698	
		"MARSHALL, Don (DEM)"	31	25	80.65		6	19.35		31	
		"WATTS, Ian (GRN)"	47	37	78.72		10	21.28		47	
		"SIMPSON, David (CEC)"	2	1	50.00		1	50.00		2	
		"NIXON, Terry (HAN)"	125	87	69.60		38	30.40		125	
		"KNOWLES, Kath (CLR)"	444	399	89.86		45	10.14		444	
		Total	649	1774	75.59		573	24.41		2347	

	Bowenfels South										
			1st Prefs	126	77.78		36	22.22		162	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	1	0	0.00		1	100.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	5	2	40.00		3	60.00		5	
		"KNOWLES, Kath (CLR)"	48	44	91.67		4	8.33		48	
		Total	55	173	79.72		44	20.28		217	

	Burraga										
			1st Prefs	46	85.19		8	14.81		54	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
