House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Calare																									
				MARSHALL			WATTS			ANDREN			SIMPSON			SHEARING			NIXON			KNOWLES			
				Don			Ian			Peter			David			Dave			Terry			Kath			
				DEM			GRN			IND			CEC			NP			HAN			CLR			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Barry                                                          																									
	FIRST			1	0.93		1	0.93		56	52.34		1	0.93		31	28.97		2	1.87		15	14.02		107
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.93		1	0.93		57	53.27					31	28.97		2	1.87		15	14.02		107
	THIRD				Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					2	1.87		57	53.27					31	28.97		2	1.87		15	14.02		107
	FOURTH							Excluded		2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL								59	55.14					31	28.97		2	1.87		15	14.02		107
	FIFTH									1	50.00					1	50.00			Excluded		0	0.00		2
		TOTAL								60	56.07					32	29.91					15	14.02		107
	SIXTH									13	86.67					2	13.33						Excluded		15
		TOTAL								73	68.22					34	31.78								107
										Elected															
																									
Bathurst                                                       																									
	FIRST			42	1.70		52	2.10		1267	51.23		8	0.32		405	16.38		60	2.43		639	25.84		2473
	SECOND			0	0.00		0	0.00		4	50.00			Excluded		3	37.50		1	12.50		0	0.00		8
		TOTAL		42	1.70		52	2.10		1271	51.40					408	16.50		61	2.47		639	25.84		2473
	THIRD				Excluded		15	35.71		14	33.33					3	7.14		3	7.14		7	16.67		42
		TOTAL					67	2.71		1285	51.96					411	16.62		64	2.59		646	26.12		2473
	FOURTH							Excluded		42	62.69					8	11.94		1	1.49		16	23.88		67
		TOTAL								1327	53.66					419	16.94		65	2.63		662	26.77		2473
	FIFTH									29	44.62					22	33.85			Excluded		14	21.54		65
		TOTAL								1356	54.83					441	17.83					676	27.34		2473
	SIXTH									608	89.94					68	10.06						Excluded		676
		TOTAL								1964	79.42					509	20.58								2473
										Elected															
																									
Bathurst Central                                               																									
	FIRST			25	2.15		27	2.33		594	51.16		5	0.43		178	15.33		28	2.41		304	26.18		1161
	SECOND			0	0.00		0	0.00		3	60.00			Excluded		1	20.00		1	20.00		0	0.00		5
		TOTAL		25	2.15		27	2.33		597	51.42					179	15.42		29	2.50		304	26.18		1161
	THIRD				Excluded		10	40.00		10	40.00					0	0.00		1	4.00		4	16.00		25
		TOTAL					37	3.19		607	52.28					179	15.42		30	2.58		308	26.53		1161
	FOURTH							Excluded		23	62.16					5	13.51		1	2.70		8	21.62		37
		TOTAL								630	54.26					184	15.85		31	2.67		316	27.22		1161
	FIFTH									11	35.48					9	29.03			Excluded		11	35.48		31
		TOTAL								641	55.21					193	16.62					327	28.17		1161
	SIXTH									288	88.07					39	11.93						Excluded		327
		TOTAL								929	80.02					232	19.98								1161
										Elected															
																									
Bathurst City                                                  																									
	FIRST			20	1.47		37	2.73		697	51.36		6	0.44		248	18.28		31	2.28		318	23.43		1357
	SECOND			1	16.67		0	0.00		2	33.33			Excluded		1	16.67		2	33.33		0	0.00		6
		TOTAL		21	1.55		37	2.73		699	51.51					249	18.35		33	2.43		318	23.43		1357
	THIRD				Excluded		13	61.90		6	28.57					1	4.76		0	0.00		1	4.76		21
		TOTAL					50	3.68		705	51.95					250	18.42		33	2.43		319	23.51		1357
	FOURTH							Excluded		41	82.00					1	2.00		1	2.00		7	14.00		50
		TOTAL								746	54.97					251	18.50		34	2.51		326	24.02		1357
	FIFTH									19	55.88					8	23.53			Excluded		7	20.59		34
		TOTAL								765	56.37					259	19.09					333	24.54		1357
	SIXTH									291	87.39					42	12.61						Excluded		333
		TOTAL								1056	77.82					301	22.18								1357
										Elected															
																									
Bathurst High                                                  																									
	FIRST			14	1.31		15	1.40		584	54.53		4	0.37		177	16.53		23	2.15		254	23.72		1071
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	75.00		1	25.00		4
		TOTAL		14	1.31		15	1.40		584	54.53					177	16.53		26	2.43		255	23.81		1071
	THIRD				Excluded		7	50.00		4	28.57					0	0.00		0	0.00		3	21.43		14
		TOTAL					22	2.05		588	54.90					177	16.53		26	2.43		258	24.09		1071
	FOURTH							Excluded		18	81.82					0	0.00		1	4.55		3	13.64		22
		TOTAL								606	56.58					177	16.53		27	2.52		261	24.37		1071
	FIFTH									15	55.56					7	25.93			Excluded		5	18.52		27
		TOTAL								621	57.98					184	17.18					266	24.84		1071
	SIXTH									240	90.23					26	9.77						Excluded		266
		TOTAL								861	80.39					210	19.61								1071
										Elected															
																									
Bathurst Hospital                                              																									
	FIRST			9	1.25		9	1.25		387	53.75		2	0.28		114	15.83		15	2.08		184	25.56		720
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		1	50.00		2
		TOTAL		9	1.25		9	1.25		387	53.75					115	15.97		15	2.08		185	25.69		720
	THIRD				Excluded		7	77.78		1	11.11					0	0.00		1	11.11		0	0.00		9
		TOTAL					16	2.22		388	53.89					115	15.97		16	2.22		185	25.69		720
	FOURTH							Excluded		7	43.75					3	18.75		4	25.00		2	12.50		16
		TOTAL								395	54.86					118	16.39		20	2.78		187	25.97		720
	FIFTH									9	45.00					3	15.00			Excluded		8	40.00		20
		TOTAL								404	56.11					121	16.81					195	27.08		720
	SIXTH									170	87.18					25	12.82						Excluded		195
		TOTAL								574	79.72					146	20.28								720
										Elected															
																									
Bathurst South                                                 																									
	FIRST			12	0.98		18	1.47		682	55.86		4	0.33		147	12.04		33	2.70		325	26.62		1221
	SECOND			1	25.00		0	0.00		1	25.00			Excluded		2	50.00		0	0.00		0	0.00		4
		TOTAL		13	1.06		18	1.47		683	55.94					149	12.20		33	2.70		325	26.62		1221
	THIRD				Excluded		8	61.54		4	30.77					1	7.69		0	0.00		0	0.00		13
		TOTAL					26	2.13		687	56.27					150	12.29		33	2.70		325	26.62		1221
	FOURTH							Excluded		17	65.38					3	11.54		1	3.85		5	19.23		26
		TOTAL								704	57.66					153	12.53		34	2.78		330	27.03		1221
	FIFTH									23	67.65					6	17.65			Excluded		5	14.71		34
		TOTAL								727	59.54					159	13.02					335	27.44		1221
	SIXTH									303	90.45					32	9.55						Excluded		335
		TOTAL								1030	84.36					191	15.64								1221
										Elected															
																									
Bathurst St Vincents                                           																									
	FIRST			1	0.36		4	1.44		120	43.32		2	0.72		47	16.97		10	3.61		93	33.57		277
	SECOND			2	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		3	1.08		4	1.44		120	43.32					47	16.97		10	3.61		93	33.57		277
	THIRD				Excluded		2	66.67		1	33.33					0	0.00		0	0.00		0	0.00		3
		TOTAL					6	2.17		121	43.68					47	16.97		10	3.61		93	33.57		277
	FOURTH							Excluded		3	50.00					0	0.00		0	0.00		3	50.00		6
		TOTAL								124	44.77					47	16.97		10	3.61		96	34.66		277
	FIFTH									6	60.00					3	30.00			Excluded		1	10.00		10
		TOTAL								130	46.93					50	18.05					97	35.02		277
	SIXTH									87	89.69					10	10.31						Excluded		97
		TOTAL								217	78.34					60	21.66								277
										Elected															
																									
Bathurst West                                                  																									
	FIRST			27	1.12		30	1.25		1275	52.99		8	0.33		450	18.70		70	2.91		546	22.69		2406
	SECOND			2	25.00		1	12.50		2	25.00			Excluded		3	37.50		0	0.00		0	0.00		8
		TOTAL		29	1.21		31	1.29		1277	53.08					453	18.83		70	2.91		546	22.69		2406
	THIRD				Excluded		11	37.93		9	31.03					2	6.90		1	3.45		6	20.69		29
		TOTAL					42	1.75		1286	53.45					455	18.91		71	2.95		552	22.94		2406
	FOURTH							Excluded		23	54.76					2	4.76		6	14.29		11	26.19		42
		TOTAL								1309	54.41					457	18.99		77	3.20		563	23.40		2406
	FIFTH									43	55.84					21	27.27			Excluded		13	16.88		77
		TOTAL								1352	56.19					478	19.87					576	23.94		2406
	SIXTH									513	89.06					63	10.94						Excluded		576
		TOTAL								1865	77.51					541	22.49								2406
										Elected															
																									
Billimari                                                      																									
	FIRST			2	1.41		0	0.00		89	62.68		1	0.70		31	21.83		5	3.52		14	9.86		142
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		2	1.41		0	0.00		89	62.68					31	21.83		6	4.23		14	9.86		142
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					1	0.70		90	63.38					31	21.83		6	4.23		14	9.86		142
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								91	64.08					31	21.83		6	4.23		14	9.86		142
	FIFTH									3	50.00					2	33.33			Excluded		1	16.67		6
		TOTAL								94	66.20					33	23.24					15	10.56		142
	SIXTH									14	93.33					1	6.67						Excluded		15
		TOTAL								108	76.06					34	23.94								142
										Elected															
																									
Black Springs                                                  																									
	FIRST			0	0.00		2	0.93		114	52.78		1	0.46		45	20.83		16	7.41		38	17.59		216
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	0.46		2	0.93		114	52.78					45	20.83		16	7.41		38	17.59		216
	THIRD				Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					3	1.39		114	52.78					45	20.83		16	7.41		38	17.59		216
	FOURTH							Excluded		1	33.33					0	0.00		2	66.67		0	0.00		3
		TOTAL								115	53.24					45	20.83		18	8.33		38	17.59		216
	FIFTH									6	33.33					6	33.33			Excluded		6	33.33		18
		TOTAL								121	56.02					51	23.61					44	20.37		216
	SIXTH									39	88.64					5	11.36						Excluded		44
		TOTAL								160	74.07					56	25.93								216
										Elected															
																									
Blayney                                                        																									
	FIRST			18	1.00		15	0.83		949	52.46		3	0.17		369	20.40		96	5.31		359	19.85		1809
	SECOND			0	0.00		0	0.00		1	33.33			Excluded		2	66.67		0	0.00		0	0.00		3
		TOTAL		18	1.00		15	0.83		950	52.52					371	20.51		96	5.31		359	19.85		1809
	THIRD				Excluded		10	55.56		4	22.22					1	5.56		1	5.56		2	11.11		18
		TOTAL					25	1.38		954	52.74					372	20.56		97	5.36		361	19.96		1809
	FOURTH							Excluded		17	68.00					2	8.00		2	8.00		4	16.00		25
		TOTAL								971	53.68					374	20.67		99	5.47		365	20.18		1809
	FIFTH									58	58.59					22	22.22			Excluded		19	19.19		99
		TOTAL								1029	56.88					396	21.89					384	21.23		1809
	SIXTH									325	84.64					59	15.36						Excluded		384
		TOTAL								1354	74.85					455	25.15								1809
										Elected															
																									
Bletchington                                                   																									
	FIRST			35	1.25		47	1.68		1467	52.36		8	0.29		696	24.84		89	3.18		460	16.42		2802
	SECOND			1	12.50		0	0.00		4	50.00			Excluded		2	25.00		1	12.50		0	0.00		8
		TOTAL		36	1.28		47	1.68		1471	52.50					698	24.91		90	3.21		460	16.42		2802
	THIRD				Excluded		13	36.11		12	33.33					4	11.11		2	5.56		5	13.89		36
		TOTAL					60	2.14		1483	52.93					702	25.05		92	3.28		465	16.60		2802
	FOURTH							Excluded		41	68.33					7	11.67		1	1.67		11	18.33		60
		TOTAL								1524	54.39					709	25.30		93	3.32		476	16.99		2802
	FIFTH									53	56.99					23	24.73			Excluded		17	18.28		93
		TOTAL								1577	56.28					732	26.12					493	17.59		2802
	SIXTH									419	84.99					74	15.01						Excluded		493
		TOTAL								1996	71.23					806	28.77								2802
										Elected															
																									
Bloomfield Hospital                                            																									
	FIRST			4	2.53		3	1.90		86	54.43		0	0.00		33	20.89		6	3.80		26	16.46		158
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	2.53		3	1.90		86	54.43					33	20.89		6	3.80		26	16.46		158
	THIRD				Excluded		1	25.00		1	25.00					2	50.00		0	0.00		0	0.00		4
		TOTAL					4	2.53		87	55.06					35	22.15		6	3.80		26	16.46		158
	FOURTH							Excluded		4	100.00					0	0.00		0	0.00		0	0.00		4
		TOTAL								91	57.59					35	22.15		6	3.80		26	16.46		158
	FIFTH									0	0.00					4	66.67			Excluded		2	33.33		6
		TOTAL								91	57.59					39	24.68					28	17.72		158
	SIXTH									24	85.71					4	14.29						Excluded		28
		TOTAL								115	72.78					43	27.22								158
										Elected															
																									
Borenore                                                       																									
	FIRST			0	0.00		3	1.16		142	54.83		1	0.39		85	32.82		9	3.47		19	7.34		259
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		0	0.00		3	1.16		143	55.21					85	32.82		9	3.47		19	7.34		259
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					3	1.16		143	55.21					85	32.82		9	3.47		19	7.34		259
	FOURTH							Excluded		2	66.67					1	33.33		0	0.00		0	0.00		3
		TOTAL								145	55.98					86	33.20		9	3.47		19	7.34		259
	FIFTH									4	44.44					4	44.44			Excluded		1	11.11		9
		TOTAL								149	57.53					90	34.75					20	7.72		259
	SIXTH									17	85.00					3	15.00						Excluded		20
		TOTAL								166	64.09					93	35.91								259
										Elected															
																									
Bowen                                                          																									
	FIRST			31	1.32		47	2.00		1225	52.19		2	0.09		473	20.15		125	5.33		444	18.92		2347
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		32	1.36		47	2.00		1226	52.24					473	20.15		125	5.33		444	18.92		2347
	THIRD				Excluded		15	46.88		10	31.25					2	6.25		1	3.13		4	12.50		32
		TOTAL					62	2.64		1236	52.66					475	20.24		126	5.37		448	19.09		2347
	FOURTH							Excluded		42	67.74					10	16.13		4	6.45		6	9.68		62
		TOTAL								1278	54.45					485	20.66		130	5.54		454	19.34		2347
	FIFTH									74	56.92					31	23.85			Excluded		25	19.23		130
		TOTAL								1352	57.61					516	21.99					479	20.41		2347
	SIXTH									422	88.10					57	11.90						Excluded		479
		TOTAL								1774	75.59					573	24.41								2347
										Elected															
																									
Bowenfels South                                                																									
	FIRST			1	0.46		1	0.46		126	58.06		0	0.00		36	16.59		5	2.30		48	22.12		217
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.46		1	0.46		126	58.06					36	16.59		5	2.30		48	22.12		217
	THIRD				Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					2	0.92		126	58.06					36	16.59		5	2.30		48	22.12		217
	FOURTH							Excluded		0	0.00					0	0.00		0	0.00		2	100.00		2
		TOTAL								126	58.06					36	16.59		5	2.30		50	23.04		217
	FIFTH									2	40.00					3	60.00			Excluded		0	0.00		5
		TOTAL								128	58.99					39	17.97					50	23.04		217
	SIXTH									45	90.00					5	10.00						Excluded		50
		TOTAL								173	79.72					44	20.28								217
										Elected															
																									
Burraga                                                        																									
	FIRST			0	0.00		1	1.45		46	66.67		0	0.00		8	11.59		4	5.80		10	14.49		69
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		1	1.45		46	66.67					8	11.59		4	5.80		10	14.49		69
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					1	1.45		46	66.67					8	11.59		4	5.80		10	14.49		69
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								47	68.12					8	11.59		4	5.80		10	14.49		69
	FIFTH									3	75.00					1	25.00			Excluded		0	0.00		4
		TOTAL								50	72.46					9	13.04					10	14.49		69
	SIXTH									10	100.00					0	0.00						Excluded		10
		TOTAL								60	86.96					9	13.04								69
										Elected															
																									
Calare School                                                  																									
	FIRST			23	1.36		24	1.42		923	54.42		5	0.29		434	25.59		42	2.48		245	14.45		1696
	SECOND			0	0.00		1	20.00		1	20.00			Excluded		1	20.00		1	20.00		1	20.00		5
		TOTAL		23	1.36		25	1.47		924	54.48					435	25.65		43	2.54		246	14.50		1696
	THIRD				Excluded		8	34.78		11	47.83					1	4.35		1	4.35		2	8.70		23
		TOTAL					33	1.95		935	55.13					436	25.71		44	2.59		248	14.62		1696
	FOURTH							Excluded		16	48.48					8	24.24		3	9.09		6	18.18		33
		TOTAL								951	56.07					444	26.18		47	2.77		254	14.98		1696
	FIFTH									26	55.32					7	14.89			Excluded		14	29.79		47
		TOTAL								977	57.61					451	26.59					268	15.80		1696
	SIXTH									226	84.33					42	15.67						Excluded		268
		TOTAL								1203	70.93					493	29.07								1696
										Elected															
																									
Canobolas                                                      																									
	FIRST			0	0.00		4	2.45		103	63.19		1	0.61		48	29.45		3	1.84		4	2.45		163
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		0	0.00		4	2.45		104	63.80					48	29.45		3	1.84		4	2.45		163
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					4	2.45		104	63.80					48	29.45		3	1.84		4	2.45		163
	FOURTH							Excluded		2	50.00					0	0.00		0	0.00		2	50.00		4
		TOTAL								106	65.03					48	29.45		3	1.84		6	3.68		163
	FIFTH									1	33.33					2	66.67			Excluded		0	0.00		3
		TOTAL								107	65.64					50	30.67					6	3.68		163
	SIXTH									3	50.00					3	50.00						Excluded		6
		TOTAL								110	67.48					53	32.52								163
										Elected															
																									
Canowindra                                                     																									
	FIRST			21	1.50		15	1.07		732	52.29		4	0.29		342	24.43		100	7.14		186	13.29		1400
	SECOND			0	0.00		0	0.00		1	25.00			Excluded		2	50.00		1	25.00		0	0.00		4
		TOTAL		21	1.50		15	1.07		733	52.36					344	24.57		101	7.21		186	13.29		1400
	THIRD				Excluded		14	66.67		2	9.52					2	9.52		1	4.76		2	9.52		21
		TOTAL					29	2.07		735	52.50					346	24.71		102	7.29		188	13.43		1400
	FOURTH							Excluded		22	75.86					2	6.90		1	3.45		4	13.79		29
		TOTAL								757	54.07					348	24.86		103	7.36		192	13.71		1400
	FIFTH									72	69.90					24	23.30			Excluded		7	6.80		103
		TOTAL								829	59.21					372	26.57					199	14.21		1400
	SIXTH									178	89.45					21	10.55						Excluded		199
		TOTAL								1007	71.93					393	28.07								1400
										Elected															
																									
Capertee                                                       																									
	FIRST			2	1.52		3	2.27		66	50.00		1	0.76		15	11.36		16	12.12		29	21.97		132
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		2	1.52		3	2.27		66	50.00					16	12.12		16	12.12		29	21.97		132
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					4	3.03		67	50.76					16	12.12		16	12.12		29	21.97		132
	FOURTH							Excluded		4	100.00					0	0.00		0	0.00		0	0.00		4
		TOTAL								71	53.79					16	12.12		16	12.12		29	21.97		132
	FIFTH									14	87.50					1	6.25			Excluded		1	6.25		16
		TOTAL								85	64.39					17	12.88					30	22.73		132
	SIXTH									23	76.67					7	23.33						Excluded		30
		TOTAL								108	81.82					24	18.18								132
										Elected															
																									
Carcoar                                                        																									
	FIRST			0	0.00		1	0.49		107	51.94		1	0.49		39	18.93		13	6.31		45	21.84		206
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		0	0.00		1	0.49		108	52.43					39	18.93		13	6.31		45	21.84		206
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					1	0.49		108	52.43					39	18.93		13	6.31		45	21.84		206
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								109	52.91					39	18.93		13	6.31		45	21.84		206
	FIFTH									9	69.23					1	7.69			Excluded		3	23.08		13
		TOTAL								118	57.28					40	19.42					48	23.30		206
	SIXTH									46	95.83					2	4.17						Excluded		48
		TOTAL								164	79.61					42	20.39								206
										Elected															
																									
Cargo                                                          																									
