House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
by Polling Place											
											
Shortland (86261)											
		Candidate		"PERREM, Brian"		              	"HALL, Jill"		                 	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Belmont										
			1st Prefs	469	38.79		740	61.21		1209	
		"CANDLISH, Iris (HAN)"	58	28	48.28		30	51.72		58	
		"CRAIG, Peter (IND)"	45	38	84.44		7	15.56		45	
		"ADAMS, Steven Mark (DEM)"	18	3	16.67		15	83.33		18	
		"LAMBERT, Joan (GRN)"	33	10	30.30		23	69.70		33	
		"GARDNIR, Ron (IND)"	7	2	28.57		5	71.43		7	
		Total	161	550	40.15		820	59.85		1370	

	Belmont Central										
			1st Prefs	491	36.13		868	63.87		1359	
		"CANDLISH, Iris (HAN)"	62	28	45.16		34	54.84		62	
		"CRAIG, Peter (IND)"	47	29	61.70		18	38.30		47	
		"ADAMS, Steven Mark (DEM)"	30	8	26.67		22	73.33		30	
		"LAMBERT, Joan (GRN)"	71	11	15.49		60	84.51		71	
		"GARDNIR, Ron (IND)"	9	4	44.44		5	55.56		9	
		Total	219	571	36.19		1007	63.81		1578	

	Belmont North										
			1st Prefs	460	30.10		1068	69.90		1528	
		"CANDLISH, Iris (HAN)"	86	43	50.00		43	50.00		86	
		"CRAIG, Peter (IND)"	70	59	84.29		11	15.71		70	
		"ADAMS, Steven Mark (DEM)"	32	9	28.13		23	71.88		32	
		"LAMBERT, Joan (GRN)"	67	13	19.40		54	80.60		67	
		"GARDNIR, Ron (IND)"	13	6	46.15		7	53.85		13	
		Total	268	590	32.85		1206	67.15		1796	

	Belmont West										
			1st Prefs	416	42.71		558	57.29		974	
		"CANDLISH, Iris (HAN)"	60	33	55.00		27	45.00		60	
		"CRAIG, Peter (IND)"	58	46	79.31		12	20.69		58	
		"ADAMS, Steven Mark (DEM)"	36	19	52.78		17	47.22		36	
		"LAMBERT, Joan (GRN)"	47	13	27.66		34	72.34		47	
		"GARDNIR, Ron (IND)"	15	3	20.00		12	80.00		15	
		Total	216	530	44.54		660	55.46		1190	

	Blacksmiths										
			1st Prefs	215	25.44		630	74.56		845	
		"CANDLISH, Iris (HAN)"	73	51	69.86		22	30.14		73	
		"CRAIG, Peter (IND)"	19	8	42.11		11	57.89		19	
		"ADAMS, Steven Mark (DEM)"	27	9	33.33		18	66.67		27	
		"LAMBERT, Joan (GRN)"	24	3	12.50		21	87.50		24	
		"GARDNIR, Ron (IND)"	4	1	25.00		3	75.00		4	
		Total	147	287	28.93		705	71.07		992	

	Budgewoi										
			1st Prefs	608	37.53		1012	62.47		1620	
		"CANDLISH, Iris (HAN)"	91	51	56.04		40	43.96		91	
		"CRAIG, Peter (IND)"	30	15	50.00		15	50.00		30	
		"ADAMS, Steven Mark (DEM)"	42	16	38.10		26	61.90		42	
		"LAMBERT, Joan (GRN)"	81	25	30.86		56	69.14		81	
		"GARDNIR, Ron (IND)"	19	6	31.58		13	68.42		19	
		Total	263	721	38.29		1162	61.71		1883	

	Budgewoi Central										
			1st Prefs	529	42.02		730	57.98		1259	
		"CANDLISH, Iris (HAN)"	64	35	54.69		29	45.31		64	
		"CRAIG, Peter (IND)"	25	13	52.00		12	48.00		25	
		"ADAMS, Steven Mark (DEM)"	24	6	25.00		18	75.00		24	
		"LAMBERT, Joan (GRN)"	44	10	22.73		34	77.27		44	
		"GARDNIR, Ron (IND)"	10	2	20.00		8	80.00		10	
		Total	167	595	41.73		831	58.27		1426	

	Buff Point										
			1st Prefs	599	42.94		796	57.06		1395	
		"CANDLISH, Iris (HAN)"	66	27	40.91		39	59.09		66	
		"CRAIG, Peter (IND)"	28	16	57.14		12	42.86		28	
		"ADAMS, Steven Mark (DEM)"	38	11	28.95		27	71.05		38	
		"LAMBERT, Joan (GRN)"	43	13	30.23		30	69.77		43	
		"GARDNIR, Ron (IND)"	16	5	31.25		11	68.75		16	
		Total	191	671	42.31		915	57.69		1586	

	Catherine Hill Bay										
			1st Prefs	25	21.01		94	78.99		119	
		"CANDLISH, Iris (HAN)"	6	4	66.67		2	33.33		6	
		"CRAIG, Peter (IND)"	0	0	0.00		0	0.00		0	
		"ADAMS, Steven Mark (DEM)"	5	2	40.00		3	60.00		5	
		"LAMBERT, Joan (GRN)"	7	3	42.86		4	57.14		7	
		"GARDNIR, Ron (IND)"	3	0	0.00		3	100.00		3	
		Total	21	34	24.29		106	75.71		140	

	Caves Beach										
			1st Prefs	1007	40.07		1506	59.93		2513	
		"CANDLISH, Iris (HAN)"	130	61	46.92		69	53.08		130	
		"CRAIG, Peter (IND)"	106	71	66.98		35	33.02		106	
		"ADAMS, Steven Mark (DEM)"	96	28	29.17		68	70.83		96	
		"LAMBERT, Joan (GRN)"	148	29	19.59		119	80.41		148	
		"GARDNIR, Ron (IND)"	22	9	40.91		13	59.09		22	
		Total	502	1205	39.97		1810	60.03		3015	

	Chain Valley Bay										
			1st Prefs	329	42.02		454	57.98		783	
		"CANDLISH, Iris (HAN)"	51	26	50.98		25	49.02		51	
		"CRAIG, Peter (IND)"	11	5	45.45		6	54.55		11	
		"ADAMS, Steven Mark (DEM)"	20	11	55.00		9	45.00		20	
		"LAMBERT, Joan (GRN)"	30	10	33.33		20	66.67		30	
		"GARDNIR, Ron (IND)"	5	1	20.00		4	80.00		5	
		Total	117	382	42.44		518	57.56		900	

	Charlestown										
			1st Prefs	692	42.07		953	57.93		1645	
		"CANDLISH, Iris (HAN)"	84	40	47.62		44	52.38		84	
		"CRAIG, Peter (IND)"	79	59	74.68		20	25.32		79	
		"ADAMS, Steven Mark (DEM)"	103	39	37.86		64	62.14		103	
		"LAMBERT, Joan (GRN)"	118	28	23.73		90	76.27		118	
		"GARDNIR, Ron (IND)"	13	6	46.15		7	53.85		13	
		Total	397	864	42.31		1178	57.69		2042	

	Charlestown East										
			1st Prefs	438	41.75		611	58.25		1049	
		"CANDLISH, Iris (HAN)"	48	26	54.17		22	45.83		48	
		"CRAIG, Peter (IND)"	39	27	69.23		12	30.77		39	
		"ADAMS, Steven Mark (DEM)"	37	9	24.32		28	75.68		37	
		"LAMBERT, Joan (GRN)"	52	10	19.23		42	80.77		52	
		"GARDNIR, Ron (IND)"	5	2	40.00		3	60.00		5	
		Total	181	512	41.63		718	58.37		1230	

	Charmhaven										
			1st Prefs	421	45.76		499	54.24		920	
		"CANDLISH, Iris (HAN)"	64	32	50.00		32	50.00		64	
		"CRAIG, Peter (IND)"	37	22	59.46		15	40.54		37	
		"ADAMS, Steven Mark (DEM)"	30	5	16.67		25	83.33		30	
		"LAMBERT, Joan (GRN)"	34	9	26.47		25	73.53		34	
		"GARDNIR, Ron (IND)"	4	2	50.00		2	50.00		4	
		Total	169	491	45.09		598	54.91		1089	

	Dudley										
			1st Prefs	543	46.49		625	53.51		1168	
		"CANDLISH, Iris (HAN)"	53	26	49.06		27	50.94		53	
		"CRAIG, Peter (IND)"	37	31	83.78		6	16.22		37	
		"ADAMS, Steven Mark (DEM)"	99	30	30.30		69	69.70		99	
		"LAMBERT, Joan (GRN)"	148	30	20.27		118	79.73		148	
		"GARDNIR, Ron (IND)"	13	5	38.46		8	61.54		13	
		Total	350	665	43.81		853	56.19		1518	

	Eleebana										
			1st Prefs	1695	59.62		1148	40.38		2843	
		"CANDLISH, Iris (HAN)"	127	74	58.27		53	41.73		127	
		"CRAIG, Peter (IND)"	144	107	74.31		37	25.69		144	
		"ADAMS, Steven Mark (DEM)"	209	70	33.49		139	66.51		209	
		"LAMBERT, Joan (GRN)"	162	31	19.14		131	80.86		162	
		"GARDNIR, Ron (IND)"	20	9	45.00		11	55.00		20	
		Total	662	1986	56.66		1519	43.34		3505	

	Floraville										
			1st Prefs	485	39.88		731	60.12		1216	
		"CANDLISH, Iris (HAN)"	57	27	47.37		30	52.63		57	
		"CRAIG, Peter (IND)"	62	44	70.97		18	29.03		62	
		"ADAMS, Steven Mark (DEM)"	50	13	26.00		37	74.00		50	
		"LAMBERT, Joan (GRN)"	30	9	30.00		21	70.00		30	
		"GARDNIR, Ron (IND)"	16	8	50.00		8	50.00		16	
		Total	215	586	40.95		845	59.05		1431	

	Gateshead										
			1st Prefs	370	32.12		782	67.88		1152	
		"CANDLISH, Iris (HAN)"	55	14	25.45		41	74.55		55	
		"CRAIG, Peter (IND)"	48	25	52.08		23	47.92		48	
		"ADAMS, Steven Mark (DEM)"	49	11	22.45		38	77.55		49	
		"LAMBERT, Joan (GRN)"	45	5	11.11		40	88.89		45	
		"GARDNIR, Ron (IND)"	8	2	25.00		6	75.00		8	
		Total	205	427	31.47		930	68.53		1357	

	Gateshead West										
			1st Prefs	234	22.57		803	77.43		1037	
		"CANDLISH, Iris (HAN)"	68	18	26.47		50	73.53		68	
		"CRAIG, Peter (IND)"	38	19	50.00		19	50.00		38	
		"ADAMS, Steven Mark (DEM)"	21	8	38.10		13	61.90		21	
