House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences																						
By Polling Place																						
																						
Wentworth																						
				GOLDEN			LYSSA			COLLINGS			KING			JACOBS			NEILSON			
				Aub			Alison			Margaret			Peter			Alan			Carolyn			
				HAN			GRN			DEM			LP			UNI			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bellevue Hill                                                  																						
	FIRST			25	0.71		277	7.85		211	5.98		2206	62.55		69	1.96		739	20.95		3527
	SECOND			2	2.90		12	17.39		21	30.43		15	21.74			Excluded		19	27.54		69
		TOTAL		27	0.77		289	8.19		232	6.58		2221	62.97					758	21.49		3527
	THIRD				Excluded		12	44.44		4	14.81		11	40.74					0	0.00		27
		TOTAL					301	8.53		236	6.69		2232	63.28					758	21.49		3527
	FOURTH						139	58.90			Excluded		38	16.10					59	25.00		236
		TOTAL					440	12.48					2270	64.36					817	23.16		3527
	FIFTH							Excluded					135	30.68					305	69.32		440
		TOTAL											2405	68.19					1122	31.81		3527
													Elected									
																						
Bondi                                                          																						
	FIRST			81	2.69		333	11.07		170	5.65		1305	43.37		20	0.66		1100	36.56		3009
	SECOND			4	20.00		6	30.00		2	10.00		2	10.00			Excluded		6	30.00		20
		TOTAL		85	2.82		339	11.27		172	5.72		1307	43.44					1106	36.76		3009
	THIRD				Excluded		40	47.06		11	12.94		24	28.24					10	11.76		85
		TOTAL					379	12.60		183	6.08		1331	44.23					1116	37.09		3009
	FOURTH						101	55.19			Excluded		32	17.49					50	27.32		183
		TOTAL					480	15.95					1363	45.30					1166	38.75		3009
	FIFTH							Excluded					122	25.42					358	74.58		480
		TOTAL											1485	49.35					1524	50.65		3009
													Elected									
																						
Bondi Beach                                                    																						
	FIRST			86	2.04		671	15.90		324	7.68		1490	35.31		37	0.88		1612	38.20		4220
	SECOND			0	0.00		9	24.32		7	18.92		5	13.51			Excluded		16	43.24		37
		TOTAL		86	2.04		680	16.11		331	7.84		1495	35.43					1628	38.58		4220
	THIRD				Excluded		44	51.16		2	2.33		23	26.74					17	19.77		86
		TOTAL					724	17.16		333	7.89		1518	35.97					1645	38.98		4220
	FOURTH						206	61.86			Excluded		39	11.71					88	26.43		333
		TOTAL					930	22.04					1557	36.90					1733	41.07		4220
	FIFTH							Excluded					215	23.12					715	76.88		930
		TOTAL											1772	41.99					2448	58.01		4220
													Elected									
																						
Bondi Junction                                                 																						
	FIRST			63	2.21		272	9.55		209	7.34		1341	47.10		23	0.81		939	32.98		2847
	SECOND			0	0.00		6	26.09		1	4.35		5	21.74			Excluded		11	47.83		23
		TOTAL		63	2.21		278	9.76		210	7.38		1346	47.28					950	33.37		2847
	THIRD				Excluded		21	33.33		5	7.94		30	47.62					7	11.11		63
		TOTAL					299	10.50		215	7.55		1376	48.33					957	33.61		2847
	FOURTH						135	62.79			Excluded		32	14.88					48	22.33		215
		TOTAL					434	15.24					1408	49.46					1005	35.30		2847
	FIFTH							Excluded					106	24.42					328	75.58		434
		TOTAL											1514	53.18					1333	46.82		2847
													Elected									
																						
Bondi North                                                    																						
	FIRST			35	1.93		156	8.62		89	4.92		899	49.67		13	0.72		618	34.14		1810
	SECOND			0	0.00		4	30.77		4	30.77		5	38.46			Excluded		0	0.00		13
