House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Banks (83122)											
		Candidate		"WATZLAFF, Marcus"		           	"MELHAM, Daryl"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Beverly Hills North										
			1st Prefs	854	40.00		1281	60.00		2135	
		"O'LEARY, Ken (AFI)"	67	45	67.16		22	32.84		67	
		"WILCOX, David (GRN)"	69	24	34.78		45	65.22		69	
		"ABRAHAMS, Lynn (HAN)"	116	92	79.31		24	20.69		116	
		"HANNOUN, Nazim (IND)"	11	8	72.73		3	27.27		11	
		"MURPHY, Lynne (UNI)"	53	7	13.21		46	86.79		53	
		"COLE, Stephen (DEM)"	67	17	25.37		50	74.63		67	
		"BAISSARI, Sam (CTA)"	78	50	64.10		28	35.90		78	
		Total	461	1097	42.26		1499	57.74		2596	

	Beverly Hills South (Banks)										
			1st Prefs	215	37.39		360	62.61		575	
		"O'LEARY, Ken (AFI)"	35	21	60.00		14	40.00		35	
		"WILCOX, David (GRN)"	10	6	60.00		4	40.00		10	
		"ABRAHAMS, Lynn (HAN)"	11	7	63.64		4	36.36		11	
		"HANNOUN, Nazim (IND)"	4	2	50.00		2	50.00		4	
		"MURPHY, Lynne (UNI)"	17	5	29.41		12	70.59		17	
		"COLE, Stephen (DEM)"	25	4	16.00		21	84.00		25	
		"BAISSARI, Sam (CTA)"	22	15	68.18		7	31.82		22	
		Total	124	275	39.34		424	60.66		699	

	East Hills										
			1st Prefs	359	45.73		426	54.27		785	
		"O'LEARY, Ken (AFI)"	51	36	70.59		15	29.41		51	
		"WILCOX, David (GRN)"	36	8	22.22		28	77.78		36	
		"ABRAHAMS, Lynn (HAN)"	103	79	76.70		24	23.30		103	
		"HANNOUN, Nazim (IND)"	7	4	57.14		3	42.86		7	
		"MURPHY, Lynne (UNI)"	6	1	16.67		5	83.33		6	
		"COLE, Stephen (DEM)"	24	6	25.00		18	75.00		24	
		"BAISSARI, Sam (CTA)"	38	24	63.16		14	36.84		38	
		Total	265	517	49.24		533	50.76		1050	

	Hannans Road										
			1st Prefs	554	27.64		1450	72.36		2004	
		"O'LEARY, Ken (AFI)"	57	47	82.46		10	17.54		57	
		"WILCOX, David (GRN)"	55	20	36.36		35	63.64		55	
		"ABRAHAMS, Lynn (HAN)"	143	116	81.12		27	18.88		143	
		"HANNOUN, Nazim (IND)"	15	5	33.33		10	66.67		15	
		"MURPHY, Lynne (UNI)"	43	6	13.95		37	86.05		43	
		"COLE, Stephen (DEM)"	58	13	22.41		45	77.59		58	
		"BAISSARI, Sam (CTA)"	36	26	72.22		10	27.78		36	
		Total	407	787	32.64		1624	67.36		2411	

	Lugarno										
			1st Prefs	1669	67.87		790	32.13		2459	
		"O'LEARY, Ken (AFI)"	57	48	84.21		9	15.79		57	
		"WILCOX, David (GRN)"	90	31	34.44		59	65.56		90	
		"ABRAHAMS, Lynn (HAN)"	169	146	86.39		23	13.61		169	
		"HANNOUN, Nazim (IND)"	11	8	72.73		3	27.27		11	
		"MURPHY, Lynne (UNI)"	9	2	22.22		7	77.78		9	
		"COLE, Stephen (DEM)"	106	27	25.47		79	74.53		106	
		"BAISSARI, Sam (CTA)"	86	70	81.40		16	18.60		86	
		Total	528	2001	66.99		986	33.01		2987	

	Milperra										
			1st Prefs	956	52.61		861	47.39		1817	
		"O'LEARY, Ken (AFI)"	159	106	66.67		53	33.33		159	
		"WILCOX, David (GRN)"	64	22	34.38		42	65.63		64	
		"ABRAHAMS, Lynn (HAN)"	232	176	75.86		56	24.14		232	
		"HANNOUN, Nazim (IND)"	12	8	66.67		4	33.33		12	
		"MURPHY, Lynne (UNI)"	11	4	36.36		7	63.64		11	
		"COLE, Stephen (DEM)"	70	18	25.71		52	74.29		70	
		"BAISSARI, Sam (CTA)"	59	42	71.19		17	28.81		59	
		Total	607	1332	54.95		1092	45.05		2424	

	Mortdale Central										
			1st Prefs	669	42.08		921	57.92		1590	
		"O'LEARY, Ken (AFI)"	51	40	78.43		11	21.57		51	
		"WILCOX, David (GRN)"	65	20	30.77		45	69.23		65	
		"ABRAHAMS, Lynn (HAN)"	100	75	75.00		25	25.00		100	
		"HANNOUN, Nazim (IND)"	10	8	80.00		2	20.00		10	
		"MURPHY, Lynne (UNI)"	18	6	33.33		12	66.67		18	
		"COLE, Stephen (DEM)"	59	15	25.42		44	74.58		59	
		"BAISSARI, Sam (CTA)"	32	19	59.38		13	40.63		32	
		Total	335	852	44.26		1073	55.74		1925	

	Mortdale Heights										
			1st Prefs	436	53.96		372	46.04		808	
		"O'LEARY, Ken (AFI)"	17	10	58.82		7	41.18		17	
		"WILCOX, David (GRN)"	23	6	26.09		17	73.91		23	
		"ABRAHAMS, Lynn (HAN)"	74	58	78.38		16	21.62		74	
		"HANNOUN, Nazim (IND)"	3	2	66.67		1	33.33		3	
		"MURPHY, Lynne (UNI)"	2	1	50.00		1	50.00		2	
		"COLE, Stephen (DEM)"	29	11	37.93		18	62.07		29	
		"BAISSARI, Sam (CTA)"	16	12	75.00		4	25.00		16	
		Total	164	536	55.14		436	44.86		972	

	Mortdale West										
			1st Prefs	739	47.13		829	52.87		1568	
		"O'LEARY, Ken (AFI)"	52	43	82.69		9	17.31		52	
		"WILCOX, David (GRN)"	53	16	30.19		37	69.81		53	
		"ABRAHAMS, Lynn (HAN)"	87	55	63.22		32	36.78		87	
		"HANNOUN, Nazim (IND)"	9	6	66.67		3	33.33		9	
		"MURPHY, Lynne (UNI)"	13	1	7.69		12	92.31		13	
		"COLE, Stephen (DEM)"	77	23	29.87		54	70.13		77	
		"BAISSARI, Sam (CTA)"	40	26	65.00		14	35.00		40	
		Total	331	909	47.87		990	52.13		1899	

	Narwee										
			1st Prefs	1006	43.99		1281	56.01		2287	
		"O'LEARY, Ken (AFI)"	65	44	67.69		21	32.31		65	
		"WILCOX, David (GRN)"	44	17	38.64		27	61.36		44	
		"ABRAHAMS, Lynn (HAN)"	121	88	72.73		33	27.27		121	
		"HANNOUN, Nazim (IND)"	18	13	72.22		5	27.78		18	
		"MURPHY, Lynne (UNI)"	43	7	16.28		36	83.72		43	
		"COLE, Stephen (DEM)"	109	32	29.36		77	70.64		109	
		"BAISSARI, Sam (CTA)"	61	49	80.33		12	19.67		61	
		Total	461	1256	45.71		1492	54.29		2748	

	Oatley (Banks)										
			1st Prefs	271	61.04		173	38.96		444	
		"O'LEARY, Ken (AFI)"	13	12	92.31		1	7.69		13	
		"WILCOX, David (GRN)"	31	11	35.48		20	64.52		31	
		"ABRAHAMS, Lynn (HAN)"	20	14	70.00		6	30.00		20	
		"HANNOUN, Nazim (IND)"	4	0	0.00		4	100.00		4	
		"MURPHY, Lynne (UNI)"	4	1	25.00		3	75.00		4	
		"COLE, Stephen (DEM)"	44	18	40.91		26	59.09		44	
		"BAISSARI, Sam (CTA)"	16	10	62.50		6	37.50		16	
		Total	132	337	58.51		239	41.49		576	

	Oatley West										
			1st Prefs	1155	58.81		809	41.19		1964	
		"O'LEARY, Ken (AFI)"	52	33	63.46		19	36.54		52	
		"WILCOX, David (GRN)"	113	25	22.12		88	77.88		113	
		"ABRAHAMS, Lynn (HAN)"	101	78	77.23		23	22.77		101	
		"HANNOUN, Nazim (IND)"	4	3	75.00		1	25.00		4	
		"MURPHY, Lynne (UNI)"	12	4	33.33		8	66.67		12	
		"COLE, Stephen (DEM)"	149	36	24.16		113	75.84		149	
		"BAISSARI, Sam (CTA)"	51	35	68.63		16	31.37		51	
		Total	482	1369	55.97		1077	44.03		2446	

	Padstow										
			1st Prefs	1094	39.93		1646	60.07		2740	
		"O'LEARY, Ken (AFI)"	135	92	68.15		43	31.85		135	
		"WILCOX, David (GRN)"	86	21	24.42		65	75.58		86	
		"ABRAHAMS, Lynn (HAN)"	211	152	72.04		59	27.96		211	
		"HANNOUN, Nazim (IND)"	12	8	66.67		4	33.33		12	
		"MURPHY, Lynne (UNI)"	50	12	24.00		38	76.00		50	
		"COLE, Stephen (DEM)"	117	43	36.75		74	63.25		117	
		"BAISSARI, Sam (CTA)"	115	86	74.78		29	25.22		115	
		Total	726	1508	43.51		1958	56.49		3466	

	Padstow East										
			1st Prefs	488	41.50		688	58.50		1176	
		"O'LEARY, Ken (AFI)"	36	24	66.67		12	33.33		36	
		"WILCOX, David (GRN)"	16	5	31.25		11	68.75		16	
		"ABRAHAMS, Lynn (HAN)"	152	108	71.05		44	28.95		152	
		"HANNOUN, Nazim (IND)"	6	4	66.67		2	33.33		6	
		"MURPHY, Lynne (UNI)"	25	5	20.00		20	80.00		25	
		"COLE, Stephen (DEM)"	28	7	25.00		21	75.00		28	
		"BAISSARI, Sam (CTA)"	74	56	75.68		18	24.32		74	
		Total	337	697	46.07		816	53.93		1513	

	Padstow North										
			1st Prefs	173	41.49		244	58.51		417	
		"O'LEARY, Ken (AFI)"	18	14	77.78		4	22.22		18	
