House of Representatives - 2001 Election: New South Wales																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							

Mackellar (86505)																																							
	PAPE			# BISHOP			CUTHBERTSON			DIMOND			MOODY			CARPENTIER			MAY			FORMAL			INFORMAL			TOTAL											
	Andrea			Bronwyn			Peter			Vicki			Tom			Ben			George												Two Candidate Preferred								
	GRN			LP			HAN			DEM			AFI			ALP			IND												# BISHOP LP			 CARPENTIER ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Avalon	491	13.26		1924	51.94		71	1.92		402	10.85		48	1.30		720	19.44		48	1.30		3704	97.09		111	2.91		3815	4.67		2258	60.96		1446	39.04				
Barrenjoey	289	14.20		1033	50.76		50	2.46		222	10.91		29	1.43		390	19.16		22	1.08		2035	95.67		92	4.33		2127	2.61		1234	60.64		801	39.36				
Bayview	151	10.38		935	64.26		38	2.61		147	10.10		13	0.89		159	10.93		12	0.82		1455	96.68		50	3.32		1505	1.84		1071	73.61		384	26.39				
Beacon Hill (Mackellar)	105	5.28		1150	57.79		67	3.37		175	8.79		35	1.76		412	20.70		46	2.31		1990	95.40		96	4.60		2086	2.56		1333	66.98		657	33.02				
Belrose	145	5.04		1826	63.49		70	2.43		193	6.71		30	1.04		565	19.65		47	1.63		2876	95.07		149	4.93		3025	3.71		2036	70.79		840	29.21				
Belrose North	113	5.14		1426	64.91		50	2.28		158	7.19		18	0.82		397	18.07		35	1.59		2197	95.60		101	4.40		2298	2.82		1602	72.92		595	27.08				
Bilgola Plateau	177	9.16		1135	58.72		39	2.02		218	11.28		24	1.24		317	16.40		23	1.19		1933	96.03		80	3.97		2013	2.47		1296	67.05		637	32.95				
Collaroy	135	8.97		894	59.40		17	1.13		127	8.44		22	1.46		285	18.94		25	1.66		1505	96.10		61	3.90		1566	1.92		1007	66.91		498	33.09
Collaroy Plateau	163	6.49		1484	59.08		73	2.91		234	9.32		42	1.67		472	18.79		44	1.75		2512	94.33		151	5.67		2663	3.26		1709	68.03		803	31.97
Coster Street	60	5.90		599	58.90		19	1.87		92	9.05		23	2.26		209	20.55		15	1.47		1017	95.49		48	4.51		1065	1.30		671	65.98		346	34.02
Cromer	171	6.11		1627	58.15		83	2.97		254	9.08		46	1.64		569	20.34		48	1.72		2798	94.27		170	5.73		2968	3.64		1866	66.69		932	33.31
Cromer East	56	5.94		539	57.16		21	2.23		73	7.74		19	2.01		218	23.12		17	1.80		943	94.58		54	5.42		997	1.22		609	64.58		334	35.42
Dee Why (Mackellar)	233	8.52		1343	49.09		58	2.12		234	8.55		39	1.43		747	27.30		82	3.00		2736	92.28		229	7.72		2965	3.63		1576	57.60		1160	42.40
Dee Why Central (Mackellar)	40	7.50		263	49.34		21	3.94		38	7.13		14	2.63		141	26.45		16	3.00		533	92.21		45	7.79		578	0.71		320	60.04		213	39.96
Elanora	204	9.46		1261	58.49		59	2.74		268	12.43		28	1.30		305	14.15		31	1.44		2156	96.16		86	3.84		2242	2.75		1484	68.83		672	31.17
Forest High	87	6.44		786	58.22		30	2.22		135	10.00		21	1.56		257	19.04		34	2.52		1350	95.41		65	4.59		1415	1.73		901	66.74		449	33.26
Frenchs Forest (Mackellar)	78	6.61		704	59.66		30	2.54		109	9.24		12	1.02		222	18.81		25	2.12		1180	96.25		46	3.75		1226	1.50		808	68.47		372	31.53
Kambora	43	5.09		581	68.76		12	1.42		55	6.51		10	1.18		127	15.03		17	2.01		845	95.37		41	4.63		886	1.09		634	75.03		211	24.97
Lagoon Street	104	8.14		700	54.77		40	3.13		139	10.88		14	1.10		266	20.81		15	1.17		1278	93.42		90	6.58		1368	1.68		823	64.40		455	35.60
Mimosa	134	5.50		1555	63.78		53	2.17		187	7.67		42	1.72		417	17.10		50	2.05		2438	96.10		99	3.90		2537	3.11		1769	72.56		669	27.44
Mona Vale	288	6.96		2515	60.78		149	3.60		393	9.50		46	1.11		704	17.01		43	1.04		4138	94.17		256	5.83		4394	5.38		2933	70.88		1205	29.12
Mona Vale Beach	138	9.45		846	57.95		33	2.26		174	11.92		27	1.85		227	15.55		15	1.03		1460	95.42		70	4.58		1530	1.87		984	67.40		476	32.60
Mona Vale Hospital	36	5.18		323	46.47		28	4.03		104	14.96		11	1.58		186	26.76		7	1.01		695	94.82		38	5.18		733	0.90		398	57.27		297	42.73
Mona Vale North	94	7.00		850	63.34		29	2.16		137	10.21		10	0.75		207	15.42		15	1.12		1342	97.32		37	2.68		1379	1.69		945	70.42		397	29.58			
Narrabeen	202	8.85		1237	54.21		67	2.94		252	11.04		30	1.31		457	20.03		37	1.62		2282	95.36		111	4.64		2393	2.93		1455	63.76		827	36.24			
Narrabeen North	172	6.77		1324	52.15		87	3.43		306	12.05		61	2.40		551	21.70		38	1.50		2539	94.25		155	5.75		2694	3.30		1591	62.66		948	37.34			
Narraweena	265	7.43		1911	53.56		128	3.59		252	7.06		69	1.93		888	24.89		55	1.54		3568	92.39		294	7.61		3862	4.73		2225	62.36		1343	37.64			
Newport	225	10.33		1314	60.30		49	2.25		197	9.04		29	1.33		339	15.56		26	1.19		2179	96.03		90	3.97		2269	2.78		1495	68.61		684	31.39			
Newport Beach	220	11.31		1123	57.74		26	1.34		201	10.33		23	1.18		329	16.92		23	1.18		1945	95.67		88	4.33		2033	2.49		1291	66.38		654	33.62			
Palm Beach	130	12.91		613	60.87		17	1.69		71	7.05		7	0.70		159	15.79		10	0.99		1007	96.27		39	3.73		1046	1.28		689	68.42		318	31.58			
RSL Retirement Village	18	2.62		458	66.57		34	4.94		25	3.63		3	0.44		143	20.78		7	1.02		688	96.49		25	3.51		713	0.87		500	72.67		188	27.33			
Scotland Island	54	22.59		69	28.87		6	2.51		62	25.94		1	0.42		45	18.83		2	0.84		239	97.95		5	2.05		244	0.30		92	38.49		147	61.51			
Sydney (Mackellar)	13	13.00		57	57.00		2	2.00		7	7.00		2	2.00		19	19.00		0	0.00		100	92.59		8	7.41		108	0.13		66	66.00		34	34.00			
Terrey Hills	129	6.07		1361	64.05		83	3.91		196	9.22		24	1.13		307	14.45		25	1.18		2125	95.63		97	4.37		2222	2.72		1572	73.98		553	26.02			
