House of Representatives - 2001 Election: New South Wales																																																							
First Preference Votes and TCP																																																							
By Candidate by Polling Place																																																							

Lindsay (81618)																																																							
	PHILLIPS			BRADBURY			EDWARDS			COURTNEY			NIXON			WATERS			MITCHELL			WALKER			BROWN			# KELLY			EYKAMP			LINDSAY-HENDERSON			FORMAL			INFORMAL			TOTAL												
	John			David			Lesley			Anthony David			Bill			Geraldine			Graham			Stephen			Geoff			Jackie			Jean M			Steve												Two Candidate Preferred									
	CTA			ALP			GRN			IND			HAN			DEM			IND			NCP			SAS			LP			NGST			IND												 BRADBURY ALP			# KELLY LP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Berkshire Park	4	1.46		69	25.18		3	1.09		1	0.36		17	6.20		6	2.19		3	1.09		1	0.36		9	3.28		150	54.74		8	2.92		3	1.09		274	90.13		30	9.87		304	0.39		96	35.04		178	64.96					
Blaxland (Lindsay)	30	4.13		202	27.79		50	6.88		8	1.10		26	3.58		37	5.09		4	0.55		0	0.00		19	2.61		343	47.18		5	0.69		3	0.41		727	95.03		38	4.97		765	0.98		312	42.92		415	57.08					
Braddock	68	2.39		1155	40.55		52	1.83		34	1.19		139	4.88		40	1.40		7	0.25		2	0.07		165	5.79		1154	40.52		20	0.70		12	0.42		2848	93.07		212	6.93		3060	3.93		1441	50.60		1407	49.40					
Cambridge Gardens	60	2.73		799	36.33		37	1.68		18	0.82		95	4.32		28	1.27		15	0.68		0	0.00		191	8.69		926	42.11		19	0.86		11	0.50		2199	92.67		174	7.33		2373	3.04		1066	48.48		1133	51.52					
Cambridge Park	59	2.18		1069	39.42		43	1.59		23	0.85		183	6.75		40	1.47		14	0.52		7	0.26		122	4.50		1123	41.41		12	0.44		17	0.63		2712	91.41		255	8.59		2967	3.81		1339	49.37		1373	50.63					
Cambridge Park South	33	2.44		528	39.08		31	2.29		9	0.67		90	6.66		33	2.44		2	0.15		2	0.15		73	5.40		541	40.04		6	0.44		3	0.22		1351	95.21		68	4.79		1419	1.82		686	50.78		665	49.22					
Castlereagh	28	3.55		192	24.37		18	2.28		4	0.51		50	6.35		12	1.52		5	0.63		0	0.00		15	1.90		454	57.61		3	0.38		7	0.89		788	91.84		70	8.16		858	1.10		259	32.87		529	67.13					
Claremont Meadows	35	2.19		811	50.75		23	1.44		14	0.88		60	3.75		19	1.19		3	0.19		3	0.19		25	1.56		586	36.67		10	0.63		9	0.56		1598	92.48		130	7.52		1728	2.22		927	58.01		671	41.99
Cranebrook	67	2.24		895	29.98		66	2.21		74	2.48		133	4.46		48	1.61		9	0.30		3	0.10		206	6.90		1463	49.01		12	0.40		9	0.30		2985	93.69		201	6.31		3186	4.09		1218	40.80		1767	59.20
Emu Heights	67	4.16		554	34.39		35	2.17		18	1.12		94	5.83		41	2.55		6	0.37		2	0.12		39	2.42		735	45.62		11	0.68		9	0.56		1611	95.44		77	4.56		1688	2.17		704	43.70		907	56.30
Emu Plains	80	2.71		947	32.03		77	2.60		22	0.74		149	5.04		86	2.91		6	0.20		1	0.03		45	1.52		1527	51.64		12	0.41		5	0.17		2957	94.75		164	5.25		3121	4.00		1188	40.18		1769	59.82
Floribunda	51	2.21		665	28.84		34	1.47		21	0.91		67	2.91		43	1.86		4	0.17		6	0.26		36	1.56		1358	58.89		11	0.48		10	0.43		2306	94.12		144	5.88		2450	3.14		808	35.04		1498	64.96
Glenbrook	65	2.97		595	27.23		162	7.41		9	0.41		78	3.57		106	4.85		5	0.23		1	0.05		72	3.30		1081	49.47		7	0.32		4	0.18		2185	96.04		90	3.96		2275	2.92		929	42.52		1256	57.48
Glenmore Park	68	1.87		1352	37.12		49	1.35		25	0.69		108	2.97		67	1.84		8	0.22		5	0.14		44	1.21		1872	51.40		27	0.74		17	0.47		3642	95.59		168	4.41		3810	4.89		1567	43.03		2075	56.97
Jamisontown	31	1.81		622	36.37		24	1.40		41	2.40		94	5.50		30	1.75		9	0.53		4	0.23		29	1.70		802	46.90		14	0.82		10	0.58		1710	94.74		95	5.26		1805	2.32		767	44.85		943	55.15
Kingswood	79	4.87		688	42.42		44	2.71		19	1.17		89	5.49		37	2.28		4	0.25		1	0.06		27	1.66		613	37.79		15	0.92		6	0.37		1622	94.47		95	5.53		1717	2.20		864	53.27		758	46.73
Kingswood Park	42	2.70		618	39.67		46	2.95		23	1.48		92	5.91		31	1.99		3	0.19		2	0.13		63	4.04		613	39.35		16	1.03		9	0.58		1558	90.37		166	9.63		1724	2.21		800	51.35		758	48.65
Kingswood South	43	3.08		572	41.00		25	1.79		7	0.50		90	6.45		35	2.51		7	0.50		3	0.22		29	2.08		573	41.08		6	0.43		5	0.36		1395	92.57		112	7.43		1507	1.93		694	49.75		701	50.25
Lapstone	28	2.41		305	26.27		75	6.46		3	0.26		43	3.70		56	4.82		0	0.00		1	0.09		51	4.39		594	51.16		2	0.17		3	0.26		1161	96.51		42	3.49		1203	1.54		480	41.34		681	58.66
Leonay	39	2.44		455	28.47		34	2.13		9	0.56		80	5.01		38	2.38		1	0.06		2	0.13		24	1.50		904	56.57		7	0.44		5	0.31		1598	94.78		88	5.22		1686	2.16		566	35.42		1032	64.58
Llandilo	33	3.15		244	23.28		16	1.53		2	0.19		74	7.06		13	1.24		2	0.19		0	0.00		104	9.92		543	51.81		12	1.15		5	0.48		1048	91.05		103	8.95		1151	1.48		377	35.97		671	64.03
Londonderry	59	3.46		498	29.23		29	1.70		9	0.53		147	8.63		26	1.53		3	0.18		3	0.18		75	4.40		810	47.54		31	1.82		14	0.82		1704	89.68		196	10.32		1900	2.44		674	39.55		1030	60.45
Mulgoa	26	2.57		220	21.76		20	1.98		5	0.49		34	3.36		10	0.99		2	0.20		0	0.00		22	2.18		660	65.28		6	0.59		6	0.59		1011	94.05		64	5.95		1075	1.38		277	27.40		734	72.60
Nepean High	52	3.31		533	33.97		40	2.55		8	0.51		88	5.61		39	2.49		6	0.38		5	0.32		46	2.93		739	47.10		7	0.45		6	0.38		1569	93.17		115	6.83		1684	2.16		687	43.79		882	56.21
Nepean Hospital	9	2.15		204	48.80		7	1.67		5	1.20		17	4.07		8	1.91		1	0.24		0	0.00		5	1.20		161	38.52		0	0.00		1	0.24		418	93.51		29	6.49		447	0.57		238	56.94		180	43.06
Orchard Hills	44	4.94		192	21.57		14	1.57		3	0.34		38	4.27		7	0.79		1	0.11		2	0.22		20	2.25		565	63.48		2	0.22		2	0.22		890	91.56		82	8.44		972	1.25		248	27.87		642	72.13
Penrith	47	2.97		607	38.34		46	2.91		19	1.20		55	3.47		34	2.15		3	0.19		6	0.38		51	3.22		698	44.09		13	0.82		4	0.25		1583	92.68		125	7.32		1708	2.19		773	48.83		810	51.17
Penrith Central	20	2.32		346	40.14		30	3.48		8	0.93		44	5.10		20	2.32		3	0.35		4	0.46		30	3.48		343	39.79		11	1.28		3	0.35		862	94.41		51	5.59		913	1.17		453	52.55		409	47.45
Penrith East	22	1.59		470	33.86		29	2.09		14	1.01		60	4.32		24	1.73		2	0.14		0	0.00		36	2.59		714	51.44		12	0.86		5	0.36		1388	94.04		88	5.96		1476	1.89		595	42.87		793	57.13
Penrith North	27	3.04		322	36.22		19	2.14		2	0.22		46	5.17		13	1.46		3	0.34		1	0.11		32	3.60		408	45.89		7	0.79		9	1.01		889	94.17		55	5.83		944	1.21		409	46.01		480	53.99
Penrith South	75	2.28		1240	37.75		90	2.74		51	1.55		192	5.84		57	1.74		12	0.37		7	0.21		79	2.40		1446	44.02		24	0.73		12	0.37		3285	94.70		184	5.30		3469	4.45		1541	46.91		1744	53.09
Regentville	41	2.26		577	31.77		31	1.71		8	0.44		92	5.07		30	1.65		4	0.22		1	0.06		27	1.49		987	54.35		13	0.72		5	0.28		1816	94.14		113	5.86		1929	2.47		699	38.49		1117	61.51
Stuart Street	19	2.07		286	31.15		9	0.98		6	0.65		64	6.97		19	2.07		1	0.11		0	0.00		19	2.07		485	52.83		6	0.65		4	0.44		918	93.67		62	6.33		980	1.26		367	39.98		551	60.02
Sydney (Lindsay)	3	3.49		32	37.21		8	9.30		0	0.00		1	1.16		6	6.98		1	1.16		0	0.00		1	1.16		32	37.21		1	1.16		1	1.16		86	95.56		4	4.44		90	0.12		47	54.65		39	45.35
Wallacia	15	2.22		168	24.85		20	2.96		4	0.59		42	6.21		22	3.25		1	0.15		0	0.00		14	2.07		373	55.18		9	1.33		8	1.18		676	92.60		54	7.40		730	0.94		233	34.47		443	65.53
Werrington	56	2.77		866	42.79		22	1.09		20	0.99		107	5.29		30	1.48		9	0.44		4	0.20		104	5.14		786	38.83		10	0.49		10	0.49		2024	92.21		171	7.79		2195	2.82		1080	53.36		944	46.64
Werrington County	36	2.00		710	39.49		35	1.95		25	1.39		80	4.45		16	0.89		3	0.17		0	0.00		113	6.28		761	42.32		10	0.56		9	0.50		1798	93.94		116	6.06		1914	2.46		876	48.72		922	51.28
York	66	2.05		1143	35.54		77	2.39		59	1.83		186	5.78		43	1.34		13	0.40		5	0.16		51	1.59		1540	47.89		21	0.65		12	0.37		3216	93.11		238	6.89		3454	4.43		1399	43.50		1817	56.50
Special Hospitals	3	2.88		45	43.27		1	0.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	51.92		0	0.00		1	0.96		104	95.41		5	4.59		109	0.14		47	45.19		57	54.81
Total Ordinary	1630	2.61		21796	34.87		1471	2.35		630	1.01		3144	5.03		1250	2.00		185	0.30		84	0.13		2113	3.38		29517	47.22		418	0.67		274	0.44		62512	93.60		4274	6.40		66786	85.67		27731	44.36		34781	55.64			
ABSENT	171	3.46		1558	31.55		238	4.82		51	1.03		281	5.69		173	3.50		27	0.55		26	0.53		147	2.98		2105	42.63		79	1.60		82	1.66		4938	93.40		349	6.60		5287	6.78		2303	46.64		2635	53.36			
POSTAL	30	1.47		709	34.82		28	1.38		8	0.39		133	6.53		51	2.50		5	0.25		5	0.25		37	1.82		1009	49.56		11	0.54		10	0.49		2036	98.22		37	1.78		2073	2.66		884	43.42		1152	56.58			
PRE_POLL	75	2.63		938	32.84		56	1.96		23	0.81		173	6.06		96	3.36		16	0.56		3	0.11		69	2.42		1367	47.86		15	0.53		25	0.88		2856	97.98		59	2.02		2915	3.74		1243	43.52		1613	56.48			
PROVISIONAL	24	2.90		319	38.53		26	3.14		15	1.81		37	4.47		14	1.69		3	0.36		4	0.48		25	3.02		341	41.18		11	1.33		9	1.09		828	92.62		66	7.38		894	1.15		419	50.60		409	49.40			
Division Summary	1930	2.64		25320	34.60		1819	2.49		727	0.99		3768	5.15		1584	2.16		236	0.32		122	0.17		2391	3.27		34339	46.93		534	0.73		400	0.55		73170	93.86		4785	6.14		77955	95.51		32580	44.53		40590	55.47			
																																																					
																																																					
																																																					
																																																					
																																																					
