House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Prospect																													
				FILIPCZYK			HUTCHINSON			OATES			HAROON			PERKINS			PEACOCK			TAI			CROSIO				
				Rebecca			John Robert			Garry A			Lewis			Gareth			Thomas			Kek			Janice				
				GRN			HAN			AFI			CTA			LP			DEM			UNI			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Abbotsbury                                                     																													
	FIRST			55	3.81		35	2.42		20	1.38		19	1.31		607	42.01		40	2.77		11	0.76		658	45.54		1445	
	SECOND			4	36.36		0	0.00		0	0.00		0	0.00		2	18.18		0	0.00			Excluded		5	45.45		11	
		TOTAL		59	4.08		35	2.42		20	1.38		19	1.31		609	42.15		40	2.77					663	45.88		1445	
	THIRD			2	10.00		7	35.00			Excluded		2	10.00		6	30.00		0	0.00					3	15.00		20	
		TOTAL		61	4.22		42	2.91					21	1.45		615	42.56		40	2.77					666	46.09		1445	
	FOURTH			14	35.00		2	5.00					3	7.50		12	30.00			Excluded					9	22.50		40	
		TOTAL		75	5.19		44	3.04					24	1.66		627	43.39								675	46.71		1445	
	FIFTH			8	33.33		1	4.17						Excluded		7	29.17								8	33.33		24	
		TOTAL		83	5.74		45	3.11								634	43.88								683	47.27		1445	
	SIXTH			14	31.11			Excluded								19	42.22								12	26.67		45	
		TOTAL		97	6.71											653	45.19								695	48.10		1445	
	SEVENTH				Excluded											53	54.64								44	45.36		97	
		TOTAL														706	48.86								739	51.14		1445	
																									Elected				
																													
Banks Drive                                                    																													
	FIRST			180	4.77		254	6.73		89	2.36		72	1.91		1256	33.28		102	2.70		9	0.24		1812	48.01		3774	
	SECOND			3	33.33		0	0.00		0	0.00		1	11.11		0	0.00		2	22.22			Excluded		3	33.33		9	
		TOTAL		183	4.85		254	6.73		89	2.36		73	1.93		1256	33.28		104	2.76					1815	48.09		3774	
	THIRD			11	12.36		29	32.58			Excluded		5	5.62		24	26.97		7	7.87					13	14.61		89	
		TOTAL		194	5.14		283	7.50					78	2.07		1280	33.92		111	2.94					1828	48.44		3774	
	FOURTH			23	20.72		9	8.11					10	9.01		33	29.73			Excluded					36	32.43		111	
		TOTAL		217	5.75		292	7.74					88	2.33		1313	34.79								1864	49.39		3774	
	FIFTH			12	13.64		15	17.05						Excluded		42	47.73								19	21.59		88	
		TOTAL		229	6.07		307	8.13								1355	35.90								1883	49.89		3774	
	SIXTH			82	26.71			Excluded								168	54.72								57	18.57		307	
		TOTAL		311	8.24											1523	40.36								1940	51.40		3774	
	SEVENTH				Excluded											157	50.48								154	49.52		311	
		TOTAL														1680	44.52								2094	55.48		3774	
																									Elected				
																													
Blackwell                                                      																													
	FIRST			80	3.29		185	7.61		70	2.88		43	1.77		837	34.42		71	2.92		9	0.37		1137	46.75		2432	
	SECOND			1	11.11		1	11.11		0	0.00		0	0.00		2	22.22		2	22.22			Excluded		3	33.33		9	
		TOTAL		81	3.33		186	7.65		70	2.88		43	1.77		839	34.50		73	3.00					1140	46.88		2432	
	THIRD			8	11.43		29	41.43			Excluded		1	1.43		22	31.43		4	5.71					6	8.57		70	
		TOTAL		89	3.66		215	8.84					44	1.81		861	35.40		77	3.17					1146	47.12		2432	
	FOURTH			19	24.68		5	6.49					7	9.09		18	23.38			Excluded					28	36.36		77	
		TOTAL		108	4.44		220	9.05					51	2.10		879	36.14								1174	48.27		2432	
	FIFTH			7	13.73		2	3.92						Excluded		31	60.78								11	21.57		51	
		TOTAL		115	4.73		222	9.13								910	37.42								1185	48.73		2432	
	SIXTH			77	34.68			Excluded								94	42.34								51	22.97		222	
		TOTAL		192	7.89											1004	41.28								1236	50.82		2432	
	SEVENTH				Excluded											103	53.65								89	46.35		192	
		TOTAL														1107	45.52								1325	54.48		2432	
																									Elected				
																													
Bossley Park                                                   																													
	FIRST			115	3.81		91	3.02		31	1.03		137	4.54		757	25.09		62	2.06		38	1.26		1786	59.20		3017	
	SECOND			3	7.89		0	0.00		1	2.63		1	2.63		3	7.89		13	34.21			Excluded		17	44.74		38	
		TOTAL		118	3.91		91	3.02		32	1.06		138	4.57		760	25.19		75	2.49					1803	59.76		3017	
	THIRD			5	15.63		10	31.25			Excluded		4	12.50		5	15.63		1	3.13					7	21.88		32	
		TOTAL		123	4.08		101	3.35					142	4.71		765	25.36		76	2.52					1810	59.99		3017	
	FOURTH			24	31.58		2	2.63					6	7.89		14	18.42			Excluded					30	39.47		76	
		TOTAL		147	4.87		103	3.41					148	4.91		779	25.82								1840	60.99		3017	
	FIFTH			17	11.49		12	8.11						Excluded		80	54.05								39	26.35		148	
		TOTAL		164	5.44		115	3.81								859	28.47								1879	62.28		3017	
	SIXTH			44	38.26			Excluded								44	38.26								27	23.48		115	
		TOTAL		208	6.89											903	29.93								1906	63.18		3017	
	SEVENTH				Excluded											119	57.21								89	42.79		208	
		TOTAL														1022	33.87								1995	66.13		3017	
																									Elected				
																													
Bossley Park High                                              																													
	FIRST			87	4.87		51	2.86		33	1.85		55	3.08		490	27.45		42	2.35		22	1.23		1005	56.30		1785	
	SECOND			3	13.64		1	4.55		0	0.00		0	0.00		1	4.55		5	22.73			Excluded		12	54.55		22	
		TOTAL		90	5.04		52	2.91		33	1.85		55	3.08		491	27.51		47	2.63					1017	56.97		1785	
	THIRD			8	24.24		13	39.39			Excluded		2	6.06		7	21.21		2	6.06					1	3.03		33	
		TOTAL		98	5.49		65	3.64					57	3.19		498	27.90		49	2.75					1018	57.03		1785	
	FOURTH			13	26.53		1	2.04					3	6.12		12	24.49			Excluded					20	40.82		49	
		TOTAL		111	6.22		66	3.70					60	3.36		510	28.57								1038	58.15		1785	
	FIFTH			11	18.33		10	16.67						Excluded		20	33.33								19	31.67		60	
		TOTAL		122	6.83		76	4.26								530	29.69								1057	59.22		1785	
	SIXTH			38	50.00			Excluded								25	32.89								13	17.11		76	
		TOTAL		160	8.96											555	31.09								1070	59.94		1785	
	SEVENTH				Excluded											107	66.88								53	33.13		160	
		TOTAL														662	37.09								1123	62.91		1785	
																									Elected				
																													
Clairgate                                                      																													
	FIRST			68	3.11		123	5.62		54	2.47		63	2.88		812	37.11		72	3.29		8	0.37		988	45.16		2188	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	37.50		3	37.50			Excluded		2	25.00		8	
		TOTAL		68	3.11		123	5.62		54	2.47		63	2.88		815	37.25		75	3.43					990	45.25		2188	
	THIRD			8	14.81		18	33.33			Excluded		3	5.56		11	20.37		8	14.81					6	11.11		54	
		TOTAL		76	3.47		141	6.44					66	3.02		826	37.75		83	3.79					996	45.52		2188	
