House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
North Sydney																							
				WARD			HOCKEY			MCGUIRE			STEEL			LAM			TEIRNEY				
				Colin			Joe			Bryan			Mike			Brian			Fran				
				CTA			LP			DEM			GRN			UNI			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Artarmon                                                       																							
	FIRST			26	1.88		680	49.17		127	9.18		99	7.16		9	0.65		442	31.96		1383	
	SECOND			2	22.22		2	22.22		0	0.00		2	22.22			Excluded		3	33.33		9	
		TOTAL		28	2.02		682	49.31		127	9.18		101	7.30					445	32.18		1383	
	THIRD				Excluded		13	46.43		5	17.86		4	14.29					6	21.43		28	
		TOTAL					695	50.25		132	9.54		105	7.59					451	32.61		1383	
	FOURTH						18	17.14		60	57.14			Excluded					27	25.71		105	
		TOTAL					713	51.55		192	13.88								478	34.56		1383	
	FIFTH						49	25.52			Excluded								143	74.48		192	
		TOTAL					762	55.10											621	44.90		1383	
							Elected																
																							
Artarmon Central                                               																							
	FIRST			54	2.59		1047	50.19		186	8.92		109	5.23		48	2.30		642	30.78		2086	
	SECOND			3	6.25		7	14.58		3	6.25		9	18.75			Excluded		26	54.17		48	
		TOTAL		57	2.73		1054	50.53		189	9.06		118	5.66					668	32.02		2086	
	THIRD				Excluded		32	56.14		10	17.54		6	10.53					9	15.79		57	
		TOTAL					1086	52.06		199	9.54		124	5.94					677	32.45		2086	
	FOURTH						14	11.29		74	59.68			Excluded					36	29.03		124	
		TOTAL					1100	52.73		273	13.09								713	34.18		2086	
	FIFTH						82	30.04			Excluded								191	69.96		273	
		TOTAL					1182	56.66											904	43.34		2086	
							Elected																
																							
Boronia Park (North Sydney)                                    																							
	FIRST			26	1.84		747	52.83		123	8.70		92	6.51		12	0.85		414	29.28		1414	
	SECOND			2	16.67		1	8.33		2	16.67		2	16.67			Excluded		5	41.67		12	
		TOTAL		28	1.98		748	52.90		125	8.84		94	6.65					419	29.63		1414	
	THIRD				Excluded		17	60.71		1	3.57		5	17.86					5	17.86		28	
		TOTAL					765	54.10		126	8.91		99	7.00					424	29.99		1414	
	FOURTH						10	10.10		64	64.65			Excluded					25	25.25		99	
		TOTAL					775	54.81		190	13.44								449	31.75		1414	
	FIFTH						51	26.84			Excluded								139	73.16		190	
		TOTAL					826	58.42											588	41.58		1414	
							Elected																
																							
Cammeray                                                       																							
	FIRST			25	0.85		1698	57.44		228	7.71		268	9.07		32	1.08		705	23.85		2956	
	SECOND			2	6.25		7	21.88		3	9.38		10	31.25			Excluded		10	31.25		32	
		TOTAL		27	0.91		1705	57.68		231	7.81		278	9.40					715	24.19		2956	
	THIRD				Excluded		12	44.44		5	18.52		5	18.52					5	18.52		27	
		TOTAL					1717	58.09		236	7.98		283	9.57					720	24.36		2956	
	FOURTH						32	11.31		181	63.96			Excluded					70	24.73		283	
		TOTAL					1749	59.17		417	14.11								790	26.73		2956	
	FIFTH						104	24.94			Excluded								313	75.06		417	
		TOTAL					1853	62.69											1103	37.31		2956	
							Elected																
																							
Castlecrag                                                     																							
	FIRST			16	1.38		675	58.19		88	7.59		119	10.26		13	1.12		249	21.47		1160	
	SECOND			0	0.00		1	7.69		1	7.69		6	46.15			Excluded		5	38.46		13	
		TOTAL		16	1.38		676	58.28		89	7.67		125	10.78					254	21.90		1160	
	THIRD				Excluded		11	68.75		0	0.00		3	18.75					2	12.50		16	
		TOTAL					687	59.22		89	7.67		128	11.03					256	22.07		1160	
	FOURTH						14	10.94		85	66.41			Excluded					29	22.66		128	
		TOTAL					701	60.43		174	15.00								285	24.57		1160	
	FIFTH						26	14.94			Excluded								148	85.06		174	
		TOTAL					727	62.67											433	37.33		1160	
							Elected																
																							
Chatswood (North Sydney)                                       																							
	FIRST			9	4.37		97	47.09		19	9.22		21	10.19		9	4.37		51	24.76		206	
	SECOND			0	0.00		3	33.33		2	22.22		2	22.22			Excluded		2	22.22		9	
		TOTAL		9	4.37		100	48.54		21	10.19		23	11.17					53	25.73		206	
	THIRD				Excluded		7	77.78		1	11.11		0	0.00					1	11.11		9	
		TOTAL					107	51.94		22	10.68		23	11.17					54	26.21		206	
	FOURTH						6	26.09		9	39.13			Excluded					8	34.78		23	
		TOTAL					113	54.85		31	15.05								62	30.10		206	
	FIFTH						11	35.48			Excluded								20	64.52		31	
		TOTAL					124	60.19											82	39.81		206	
							Elected																
																							
Chatswood East (North Sydney)                                  																							
	FIRST			10	2.49		220	54.73		32	7.96		19	4.73		1	0.25		120	29.85		402	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		10	2.49		220	54.73		32	7.96		20	4.98					120	29.85		402	
	THIRD				Excluded		6	60.00		2	20.00		1	10.00					1	10.00		10	
		TOTAL					226	56.22		34	8.46		21	5.22					121	30.10		402	
	FOURTH						2	9.52		13	61.90			Excluded					6	28.57		21	
		TOTAL					228	56.72		47	11.69								127	31.59		402	
	FIFTH						17	36.17			Excluded								30	63.83		47	
		TOTAL					245	60.95											157	39.05		402	
							Elected																
																							
Chatswood South (North Sydney)                                 																							
	FIRST			20	2.55		408	52.04		65	8.29		54	6.89		17	2.17		220	28.06		784	
	SECOND			0	0.00		4	23.53		2	11.76		3	17.65			Excluded		8	47.06		17	
		TOTAL		20	2.55		412	52.55		67	8.55		57	7.27					228	29.08		784	
	THIRD				Excluded		10	50.00		4	20.00		2	10.00					4	20.00		20	
		TOTAL					422	53.83		71	9.06		59	7.53					232	29.59		784	
	FOURTH						10	16.95		32	54.24			Excluded					17	28.81		59	
		TOTAL					432	55.10		103	13.14								249	31.76		784	
	FIFTH						37	35.92			Excluded								66	64.08		103	
		TOTAL					469	59.82											315	40.18		784	
							Elected																
																							
Cremorne                                                       																							
	FIRST			24	0.92		1629	62.70		203	7.81		212	8.16		22	0.85		508	19.55		2598	
	SECOND			4	18.18		1	4.55		3	13.64		4	18.18			Excluded		10	45.45		22	
		TOTAL		28	1.08		1630	62.74		206	7.93		216	8.31					518	19.94		2598	
	THIRD				Excluded		20	71.43		3	10.71		2	7.14					3	10.71		28	
		TOTAL					1650	63.51		209	8.04		218	8.39					521	20.05		2598	
	FOURTH						31	14.22		129	59.17			Excluded					58	26.61		218	
		TOTAL					1681	64.70		338	13.01								579	22.29		2598	
	FIFTH						96	28.40			Excluded								242	71.60		338	
