Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Dobell (82002)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bateau Bay Central		42	5.01		12	1.43		2	0.24		1	0.12		15	1.79		1	0.12		34	4.06		2	0.24		1	0.12		287	34.25		2	0.24		2	0.24		1	0.12		1	0.12		2	0.24		0	0.00		416	49.64		4	0.48		1	0.12		10	1.19		0	0.00		0	0.00		2	0.24		0	0.00		838	93.95		54	6.05		892	1.14
Bateau Bay East		97	4.87		40	2.01		2	0.10		1	0.05		31	1.56		3	0.15		139	6.97		21	1.05		2	0.10		644	32.31		24	1.20		0	0.00		12	0.60		0	0.00		1	0.05		2	0.10		888	44.56		12	0.60		3	0.15		53	2.66		0	0.00		0	0.00		16	0.80		2	0.10		1993	96.61		70	3.39		2063	2.64
Bateau Bay South		43	3.71		15	1.29		0	0.00		0	0.00		15	1.29		3	0.26		66	5.69		10	0.86		1	0.09		445	38.40		8	0.69		1	0.09		7	0.60		0	0.00		1	0.09		0	0.00		520	44.87		6	0.52		0	0.00		14	1.21		0	0.00		0	0.00		4	0.35		0	0.00		1159	96.26		45	3.74		1204	1.54
Bateau Bay West		19	4.57		6	1.44		0	0.00		0	0.00		9	2.16		0	0.00		12	2.88		8	1.92		3	0.72		226	54.33		3	0.72		0	0.00		5	1.20		0	0.00		0	0.00		1	0.24		102	24.52		5	1.20		0	0.00		13	3.13		0	0.00		0	0.00		4	0.96		0	0.00		416	96.30		16	3.70		432	0.55
Berkeley Vale		151	5.46		54	1.95		0	0.00		0	0.00		37	1.34		3	0.11		186	6.72		34	1.23		5	0.18		938	33.90		21	0.76		1	0.04		20	0.72		0	0.00		0	0.00		1	0.04		1221	44.13		14	0.51		2	0.07		56	2.02		0	0.00		3	0.11		17	0.61		3	0.11		2767	96.48		101	3.52		2868	3.67
Berkeley Vale North		58	4.61		14	1.11		0	0.00		0	0.00		21	1.67		4	0.32		71	5.64		9	0.71		4	0.32		474	37.65		7	0.56		2	0.16		12	0.95		2	0.16		0	0.00		2	0.16		540	42.89		6	0.48		2	0.16		22	1.75		1	0.08		0	0.00		8	0.64		0	0.00		1259	97.00		39	3.00		1298	1.66
Blue Haven		137	6.62		19	0.92		0	0.00		1	0.05		34	1.64		4	0.19		64	3.09		17	0.82		4	0.19		848	40.97		16	0.77		2	0.10		19	0.92		0	0.00		2	0.10		0	0.00		837	40.43		15	0.72		1	0.05		34	1.64		0	0.00		0	0.00		16	0.77		0	0.00		2070	97.14		61	2.86		2131	2.73
Chittaway Bay		131	4.82		45	1.66		0	0.00		1	0.04		42	1.55		5	0.18		185	6.81		34	1.25		0	0.00		977	35.97		11	0.41		3	0.11		23	0.85		1	0.04		4	0.15		4	0.15		1148	42.27		25	0.92		3	0.11		50	1.84		1	0.04		3	0.11		19	0.70		1	0.04		2716	97.42		72	2.58		2788	3.57
