Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Prospect (86641)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsbury		42	2.82		20	1.34		10	0.67		0	0.00		33	2.22		1	0.07		56	3.77		12	0.81		4	0.27		525	35.31		7	0.47		2	0.13		7	0.47		0	0.00		0	0.00		0	0.00		710	47.75		11	0.74		2	0.13		36	2.42		1	0.07		1	0.07		7	0.47		0	0.00		1487	95.20		75	4.80		1562	1.88
Banks Drive		231	5.97		59	1.52		6	0.16		0	0.00		63	1.63		3	0.08		143	3.70		32	0.83		13	0.34		1656	42.80		27	0.70		3	0.08		29	0.75		0	0.00		5	0.13		5	0.13		1425	36.83		41	1.06		4	0.10		78	2.02		2	0.05		1	0.03		43	1.11		0	0.00		3869	96.24		151	3.76		4020	4.84
Blackwell		159	6.38		36	1.45		2	0.08		0	0.00		37	1.49		1	0.04		117	4.70		19	0.76		2	0.08		1013	40.67		19	0.76		6	0.24		26	1.04		1	0.04		4	0.16		2	0.08		957	38.42		29	1.16		5	0.20		34	1.36		0	0.00		0	0.00		21	0.84		1	0.04		2491	97.27		70	2.73		2561	3.09
Bossley Park		117	3.70		71	2.25		30	0.95		4	0.13		107	3.39		0	0.00		87	2.75		17	0.54		8	0.25		1564	49.48		6	0.19		1	0.03		21	0.66		0	0.00		5	0.16		4	0.13		1006	31.83		27	0.85		6	0.19		64	2.02		0	0.00		2	0.06		14	0.44		0	0.00		3161	93.97		203	6.03		3364	4.05
Bossley Park High		71	3.78		42	2.24		10	0.53		1	0.05		75	3.99		1	0.05		62	3.30		15	0.80		5	0.27		856	45.58		13	0.69		2	0.11		11	0.59		2	0.11		1	0.05		3	0.16		624	33.23		22	1.17		2	0.11		39	2.08		0	0.00		2	0.11		18	0.96		1	0.05		1878	95.96		79	4.04		1957	2.36
Clairgate		115	5.15		53	2.38		3	0.13		1	0.04		40	1.79		1	0.04		88	3.94		26	1.17		7	0.31		853	38.23		25	1.12		5	0.22		17	0.76		0	0.00		4	0.18		5	0.22		893	40.03		33	1.48		3	0.13		29	1.30		0	0.00		1	0.04		29	1.30		0	0.00		2231	96.25		87	3.75		2318	2.79
Erskine Park		205	6.14		57	1.71		8	0.24		1	0.03		55	1.65		2	0.06		120	3.59		30	0.90		10	0.30		1358	40.67		26	0.78		2	0.06		34	1.02		2	0.06		6	0.18		3	0.09		1299	38.90		35	1.05		7	0.21		55	1.65		0	0.00		0	0.00		23	0.69		1	0.03		3339	97.06		101	2.94		3440	4.14
Fairfield		41	2.43		77	4.56		11	0.65		1	0.06		50	2.96		3	0.18		33	1.96		4	0.24		6	0.36		1170	69.35		2	0.12		3	0.18		5	0.30		0	0.00		3	0.18		1	0.06		229	13.57		14	0.83		1	0.06		26	1.54		0	0.00		0	0.00		7	0.41		0	0.00		1687	92.49		137	7.51		1824	2.20
