House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences 																															
By Polling Place																															
																															
Chifley																															
				ASARLOGLOU			BUTLER			HYLAND			DAMJANOVIC			BATES			CLACK			CUNNINGHAM			PRICE			WYNESS			
				Costa			Lindsey			Wayne			Joe			Barbie			S J			David			Roger			Joseph			
				LP			AFI			IND			HAN			SAS			DEM			GRN			ALP			CTA			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bennett Road                                                   																															
	FIRST			1124	32.00		73	2.08		22	0.63		248	7.06		131	3.73		64	1.82		47	1.34		1726	49.15		77	2.19		3512
	SECOND			2	9.09		5	22.73			Excluded		1	4.55		5	22.73		2	9.09		2	9.09		5	22.73		0	0.00		22
		TOTAL		1126	32.06		78	2.22					249	7.09		136	3.87		66	1.88		49	1.40		1731	49.29		77	2.19		3512
	THIRD			3	6.12		4	8.16					3	6.12		11	22.45		7	14.29			Excluded		17	34.69		4	8.16		49
		TOTAL		1129	32.15		82	2.33					252	7.18		147	4.19		73	2.08					1748	49.77		81	2.31		3512
	FOURTH			18	21.95			Excluded					26	31.71		17	20.73		5	6.10					14	17.07		2	2.44		82
		TOTAL		1147	32.66								278	7.92		164	4.67		78	2.22					1762	50.17		83	2.36		3512
	FIFTH			13	16.67								6	7.69		33	42.31			Excluded					22	28.21		4	5.13		78
		TOTAL		1160	33.03								284	8.09		197	5.61								1784	50.80		87	2.48		3512
	SIXTH			34	39.08								4	4.60		13	14.94								36	41.38			Excluded		87
		TOTAL		1194	34.00								288	8.20		210	5.98								1820	51.82					3512
	SEVENTH			72	34.29								54	25.71			Excluded								84	40.00					210
		TOTAL		1266	36.05								342	9.74											1904	54.21					3512
	EIGHTH			209	61.11									Excluded											133	38.89					342
		TOTAL		1475	42.00																				2037	58.00					3512
																									Elected						
																															
Bidwill                                                        																															
	FIRST			349	17.88		42	2.15		11	0.56		100	5.12		78	4.00		15	0.77		24	1.23		1298	66.50		35	1.79		1952
	SECOND			2	18.18		5	45.45			Excluded		0	0.00		1	9.09		2	18.18		1	9.09		0	0.00		0	0.00		11
		TOTAL		351	17.98		47	2.41					100	5.12		79	4.05		17	0.87		25	1.28		1298	66.50		35	1.79		1952
	THIRD			4	16.00		3	12.00					0	0.00		4	16.00		2	8.00			Excluded		9	36.00		3	12.00		25
		TOTAL		355	18.19		50	2.56					100	5.12		83	4.25		19	0.97					1307	66.96		38	1.95		1952
	FOURTH			14	28.00			Excluded					12	24.00		8	16.00		8	16.00					7	14.00		1	2.00		50
		TOTAL		369	18.90								112	5.74		91	4.66		27	1.38					1314	67.32		39	2.00		1952
	FIFTH			4	14.81								0	0.00		8	29.63			Excluded					11	40.74		4	14.81		27
		TOTAL		373	19.11								112	5.74		99	5.07								1325	67.88		43	2.20		1952
	SIXTH			19	44.19								7	16.28		5	11.63								12	27.91			Excluded		43
		TOTAL		392	20.08								119	6.10		104	5.33								1337	68.49					1952
	SEVENTH			29	27.88								20	19.23			Excluded								55	52.88					104
		TOTAL		421	21.57								139	7.12											1392	71.31					1952
	EIGHTH			81	58.27									Excluded											58	41.73					139
		TOTAL		502	25.72																				1450	74.28					1952
																									Elected						
																															
Blackett                                                       																															
	FIRST			312	18.21		24	1.40		11	0.64		137	8.00		63	3.68		27	1.58		26	1.52		1086	63.40		27	1.58		1713
	SECOND			3	27.27		3	27.27			Excluded		1	9.09		1	9.09		1	9.09		0	0.00		2	18.18		0	0.00		11
		TOTAL		315	18.39		27	1.58					138	8.06		64	3.74		28	1.63		26	1.52		1088	63.51		27	1.58		1713
	THIRD			4	15.38		0	0.00					2	7.69		6	23.08		4	15.38			Excluded		9	34.62		1	3.85		26
		TOTAL		319	18.62		27	1.58					140	8.17		70	4.09		32	1.87					1097	64.04		28	1.63		1713
	FOURTH			7	25.93			Excluded					10	37.04		5	18.52		1	3.70					3	11.11		1	3.70		27
		TOTAL		326	19.03								150	8.76		75	4.38		33	1.93					1100	64.21		29	1.69		1713
	FIFTH			3	9.09								2	6.06		11	33.33			Excluded					16	48.48		1	3.03		33
		TOTAL		329	19.21								152	8.87		86	5.02								1116	65.15		30	1.75		1713
	SIXTH			12	40.00								0	0.00		4	13.33								14	46.67			Excluded		30
		TOTAL		341	19.91								152	8.87		90	5.25								1130	65.97					1713
	SEVENTH			16	17.78								22	24.44			Excluded								52	57.78					90
		TOTAL		357	20.84								174	10.16											1182	69.00					1713
	EIGHTH			109	62.64									Excluded											65	37.36					174
		TOTAL		466	27.20																				1247	72.80					1713
																									Elected						
																															
Blacktown West (Chifley)                                       																															
	FIRST			657	30.43		34	1.57		37	1.71		165	7.64		27	1.25		47	2.18		42	1.95		1079	49.98		71	3.29		2159
	SECOND			5	13.51		12	32.43			Excluded		4	10.81		2	5.41		4	10.81		3	8.11		6	16.22		1	2.70		37
		TOTAL		662	30.66		46	2.13					169	7.83		29	1.34		51	2.36		45	2.08		1085	50.25		72	3.33		2159
	THIRD			5	11.11		6	13.33					5	11.11		3	6.67		12	26.67			Excluded		13	28.89		1	2.22		45
		TOTAL		667	30.89		52	2.41					174	8.06		32	1.48		63	2.92					1098	50.86		73	3.38		2159
	FOURTH			20	38.46			Excluded					13	25.00		4	7.69		4	7.69					9	17.31		2	3.85		52
		TOTAL		687	31.82								187	8.66		36	1.67		67	3.10					1107	51.27		75	3.47		2159
	FIFTH			14	20.90								4	5.97		11	16.42			Excluded					31	46.27		7	10.45		67
		TOTAL		701	32.47								191	8.85		47	2.18								1138	52.71		82	3.80		2159
	SIXTH			36	43.90								5	6.10		16	19.51								25	30.49			Excluded		82
		TOTAL		737	34.14								196	9.08		63	2.92								1163	53.87					2159
	SEVENTH			22	34.92								23	36.51			Excluded								18	28.57					63
		TOTAL		759	35.16								219	10.14											1181	54.70					2159
	EIGHTH			134	61.19									Excluded											85	38.81					219
		TOTAL		893	41.36																				1266	58.64					2159
																									Elected						
																															
Dharruk                                                        																															
	FIRST			267	18.03		23	1.55		15	1.01		98	6.62		82	5.54		23	1.55		23	1.55		928	62.66		22	1.49		1481
	SECOND			3	20.00		2	13.33			Excluded		4	26.67		3	20.00		2	13.33		1	6.67		0	0.00		0	0.00		15
		TOTAL		270	18.23		25	1.69					102	6.89		85	5.74		25	1.69		24	1.62		928	62.66		22	1.49		1481
	THIRD			1	4.17		2	8.33					0	0.00		2	8.33		9	37.50			Excluded		10	41.67		0	0.00		24
		TOTAL		271	18.30		27	1.82					102	6.89		87	5.87		34	2.30					938	63.34		22	1.49		1481
	FOURTH			6	22.22			Excluded					7	25.93		5	18.52		2	7.41					6	22.22		1	3.70		27
		TOTAL		277	18.70								109	7.36		92	6.21		36	2.43					944	63.74		23	1.55		1481
	FIFTH			3	8.33								6	16.67		7	19.44			Excluded					16	44.44		4	11.11		36
		TOTAL		280	18.91								115	7.77		99	6.68								960	64.82		27	1.82		1481
	SIXTH			14	51.85								0	0.00		6	22.22								7	25.93			Excluded		27
		TOTAL		294	19.85								115	7.77		105	7.09								967	65.29					1481
	SEVENTH			32	30.48								28	26.67			Excluded								45	42.86					105
		TOTAL		326	22.01								143	9.66											1012	68.33					1481
	EIGHTH			84	58.74									Excluded											59	41.26					143
		TOTAL		410	27.68																				1071	72.32					1481
																									Elected						
																															
Doonside                                                       																															
	FIRST			475	25.16		30	1.59		14	0.74		112	5.93		52	2.75		26	1.38		33	1.75		1089	57.68		57	3.02		1888
	SECOND			1	7.14		2	14.29			Excluded		1	7.14		3	21.43		2	14.29		1	7.14		4	28.57		0	0.00		14
		TOTAL		476	25.21		32	1.69					113	5.99		55	2.91		28	1.48		34	1.80		1093	57.89		57	3.02		1888
	THIRD			4	11.76		2	5.88					2	5.88		2	5.88		7	20.59			Excluded		17	50.00		0	0.00		34
		TOTAL		480	25.42		34	1.80					115	6.09		57	3.02		35	1.85					1110	58.79		57	3.02		1888
	FOURTH			8	23.53			Excluded					6	17.65		6	17.65		2	5.88					11	32.35		1	2.94		34
		TOTAL		488	25.85								121	6.41		63	3.34		37	1.96					1121	59.38		58	3.07		1888
	FIFTH			6	16.22								3	8.11		4	10.81			Excluded					20	54.05		4	10.81		37
		TOTAL		494	26.17								124	6.57		67	3.55								1141	60.43		62	3.28		1888
	SIXTH			32	51.61								2	3.23		6	9.68								22	35.48			Excluded		62
		TOTAL		526	27.86								126	6.67		73	3.87								1163	61.60					1888
	SEVENTH			20	27.40								18	24.66			Excluded								35	47.95					73
		TOTAL		546	28.92								144	7.63											1198	63.45					1888
	EIGHTH			89	61.81									Excluded											55	38.19					144
		TOTAL		635	33.63																				1253	66.37					1888
																									Elected						
																															
Doonside North                                                 																															
	FIRST			1006	27.43		45	1.23		23	0.63		185	5.04		54	1.47		79	2.15		56	1.53		2089	56.95		131	3.57		3668
	SECOND			5	21.74		2	8.70			Excluded		1	4.35		1	4.35		7	30.43		2	8.70		3	13.04		2	8.70		23
		TOTAL		1011	27.56		47	1.28					186	5.07		55	1.50		86	2.34		58	1.58		2092	57.03		133	3.63		3668
	THIRD			1	1.72		3	5.17					3	5.17		6	10.34		13	22.41			Excluded		28	48.28		4	6.90		58
		TOTAL		1012	27.59		50	1.36					189	5.15		61	1.66		99	2.70					2120	57.80		137	3.74		3668
	FOURTH			9	18.00			Excluded					17	34.00		7	14.00		8	16.00					8	16.00		1	2.00		50
		TOTAL		1021	27.84								206	5.62		68	1.85		107	2.92					2128	58.02		138	3.76		3668
	FIFTH			33	30.84								11	10.28		6	5.61			Excluded					48	44.86		9	8.41		107
		TOTAL		1054	28.74								217	5.92		74	2.02								2176	59.32		147	4.01		3668
	SIXTH			66	44.90								4	2.72		17	11.56								60	40.82			Excluded		147
		TOTAL		1120	30.53								221	6.03		91	2.48								2236	60.96					3668
	SEVENTH			32	35.16								18	19.78			Excluded								41	45.05					91
		TOTAL		1152	31.41								239	6.52											2277	62.08					3668
	EIGHTH			139	58.16									Excluded											100	41.84					239
		TOTAL		1291	35.20																				2377	64.80					3668
																									Elected						
																															
Eastern Creek                                                  																															
