Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Calare (85310)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Barry		11	10.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	4.72		0	0.00		0	0.00		22	20.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.94		62	58.49		0	0.00		0	0.00		4	3.77		0	0.00		0	0.00		1	0.94		0	0.00		106	96.36		4	3.64		110	0.13
Bathurst		113	4.58		54	2.19		2	0.08		2	0.08		48	1.94		3	0.12		158	6.40		47	1.90		5	0.20		863	34.97		18	0.73		2	0.08		19	0.77		0	0.00		5	0.20		5	0.20		937	37.97		25	1.01		4	0.16		132	5.35		1	0.04		0	0.00		23	0.93		2	0.08		2468	97.43		65	2.57		2533	3.08
Bathurst Central		42	3.59		24	2.05		4	0.34		3	0.26		20	1.71		1	0.09		89	7.61		17	1.45		1	0.09		413	35.30		10	0.85		1	0.09		8	0.68		1	0.09		2	0.17		3	0.26		431	36.84		10	0.85		4	0.34		70	5.98		0	0.00		2	0.17		13	1.11		1	0.09		1170	97.58		29	2.42		1199	1.46
Bathurst City		76	5.55		26	1.90		1	0.07		4	0.29		29	2.12		0	0.00		102	7.45		28	2.05		5	0.37		452	33.02		18	1.31		3	0.22		3	0.22		1	0.07		2	0.15		1	0.07		526	38.42		13	0.95		1	0.07		68	4.97		1	0.07		1	0.07		8	0.58		0	0.00		1369	97.79		31	2.21		1400	1.70
Bathurst High		60	5.59		21	1.96		0	0.00		0	0.00		14	1.30		2	0.19		93	8.67		20	1.86		3	0.28		372	34.67		10	0.93		1	0.09		12	1.12		0	0.00		2	0.19		0	0.00		389	36.25		13	1.21		1	0.09		48	4.47		1	0.09		2	0.19		8	0.75		1	0.09		1073	98.44		17	1.56		1090	1.33
Bathurst Hospital		43	5.91		22	3.02		1	0.14		1	0.14		12	1.65		1	0.14		32	4.40		9	1.24		3	0.41		287	39.42		6	0.82		1	0.14		4	0.55		1	0.14		1	0.14		0	0.00		267	36.68		5	0.69		1	0.14		20	2.75		0	0.00		2	0.27		6	0.82		3	0.41		728	98.51		11	1.49		739	0.90
Bathurst St Vincents		22	8.00		5	1.82		1	0.36		0	0.00		10	3.64		0	0.00		13	4.73		0	0.00		0	0.00		126	45.82		2	0.73		0	0.00		3	1.09		0	0.00		0	0.00		0	0.00		87	31.64		2	0.73		0	0.00		2	0.73		0	0.00		0	0.00		2	0.73		0	0.00		275	96.49		10	3.51		285	0.35
Bathurst South		70	5.70		19	1.55		1	0.08		0	0.00		21	1.71		1	0.08		83	6.75		27	2.20		2	0.16		493	40.11		14	1.14		5	0.41		14	1.14		0	0.00		1	0.08		1	0.08		391	31.81		13	1.06		1	0.08		51	4.15		0	0.00		2	0.16		16	1.30		3	0.24		1229	97.31		34	2.69		1263	1.54
