House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Bennelong																																		
				WEBECK			CAMPBELL			HARKNESS			PLUMB			DAWSON			SHAW			GOLDFINCH			MARSH			LAW			HOWARD			
				Robert			Nicole			Bruce			Noel			John			Jimmy			Peter Lloyd			Peter			May			John Winston			
				HAN			ALP			NGST			SAS			IND			GRN			DEM			NCP			UNI			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Balaclava                                                      																																		
	FIRST			44	1.79		691	28.04		16	0.65		2	0.08		19	0.77		129	5.24		202	8.20		3	0.12		84	3.41		1274	51.70		2464
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		3
		TOTAL		44	1.79		691	28.04		17	0.69		3	0.12		19	0.77		129	5.24		203	8.24					84	3.41		1274	51.70		2464
	THIRD			0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		0	0.00					0	0.00		0	0.00		3
		TOTAL		44	1.79		691	28.04		18	0.73					20	0.81		130	5.28		203	8.24					84	3.41		1274	51.70		2464
	FOURTH			1	5.00		0	0.00		6	30.00						Excluded		6	30.00		1	5.00					2	10.00		4	20.00		20
		TOTAL		45	1.83		691	28.04		24	0.97								136	5.52		204	8.28					86	3.49		1278	51.87		2464
	FIFTH			6	25.00		8	33.33			Excluded								3	12.50		5	20.83					1	4.17		1	4.17		24
		TOTAL		51	2.07		699	28.37											139	5.64		209	8.48					87	3.53		1279	51.91		2464
	SIXTH			3	3.45		31	35.63											9	10.34		32	36.78						Excluded		12	13.79		87
		TOTAL		54	2.19		730	29.63											148	6.01		241	9.78								1291	52.39		2464
	SEVENTH				Excluded		20	37.04											10	18.52		5	9.26								19	35.19		54
		TOTAL					750	30.44											158	6.41		246	9.98								1310	53.17		2464
	EIGHTH						40	25.32												Excluded		98	62.03								20	12.66		158
		TOTAL					790	32.06														344	13.96								1330	53.98		2464
	NINTH						244	70.93															Excluded								100	29.07		344
		TOTAL					1034	41.96																							1430	58.04		2464
																															Elected			
																																		
Boronia Park (Bennelong)                                       																																		
	FIRST			17	1.96		256	29.49		4	0.46		5	0.58		1	0.12		57	6.57		47	5.41		1	0.12		2	0.23		478	55.07		868
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		18	2.07		256	29.49		4	0.46		5	0.58		1	0.12		57	6.57		47	5.41					2	0.23		478	55.07		868
	THIRD			0	0.00		0	0.00		1	20.00			Excluded		0	0.00		2	40.00		1	20.00					0	0.00		1	20.00		5
		TOTAL		18	2.07		256	29.49		5	0.58					1	0.12		59	6.80		48	5.53					2	0.23		479	55.18		868
	FOURTH			1	100.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		19	2.19		256	29.49		5	0.58								59	6.80		48	5.53					2	0.23		479	55.18		868
	FIFTH			0	0.00		3	60.00			Excluded								1	20.00		1	20.00					0	0.00		0	0.00		5
		TOTAL		19	2.19		259	29.84											60	6.91		49	5.65					2	0.23		479	55.18		868
	SIXTH			0	0.00		2	100.00											0	0.00		0	0.00						Excluded		0	0.00		2
		TOTAL		19	2.19		261	30.07											60	6.91		49	5.65								479	55.18		868
	SEVENTH				Excluded		10	52.63											0	0.00		1	5.26								8	42.11		19
		TOTAL					271	31.22											60	6.91		50	5.76								487	56.11		868
	EIGHTH						15	25.00												Excluded		45	75.00								0	0.00		60
		TOTAL					286	32.95														95	10.94								487	56.11		868
	NINTH						80	84.21															Excluded								15	15.79		95
		TOTAL					366	42.17																							502	57.83		868
																															Elected			
																																		
Carlingford (Bennelong)                                        																																		
	FIRST			22	2.01		285	26.08		7	0.64		0	0.00		8	0.73		19	1.74		64	5.86		1	0.09		41	3.75		646	59.10		1093
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1
		TOTAL		22	2.01		285	26.08		7	0.64		0	0.00		8	0.73		19	1.74		65	5.95					41	3.75		646	59.10		1093
