House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mackellar (86505)											
		Candidate		"BISHOP, Bronwyn"		            	"CARPENTIER, Ben"		            	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Avalon										
			1st Prefs	1924	72.77		720	27.23		2644	
		"PAPE, Andrea (GRN)"	491	125	25.46		366	74.54		491	
		"CUTHBERTSON, Peter (HAN)"	71	41	57.75		30	42.25		71	
		"DIMOND, Vicki (DEM)"	402	109	27.11		293	72.89		402	
		"MOODY, Tom (AFI)"	48	31	64.58		17	35.42		48	
		"MAY, George (IND)"	48	28	58.33		20	41.67		48	
		Total	1060	2258	60.96		1446	39.04		3704	

	Barrenjoey										
			1st Prefs	1033	72.59		390	27.41		1423	
		"PAPE, Andrea (GRN)"	289	63	21.80		226	78.20		289	
		"CUTHBERTSON, Peter (HAN)"	50	35	70.00		15	30.00		50	
		"DIMOND, Vicki (DEM)"	222	70	31.53		152	68.47		222	
		"MOODY, Tom (AFI)"	29	18	62.07		11	37.93		29	
		"MAY, George (IND)"	22	15	68.18		7	31.82		22	
		Total	612	1234	60.64		801	39.36		2035	

	Bayview										
			1st Prefs	935	85.47		159	14.53		1094	
		"PAPE, Andrea (GRN)"	151	40	26.49		111	73.51		151	
		"CUTHBERTSON, Peter (HAN)"	38	25	65.79		13	34.21		38	
		"DIMOND, Vicki (DEM)"	147	54	36.73		93	63.27		147	
		"MOODY, Tom (AFI)"	13	9	69.23		4	30.77		13	
		"MAY, George (IND)"	12	8	66.67		4	33.33		12	
		Total	361	1071	73.61		384	26.39		1455	

	Beacon Hill (Mackellar)										
			1st Prefs	1150	73.62		412	26.38		1562	
		"PAPE, Andrea (GRN)"	105	37	35.24		68	64.76		105	
		"CUTHBERTSON, Peter (HAN)"	67	42	62.69		25	37.31		67	
		"DIMOND, Vicki (DEM)"	175	64	36.57		111	63.43		175	
		"MOODY, Tom (AFI)"	35	16	45.71		19	54.29		35	
		"MAY, George (IND)"	46	24	52.17		22	47.83		46	
		Total	428	1333	66.98		657	33.02		1990	

	Belrose										
			1st Prefs	1826	76.37		565	23.63		2391	
		"PAPE, Andrea (GRN)"	145	49	33.79		96	66.21		145	
		"CUTHBERTSON, Peter (HAN)"	70	43	61.43		27	38.57		70	
		"DIMOND, Vicki (DEM)"	193	74	38.34		119	61.66		193	
		"MOODY, Tom (AFI)"	30	17	56.67		13	43.33		30	
		"MAY, George (IND)"	47	27	57.45		20	42.55		47	
		Total	485	2036	70.79		840	29.21		2876	

	Belrose North										
			1st Prefs	1426	78.22		397	21.78		1823	
		"PAPE, Andrea (GRN)"	113	40	35.40		73	64.60		113	
		"CUTHBERTSON, Peter (HAN)"	50	32	64.00		18	36.00		50	
		"DIMOND, Vicki (DEM)"	158	69	43.67		89	56.33		158	
		"MOODY, Tom (AFI)"	18	15	83.33		3	16.67		18	
		"MAY, George (IND)"	35	20	57.14		15	42.86		35	
		Total	374	1602	72.92		595	27.08		2197	

	Bilgola Plateau										
			1st Prefs	1135	78.17		317	21.83		1452	
		"PAPE, Andrea (GRN)"	177	46	25.99		131	74.01		177	
		"CUTHBERTSON, Peter (HAN)"	39	24	61.54		15	38.46		39	
		"DIMOND, Vicki (DEM)"	218	72	33.03		146	66.97		218	
		"MOODY, Tom (AFI)"	24	12	50.00		12	50.00		24	
		"MAY, George (IND)"	23	7	30.43		16	69.57		23	
		Total	481	1296	67.05		637	32.95		1933	

	Collaroy										
			1st Prefs	894	75.83		285	24.17		1179	
		"PAPE, Andrea (GRN)"	135	36	26.67		99	73.33		135	
		"CUTHBERTSON, Peter (HAN)"	17	7	41.18		10	58.82		17	
		"DIMOND, Vicki (DEM)"	127	46	36.22		81	63.78		127	
		"MOODY, Tom (AFI)"	22	15	68.18		7	31.82		22	
		"MAY, George (IND)"	25	9	36.00		16	64.00		25	
		Total	326	1007	66.91		498	33.09		1505	

	Collaroy Plateau										
			1st Prefs	1484	75.87		472	24.13		1956	
		"PAPE, Andrea (GRN)"	163	61	37.42		102	62.58		163	
		"CUTHBERTSON, Peter (HAN)"	73	52	71.23		21	28.77		73	
		"DIMOND, Vicki (DEM)"	234	72	30.77		162	69.23		234	
		"MOODY, Tom (AFI)"	42	20	47.62		22	52.38		42	
		"MAY, George (IND)"	44	20	45.45		24	54.55		44	
		Total	556	1709	68.03		803	31.97		2512	

	Coster Street										
			1st Prefs	599	74.13		209	25.87		808	
		"PAPE, Andrea (GRN)"	60	23	38.33		37	61.67		60	
		"CUTHBERTSON, Peter (HAN)"	19	9	47.37		10	52.63		19	
		"DIMOND, Vicki (DEM)"	92	26	28.26		66	71.74		92	
		"MOODY, Tom (AFI)"	23	9	39.13		14	60.87		23	
		"MAY, George (IND)"	15	5	33.33		10	66.67		15	
		Total	209	671	65.98		346	34.02		1017	

	Cromer										
			1st Prefs	1627	74.09		569	25.91		2196	
		"PAPE, Andrea (GRN)"	171	47	27.49		124	72.51		171	
		"CUTHBERTSON, Peter (HAN)"	83	51	61.45		32	38.55		83	
		"DIMOND, Vicki (DEM)"	254	88	34.65		166	65.35		254	
		"MOODY, Tom (AFI)"	46	23	50.00		23	50.00		46	
		"MAY, George (IND)"	48	30	62.50		18	37.50		48	
		Total	602	1866	66.69		932	33.31		2798	

	Cromer East										
			1st Prefs	539	71.20		218	28.80		757	
		"PAPE, Andrea (GRN)"	56	23	41.07		33	58.93		56	
		"CUTHBERTSON, Peter (HAN)"	21	11	52.38		10	47.62		21	
		"DIMOND, Vicki (DEM)"	73	21	28.77		52	71.23		73	
		"MOODY, Tom (AFI)"	19	10	52.63		9	47.37		19	
		"MAY, George (IND)"	17	5	29.41		12	70.59		17	
		Total	186	609	64.58		334	35.42		943	

	Dee Why (Mackellar)										
			1st Prefs	1343	64.26		747	35.74		2090	
		"PAPE, Andrea (GRN)"	233	75	32.19		158	67.81		233	
		"CUTHBERTSON, Peter (HAN)"	58	38	65.52		20	34.48		58	
		"DIMOND, Vicki (DEM)"	234	73	31.20		161	68.80		234	
		"MOODY, Tom (AFI)"	39	19	48.72		20	51.28		39	
		"MAY, George (IND)"	82	28	34.15		54	65.85		82	
		Total	646	1576	57.60		1160	42.40		2736	

	Dee Why Central (Mackellar)										
			1st Prefs	263	65.10		141	34.90		404	
		"PAPE, Andrea (GRN)"	40	15	37.50		25	62.50		40	
		"CUTHBERTSON, Peter (HAN)"	21	16	76.19		5	23.81		21	
		"DIMOND, Vicki (DEM)"	38	15	39.47		23	60.53		38	
		"MOODY, Tom (AFI)"	14	6	42.86		8	57.14		14	
		"MAY, George (IND)"	16	5	31.25		11	68.75		16	
		Total	129	320	60.04		213	39.96		533	

	Elanora										
			1st Prefs	1261	80.52		305	19.48		1566	
		"PAPE, Andrea (GRN)"	204	62	30.39		142	69.61		204	
		"CUTHBERTSON, Peter (HAN)"	59	36	61.02		23	38.98		59	
		"DIMOND, Vicki (DEM)"	268	95	35.45		173	64.55		268	
		"MOODY, Tom (AFI)"	28	17	60.71		11	39.29		28	
		"MAY, George (IND)"	31	13	41.94		18	58.06		31	
		Total	590	1484	68.83		672	31.17		2156	

	Forest High										
			1st Prefs	786	75.36		257	24.64		1043	
		"PAPE, Andrea (GRN)"	87	24	27.59		63	72.41		87	
		"CUTHBERTSON, Peter (HAN)"	30	19	63.33		11	36.67		30	
		"DIMOND, Vicki (DEM)"	135	47	34.81		88	65.19		135	
		"MOODY, Tom (AFI)"	21	10	47.62		11	52.38		21	
		"MAY, George (IND)"	34	15	44.12		19	55.88		34	
		Total	307	901	66.74		449	33.26		1350	

	Frenchs Forest (Mackellar)										
			1st Prefs	704	76.03		222	23.97		926	
		"PAPE, Andrea (GRN)"	78	16	20.51		62	79.49		78	
		"CUTHBERTSON, Peter (HAN)"	30	21	70.00		9	30.00		30	
		"DIMOND, Vicki (DEM)"	109	44	40.37		65	59.63		109	
		"MOODY, Tom (AFI)"	12	10	83.33		2	16.67		12	
		"MAY, George (IND)"	25	13	52.00		12	48.00		25	
		Total	254	808	68.47		372	31.53		1180	

	Kambora										
			1st Prefs	581	82.06		127	17.94		708	
		"PAPE, Andrea (GRN)"	43	9	20.93		34	79.07		43	
		"CUTHBERTSON, Peter (HAN)"	12	9	75.00		3	25.00		12	
		"DIMOND, Vicki (DEM)"	55	19	34.55		36	65.45		55	
		"MOODY, Tom (AFI)"	10	6	60.00		4	40.00		10	
		"MAY, George (IND)"	17	10	58.82		7	41.18		17	
		Total	137	634	75.03		211	24.97		845	

	Lagoon Street										
			1st Prefs	700	72.46		266	27.54		966	
		"PAPE, Andrea (GRN)"	104	27	25.96		77	74.04		104	
		"CUTHBERTSON, Peter (HAN)"	40	33	82.50		7	17.50		40	
		"DIMOND, Vicki (DEM)"	139	49	35.25		90	64.75		139	
		"MOODY, Tom (AFI)"	14	9	64.29		5	35.71		14	
