Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beverly Hills North		                        	31	1.13	 	1019	37.14	 	26	0.95	 	3	0.11	 	8	0.29	 	104	3.79	 	1102	40.16	 	300	10.93	 	1	0.04	 	38	1.38	 	2	0.07	 	6	0.22	 	0	0	 	2	0.07	 	6	0.22	 	2	0.07	 	9	0.33	 	77	2.81	 	8	0.29	 	2744	94.33	 	165	5.67	 	2909	3.79
East Hills		                                 	28	2.39	 	423	36.12	 	27	2.31	 	5	0.43	 	4	0.34	 	73	6.23	 	426	36.38	 	114	9.74	 	0	0	 	13	1.11	 	0	0	 	8	0.68	 	0	0	 	1	0.09	 	0	0	 	2	0.17	 	4	0.34	 	35	2.99	 	8	0.68	 	1171	94.82	 	64	5.18	 	1235	1.61
Hannans Road		                               	48	1.91	 	699	27.83	 	41	1.63	 	5	0.2	 	5	0.2	 	78	3.11	 	1304	51.91	 	228	9.08	 	2	0.08	 	26	1.04	 	0	0	 	8	0.32	 	1	0.04	 	2	0.08	 	4	0.16	 	1	0.04	 	11	0.44	 	45	1.79	 	4	0.16	 	2512	93.73	 	168	6.27	 	2680	3.49
Lugarno		                                    	28	0.85	 	1842	55.92	 	75	2.28	 	4	0.12	 	4	0.12	 	110	3.34	 	672	20.4	 	414	12.57	 	1	0.03	 	42	1.28	 	0	0	 	8	0.24	 	0	0	 	0	0	 	8	0.24	 	5	0.15	 	1	0.03	 	66	2	 	14	0.43	 	3294	96.54	 	118	3.46	 	3412	4.45
Milperra		                                   	63	2.33	 	1109	40.98	 	31	1.15	 	6	0.22	 	7	0.26	 	197	7.28	 	881	32.56	 	284	10.5	 	3	0.11	 	26	0.96	 	2	0.07	 	8	0.3	 	1	0.04	 	0	0	 	2	0.07	 	1	0.04	 	5	0.18	 	68	2.51	 	12	0.44	 	2706	96.2	 	107	3.8	 	2813	3.67
Mortdale Central		                           	42	2	 	706	33.59	 	37	1.76	 	4	0.19	 	5	0.24	 	70	3.33	 	865	41.15	 	279	13.27	 	2	0.1	 	20	0.95	 	0	0	 	6	0.29	 	1	0.05	 	1	0.05	 	3	0.14	 	1	0.05	 	7	0.33	 	50	2.38	 	3	0.14	 	2102	94.26	 	128	5.74	 	2230	2.91
Mortdale Heights		                           	18	1.89	 	371	38.97	 	17	1.79	 	1	0.11	 	4	0.42	 	22	2.31	 	336	35.29	 	140	14.71	 	0	0	 	14	1.47	 	0	0	 	1	0.11	 	0	0	 	0	0	 	4	0.42	 	0	0	 	4	0.42	 	20	2.1	 	0	0	 	952	95.77	 	42	4.23	 	994	1.3
Mortdale West		                              	32	1.46	 	777	35.53	 	35	1.6	 	2	0.09	 	4	0.18	 	115	5.26	 	862	39.41	 	253	11.57	 	1	0.05	 	33	1.51	 	0	0	 	5	0.23	 	0	0	 	1	0.05	 	3	0.14	 	2	0.09	 	12	0.55	 	44	2.01	 	6	0.27	 	2187	95.42	 	105	4.58	 	2292	2.99
Narwee		                                     	32	1.22	 	917	34.96	 	41	1.56	 	5	0.19	 	7	0.27	 	96	3.66	 	1075	40.98	 	330	12.58	 	1	0.04	 	25	0.95	 	0	0	 	12	0.46	 	0	0	 	1	0.04	 	5	0.19	 	1	0.04	 	12	0.46	 	55	2.1	 	8	0.3	 	2623	94.28	 	159	5.72	 	2782	3.63
